,https://roic.ai/company/INBP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,10300000,12000000,16000000,15000000,19964279,17579786,22748581,20939010,30892135,43848314,52717324,62121000,65708000,43820000,40568000,24812000,37110000,32507000,32331000,36555000,40100000,43767000,42016000,47273000,46042000,57775000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000,20000,3000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2232000,2467000,1531000,1109000,979000,964000,979000,953000,778000,926000,630000,397000,256000
14,Depreciation and Amortization,300000,300000,400000,400000,378637,353875,361326,455616,952531,1585026,1166617,1425000,1624000,517000,454000,361000,500000,425000,390000,405000,351000,393000,348000,774000,460000,826000
15,EBITDA,600000,-600000,300000,-2400000,4436388,-1743493,2645797,2115303,-4299928,-7022532,6241922,-1137000,-15609000,-10646000,-2574000,-364000,-1093000,1514000,1574000,2253000,2493000,3027000,2279000,3446000,3945000,8329000
16,EBITDA ratio,0.0566,-0.0541,0.0187,-0.1951,0.2468,-0.1140,0.1124,0.0951,-0.1701,-0.2145,0.1080,-0.0189,-0.3126,-0.2704,-0.0695,-0.0145,-0.0299,0.0450,0.0467,0.0601,0.0591,0.0645,0.0521,0.0690,0.0748,0.1310
17,Operating Income,300000,-900000,- -,-2700000,-1989394,-2286696,798049,1296296,-5609345,-11112501,5103142,-1961000,-15768000,-4453000,-3549000,321000,-506000,1116000,1352000,933000,2114000,3187000,1694000,2704000,3259000,5784000
18,Operating Income ratio,0.0283,-0.0811,- -,-0.2195,-0.1107,-0.1495,0.0339,0.0583,-0.2219,-0.3395,0.0883,-0.0326,-0.3157,-0.1131,-0.0959,0.0128,-0.0138,0.0332,0.0401,0.0249,0.0501,0.0679,0.0388,0.0541,0.0618,0.0910
19,Total Other Income Expenses (Gains),100000,- -,- -,-100000,6047145,189328,1486422,363391,356886,2504747,-9984668,-639000,-1465000,-3895000,-1946000,-1487000,-2196000,-1006000,-1132000,-64000,-925000,-1331000,-689000,-662000,-171000,1463000
20,Income Before Tax,- -,-900000,- -,-2800000,4057751,-2097368,2284471,1659687,-5252459,-8607754,-4881526,-2600000,-17233000,-8348000,-5495000,-1166000,-2702000,110000,220000,869000,1189000,1856000,1005000,2042000,3088000,7247000
21,Income Before Tax Ratio,- -,-0.0811,- -,-0.2276,0.2257,-0.1371,0.0970,0.0746,-0.2077,-0.2629,-0.0844,-0.0432,-0.3451,-0.2121,-0.1484,-0.0464,-0.0738,0.0033,0.0065,0.0232,0.0282,0.0395,0.0230,0.0409,0.0585,0.1140
22,Income Tax expense (Gain),100000,-200000,- -,-200000,914056,-647465,891426,765570,87688,-27325,-3356447,-518000,934000,4781000,40000,25000,11000,17000,89000,134000,231000,-490000,326000,354000,-1020000,-766000
23,Net Income,- -,-700000,-100000,-2600000,3143695,-1449903,1393045,894117,-5340147,-8580233,8431752,-2044000,-18167000,-18176000,-5535000,-2281000,-2713000,93000,131000,735000,958000,2346000,679000,1688000,4108000,8013000
24,Net Income ratio,- -,-0.0631,-0.0063,-0.2114,0.1749,-0.0948,0.0592,0.0402,-0.2112,-0.2621,0.1458,-0.0340,-0.3638,-0.4617,-0.1495,-0.0908,-0.0741,0.0028,0.0039,0.0196,0.0227,0.0500,0.0155,0.0338,0.0778,0.1261
25,EPS,0.01,-0.16,-0.02,-0.51,0.61,-0.24,0.22,0.12,-0.58,-0.90,0.43,-0.40,-1.28,-0.99,-0.27,-0.11,-0.13,0.00,0.01,0.03,0.05,0.11,0.03,0.06,0.14,0.27
26,EPS Diluted,0.01,-0.16,-0.02,-0.51,0.60,-0.24,0.20,0.09,-0.58,-0.90,0.34,-0.40,-1.28,-0.99,-0.27,-0.11,-0.13,0.00,0.01,0.03,0.05,0.10,0.02,0.06,0.13,0.25
27,Weighted Average Shares Outstanding,4007877,4007877,4725460,5178300,5169185,5963956,6228720,7765051,11107520,12610975,12832737,13594276,14375793,19609516,20467627,20780406,21011522,21080174,21081955,21105174,21105174,21117078,21135174,28930495,29572255,29699065
28,Weighted Average Shares Outstanding Diluted,4007877,4007877,4725460,13582781,5255923,5963956,7114970,10420964,11107520,12610975,16231365,13594276,14375793,19609516,20467627,20780406,21011522,21080174,21193818,29385887,21191066,30173740,30317342,29586550,31157250,32113681
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016504/000143774919017611/0001437749-19-017611-index.htm,https://www.sec.gov/Archives/edgar/data/1016504/000143774920020123/0001437749-20-020123-index.htm,https://www.sec.gov/Archives/edgar/data/1016504/000143774921021375/0001437749-21-021375-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,10406390,9548046,2427553,5746836,2156000,873000,570000,648000,563000,145000,55000,451000,71000,395000,132000,228000,475000,402000,210000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,823000,823000,684000,532000,501000,501000,465000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,10406390,9548046,2427553,5746836,2156000,873000,570000,648000,1386000,968000,739000,983000,572000,896000,597000,228000,475000,402000,210000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,1863906,2425354,4470927,5717012,4242000,3806000,2621000,1628000,1205000,2035000,2419000,2179000,2638000,3135000,4020000,3796000,4439000,5507000,5776000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,4300025,7076130,9987288,10972843,16282000,10704000,8029000,6988000,5367000,5290000,6431000,5698000,5778000,7756000,7645000,7741000,8819000,10101000,11695000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,806027,1280519,822074,4507988,4175000,1958000,754000,556000,3895000,391000,339000,306000,334000,283000,289000,389000,346000,451000,317000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,17376348,20330049,17707842,26944679,26855000,17341000,11974000,9820000,11853000,8684000,9928000,9166000,9322000,12070000,12551000,12154000,14079000,16461000,17998000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,2293861,6856982,4664306,4173357,4377000,3886000,1865000,1719000,1598000,1449000,1235000,1239000,1373000,1567000,1601000,1651000,5062000,1696000,4107000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145410,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,487000,4247393,3618776,4015596,6263000,5165000,- -,- -,- -,1154000,1017000,880000,743000,235000,- -,33000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,487000,4247393,3618776,4161006,6263000,5165000,1570000,1432000,- -,1154000,1017000,880000,743000,235000,- -,33000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,823000,823000,- -,- -,- -,298000,- -,213000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,80000,50000,70000,2182000,4122000,4787000,- -,- -,- -,- -,- -,- -,- -,- -,823000,671000,534000,1883000,3268000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,590028,329002,181547,143822,2592000,178000,251000,54000,199000,590000,431000,- -,185000,- -,221000,59000,115000,2904000,67000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,3450889,11483377,8534629,10660185,17354000,14016000,4509000,4028000,1797000,3193000,2683000,2417000,2301000,2015000,2645000,2414000,5711000,6483000,7442000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,20827237,31813426,26242471,37604864,44209000,31357000,16483000,13848000,13650000,11877000,12611000,11583000,11623000,14085000,15196000,14568000,19790000,22944000,25440000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1977578,1937033,3986607,4123646,3594000,6630000,5788000,6440000,4414000,6481000,5697000,5635000,4858000,5469000,4177000,4184000,3855000,4358000,3496000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4672260,4672260,4669550,8000000,- -,7458000,11747000,12605000,4173000,5411000,4709000,5181000,5144000,5794000,10936000,7351000,7357000,4130000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,594224,807095,1612904,3079075,4268000,3408000,1644000,1357000,4326000,1549000,1308000,1309000,1826000,1211000,1184000,1060000,1147000,1384000,1610000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2571802,7416388,10271771,11872271,15862000,10038000,14890000,19544000,21345000,12203000,12416000,11653000,11865000,11824000,11155000,16180000,12353000,13099000,9236000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,10456000,4039000,- -,- -,9494000,9789000,9368000,9062000,10512000,9467000,3624000,2722000,1436000,1870000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,460000,2792000,4941643,350000,4863000,- -,- -,- -,563000,696000,717000,12000,76000,503000,- -,2822000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,460000,2792000,4941643,8350000,15319000,4039000,- -,- -,10057000,10485000,10085000,9074000,10588000,9970000,3624000,5544000,1436000,1870000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5214000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3292000,2830000,2370000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,2571802,7876388,13063771,16813914,24212000,25357000,18929000,19544000,21345000,22260000,22901000,21738000,20939000,22412000,21125000,19804000,17897000,16877000,11106000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,19,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,20483,25021,25371,26402,28000,30000,40000,41000,42000,42000,42000,42000,42000,42000,42000,42000,59000,59000,60000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,2381684,-4020155,-15422388,-9872742,-15280000,-33742000,-46603000,-49900000,-52181000,-54894000,-54801000,-54670000,-53935000,-52977000,-50631000,-49952000,-48264000,-44156000,-36143000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-3143973,-3903713,-7577709,-5815774,-6630000,-7625000,-5347000,-5498000,-5538000,-6009000,-6124000,-6305000,-6414000,-6440000,-6705000,-6790000,-7040000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,18997222,31835885,35803622,36297039,41879000,47337000,49464000,49661000,49982000,50478000,50593000,50778000,50991000,51048000,51365000,51464000,57138000,50164000,50417000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,18255435,23937038,12828896,20634925,19997000,6000000,-2446000,-5696000,-7695000,-10383000,-10290000,-10155000,-9316000,-8327000,-5929000,-5236000,1893000,6067000,14334000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,20827237,31813426,25892667,37448839,44209000,31357000,16483000,13848000,13650000,11877000,12611000,11583000,11623000,14085000,15196000,14568000,19790000,22944000,25440000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,349804,156025,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,20827237,31813426,26242471,37604864,44209000,31357000,16483000,13848000,13650000,11877000,12611000,11583000,11623000,14085000,15196000,14568000,19790000,22944000,25440000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016504/000143774919017611/0001437749-19-017611-index.htm,https://www.sec.gov/Archives/edgar/data/1016504/000143774920020123/0001437749-20-020123-index.htm,https://www.sec.gov/Archives/edgar/data/1016504/000143774921021375/0001437749-21-021375-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-700000,-100000,-2600000,3143695,-1449903,1393045,894117,-5340147,-8580233,8431752,-2044000,-18167000,-18176000,-5535000,-2281000,-2713000,93000,131000,735000,958000,2346000,679000,1688000,4108000,8013000
74,Depreciation and Amortization,300000,300000,400000,400000,378637,353875,361326,455616,952531,1585026,1166617,1425000,1624000,517000,454000,361000,500000,425000,390000,405000,351000,393000,348000,774000,460000,826000
75,Deferred Income Tax,-100000,- -,-100000,-100000,-36000,-34000,150000,27000,8000,-48000,-4083168,-1275000,859000,4733000,- -,- -,- -,- -,- -,- -,- -,-823000,152000,33000,-1349000,-1385000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1279000,895000,234000,10000,- -,- -,104000,31000,49000,14000,144000,59000,231000
77,Change in Working Capital,-800000,- -,- -,- -,- -,- -,- -,14804546,-1890885,-5477590,7636337,-4079408,-3690000,-10219000,-6808000,232000,5973000,1031000,1000,-56000,2789000,1150000,-5422000,5752000,1636000,5400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438000,1131000,199000,-627000,-371000,248000,-440000,-527000,-884000,182000,-593000,-1082000,-294000
79,Inventory,-500000,-700000,-1400000,- -,241949,-362167,893184,-1604364,-2376112,-2848488,-985555,-6491000,5063000,810000,219000,-680000,2106000,-1140000,733000,-79000,-1978000,111000,-96000,-1077000,-1282000,-1594000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,899000,652000,329000,-352000,-598000,-247000,-488000,727000,-1292000,7000,-329000,487000,-937000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,14804546,12913661,7436071,15072408,10993000,7303000,-2916000,-9724000,-9492000,-3519000,-2488000,-2487000,-2543000,246000,1396000,-4026000,1726000,3362000,8762000
82,Other Non-Cash Items,100000,-1400000,-600000,1800000,612297,-387387,867405,-16355063,-946189,7982671,-8473653,471408,15076000,19114000,10878000,1844000,-4541000,-2987000,1355000,-1301000,-4723000,-2718000,5397000,-8063000,-3575000,-10035000
83,Cash Provided by Operating Activities,-500000,-1800000,-400000,-500000,4098629,-1517415,2771776,-173784,-7216690,-4538126,4677885,-5502000,-4298000,-2752000,-116000,390000,-771000,-1438000,1877000,-113000,-594000,397000,1168000,328000,1339000,3050000
84,CAPEX,-300000,-300000,-1000000,-300000,-168590,-109457,-318541,-397604,-3519586,-1655137,-1217898,-1701000,-748000,-62000,-81000,-301000,-155000,-30000,-182000,-235000,-109000,-327000,-247000,-414000,-214000,-295000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1355726,- -,- -,2000,- -,1290000,- -,- -,- -,- -,- -,79000,- -,- -,-1000,-8000,- -,96000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-400000,300000,- -,1130,85391,-35803,-356436,-936022,-525366,- -,-39000,- -,-112000,- -,33000,12000,19000,- -,- -,2000,- -,6000,- -,104000,- -
89,Cash Used for Investing Activites,-300000,-700000,-700000,-300000,-167460,-24066,-354344,-754040,-5811334,-2180503,-1217898,-1738000,-748000,1116000,-81000,-268000,-143000,-11000,-182000,-156000,-107000,-327000,-242000,-422000,-110000,-199000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000,-25000,-45000,-20000,-33355000,-33644000,-37411000,-42159000,-45879000,-42137000,-51253000,-194000,-60728000
91,Common Stock Issued,200000,3400000,- -,- -,- -,- -,- -,9643625,12271372,178299,344469,1444000,6425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-28831,- -,- -,- -,- -,-70508,- -,-6750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-101692,-490000,-482463,-376000,- -,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-600000,-700000,1100000,100000,-2378359,94056,-729693,-372734,- -,-19655,-2710,9331000,-2662000,2092000,300000,- -,354000,34714000,32345000,37300000,43184000,45546000,41307000,51594000,-1108000,57685000
95,Cash Used/Provided by Financing Activities,-400000,2700000,1100000,100000,-2407190,94056,-729693,9270891,12169680,-401864,-140704,3649000,3763000,1340000,275000,-45000,334000,1359000,-1299000,-111000,1025000,-333000,-830000,341000,-1302000,-3043000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-400000,2700000,-100000,-700000,1523979,-1447425,1687739,8343067,-858344,-7120493,3319283,-3591000,-1283000,-296000,78000,85000,-580000,-90000,396000,-380000,324000,-263000,96000,247000,-73000,-192000
98,Cash at the End of Period,- -,- -,900000,300000,1823009,375584,2063323,10406390,9548046,2427553,5746836,2156000,873000,374000,648000,563000,145000,55000,451000,71000,395000,132000,228000,475000,402000,210000
99,Cash at the Beginning of Period,1900000,800000,1000000,1000000,299030,1823009,375584,2063323,10406390,9548046,2427553,5747000,2156000,670000,570000,478000,725000,145000,55000,451000,71000,395000,132000,228000,475000,402000
100,Free Cash Flow,-800000,-2100000,-1400000,-800000,3930039,-1626872,2453235,-571388,-10736276,-6193263,3459987,-7203000,-5046000,-2814000,-197000,89000,-926000,-1468000,1695000,-348000,-703000,70000,921000,-86000,1125000,2755000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016504/000143774919017611/0001437749-19-017611-index.htm,https://www.sec.gov/Archives/edgar/data/1016504/000143774920020123/0001437749-20-020123-index.htm,https://www.sec.gov/Archives/edgar/data/1016504/000143774921021375/0001437749-21-021375-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
