,https://roic.ai/company/RMBL,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,-33265,-168860,-217669,-445974,-9019297,-34201114,-79381806,-104380781,-114106
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-668467,-1628225,-3288109,- -,- -
66,Other Total Stockholders Equity,15000,64500,59500,1533015,24040827,66627042,95556322,108949204,545380
67,Total Stockholders Equity,-13265,-98860,-152669,1093441,14365992,30817506,12887569,4570665,431289
68,Total Liabilities And Stockholders Equity,7086,10945,4413,1397762,18152830,108926381,113393091,76979235,861429
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,183889
70,Total Liabilities & Equity,7086,10945,4413,1397762,18152830,108926381,113393091,76979235,1045318
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1596961/000139390516000769/svtc_10k.htm,https://www.sec.gov/Archives/edgar/data/1596961/000165495417001101/0001654954-17-001101-index.html,https://www.sec.gov/Archives/edgar/data/1596961/000165495418001935/0001654954-18-001935-index.html,https://www.sec.gov/Archives/edgar/data/1596961/000165495419003849/0001654954-19-003849-index.html,https://www.sec.gov/Archives/edgar/data/1596961/000165495420006126/rmbl_10k.htm,https://www.sec.gov/Archives/edgar/data/1596961/000165495421003633/0001654954-21-003633-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-135595,-48809,-224578,-8573323,-25181817,-45177053,-24998975,-9725
74,Depreciation and Amortization,- -,950,1900,1900,668467,984006,1786426,2142939,6103000
75,Deferred Income Tax,- -,- -,- -,-513,- -,- -,- -,- -,-19910000
76,Stock Based Compensation,- -,- -,- -,- -,503023,1657680,3836518,2978236,29219000
77,Change in Working Capital,- -,14454,1243382,9463396,-2373318,-8117439,2180273,-2163413,-4940
78,Accounts Receivable,- -,- -,- -,- -,-577107,-286009,2037023,-1235974,-5978000
79,Inventory,- -,- -,- -,- -,-2834666,-1717504,-2327754,24282427,-63554000
80,Accounts Payable,- -,4504,7020,210302,960115,152336,-5031073,152126,12174000
81,Other Working Capital,- -,-110236,1133146,10596542,8223224,105785,2286058,122645,117705
82,Other Non-Cash Items,- -,- -,-1229105,-9260181,151658,7204817,-2373494,39184440,-51384335
83,Cash Provided by Operating Activities,- -,-120191,-32632,-19976,-9623493,-23452753,-39747330,17143227,-35987000
84,CAPEX,- -,-5700,- -,- -,-1129298,-2169116,-3205491,-2319841,-7718000
85,Acquisitions Net,- -,- -,- -,- -,-750000,-15395251,-835000,- -,-366967000
86,Purchases of Investments,- -,- -,- -,- -,- -,-15395251,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-5700,- -,-45515,- -,15395251,169268,38436,-1871000
89,Cash Used for Investing Activites,- -,-5700,- -,-45515,-1879298,-17564367,-3871223,-2281405,-376556000
90,Debt Repayment,- -,- -,- -,-158000,-1650000,- -,-10857500,-42301517,- -
91,Common Stock Issued,- -,50000,- -,1354000,17724270,33101980,15173427,10780080,191241000
92,Common Stock Repurchased,- -,- -,-5000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,80000,33000,216358,3248593,14529390,30244006,13449220,269760000
95,Cash Used/Provided by Financing Activities,- -,130000,28000,1412358,19322863,47631370,34559933,-18072217,461001000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,4109,-4632,1346867,7820072,6614250,-9058620,-3210395,48458113
98,Cash at the End of Period,- -,6195,1563,1350580,9170652,15784902,6726282,3515887,51974000
99,Cash at the Beginning of Period,- -,2086,6195,3713,1350580,9170652,15784902,6726282,3515887
100,Free Cash Flow,- -,-125891,-32632,-19976,-10752791,-25621869,-42952821,14823386,-43705000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1596961/000139390516000769/svtc_10k.htm,https://www.sec.gov/Archives/edgar/data/1596961/000165495417001101/0001654954-17-001101-index.html,https://www.sec.gov/Archives/edgar/data/1596961/000165495418001935/0001654954-18-001935-index.html,https://www.sec.gov/Archives/edgar/data/1596961/000165495419003849/0001654954-19-003849-index.html,https://www.sec.gov/Archives/edgar/data/1596961/000165495420006126/rmbl_10k.htm,https://www.sec.gov/Archives/edgar/data/1596961/000165495421003633/0001654954-21-003633-index.htm,- -
102,false,,,,,,,,,
