,https://roic.ai/company/RPMT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,63115,90015,642953,1154602,3063594,1555706,7435747,11351584,16218805,19643232,23464112,764843,1041004
62,Preferred Stock,- -,- -,- -,- -,- -,- -,14,14,14,14,14,14,14,- -
63,Common Stock,3529,4382,6537,6687,10142,11140,11912,11752,11802,11860,11960,11960,- -,12344
64,Retained Earnings,-983886,-3220362,-4709552,-7434348,-19474074,-35450446,-52060191,-60802017,-66696058,-72112722,-78880134,-83130943,- -,-99546710
65,Other Comprehensive Income/Loss,-698,-1814,-3243,-6244,-19580,-41544,-91742,-57823,-18473,-4773,-5129,-5129,- -,- -
66,Other Total Stockholders Equity,1114298,3248592,6226036,7071491,26319694,35358440,53698471,54189086,55964420,56364012,59554100,60238978,764843,99534366
67,Total Stockholders Equity,133243,30798,1519778,-362414,6836182,-122410,1558464,-6658988,-10738295,-15741609,-19319189,-22885120,-37311405,- -
68,Total Liabilities And Stockholders Equity,- -,93913,1609793,280539,7990784,2941184,3114170,776759,613289,477196,324043,578992,-36546562,1041004
69,Minority Interest,133243,- -,- -,- -,- -,- -,- -,- -,- -,- -,233278,206049,37311405,- -
70,Total Liabilities & Equity,133243,93913,1609793,280539,7990784,2941184,3114170,776759,613289,477196,557321,785041,764843,1041004
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1437283/000121465909000755/0001214659-09-000755-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465910000913/0001214659-10-000913-index.html,- -,https://www.sec.gov/Archives/edgar/data/1437283/000121465912001325/0001214659-12-001325-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465913001458/0001214659-13-001458-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465914003084/0001214659-14-003084-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465915003445/0001214659-15-003445-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465916010883/0001214659-16-010883-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465917002272/0001214659-17-002272-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465918002542/0001214659-18-002542-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465919002415/0001214659-19-002415-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465920005121/0001214659-20-005121-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465921003694/0001214659-21-003694-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465922004581/0001214659-22-004581-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-983886,-2236476,-1489190,-2724796,-12039726,-15976372,-9654838,-7661172,-4820919,-4343542,-5950290,-3183687,-14572798,-11050773
74,Depreciation and Amortization,698,1116,1429,4623,25392,56641,100013,114075,43911,41336,29573,29318,29367,31337
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,1235353,- -,- -,341585,- -,75417,193750,- -,- -,- -
77,Change in Working Capital,- -,-103996,1483011,-1959903,6764516,-7396887,1781122,-8007974,-1917913,-6923390,-3431798,-3448842,-14663698,5446049
78,Accounts Receivable,- -,- -,- -,-2500,2447,-947,-6607,954,- -,- -,-1923,1923,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,63115,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,128359,24363,1507374,-452529,6311987,-1084900,696222,-7311752,-9229665,-16153055,-19584853,-23033695,-37697393,-32251344
82,Other Non-Cash Items,513069,1450707,-893825,2524121,-2418725,9854857,-7071553,9594295,4644794,8454581,7853542,5363554,27016959,520574
83,Cash Provided by Operating Activities,-470119,-888649,-898575,-2155955,-6433190,-13461761,-14845256,-5619191,-2050127,-2695598,-1305223,-1239657,-2190170,-5052813
84,CAPEX,-5582,- -,-7398,-82334,-399865,-447925,-356289,-41483,- -,-9389,-2069,- -,-3230,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-79635,-296539,-405612,-191948,-33790,- -,- -,-2069,- -,-3230,-82252
89,Cash Used for Investing Activites,-5582,- -,-7398,-82334,-399865,-447925,-356289,-41483,- -,-9389,-2069,- -,-3230,-82252
90,Debt Repayment,- -,- -,-247500,-150000,-175000,- -,-1000000,- -,-9000,-162750,-96975,-11000,-15000,- -
91,Common Stock Issued,504060,600000,1924997,500000,14196932,6070595,- -,- -,- -,- -,- -,- -,- -,2618500
92,Common Stock Repurchased,- -,-65000,- -,- -,-28000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-732955
94,Other Financing Activites,100000,270000,758214,500000,24000,2222371,15951216,3966400,2095200,2822250,1407768,1670000,2051500,3529475
95,Cash Used/Provided by Financing Activities,604060,805000,2435711,850000,14017932,8292966,14951216,3966400,2086200,2659500,1310793,1659000,2036500,5415020
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-1855,150260,58528,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,604060,-83649,1529738,-1388289,7184877,-5618575,-100069,-1635746,36073,-45487,3501,419343,-156900,279955
98,Cash at the End of Period,128359,44710,1574448,186159,7371036,1752461,1652392,16646,52719,7232,10733,430076,273176,553131
99,Cash at the Beginning of Period,- -,128359,44710,1574448,186159,7371036,1752461,1652392,16646,52719,7232,10733,430076,273176
100,Free Cash Flow,-475701,-888649,-905973,-2238289,-6833055,-13909686,-15201545,-5660674,-2050127,-2704987,-1307292,-1239657,-2193400,-5052813
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1437283/000121465909000755/0001214659-09-000755-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465910000913/0001214659-10-000913-index.html,- -,https://www.sec.gov/Archives/edgar/data/1437283/000121465912001325/0001214659-12-001325-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465913001458/0001214659-13-001458-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465914003084/0001214659-14-003084-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465915003445/0001214659-15-003445-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465916010883/0001214659-16-010883-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465917002272/0001214659-17-002272-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465918002542/0001214659-18-002542-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465919002415/0001214659-19-002415-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465920005121/0001214659-20-005121-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465921003694/0001214659-21-003694-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465922004581/0001214659-22-004581-index.htm
102,false,,,,,,,,,,,,,,
