,https://roic.ai/company/PTCT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.2890,-0.9116,-1.6463,-4.2872,-4.6228,-1.7114,-0.3995,-0.4839,-0.7816,-1.0582,-0.9624
22,Income Tax expense (Gain),-2305576,- -,- -,-4693000,485000,569000,1335000,-29000,11650000,35228000,5561000
23,Net Income,30904514,-26235102,-51573575,-93753000,-170447000,-142110000,-79000000,-128081000,-251576000,-438160000,-523901000
24,Net Income ratio,0.3123,-0.9116,-1.6463,-4.0828,-4.6360,-1.7183,-0.4064,-0.4838,-0.8195,-1.1507,-0.9727
25,EPS,0.00,9.40,-5.18,-2.97,-5.07,-4.17,-2.02,-2.75,-4.27,-6.64,-7.26
26,EPS Diluted,0.00,9.40,-5.18,-2.97,-5.07,-4.17,-2.02,-2.75,-4.27,-6.64,-7.26
27,Weighted Average Shares Outstanding,14188161,14188161,12829411,31565310,33626248,34044584,39183073,46576313,58863185,66027908,70585938
28,Weighted Average Shares Outstanding Diluted,23678190,14188161,12829411,31565310,33626248,34044584,39183073,46576313,58863185,66027908,70585938
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1070081/000104746914001914/0001047469-14-001914-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000104746915001457/0001047469-15-001457-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000104746916010589/0001047469-16-010589-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008117000062/0001070081-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008118000042/0001070081-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008119000018/0001070081-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008120000064/0001070081-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008121000009/0001070081-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008122000011/0001070081-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,28431410,2725702,15414403,49748000,58022000,58321000,111792000,169498000,288028000,208812000,189718000
32,Short-Term Investments,- -,- -,127053124,265493000,280903000,173345000,79454000,58088000,398535000,894838000,583658000
33,Cash and Short-Term Investments,28431410,2725702,142467527,315241000,338925000,231666000,191246000,227586000,686563000,1103650000,773376000
34,Net Receivables,1244128,1013813,957722,4445000,11094000,24929000,40394000,67907000,55538000,69929000,110455000
35,Inventory,- -,- -,- -,- -,- -,- -,10754000,16117000,19285000,18697000,15856000
36,Other Current Assets,3379199,855750,1599200,3885000,5930000,4691000,6669000,9247000,17898000,39469000,54681000
37,Total Current Assets,33054737,4595265,145024449,323571000,355949000,261286000,249063000,320857000,779284000,1231745000,954368000
38,PP&E,10795507,8280037,6729364,9159000,8974000,7429000,8376000,12694000,21549000,118241000,130006000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,82341000,82341000,82341000,82341000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,132993000,701031000,710500000,715328000,724841000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,132993000,783372000,792841000,797669000,807182000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,297916,197050,149008,489000,3118000,630000,1221000,2299000,30108000,60623000,46500000
45,Total Non-Current Assets,11093423,8477087,6878372,9648000,12092000,8059000,142590000,798365000,844498000,976533000,983688000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44148160,13072352,151902821,333219000,368041000,269345000,391653000,1119222000,1623782000,2208278000,1938056000
48,Accounts Payable,1878109,621591,1123895,4128000,11940000,6298000,15282000,6001000,10324000,18665000,23033000
49,Short-Term Debt,- -,- -,48622,- -,- -,- -,- -,11667000,20000000,8741000,159813000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,4315000,1287000
51,Deferred Revenue,22955901,16690747,877434,3354000,139000,- -,3937000,3716000,8242000,4151000,- -
52,Other Current Liabilities,18311320,10846551,11083488,24993000,33307000,43326000,62829000,145412000,197291000,245776000,326502000
53,Total Current Liabilities,43145330,28158889,13133439,32475000,45386000,49624000,82048000,166796000,235857000,277333000,509348000
54,Long-Term Debt,4549332,438810,- -,- -,94608000,98216000,144971000,141347000,293859000,411697000,375566000
55,Deferred Revenue,16448656,741667,- -,3354000,139000,1587000,7954000,9722000,3415000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,122032000,130862000,136735000,137110000
57,Other Non-Current Liabilities,218609531,2927506,2226970,-1077000,1907000,335000,243000,328598000,365459000,900531000,914594000
58,Total Non-Current Liabilities,239607519,4107983,2226970,2277000,96654000,100138000,153168000,601699000,793595000,1448963000,1427270000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,111293000,103945000
61,Total Liabilities,282752849,32266872,15360409,34752000,142040000,149762000,235216000,768495000,1029452000,1726296000,1936618000
62,Preferred Stock,- -,80445981,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,133,545,24344,33000,34000,34000,42000,51000,62000,70000,71000
64,Retained Earnings,-250611829,-277224718,-328798293,-422551000,-592998000,-735108000,-814108000,-938923000,-1190499000,-1628877000,-2097957000
65,Other Comprehensive Income/Loss,-17582271,-20286422,-22682827,-1000000,-1000000,-1000000,4000000,1000000,-11000000,-60957000,-24282000
66,Other Total Stockholders Equity,29589278,197870094,487999188,721985000,819965000,855657000,966503000,1288599000,1795767000,2171746000,- -
67,Total Stockholders Equity,-238604689,-19194520,136542412,298467000,226001000,119583000,156437000,350727000,594330000,481982000,1438000
68,Total Liabilities And Stockholders Equity,44148160,13072352,151902821,333219000,368041000,269345000,391653000,1119222000,1623782000,2208278000,1938056000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,44148160,13072352,151902821,333219000,368041000,269345000,391653000,1119222000,1623782000,2208278000,1938056000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1070081/000104746914001914/0001047469-14-001914-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000104746915001457/0001047469-15-001457-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000104746916010589/0001047469-16-010589-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008117000062/0001070081-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008118000042/0001070081-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008119000018/0001070081-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008120000064/0001070081-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008121000009/0001070081-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008122000011/0001070081-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,30904514,-26235102,-51573575,-93753000,-170447000,-142110000,-79000000,-128081000,-251576000,-438160000,-523901000
74,Depreciation and Amortization,2871200,2704151,2396405,2235000,2876000,3290000,17682000,26087000,32180000,84872000,64134000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-199000,199000,- -,8829000,5872000,377000
76,Stock Based Compensation,2816637,2288392,8427188,19310000,33979000,35009000,30559000,33252000,42134000,70325000,103513000
77,Change in Working Capital,-57313803,-13473031,155454634,159204990,19467000,-98901000,-44647000,-12954000,389366000,410985000,-23788000
78,Accounts Receivable,- -,- -,- -,-3487000,-6907000,-14842000,-12203000,-29589000,11525000,-10483000,-44991000
79,Inventory,- -,- -,- -,- -,- -,- -,-6454000,-5823000,-3456000,1841000,1800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-10090593,-23563624,131891010,291096000,310563000,211662000,167015000,154061000,543427000,954412000,-4010000
82,Other Non-Cash Items,-45335,-13212201,-161626776,-144270990,-10212000,99345000,65144000,54055000,-319572000,-327965000,128333000
83,Cash Provided by Operating Activities,-20766787,-47927791,-46922124,-57274000,-124337000,-103566000,-10063000,-27641000,-98639000,-194071000,-251332000
84,CAPEX,-165116,-188681,-845732,-4664000,-2720000,-1776000,-3101000,-15530000,-45439000,-55977000,-85331000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-49000000,- -,- -,- -
86,Purchases of Investments,-2019163,- -,-156044515,-247804000,-223762000,-85377000,-81368000,-68614000,-494068000,-1449665000,-543266000
87,Sales/Maturities of Investments,29887327,- -,29061784,107300000,205671000,191634000,174749000,90423000,156270000,944094000,847779000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-77163000,-8325000,-35682000,-38134000,-57118000
89,Cash Used for Investing Activites,27703048,-188681,-127828463,-145168000,-20811000,104481000,13117000,-42613000,-387237000,-561548000,219182000
90,Debt Repayment,-7185610,-6943988,-4995763,-49000,- -,- -,- -,- -,-11667000,-46162000,-2224000
91,Common Stock Issued,5889,- -,131649688,235979000,- -,- -,2468000,117916000,323756000,28092000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,29354752,60785363,1196000,154061000,968000,41750000,13655000,301120000,686785000,23101000
95,Cash Used/Provided by Financing Activities,-7179721,22410764,187439288,237126000,154061000,968000,44218000,131571000,613209000,668715000,20877000
96,Effect of Forex Changes on Cash,- -,- -,- -,-350000,-639000,-1584000,6199000,-3611000,-1303000,7688000,-7821000
97,Net Change In Cash,-243460,-25705708,12688701,34334000,8274000,299000,53471000,57706000,126030000,-79216000,-19094000
98,Cash at the End of Period,28431410,2725702,15414403,49748000,58022000,58321000,111792000,169498000,295528000,216312000,197218000
99,Cash at the Beginning of Period,28674870,28431410,2725702,15414000,49748000,58022000,58321000,111792000,169498000,295528000,216312000
100,Free Cash Flow,-20931903,-48116472,-47767856,-61938000,-127057000,-105342000,-13164000,-43171000,-144078000,-250048000,-336663000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1070081/000104746914001914/0001047469-14-001914-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000104746915001457/0001047469-15-001457-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000104746916010589/0001047469-16-010589-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008117000062/0001070081-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008118000042/0001070081-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008119000018/0001070081-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008120000064/0001070081-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008121000009/0001070081-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1070081/000107008122000011/0001070081-22-000011-index.htm
102,false,,,,,,,,,,,
