,https://roic.ai/company/PEYE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,320000,200000,-100000,-1400000,- -,700000,400000,-500000,-2100000,-1700000,-2410635,-4509625,-10144808,-2985399,-3701204,-3738023,-2307895,-2934926,-1622394,-542635,-404142,-991908,-1284729,-1232509,-1159726,-1213053,-1055434,-1002401,-348619,-612543,-1422983,-905583
18,Operating Income ratio,0.1107,0.0455,-0.0172,-0.2917,- -,0.0921,0.0494,-0.0676,-0.5122,-0.5667,-0.8010,-1.0616,-5.7177,-1.2443,-2.5265,-2.7693,-1.0102,-1.1846,-0.5590,-0.1538,-0.1306,-0.4418,-0.5969,-0.4891,-0.3176,-0.3101,-0.2695,-0.3178,-0.0863,-0.0900,-0.1434,-0.0848
19,Total Other Income Expenses (Gains),-90000,- -,-100000,100000,- -,100000,- -,200000,200000,- -,255657,768535,172278,58549,18040,50574,36334,46011,-48,-448588,-255828,-59793,2246613,-554259,- -,35172,21581,-3144,-1859,-1416,-1002,803660
20,Income Before Tax,230000,- -,-200000,- -,- -,800000,- -,-300000,- -,- -,-2154978,-3741090,-9972530,-2926850,-3683164,-3687449,-2271561,-2888915,-1622442,-991223,-659970,-1051701,961884,-1786768,-1159726,-1177881,-1033853,-1005545,-350478,-613959,-1423985,-101923
21,Income Before Tax Ratio,0.0796,- -,-0.0345,- -,- -,0.1053,- -,-0.0405,- -,- -,-0.7160,-0.8807,-5.6206,-1.2199,-2.5142,-2.7318,-0.9943,-1.1661,-0.5590,-0.2809,-0.2133,-0.4684,0.4469,-0.7091,-0.3176,-0.3011,-0.2640,-0.3188,-0.0868,-0.0902,-0.1435,-0.0095
22,Income Tax expense (Gain),40000,- -,-100000,- -,- -,200000,- -,100000,- -,- -,912,912,912,912,912,912,912,914,912,912,912,912,912,912,912,912,912,912,912,912,2165,912
23,Net Income,190000,200000,-100000,-1300000,- -,600000,400000,-400000,-2000000,-1700000,-2155890,-3742002,-9973442,-2927762,-3684076,-3688361,-2272473,-2889829,-1623354,-992135,-660882,-1052613,960972,-1787680,-1160638,-1178793,-1034765,-1006457,-351390,-614871,-1426150,-102835
24,Net Income ratio,0.0657,0.0455,-0.0172,-0.2708,- -,0.0789,0.0494,-0.0541,-0.4878,-0.5667,-0.7163,-0.8809,-5.6211,-1.2203,-2.5148,-2.7325,-0.9947,-1.1664,-0.5593,-0.2812,-0.2136,-0.4688,0.4465,-0.7095,-0.3179,-0.3013,-0.2642,-0.3190,-0.0870,-0.0904,-0.1437,-0.0096
25,EPS,19.00,27.00,-9.00,-30.00,4.50,15.00,10.50,-10.50,-47.99,-37.49,-38.99,-53.99,-142.47,-41.75,-52.50,-13.75,-6.50,-3.75,-1.50,-0.97,-0.65,-1.06,0.83,-0.51,-0.26,-0.19,-0.15,-0.12,-0.04,-0.05,-0.11,-0.01
26,EPS Diluted,19.00,27.00,-9.00,-30.00,4.50,15.00,10.50,-10.50,-47.99,-37.49,-38.99,-53.99,-142.47,-41.75,-52.50,-13.75,-6.50,-3.75,-1.50,-0.97,-0.65,-1.06,0.78,-0.51,-0.26,-0.19,-0.15,-0.12,-0.04,-0.05,-0.11,-0.01
27,Weighted Average Shares Outstanding,10000,28560,38160,43320,22200,20000,40785,39889,40670,44477,55873,69836,70040,70082,70082,269960,350745,784995,1018328,1018411,1018411,994777,1163775,3521387,4455134,6272264,7157978,8343235,9826151,11486079,12998915,13281351
28,Weighted Average Shares Outstanding Diluted,10000,28560,38160,43320,22200,20000,40785,40404,40670,44477,55873,69836,70040,70082,70082,269960,350745,784995,1018328,1018411,1018411,994777,1275938,3521387,4455134,6272264,7157978,8343235,9826151,11486079,12998915,13281351
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/867840/000110465908060754/0001104659-08-060754-index.html,https://www.sec.gov/Archives/edgar/data/867840/000104746909008583/0001047469-09-008583-index.html,https://www.sec.gov/Archives/edgar/data/867840/000104746910008196/0001047469-10-008196-index.html,https://www.sec.gov/Archives/edgar/data/867840/000110465911053819/0001104659-11-053819-index.html,https://www.sec.gov/Archives/edgar/data/867840/000101968712003778/0001019687-12-003778-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000101968713003747/0001019687-13-003747-index.html,https://www.sec.gov/Archives/edgar/data/867840/000101968714003730/0001019687-14-003730-index.html,https://www.sec.gov/Archives/edgar/data/867840/000101968715003701/0001019687-15-003701-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000168316816000211/0001683168-16-000211-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000168316817002502/0001683168-17-002502-index.html,https://www.sec.gov/Archives/edgar/data/867840/000168316818002873/0001683168-18-002873-index.html,https://www.sec.gov/Archives/edgar/data/867840/000168316819003062/0001683168-19-003062-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000168316820003264/0001683168-20-003264-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000168316821004557/0001683168-21-004557-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1100000,3800000,2400000,1700000,2500000,2600000,2300000,2100000,500000,15128750,10530298,5825601,3504414,343260,2171693,2030428,840179,885988,384593,416040,19556,145923,1034587,202380,241051,50059,118405,402738,2288426,1134697,861650
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1100000,3800000,2400000,1700000,2500000,2600000,2300000,2100000,500000,15128750,10530298,5825601,3504414,343260,2171693,2030428,840179,885988,384593,416040,19556,145923,1034587,202380,241051,50059,118405,402738,2288426,1134697,861650
34,Net Receivables,- -,900000,900000,800000,1300000,1400000,1100000,500000,500000,200000,638299,1003496,374499,191669,80195,177031,381097,801206,387224,511807,505200,148824,341900,278700,531049,588042,750380,468548,796923,2165107,1481437,1878755
35,Inventory,- -,800000,800000,1400000,1600000,1500000,1900000,1600000,900000,1000000,1109511,1524119,1009009,1257288,917998,599619,445802,904736,608431,709155,684321,666285,682900,896173,988878,1073256,1133451,1055447,1144068,1734604,2197244,1885395
36,Other Current Assets,- -,- -,100000,100000,- -,100000,200000,300000,200000,- -,70807,109760,955119,243763,252531,62422,45912,53039,36749,42617,33499,37664,33719,61567,91922,65182,88129,55985,70991,180336,133707,150635
37,Total Current Assets,- -,2800000,5600000,4700000,4600000,5500000,5800000,4700000,3700000,1700000,16947367,13167673,8164228,5197134,1593984,3010765,2903239,2599160,1918392,1648172,1639060,872329,1204442,2271027,1814229,1967531,2022019,1698385,2414720,6368473,4947085,4776435
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,621553,655499
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,687664,687664,687664
40,Intangible Assets,- -,- -,100000,100000,100000,100000,100000,200000,200000,200000,229514,229606,182389,196772,201056,201627,236115,274311,195391,198643,203539,188260,- -,- -,7672,18644,22874,30086,47275,54087,95229,141702
41,Intangible Assets,- -,- -,100000,100000,100000,100000,100000,200000,200000,200000,229514,229606,182389,196772,201056,201627,236115,274311,195391,198643,203539,188260,- -,- -,7672,18644,22874,30086,47275,741751,782893,829366
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,300000,300000,300000,500000,500000,1200000,1100000,1200000,1400000,2908313,5822732,533422,329714,302274,156213,89179,162126,167854,128373,86100,62226,41957,32048,14560,55707,78195,72254,49486,383006,- -,- -
45,Total Non-Current Assets,- -,300000,400000,400000,600000,600000,1300000,1300000,1400000,1600000,3137827,6052338,715811,526486,503330,357840,325294,436437,363245,327016,289639,250486,41957,32048,22232,74351,101069,102340,96761,1124757,1404446,1484865
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3100000,6000000,5100000,5200000,6100000,7100000,6000000,5100000,3300000,20085194,19220011,8880039,5723620,2097314,3368605,3228533,3035597,2281637,1975188,1928699,1122815,1246399,2303075,1836461,2041882,2123088,1800725,2511481,7493230,6351531,6261300
48,Accounts Payable,- -,- -,500000,500000,500000,500000,800000,300000,100000,200000,319096,584786,118901,141398,235050,160593,218658,343730,364409,428282,448894,709395,410316,289255,715192,912150,1151561,694958,703538,1174263,1066005,1205149
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,95928,51695,33544,3826,- -,- -,- -,- -,- -,464104,720833,780833,51250,- -,- -,- -,- -,- -,- -,- -,917879,99594
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36292,6387,38044,26200,118800,- -,180137,857842,450192,417059,450084
52,Other Current Liabilities,- -,1100000,200000,500000,300000,400000,500000,300000,600000,300000,341390,425575,594079,388793,358292,358417,369978,374657,504826,600492,923221,790927,259117,265587,354485,344044,352400,343686,371464,1986857,748437,756283
53,Total Current Liabilities,- -,1100000,700000,1000000,800000,900000,1300000,700000,800000,600000,756414,1062056,746524,534017,593342,519010,588636,718387,869235,1492878,2092948,2317447,727070,592886,1095877,1374994,1503961,1218781,1932844,3611312,3149380,2511110
54,Long-Term Debt,- -,200000,- -,- -,100000,100000,300000,200000,200000,200000,88175,68703,- -,- -,- -,- -,- -,- -,10304,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97057,152397
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,17705,1555,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31955,23564,14601,505027,333333,166666
58,Total Non-Current Liabilities,- -,200000,10000,- -,100000,100000,300000,200000,200000,200000,88175,68703,17705,1555,- -,- -,- -,- -,10304,- -,- -,- -,- -,- -,- -,- -,31955,23564,14601,505027,430390,319063
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1555,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39812,31955,23563,14599,205974,251991
61,Total Liabilities,- -,1300000,700000,1000000,900000,1000000,1600000,900000,1000000,800000,844589,1130759,764229,535572,593342,519010,588636,718387,879539,1492878,2092948,2317447,727070,592886,1095877,1374994,1535916,1242345,1947445,4116339,3579770,2830173
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,102852,105039,105039,17521,17521,70082,154582,254582,254582,10184,10184,9710,12513,44551,44551,63898,75396,88729,101972,120712,131918,132825
64,Retained Earnings,- -,300000,300000,-900000,-700000,-100000,300000,-200000,-2100000,-3800000,-5956442,-9698444,-19671886,-22599648,-26283724,-29972085,-32244558,-35134387,-36757741,-37749876,-38410758,-39463371,-38502399,-40290079,-41450717,-42629510,-43664275,-44670732,-45022122,-45636993,-47063143,-47165978
65,Other Comprehensive Income/Loss,- -,-800000,-900000,-1000000,-1100000,-1200000,-1500000,-1900000,-2300000,-2500000,-2901892,-3600380,-3492403,-3723350,-3920593,-4092202,-4127287,-4148239,-2935922,-2968503,-2991441,-3015315,-3035584,-3056554,-3075722,-3096993,-3122849,-3136835,-3164051,-3202605,-3314824,- -
66,Other Total Stockholders Equity,- -,2300000,5900000,6000000,6100000,6400000,6700000,7200000,8500000,8700000,27996087,31283037,31175060,31493525,31690768,36843800,38857160,41345254,40841179,41190505,41227766,41274344,42044799,45012271,45222472,46329493,47298900,48277218,48648237,52095777,53017810,50464280
67,Total Stockholders Equity,- -,1800000,5300000,4100000,4300000,5100000,5500000,5100000,4100000,2500000,19240605,18089252,8115810,5188048,1503972,2849595,2639897,2317210,1402098,482310,-164249,-1194632,519329,1710189,740584,666888,587172,558380,564036,3376891,2771761,3431127
68,Total Liabilities And Stockholders Equity,- -,3100000,6000000,5100000,5200000,6100000,7100000,6000000,5100000,3300000,20085194,19220011,8880039,5723620,2097314,3368605,3228533,3035597,2281637,1975188,1928699,1122815,1246399,2303075,1836461,2041882,2123088,1800725,2511481,7493230,6351531,6261300
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3100000,6000000,5100000,5200000,6100000,7100000,6000000,5100000,3300000,20085194,19220011,8880039,5723620,2097314,3368605,3228533,3035597,2281637,1975188,1928699,1122815,1246399,2303075,1836461,2041882,2123088,1800725,2511481,7493230,6351531,6261300
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/867840/000110465908060754/0001104659-08-060754-index.html,https://www.sec.gov/Archives/edgar/data/867840/000104746909008583/0001047469-09-008583-index.html,https://www.sec.gov/Archives/edgar/data/867840/000104746910008196/0001047469-10-008196-index.html,https://www.sec.gov/Archives/edgar/data/867840/000110465911053819/0001104659-11-053819-index.html,https://www.sec.gov/Archives/edgar/data/867840/000101968712003778/0001019687-12-003778-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000101968713003747/0001019687-13-003747-index.html,https://www.sec.gov/Archives/edgar/data/867840/000101968714003730/0001019687-14-003730-index.html,https://www.sec.gov/Archives/edgar/data/867840/000101968715003701/0001019687-15-003701-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000168316816000211/0001683168-16-000211-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000168316817002502/0001683168-17-002502-index.html,https://www.sec.gov/Archives/edgar/data/867840/000168316818002873/0001683168-18-002873-index.html,https://www.sec.gov/Archives/edgar/data/867840/000168316819003062/0001683168-19-003062-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000168316820003264/0001683168-20-003264-index.htm,https://www.sec.gov/Archives/edgar/data/867840/000168316821004557/0001683168-21-004557-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,190000,200000,-100000,-1300000,- -,600000,400000,-400000,-2000000,-1700000,-2155890,-3742002,-9973442,-2927762,-3684076,-3688361,-2272473,-2889829,-1623354,-992135,-660882,-1052613,960972,-1787680,-1160638,-1178793,-1034765,-1006457,-351390,-614871,-1426150,-102835
74,Depreciation and Amortization,80000,60000,100000,100000,100000,200000,300000,400000,400000,400000,481569,730500,593491,265102,240846,241966,130110,120404,161169,62195,79039,57605,23368,20970,20020,21271,25856,33660,27216,38554,112219,146799
75,Deferred Income Tax,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72347,14323,22704,78344,108422,141033,125675,241388,201612,52341,473326,502345,733930
77,Change in Working Capital,-50000,1700000,3200000,-1200000,100000,800000,-100000,-500000,-1100000,-1800000,15090953,-4085336,-4687913,-2754587,-3662475,1491113,-177152,-433830,-831616,-893863,-609182,-991230,1922490,1200769,-959789,-125815,-74479,-38454,2272,2275285,-959456,467620
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6607,356376,-193076,63200,-252349,-56993,-162338,281832,-555875,-723369,682173,-400251
79,Inventory,- -,- -,-100000,-500000,-200000,100000,-400000,300000,600000,- -,-130227,-414608,-24890,-248279,-160710,-83521,121817,-490034,237141,-146143,-55253,28399,-30648,-232610,-92705,-84378,-60195,78004,-88621,137510,-462640,311849
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63873,20612,260501,-129079,-44912,425937,210958,261461,-457603,48580,69365,-108258,139144
81,Other Working Capital,- -,1700000,4900000,3700000,3800000,4600000,4500000,4000000,2900000,1100000,16190953,12105617,7417704,4663117,1000642,2491755,2314603,1880773,1049157,155294,-453888,-1445118,477372,1678141,718352,592537,518058,479604,481876,2757161,1797705,2265325
82,Other Non-Cash Items,-100000,-2030000,-3500000,1200000,-700000,-700000,300000,800000,1700000,1900000,-15521631,3648670,9554587,2652151,4032096,-1172371,47338,-131663,1596933,1218802,1228985,1550009,-4570689,-835873,1073343,383869,-34298,142205,370218,-3203987,1178550,-1198964
83,Cash Provided by Operating Activities,120000,-70000,-300000,-1200000,-500000,800000,800000,300000,-1000000,-1100000,-2104999,-3448168,-4513277,-2765096,-3073609,-3127653,-2272177,-3334918,-696868,-532654,52283,-413525,-1585515,-1293392,-886031,-773793,-876298,-667434,100657,-1031693,-592492,46550
84,CAPEX,-30000,-210000,-100000,-100000,-200000,-100000,-600000,-400000,-300000,-400000,-1990527,-3617134,-90818,-27719,-33605,-32140,-31735,-139667,-58718,- -,-41662,-18452,-1724,-11061,-10204,-73390,-8602,-34931,-21637,-146850,-160292,-122397
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106545,-1443341,-166667
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14217,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-100000,-100000,-100000,-100000,- -,-36628,-27877,-56798,504405,-31536,-64336,99872,-91880,201395,17042,-17502,17515,2471673,4498,5504,16103,28477,-5697,-17189,-6812,-41142,-46473
89,Cash Used for Investing Activites,-30000,-210000,-100000,-100000,-200000,-200000,-700000,-500000,-200000,-400000,-2027155,-3645011,-147616,476686,-65141,-96476,68137,-231547,142677,31259,-20836,17515,2471673,-6563,3824,-46315,24105,-33416,-21637,-40305,-1603633,-289064
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-759791,-52500,- -,- -,-4160,-7857,-8392,-8964,-40241,-58804
91,Common Stock Issued,- -,- -,3600000,- -,- -,100000,- -,100000,1000000,100000,18923760,239085,- -,- -,- -,5256159,2112500,2500000,- -,- -,- -,- -,- -,2500015,50000,980291,700000,780000,210001,2925000,265000,- -
92,Common Stock Repurchased,-140000,1590000,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-16921,- -,- -,- -,- -,- -,- -,- -,- -,- -,-474,- -,-308896,- -,-121512,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40000,-240000,-500000,- -,- -,- -,-100000,- -,-100000,-100000,-143588,2272563,-43804,-32777,-22404,-203597,-49725,-123784,600000,- -,- -,- -,- -,50000,- -,- -,-34639,-2947,3704,41650,817637,28271
95,Cash Used/Provided by Financing Activities,-100000,1350000,3100000,- -,- -,100000,-100000,- -,900000,-100000,18780172,2494727,-43804,-32777,-22404,5052562,2062775,2376216,600000,- -,- -,-474,-759791,2188619,50000,858779,661201,769196,205313,2957686,1042396,-30533
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10000,1080000,3100000,-1300000,-700000,800000,100000,-300000,-300000,-1600000,14648018,-4598452,-4704697,-2321187,-3161154,1828433,-141265,-1190249,45809,-501395,31447,-396484,126367,888664,-832207,38671,-190992,68346,284333,1885688,-1153729,-273047
98,Cash at the End of Period,392740,1080000,- -,2500000,1700000,2500000,2600000,2300000,2000000,500000,15128750,10530298,5825601,3504414,343260,2171693,2030428,840179,885988,384593,416040,19556,145923,1034587,202380,241051,50059,118405,402738,2288426,1134697,861650
99,Cash at the Beginning of Period,402740,- -,1100000,3800000,2400000,1700000,2500000,2600000,2300000,2100000,480732,15128750,10530298,5825601,3504414,343260,2171693,2030428,840179,885988,384593,416040,19556,145923,1034587,202380,241051,50059,118405,402738,2288426,1134697
100,Free Cash Flow,90000,-280000,-400000,-1300000,-700000,700000,200000,-100000,-1300000,-1500000,-4095526,-7065302,-4604095,-2792815,-3107214,-3159793,-2303912,-3474585,-755586,-532654,10621,-431977,-1587239,-1304453,-896235,-847183,-884900,-702365,79020,-1178543,-752784,-75847
