,https://roic.ai/company/TIKK,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,17994,18222,34894,41907,70303,129887,210489,247677,287616,371696,593873,258609,192010,186691,179820,181919,168667,228069,202936,177291,164774,120160,70060,60954,306463,339913
15,EBITDA,113673,459306,553992,-202359,429261,1169004,1796178,1954463,881409,385413,11002,-1005820,-547524,580546,-2304121,152343,994776,-3449380,1317274,85757,2122024,-1935997,-4151399,676395,2791774,1174196
16,EBITDA ratio,0.0490,0.1451,0.1399,-0.0581,0.0837,0.1557,0.1846,0.1648,0.0823,0.0367,0.0010,-0.1312,-0.0487,0.0444,-0.2571,0.0113,0.0603,-0.4407,0.0832,0.0047,0.0855,-0.1033,-0.4141,0.0558,0.1770,0.1014
17,Operating Income,164835,499038,587945,-200117,423336,1134143,1666872,1717667,597840,24595,-591798,-1298151,-462776,323626,-2482841,163771,676008,-3753006,1363902,330386,2579920,-2371931,-4406640,654936,2552492,73404
18,Operating Income ratio,0.0711,0.1576,0.1485,-0.0574,0.0825,0.1510,0.1713,0.1448,0.0559,0.0023,-0.0529,-0.1693,-0.0412,0.0247,-0.2770,0.0121,0.0409,-0.4795,0.0862,0.0182,0.1040,-0.1265,-0.4396,0.0541,0.1618,0.0063
19,Total Other Income Expenses (Gains),514,-57954,-68847,-44149,-64378,-95026,-81183,-10881,-4047,-10878,8927,33722,-25581,-42184,-49629,-470183,-249273,-563145,-659529,-690198,-723799,256607,20829,-451898,-465282,499626
20,Income Before Tax,- -,441084,519098,-244266,358958,1039117,1585689,1706786,593793,13717,-582871,-1264429,-488357,281442,-2532470,-306412,426735,-4316151,704373,-359812,1856121,-2115324,-4385811,203038,2087210,573030
21,Income Before Tax Ratio,- -,0.1393,0.1311,-0.0701,0.0700,0.1384,0.1630,0.1439,0.0555,0.0013,-0.0521,-0.1649,-0.0435,0.0215,-0.2825,-0.0226,0.0258,-0.5514,0.0445,-0.0198,0.0748,-0.1128,-0.4375,0.0168,0.1323,0.0495
22,Income Tax expense (Gain),- -,-340200,-58719,-97585,-241595,-295888,557999,702796,230883,42625,-188335,-515401,-157752,151228,-1093587,-179360,355719,-1543580,442845,-79372,851968,2644115,-63500,- -,-2649280,-27027
23,Net Income,95679,781284,577817,-146681,600553,1335005,1027690,1003990,362910,-28908,-394536,-749028,-581782,196237,-1438883,-127052,71016,-2772571,261528,-280440,1004153,-4759439,-4322311,203038,4736490,600057
24,Net Income ratio,0.0413,0.2468,0.1459,-0.0421,0.1170,0.1778,0.1056,0.0846,0.0339,-0.0028,-0.0352,-0.0977,-0.0518,0.0150,-0.1605,-0.0094,0.0043,-0.3542,0.0165,-0.0154,0.0405,-0.2539,-0.4312,0.0168,0.3003,0.0518
25,EPS,0.04,0.41,0.28,-0.07,0.28,0.63,0.48,0.47,0.17,-0.01,-0.18,-0.33,-0.25,0.08,-0.56,-0.05,0.03,-0.98,0.08,-0.09,0.31,-1.46,-1.36,-0.16,1.36,0.09
26,EPS Diluted,0.04,0.41,0.28,-0.07,0.28,0.63,0.48,0.47,0.16,-0.01,-0.18,-0.33,-0.25,0.08,-0.56,-0.05,0.02,-0.98,0.08,-0.09,0.31,-1.49,-1.36,-0.16,0.95,0.09
27,Weighted Average Shares Outstanding,1603806,1894737,2044075,2101264,2110983,2115134,2127782,2135597,2142416,2157729,2204476,2303858,2375577,2448607,2550645,2626163,2657279,2834257,3204028,3253992,3256887,3255887,3255887,3255887,3255887,3255887
28,Weighted Average Shares Outstanding Diluted,1603806,1894737,2070503,2101264,2146402,2117686,2159986,2139681,2257575,2157729,2204476,2303858,2375577,2448607,2550645,2626163,2717820,2834257,3228894,3253992,3261153,3266842,3255887,3255887,4960665,5073165
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96885/000118518511000932/0001185185-11-000932-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518512001488/0001185185-12-001488-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518513001471/0001185185-13-001471-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518514001672/0001185185-14-001672-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518515001692/0001185185-15-001692-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518516004889/0001185185-16-004889-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518517001550/0001185185-17-001550-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518518001258/0001185185-18-001258-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518519000932/0001185185-19-000932-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518520000922/0001185185-20-000922-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518521000882/0001185185-21-000882-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,1680124,1509828,826959,1934541,655836,469906,601887,173048,123955,413195,310297,232118,185932,972633,287873,307812,585856,3126195,3485275
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1680124,1509828,826959,1934541,655836,469906,601887,173048,123955,413195,310297,232118,185932,972633,287873,307812,585856,3126195,3485275
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,1966815,1428600,1736193,1132066,1010990,2368688,2782168,2430254,4052242,3475017,557879,2095640,1625171,1454361,1556382,1095049,2196099,1411644,1933321
35,Inventory,- -,- -,- -,- -,- -,- -,- -,2262147,2202143,2926011,2102280,2460642,2075542,2206546,2242227,2970378,5023975,6241181,4025391,4032074,4679032,4208179,4269934,2932632,3092679,3437989
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,578035,683387,708506,858123,493809,628809,552140,1322323,1310466,1617207,1462594,1461451,1350826,706578,188578,2148612,2280101,2390972,2274117
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,6487121,5823958,6197669,6027010,4621277,5542945,6142741,6167852,8457041,10529394,8571951,7814600,7194003,7812604,6241012,7821407,7994688,10021490,11130702
38,PP&E,- -,- -,- -,- -,- -,- -,- -,726594,867886,844075,775065,625247,532240,437974,336131,330694,706870,587958,450873,270792,193518,161427,180763,236370,570490,2123574
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,413047,326851,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,413047,326851,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,900221,852413,1176223,1461664,948489,2546190,2273068,2377583,2065126,- -,63500,63500,2712780,2675040
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,97462,287610,302135,314507,81318,142069,72261,54131,408340,321656,213335,95812,41109,36871,33509,35109,35109,35109,35110
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,824056,1568543,1473061,1089572,1506565,1574530,1362648,1566485,2200698,1977015,3347483,2819753,2689484,2295515,194936,279372,334979,3318379,4833724
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,7311177,7392501,7670730,7116582,6127842,7117475,7505389,7734337,10657739,12506409,11919434,10634353,9883487,10108119,6435948,8100779,8329667,13339869,15964426
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,503216,346169,481146,288525,372106,928367,456343,1145572,1598679,2850432,4272431,2289858,2811781,1686469,1428320,2307813,1058304,739810,906149
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,236137,369268,117823,79000,50000,400000,450000,826923,298483,607057,1304151,772456,404597,428487,498259,1008999,806885,894842,201883
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53623,4105,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,51203,44663,169866,59202,115409,55014,21891,50279,28382,34767,18460,812927,18609,48766,123720,60051,97122,145168,150709
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1541678,1296708,1381718,1297914,962419,1478053,1930392,1825490,2156974,2515027,1968060,1486561,1359899,1605243,3976153,5780423,6185370,6465494,6712230
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2332234,2056808,2150553,1724641,1499934,2861434,2858626,3848264,4082518,6007283,7563102,5361802,4594886,3768965,6026452,9157286,8147681,8245314,7970971
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,71069,- -,150000,100000,50000,- -,- -,- -,1979114,1889884,1460604,867846,963165,350084,15884,6885,- -,91947,2443498
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43243,27957,15381,4637,1045,133650,133650,172703,352973,337676,264669,327132,332428
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,48000,43000,43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80875,23656,43818,- -,- -,616137,355290,198330,410409,551962,1144003,95000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,71069,48000,193000,223875,73656,43818,43243,27957,2610632,2249811,1659979,1411905,1648777,1666790,463857,344561,264669,419079,2775926
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,2403303,2104808,2343553,1948516,1573590,2905252,2901869,3876221,6693150,8257094,9223081,6773707,6243663,5435755,6490309,9501847,8412350,8664393,10746897
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,213583,214418,218786,227941,234186,242816,247876,261536,264621,268421,301171,325136,325686,325586,325586,325586,325586,325586,325586
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,749479,1112389,1083481,688945,-60083,-641865,-445628,-1884511,-2011563,-1940547,-4713118,-4451590,-4732030,-3727877,-8487316,-12809627,-12606589,-7870099,-7270042
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-1266072,-1535731,-1821231,-2088254,-2345146,-2402071,-2581219,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,4907874,5287693,5327177,5168066,4554252,4212223,4603520,3858116,3964589,4249315,2696353,3860646,3639824,4672364,-54361,-1401068,-82683,4675476,5217529
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,7311177,7392501,7670730,7116582,6127842,7117475,7505389,7734337,10657739,12506409,11919434,10634353,9883487,10108119,6435948,8100779,8329667,13339869,15964426
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,7311177,7392501,7670730,7116582,6127842,7117475,7505389,7734337,10657739,12506409,11919434,10634353,9883487,10108119,6435948,8100779,8329667,13339869,15964426
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96885/000118518511000932/0001185185-11-000932-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518512001488/0001185185-12-001488-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518513001471/0001185185-13-001471-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518514001672/0001185185-14-001672-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518515001692/0001185185-15-001692-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518516004889/0001185185-16-004889-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518517001550/0001185185-17-001550-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518518001258/0001185185-18-001258-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518519000932/0001185185-19-000932-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518520000922/0001185185-20-000922-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518521000882/0001185185-21-000882-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,95679,781284,577817,-146681,600553,1335005,1027690,1003990,362910,-28908,-394536,-749028,-581782,196237,-1438883,-127052,71016,-2772571,261528,-280440,1004153,-4759439,-4322311,203038,4736490,600057
74,Depreciation and Amortization,17994,18222,34894,41907,70303,129887,210489,247677,287616,371696,593873,258609,192010,186691,179820,181919,168667,228069,202936,177291,164774,120160,70060,60954,306463,339913
75,Deferred Income Tax,- -,-340200,-58719,-97585,-241595,-393500,462599,133551,-56000,-34748,-136522,-518713,-157752,102326,-1096967,-181828,352219,-1547491,423345,-79372,798345,2643633,-63500,- -,-2649280,-27027
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54064,90014,102505,89079,81517,84742,33008,32277,32714,30273,24016,21669,21996
77,Change in Working Capital,-108536,-42956,-307224,490631,-158367,- -,- -,4154887,-387737,279966,255253,-1181026,-439832,602604,-964527,2054935,147588,-3513262,1443949,146319,1444522,-3829079,-1550439,1182886,1929169,1383555
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-302595,577555,-1643227,892183,1153287,-1547761,472956,188105,-102021,461333,-1101050,784455,-521677
79,Inventory,135399,-13597,-30857,-324670,-787689,-893435,-142549,192033,106979,-753710,701046,-516732,-32206,-175355,-95762,-763151,-2075569,-1217206,2210790,-16959,-707671,430853,-151755,1264531,-210397,-370310
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-472024,689229,453107,1251753,1421999,-1982573,521923,-1125312,-258149,879493,-1249509,-318494,166338
81,Other Working Capital,17916,-25040,-332264,158367,- -,- -,- -,4154887,3767150,4047116,4302369,3121343,2681511,3284115,2319588,4374523,4522111,1008849,2452798,2599117,4043639,214560,-1335879,-152993,1776176,3159731
82,Other Non-Cash Items,15000,48207,-148397,-709848,-367669,-345528,-322212,-4664537,604983,-959468,895037,735466,541402,-1129283,1861073,-3425599,-348074,6227370,-1983861,404492,-1980679,6179748,2498180,-1953392,-1423481,-2574110
83,Cash Provided by Operating Activities,20137,464557,98371,-421576,-96775,725864,1378566,875568,811772,-371462,1213105,-1454692,-445954,12639,-1369470,-1395120,480495,-1296368,432639,401298,1463392,387737,-3337737,-482498,2921030,-255616
84,CAPEX,-19601,-21889,-68723,-67044,-125948,-396057,-238603,-152261,-238000,-261689,-198012,-108791,-228321,-121046,-77977,-150095,-300857,-109157,-65851,-11221,-61306,-88069,-89396,-121790,-133682,-67902
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-545921,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-31460,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-24494,-5000,-24083,-33142,-17692,-16665,-10883,-15803,- -,- -,- -,3600,500,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-19601,-21889,-68723,-98504,-150442,-401057,-262686,-185403,-801613,-278354,-208895,-124594,-228321,-121046,-77977,-146495,-300357,-109157,-65851,-11221,-61306,-88069,-89396,-121790,-133682,-67902
90,Debt Repayment,-16667,-50000,- -,-50290,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,-1538498,-328212,-324124,-601699,-1646586,-633385,-464428,-298259,-208999,-126836,-680050
91,Common Stock Issued,- -,113343,26997,5706,2401,5296,3256,3090,16909,68392,134695,79581,138345,- -,359470,50000,- -,1000002,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-12,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80000
94,Other Financing Activites,- -,- -,- -,50000,347035,-69501,-354383,-211322,-197364,-101445,-31323,221000,350000,490388,659138,2981020,437314,626749,156732,1210323,18000,-520000,3745331,1091331,-116500,1445154
95,Cash Used/Provided by Financing Activities,-16679,63343,26997,5416,349436,-64205,-351127,-208232,-180455,-33053,103372,300581,488345,240388,1018608,1492522,109102,1302627,-444967,-436263,-615385,-984428,3447072,882332,-243336,685104
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-16143,506011,56645,-514664,102219,260602,764753,481933,-170296,-682869,1107582,-1278705,-185930,131981,-428839,-49093,289240,-102898,-78179,-46186,786701,-684760,19939,278044,2544012,361586
98,Cash at the End of Period,22625,528636,585281,70617,172836,433438,1198191,1680124,1509828,826959,1934541,655836,469906,601887,173048,123955,413195,310297,232118,185932,972633,287873,307812,585856,5134739,5496325
99,Cash at the Beginning of Period,38768,22625,528636,585281,70617,172836,433438,1198191,1680124,1509828,826959,1934541,655836,469906,601887,173048,123955,413195,310297,232118,185932,972633,287873,307812,2590727,5134739
100,Free Cash Flow,536,442668,29648,-488620,-222723,329807,1139963,723307,573772,-633151,1015093,-1563483,-674275,-108407,-1447447,-1545215,179638,-1405525,366788,390077,1402086,299668,-3427133,-604288,2787348,-323518
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96885/000118518511000932/0001185185-11-000932-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518512001488/0001185185-12-001488-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518513001471/0001185185-13-001471-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518514001672/0001185185-14-001672-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518515001692/0001185185-15-001692-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518516004889/0001185185-16-004889-index.html,https://www.sec.gov/Archives/edgar/data/96885/000118518517001550/0001185185-17-001550-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518518001258/0001185185-18-001258-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518519000932/0001185185-19-000932-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518520000922/0001185185-20-000922-index.htm,https://www.sec.gov/Archives/edgar/data/96885/000118518521000882/0001185185-21-000882-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
