,https://roic.ai/company/OEG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-4.50,-6.00,-5.10,-11.70,-11.10,-6.60,-3.60,-3.90,-1.20,-0.30,-0.60,-1.20,-0.01,-0.25,-0.10,-0.14,-0.29,-0.35,-0.56,-0.61,-0.04,-0.92,-2.05
27,Weighted Average Shares Outstanding,103731,175166,238333,294936,402900,1204796,2337196,3852625,5030661,5396219,5617672,6285536,7249107,10175989,17751042,20658634,20792494,20897812,22397865,28517339,28654500,29937863,29937863
28,Weighted Average Shares Outstanding Diluted,103731,175166,238643,294936,402900,1204796,2337196,3852625,5030661,5396219,5617672,6285536,7249107,10175989,17751042,20658634,20792494,20897812,22397865,28517339,28654500,29937863,29937863
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108967/000114420413014110/0001144204-13-014110-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420414030054/0001144204-14-030054-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420416075862/0001144204-16-075862-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420416087892/0001144204-16-087892-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420417014358/0001144204-17-014358-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774918004564/0001437749-18-004564-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774919005177/0001437749-19-005177-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774920006578/0001437749-20-006578-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774921007559/0001437749-21-007559-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774922007887/0001437749-22-007887-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2063,- -,47239,16335,1323923,1561650,727141,570501,42639,599200,496135,612275,176775,3039840,16575508,11704361,7267000,4617000,12646000,3979000,23351000,3046000,26865000
32,Short-Term Investments,- -,- -,- -,- -,- -,401233,- -,- -,- -,- -,- -,- -,- -,- -,10868961,11159765,- -,- -,- -,- -,- -,1063,- -
33,Cash and Short-Term Investments,2063,- -,47239,16335,1323923,1962883,727141,570501,42639,599200,496135,612275,176775,3039840,27444469,22864126,7267000,4617000,12646000,3979000,23351000,3047063,26865000
34,Net Receivables,- -,16636,23395,3897,4584,1605,18226,11295,7000,3068352,4950597,4947176,3745432,4965926,9607573,11868582,16256000,12110000,13132000,16478000,7604000,16391000,48752000
35,Inventory,548862,3255,- -,- -,- -,- -,552648,2125735,88350,4077367,3661994,4976587,3563111,4843905,7027644,6840845,12075000,13202000,13892000,13042000,1631000,1123000,1335000
36,Other Current Assets,- -,9096,47227,- -,- -,38354,150682,141474,20160,186520,375085,354003,632310,378885,603960,1552411,2559000,2174000,1606000,1982000,9108000,4236937,24762000
37,Total Current Assets,550925,28987,117861,20232,1328507,2002842,1448697,2849005,158149,7931439,9483811,10890041,8117628,13228556,44683646,43125964,38157000,32103000,41276000,35481000,41694000,24798000,101714000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13449000,47885000
39,Goodwill,655007,- -,- -,- -,- -,- -,- -,- -,- -,32281148,22056092,12907157,12907157,13046358,18521427,21886958,21527000,20125000,17641000,13089000,- -,7006000,100899000
40,Intangible Assets,417,610301,665095,- -,- -,391667,800763,5092865,4976354,4720349,4552310,9954226,9106242,8618524,23512394,19347954,18746000,16201000,15568000,13861000,4298000,13697000,142656000
41,Intangible Assets,655424,610301,665095,- -,- -,391667,800763,5092865,4976354,37001497,26608402,22861383,22013399,21664882,42033821,41234912,40273000,36326000,33209000,26950000,4298000,20703000,243555000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,120499,181635,259784,198621,258244,283011,332429,385000,- -,- -,- -,4865000,1063000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3964,924148,1475810,1162146,594633,392968,379025,239412,170851,3086317,2532459,1863641,1648843,1571779,8231927,8360568,12033000,11414000,13424000,7736000,13301000,6032000,19185000
45,Total Non-Current Assets,659388,1534449,2140905,1162146,594633,784635,1179788,5332277,5147205,40208313,29322496,24984808,23860863,23494905,50548759,49927909,52691000,47740000,46633000,34686000,22464000,41247000,310625000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1210313,1563436,2258766,1182378,1923140,2787477,2628485,8181282,5305354,48139752,38806307,35874849,31978491,36723461,95232405,93053873,90848000,79843000,87909000,70167000,64158000,66045000,412339000
48,Accounts Payable,85235,81556,520377,449865,366866,128858,431567,480960,294327,1106114,2028201,2054534,2114029,2496881,4146262,3833749,5806000,6170000,5110000,6480000,2904000,9913000,10111000
49,Short-Term Debt,- -,- -,612697,1601597,537979,- -,4682770,947561,1594834,3971058,3997797,7348046,5563900,459448,76814,80746,85000,89000,94000,2323000,473000,12687000,77448000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,41609,208238,- -,- -,8260,13080,- -,- -,70030,70755,371541,8044577,5246485,5901000,6909000,9524000,2515000,1668000,6810000,- -
52,Other Current Liabilities,1725301,731672,809554,947381,904694,408165,453225,245267,231810,2688271,2889032,2093367,1329121,1329475,3074491,3193981,5263000,4570000,4186000,7268000,10950000,7666000,47435000
53,Total Current Liabilities,1810536,813228,1942628,3040452,2017777,537023,5567562,1682048,2134051,7765443,8915030,11565977,9077805,4657345,15342144,12354961,17055000,17738000,18914000,18586000,15995000,37076000,134994000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,396697,1100000,30906810,23923017,12356096,10303683,7303683,8907925,8827179,8743000,8654000,8560000,5304000,- -,5056000,16055000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131565,- -,- -,- -,2599000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5096063,4533000,4120000,2414000,1922000,- -,- -,260000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,245669,504777,- -,- -,- -,- -,- -,- -,- -,486181,673769,1001000,696000,535000,218000,5046000,6766000,164764000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,245669,504777,396697,1100000,30906810,23923017,12356096,10303683,7303683,9394106,14728576,14277000,13470000,11509000,10043000,5046000,11822000,181079000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142267,106794,70000,40000,13000,- -,5673000,6995000,- -
61,Total Liabilities,1810536,813228,1942628,3040452,2017777,782692,6072339,2078745,3234051,38672253,32838047,23922073,19381488,11961028,24736250,27083537,31332000,31208000,30423000,28629000,21041000,48898000,316073000
62,Preferred Stock,- -,- -,- -,12,2689,2772,1886,91,76,51,51,51,51,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,24100,28441,8610,10255,13590,63680,70427,147127,156781,166208,169838,214096,7135,10883,20567,20748,21000,21000,28000,29000,29000,31000,82000
64,Retained Earnings,-1073314,-2019927,-3266259,-6915826,-11408933,-19773674,-28457694,-42971052,-48717719,-50548086,-54746787,-73596738,-73645501,-76171822,-77930497,-82716744,-88704000,-95970000,-108559000,-123993000,-122234000,-149681000,-210934000
65,Other Comprehensive Income/Loss,- -,-95555,-248141,-422015,-543308,-317845,-399530,-119057,-65579,-1079757,-1614731,-2003133,-2061992,-2444870,2000000,-3879153,-1000000,-6000000,-4000000,-4000000,-4000000,-4406000,-3995000
66,Other Total Stockholders Equity,448991,2837249,3821928,5469500,11841325,22029852,25341057,49045428,50697744,60929083,62128280,87684844,88297310,103368242,146406085,152545485,149199000,150584000,170017000,169502000,169322000,171203000,311074000
67,Total Stockholders Equity,-600223,750208,316138,-1858074,-94637,2004785,-3443854,6102537,2071303,9467499,5936651,12299120,12597003,24762433,70496155,65970336,59516000,48635000,57486000,41538000,43117000,17147000,96227000
68,Total Liabilities And Stockholders Equity,1210313,1563436,2258766,1182378,1923140,2787477,2628485,8181282,5305354,48139752,38774698,36221193,31978491,36723461,95232405,93053873,90848000,79843000,87909000,70167000,64158000,66045000,412300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31609,-346344,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000
70,Total Liabilities & Equity,1210313,1563436,2258766,1182378,1923140,2787477,2628485,8181282,5305354,48139752,38806307,35874849,31978491,36723461,95232405,93053873,90848000,79843000,87909000,70167000,64158000,66045000,412339000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108967/000114420413014110/0001144204-13-014110-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420414030054/0001144204-14-030054-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420416075862/0001144204-16-075862-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420416087892/0001144204-16-087892-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420417014358/0001144204-17-014358-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774918004564/0001437749-18-004564-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774919005177/0001437749-19-005177-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774920006578/0001437749-20-006578-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774921007559/0001437749-21-007559-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774922007887/0001437749-22-007887-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-445985,-946613,-1184132,-3443760,-3438507,-7904229,-8482125,-14481333,-5746668,-1830367,-4198701,-7015896,-48763,-2526321,-1758675,-2801278,-5987000,-7266000,-12589000,-17325000,-1129000,-27447000,-61214000
74,Depreciation and Amortization,23072,140894,197793,173874,376081,2362798,639259,947631,299533,523706,685447,835567,770764,730293,3279074,4441813,3209000,2848000,2850000,3005000,2361000,5241000,5208000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-674177,-534000,-107000,-1767000,-352000,-2574000,-1006000,-10878000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1190081,541691,1686585,1267000,734000,425000,229000,215000,280000,12168000
77,Change in Working Capital,72391,475370,-1040526,-1195453,2330950,2155089,-5584684,5285822,-3142859,2141898,402785,-1244717,-284241,9531388,20770291,1429501,-9669003,-6737000,7997000,-5467000,8804000,-37977000,-21002000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,247602,-872801,-69268,82947,-1337048,1628135,-3277448,-3323000,4432000,-1150000,-3841000,1510000,3675000,-19173000
79,Inventory,-66946,-124,- -,- -,- -,- -,-552648,-2815909,-11153,-1334692,1459061,-1569593,96535,-1290794,-1733273,209657,-3365000,-1672000,-411000,-2235000,-119000,3766000,-350000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-549743,616772,26333,356347,382852,-7027,-257096,2126000,495000,-1163000,1436000,1708000,-3521000,-38000
81,Other Working Capital,-1259611,-784241,-1824767,-3020220,-689270,1465819,-4118865,1166957,-1975902,165996,568781,-675936,-960177,8571211,29341502,30771003,21102000,14365000,22362000,16895000,25699000,-12278000,-33280000
82,Other Non-Cash Items,301924,-560632,1478820,3822933,-522482,-481923,7809167,-1150741,5749957,-1148710,3494127,8053893,445086,-10729100,-21178890,-7216832,5455003,9755000,-6285000,7627000,-19195000,45877000,30042000
83,Cash Provided by Operating Activities,-48598,-890981,-548045,-642406,-1253958,-3868265,-5618383,-9398621,-2840037,-313473,383658,628847,882846,-1803659,1653491,-3134388,-6259000,-773000,-9369000,-12283000,-11518000,-15032000,-45676000
84,CAPEX,-2539,- -,-690263,-27320,- -,-118461,-476522,-979019,-129521,-217594,-474168,-465671,-467034,-765612,-2938118,-1161475,-5315000,-1674000,-1531000,-1534000,-674000,-1707000,-7779000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5816468,12563,- -,- -,- -,-17709507,- -,-4285000,- -,- -,- -,33328000,-6012000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-401233,- -,- -,- -,- -,- -,- -,- -,- -,-10868961,-12766667,- -,- -,- -,-400000,- -,-532000,-1025000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,396541,31291,- -,- -,317313,60376,63506,46808,- -,12400744,11145000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1500,-521650,6472,- -,48705,304825,-208310,-103681,576214,-80343,-381249,-3667,264000,-823000,-591000,6592000,381000,334000,-133223000
89,Cash Used for Investing Activites,-2539,- -,-690263,-27320,1500,-1041344,-73509,-947728,-80816,-5640565,-144292,-405295,216750,-718804,-31483135,-1527398,1987000,-1647000,-1484000,5150000,33388000,-7906000,-142027000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1834789,-1386191,-3601680,-802205,-8069452,-2012694,-76814,-113000,-126000,-32232000,-40451000,-36977000,-4244000,-3990000
91,Common Stock Issued,46389,460000,592125,- -,2540500,5707194,121750,215358,2115492,600760,9808,3450218,50000,13532285,45135280,- -,- -,- -,18905000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-15225,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-413000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-7534,-257347,-121250,-124,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,428918,693422,638822,27080,-302511,4872108,9974475,277500,7744628,1062145,66667,-613218,-35000,-527498,-107956,- -,-59000,32053000,39215000,34325000,8245000,215204000
95,Cash Used/Provided by Financing Activities,46389,888918,1285547,638822,2560046,5147336,4857383,10189709,2392992,6510599,-314238,-84795,-1365423,5427833,42595088,-184770,-113000,-185000,18726000,-1236000,-3065000,4001000,211214000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28193,-22617,68779,-42305,770224,-24591,-52000,-45000,156000,225000,44000,110000,6000
97,Net Change In Cash,-4748,888918,1285547,-30904,1307588,237727,-834509,-156640,-527861,556561,-103065,116140,-197048,2863065,13535668,-4871147,-4437000,-2650000,8029000,-8144000,18849000,-18827000,23517000
98,Cash at the End of Period,2063,- -,47239,16335,1323923,1561650,727141,570501,-485222,599200,496135,612275,176775,3039840,16575508,11704361,7267000,4617000,12646000,4502000,23351000,4524000,28041000
99,Cash at the Beginning of Period,6811,2063,- -,47239,16335,1323923,1561650,727141,42639,42639,599200,496135,373823,176775,3039840,16575508,11704000,7267000,4617000,12646000,4502000,23351000,4524000
100,Free Cash Flow,-51137,-890981,-1238308,-669726,-1253958,-3986726,-6094905,-10377640,-2969558,-531067,-90510,163176,415812,-2569271,-1284627,-4295863,-11574000,-2447000,-10900000,-13817000,-12192000,-16739000,-53455000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108967/000114420413014110/0001144204-13-014110-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420414030054/0001144204-14-030054-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420416075862/0001144204-16-075862-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420416087892/0001144204-16-087892-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000114420417014358/0001144204-17-014358-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774918004564/0001437749-18-004564-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774919005177/0001437749-19-005177-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774920006578/0001437749-20-006578-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774921007559/0001437749-21-007559-index.htm,https://www.sec.gov/Archives/edgar/data/1108967/000143774922007887/0001437749-22-007887-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
