,https://roic.ai/company/APEN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,101486,70603,37644,37272,36606,35542,79350,77350,77350,77350,77160,1471000,1327000,5302000,3849000,1379000,1545000
45,Total Non-Current Assets,440824,673485,902834,785275,1176385,1478557,1866169,2020749,2215580,2535407,2358560,58503000,51461000,26348000,23582000,18907000,16828000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5944901,2354235,8651988,9421952,7869974,23839022,17943210,27183533,15669733,20958170,11612445,102124000,109061000,74468000,74582000,77437000,131528000
48,Accounts Payable,347597,494696,989069,1123836,253252,488557,2215152,1027872,2025799,2865165,294010,5145000,18327000,15292000,9902000,3675000,4584000
49,Short-Term Debt,- -,- -,14107,15278,15116,- -,- -,- -,- -,- -,- -,- -,- -,- -,35381000,1311000,587000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256000,527000,625000,271000,- -,437000
51,Deferred Revenue,- -,- -,- -,3333333,659573,6665000,6081934,5419623,498000,125000,- -,88000,- -,- -,- -,- -,- -
52,Other Current Liabilities,247037,300763,618203,902797,965835,2268163,1774164,2182937,1008388,1265950,786444,15047000,7500000,9156000,7506000,6682000,9315000
53,Total Current Liabilities,594634,795459,1621379,5375244,1893776,9421720,10071250,8630432,3532187,4256115,1080454,20280000,25827000,24448000,52789000,11668000,14486000
54,Long-Term Debt,- -,- -,30395,- -,- -,- -,- -,- -,- -,- -,- -,39427000,33321000,21190000,18554000,56579000,52986000
55,Deferred Revenue,- -,- -,- -,- -,- -,7210000,3535000,415000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,247037000,300763000,664986,476908,4100000,4200000,3707936,3193381,2169373,885629,- -,- -,- -,- -,1116000,2439000,2819000
58,Total Non-Current Liabilities,247037000,300763000,695381,476908,4100000,11410000,7242936,3608381,2169373,885629,- -,39427000,33321000,21190000,19670000,59018000,55805000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,30394,15116,- -,- -,- -,- -,- -,- -,- -,- -,- -,932000,675000,587000
61,Total Liabilities,594634,795459,2316760,5852152,5993776,20831720,17314186,12238813,5701560,5141744,1080454,59707000,59148000,45638000,72459000,70686000,70291000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,23524,24616,45046,52657,53027,60338,60602,13099,13388,19225,33139,11000,17000,22000,21000,26000,40000
64,Retained Earnings,-7471314,-13076057,-28167817,-39627802,-32444792,-37046966,-40161093,-42913467,-49478158,-66033209,-76043515,-149729000,-177021000,-222808000,-250162000,-272773000,-297455000
65,Other Comprehensive Income/Loss,-130949,-170943,-273165,-354152,-504389,-633697,-481684,-439882,-496019,-548334,-638375,1471000,1795000,2501000,1630000,2929000,2136000
66,Other Total Stockholders Equity,12929006,14781160,34731164,43499097,34772352,40627627,41211199,58284970,59928962,82378744,87180742,190664000,225122000,249115000,250634000,276569000,- -
67,Total Stockholders Equity,5350267,1558776,6335228,3569800,1876198,3007302,629024,14944720,9968173,15816426,10531991,42417000,49913000,28830000,2123000,6751000,61237000
68,Total Liabilities And Stockholders Equity,5944901,2354235,8651988,9421952,7869974,23839022,17943210,27183533,15669733,20958170,11612445,102124000,109061000,74468000,74582000,77437000,131528000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5944901,2354235,8651988,9421952,7869974,23839022,17943210,27183533,15669733,20958170,11612445,102124000,109061000,74468000,74582000,77437000,131528000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1251769/000110465907028619/0001104659-07-028619-index.htm,https://www.sec.gov/Archives/edgar/data/1251769/000110465908018847/a08-4923_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1251769/000110465909019941/0001104659-09-019941-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000119312510070132/0001193125-10-070132-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000119312511075092/d10k.htm,https://www.sec.gov/Archives/edgar/data/1251769/000104746912002823/0001047469-12-002823-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000110465913021284/0001104659-13-021284-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000110465914020679/a14-1302_110k.htm,https://www.sec.gov/Archives/edgar/data/1251769/000110465915022093/a14-26926_110k.htm,https://www.sec.gov/Archives/edgar/data/1251769/000155837016004287/0001558370-16-004287-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176917000013/0001251769-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176918000012/0001251769-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176919000009/0001251769-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176920000015/0001251769-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176921000013/0001251769-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1251769/000125176922000006/0001251769-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-2796773,-5604743,-15091760,-11459985,3983010,-4602174,-3114127,-2752374,-6564691,-16555051,-10010306,-41167000,-27292000,-45787000,-27432000,-22611000,-24682000
74,Depreciation and Amortization,81176,49566,156435,215016,- -,165304,141993,187501,196224,216088,466988,9092000,9717000,9292000,4060000,3730000,3232000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,2136439,587576,1031798,701759,600110,837275,1236274,953019,381000,761000,1403000,1487000,2114000,6386000
77,Change in Working Capital,46823,-4024152,5242484,-2866342,1538380,8138932,-6932954,10526561,-6610386,4244682,-5993217,15167569,8432000,-8101000,-25461000,48651000,710000
78,Accounts Receivable,- -,- -,- -,-645719,314770,-15048826,14055694,1100789,-1076243,582859,720190,-426000,-916000,-162000,1852000,1079000,-2332000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3054000,-2850000,3004000,872000,-1559000,-1740000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-839606,- -,- -,- -,523000,- -,-1264000,- -,- -,- -
81,Other Working Capital,4909443,885291,6127775,3261433,4799813,12938745,6005791,16532352,9921966,14166648,8173431,23341000,31773000,23672000,-1789000,46862000,- -
82,Other Non-Cash Items,1357126,5119445,-1226000,5782831,-7163752,-8319664,17265412,-16874999,-1007569,-4328404,2714979,3625431,-4938000,20074000,21724000,-52696000,-100000
83,Cash Provided by Operating Activities,-1311648,-4459884,-10918841,-6192041,-1054786,-3585804,8062083,-8313201,-13149147,-15186411,-11868537,-12901000,-13320000,-23119000,-25622000,-20812000,-14454000
84,CAPEX,-40836,-293110,-276544,-119426,-569855,-468540,-489049,-344306,-391055,-535915,-291152,-2365000,-2137000,-2881000,-980000,-630000,-1456000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,10000000,2000000,2000000,3000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-106326,- -,- -,-119426,-460288,-466582,-354801,-189555,-346386,-430304,-270035,-1337000,-573000,-930000,-157000,-144000,-244000
89,Cash Used for Investing Activites,-147162,-293110,-276544,-119426,-569855,-468540,-489049,-344306,-391055,-535915,-291152,-2165000,-2137000,7119000,1038000,1370000,1561000
90,Debt Repayment,- -,- -,- -,-14108,-15278,-15116,- -,- -,- -,- -,- -,-11220000,-7000000,-12500000,-21668000,- -,-38150000
91,Common Stock Issued,6277900,923935,17377471,6348821,- -,4677980,- -,19078813,802595,21237442,3720485,29000000,33584000,21857000,- -,23262000,69782000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,335000,- -,-22229,231276,35812,23500,34090,-210853,-31837,-84430,46495,-5163000,119000,338000,52174000,2351000,35950000
95,Cash Used/Provided by Financing Activities,6612900,923935,17355242,6565989,20534,4686364,34090,18867960,770758,21153012,3766980,12617000,26703000,9695000,30506000,25613000,67582000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96000,131000,-106000,-8000,108000,-77000
97,Net Change In Cash,5154090,-3829059,6159857,254522,-1604107,632020,7607124,10210453,-12769444,5430686,-8392709,-2545000,11377000,-6411000,5914000,6279000,54612000
98,Cash at the End of Period,5190273,1361214,7521071,7775593,6171486,6803506,14410630,24621083,11851639,17282325,8889616,20041000,31418000,25007000,30921000,37200000,91812000
99,Cash at the Beginning of Period,36183,5190273,1361214,7521071,7775593,6171486,6803506,14410630,24621083,11851639,17282325,22586000,20041000,31418000,25007000,30921000,37200000
100,Free Cash Flow,-1352484,-4752994,-11195385,-6311467,-1624641,-4054344,7573034,-8657507,-13540202,-15722326,-12159689,-15266000,-15457000,-26000000,-26602000,-21442000,-15910000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1251769/000110465907028619/0001104659-07-028619-index.htm,https://www.sec.gov/Archives/edgar/data/1251769/000110465908018847/a08-4923_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1251769/000110465909019941/0001104659-09-019941-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000119312510070132/0001193125-10-070132-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000119312511075092/d10k.htm,https://www.sec.gov/Archives/edgar/data/1251769/000104746912002823/0001047469-12-002823-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000110465913021284/0001104659-13-021284-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000110465914020679/a14-1302_110k.htm,https://www.sec.gov/Archives/edgar/data/1251769/000110465915022093/a14-26926_110k.htm,https://www.sec.gov/Archives/edgar/data/1251769/000155837016004287/0001558370-16-004287-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176917000013/0001251769-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176918000012/0001251769-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176919000009/0001251769-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176920000015/0001251769-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176921000013/0001251769-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1251769/000125176922000006/0001251769-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,
