,https://roic.ai/company/UIHC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,37878038,31983000,27408000,213621000,63153639,73146205,91374888,109843391,161435786,281618688,1130115000,1273776000,347321000,368582000,2698573000
48,Accounts Payable,174344,16694000,28162000,14982000,16571000,26063000,39483000,45254000,64542000,99891000,195711000,246320000,244723000,332809000,324883000
49,Short-Term Debt,- -,4621000,5504000,1176000,- -,15882000,14706000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,1366000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,163325656,126485000,124634000,133942000,151529000,167755000,264711000,321623000,423915000,604293000,1165721000,1394760000,1560425000,-83595000,- -
53,Total Current Liabilities,163500000,147800000,158300000,150100000,168100000,209700000,318900000,366877000,488457000,704184000,1361432000,1641080000,1805148000,249214000,- -
54,Long-Term Debt,- -,36682000,35924000,17059000,17059000,15882000,14706000,13529000,12353000,54175000,161364000,160118000,158932000,158041000,158495000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,32800000,4618000,5476000,1141000,41000,18000,-6000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,32800000,41300000,41400000,18200000,17100000,15900000,14700000,13529000,12353000,54175000,161364000,160118000,158932000,158041000,158495000
59,Other Liabilities,- -,83694000,- -,36428000,34226000,31828000,29443000,- -,- -,- -,- -,- -,- -,2339907000,2525111000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324000,2311000,1934000
61,Total Liabilities,12921237,190194000,199687000,168328000,185226000,225628000,333643000,380406000,500810000,758359000,1522796000,1781059000,1943353000,2431080000,2366616000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,602,1000,1000,1000,1000,2000,2000,2000,2000,2000,4000,4000,4000,4000,4000
64,Retained Earnings,82457,44416000,46887000,45433000,53003000,61726000,80124000,117801000,140857000,141581000,141186000,140546000,100394000,-6373000,-74904000
65,Other Comprehensive Income/Loss,1000000,-1490000,1108000,-216000,2341000,2613000,92000,4011000,1620000,822000,9221000,-9030000,11319000,9693000,-6531000
66,Other Total Stockholders Equity,23873742,- -,75000,75000,-356000,23645000,27369000,81949000,96732000,98922000,386714000,388710000,391421000,392691000,393837000
67,Total Stockholders Equity,24956801,42927000,48071000,45293000,54989000,87986000,107587000,203763000,239211000,241327000,537125000,520230000,503138000,396015000,312406000
68,Total Liabilities And Stockholders Equity,37878038,233121000,247758000,213621000,240215000,313614000,441230000,584169000,740021000,999686000,2059921000,2301289000,2446491000,2827095000,2679022000
69,Minority Interest,- -,-201138000,-220350000,- -,-177061361,-240467795,-349855112,-474325609,-578585214,-718067312,-929806000,-1027513000,-2099170000,-2458513000,19551000
70,Total Liabilities & Equity,37878038,31983000,27408000,213621000,63153639,73146205,91374888,109843391,161435786,281618688,1130115000,1273776000,347321000,368582000,2698573000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1401521/000119312509067836/0001193125-09-067836-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000119312510067216/0001193125-10-067216-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152111000003/0001401521-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152112000005/0001401521-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152113000012/0001401521-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152114000008/0001401521-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152115000007/0001401521-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152116000138/0001401521-16-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152117000053/0001401521-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152118000044/0001401521-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152119000077/0001401521-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152120000018/0001401521-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152121000013/0001401521-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152122000010/0001401521-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,82457,33419000,4057000,-925000,8088000,9705000,20342000,41013000,27358000,5698000,10145000,290000,-29872000,-96454000,-57919000
74,Depreciation and Amortization,- -,781000,1188000,1106000,1218000,1260000,697000,801000,3328000,11713000,37532000,18482000,11997000,11046000,- -
75,Deferred Income Tax,-32210,3336000,1255000,352000,-600000,-661000,1150000,-1181000,2305000,2210000,-8584000,-2470000,-4280000,-9894000,- -
76,Stock Based Compensation,- -,- -,75000,- -,- -,55000,133000,649000,1974000,1947000,2613000,2414000,3007000,1382000,- -
77,Change in Working Capital,120269,47317726,-15103000,-18814356,-18030005,-41570434,-109236317,-47950497,-121556605,-215661098,-381123688,-443244000,-61278000,1579885000,1725331000
78,Accounts Receivable,- -,-692000,2589000,-323000,-3403000,-3800000,-9135000,-5008000,-9470000,-13050000,-356963000,-251123000,84557000,-271386000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,1589000,9492000,13420000,5771000,18290000,36391000,42725000,50609000,-1597000,88086000,- -
81,Other Working Capital,-163428726,-116111000,-131214000,-150028356,-168058361,-209628795,-318865112,-366815609,-488372214,-704033312,-1085157000,-1528401000,-1589679000,-9794000,1715537000
82,Other Non-Cash Items,- -,-45987726,14975000,10338356,47973005,65523434,194680317,75586497,184910605,259840098,353726688,434646000,229441000,-1496436000,-1667412000
83,Cash Provided by Operating Activities,170516,38866000,6447000,-7943000,38649000,34312000,107766000,68918000,98319000,65747000,14309000,10118000,149015000,-10471000,- -
84,CAPEX,- -,-256000,-314000,-384000,-35000,- -,-1850000,-6346000,-10916000,-3149000,-5237000,-4068000,-21896000,-10848000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,14467000,-32896000,95284000,- -,- -,- -,- -
86,Purchases of Investments,- -,-72386000,-85124000,-80343000,-102464000,-78534000,-244514000,-305013000,-270141000,-201234000,-205720000,-372174000,-276585000,-797450000,- -
87,Sales/Maturities of Investments,- -,56160000,81931000,160648000,36594000,52640000,102210000,219893000,199575000,187522000,128329000,250600000,264502000,844864000,- -
88,Other Investing Activites,-37720479,-1285000,-206000,-311000,-2265000,- -,-1562000,- -,- -,- -,-20000000,- -,-21896000,- -,- -
89,Cash Used for Investing Activites,-37720479,-17767000,-3507000,79921000,-68155000,-25894000,-144154000,-91466000,-67015000,-49757000,-7344000,-125642000,-33979000,36566000,- -
90,Debt Repayment,- -,-19506000,-3762000,-26891000,-1176000,-1177000,-1176000,-1177000,-3422000,-1379000,-40075000,-1523000,-1523000,-1229000,- -
91,Common Stock Issued,39144100,- -,- -,- -,- -,23947000,3591000,54041000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-431000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-18225000,-1586000,-529000,-518000,-982000,-1944000,-3336000,-4302000,-4974000,-8991000,-10268000,-10280000,-10313000,- -
94,Other Financing Activites,-1522863,-8531000,- -,- -,1626000,-640000,-400000,-477000,-185000,56265000,167688000,35160000,-296000,-112000,- -
95,Cash Used/Provided by Financing Activities,37621237,-46262000,-5348000,-27420000,-499000,21148000,71000,49051000,-7909000,49912000,118622000,23369000,-12099000,-11654000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-25163000,-2408000,44558000,-30005000,29566000,-36317000,26503000,23395000,65902000,125587000,-92155000,102937000,14441000,- -
98,Cash at the End of Period,71274,31689000,27086000,71644000,41639000,71205000,34888000,61391000,84786000,150688000,276275000,184120000,287057000,301498000,- -
99,Cash at the Beginning of Period,- -,56852000,29494000,27086000,71644000,41639000,71205000,34888000,61391000,84786000,150688000,276275000,184120000,287057000,301498000
100,Free Cash Flow,170516,38610000,6133000,-8327000,38614000,34312000,105916000,62572000,87403000,62598000,9072000,6050000,127119000,-21319000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1401521/000119312509067836/0001193125-09-067836-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000119312510067216/0001193125-10-067216-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152111000003/0001401521-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152112000005/0001401521-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152113000012/0001401521-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152114000008/0001401521-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152115000007/0001401521-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152116000138/0001401521-16-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152117000053/0001401521-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152118000044/0001401521-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152119000077/0001401521-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152120000018/0001401521-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152121000013/0001401521-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152122000010/0001401521-22-000010-index.htm
102,false,,,,,,,,,,,,,,,
