,https://roic.ai/company/SGH,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,4229000,2465000,1869000,5659000,10327000,5613000,69173000
58,Total Non-Current Liabilities,243039000,230729000,157758000,189849000,192777000,222015000,442076000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,26133000,32419000
61,Total Liabilities,556068000,459892000,397632000,485634000,430677000,504504000,1025874000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,415000,416000,653000,678000,712000,737000,773000
64,Retained Earnings,20546000,586000,-7209000,112254000,164620000,163477000,184787000
65,Other Comprehensive Income/Loss,-48132000,-68254000,-143000000,-176000000,-178000000,-228241000,-221615000
66,Other Total Stockholders Equity,35810000,66015000,231952000,250196000,286128000,346131000,346306000
67,Total Stockholders Equity,8639000,-1237000,82396000,187128000,273460000,282104000,310251000
68,Total Liabilities And Stockholders Equity,564707000,458655000,480028000,672762000,704137000,786608000,1336125000
69,Minority Interest,- -,- -,- -,- -,- -,- -,8673000
70,Total Liabilities & Equity,564707000,458655000,480028000,672762000,704137000,786608000,1344798000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1616533/000156459017019480/0001564590-17-019480-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459018025456/0001564590-18-025456-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459019041109/0001564590-19-041109-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459020047291/0001564590-20-047291-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459021051710/0001564590-21-051710-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-46451000,-19960000,-7795000,119463000,51332000,-1143000,21310000
74,Depreciation and Amortization,50145000,31480000,33238000,26182000,29206000,41490000,56648000
75,Deferred Income Tax,-2464000,-1417000,-2389000,-2820000,-719000,-2115000,- -
76,Stock Based Compensation,6132000,3872000,5364000,10558000,18199000,18716000,33877000
77,Change in Working Capital,23063000,-7979000,17020000,119149000,8096000,39861000,-1708000
78,Accounts Receivable,8597000,44922000,-40426000,-55297000,35240000,-12348000,-51440000
79,Inventory,-19989000,31326000,-21851000,-42435000,102083000,-51840000,-137889000
80,Accounts Payable,53236000,-86588000,-10608000,17548000,-64569000,70088000,- -
81,Other Working Capital,98074000,90095000,107115000,226264000,234360000,274221000,-3007000
82,Other Non-Cash Items,10337000,9054000,-46371000,-204625000,63543000,-9604000,43223000
83,Cash Provided by Operating Activities,40762000,15050000,-933000,67907000,169657000,87205000,153350000
84,CAPEX,-31663000,-13844000,-18678000,-25738000,-33433000,-32445000,-47580000
85,Acquisitions Net,- -,- -,- -,-42316000,-76088000,- -,-35677000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-8716000,-13369000,-18027000,-25433000,-33352000,-32041000,-48501000
89,Cash Used for Investing Activites,-8716000,-13369000,-18027000,-67749000,-109440000,-32041000,-84178000
90,Debt Repayment,-370258000,-295894000,-538575000,-485953000,-261253000,-111532000,-147500000
91,Common Stock Issued,- -,- -,63507000,- -,- -,- -,14923000
92,Common Stock Repurchased,- -,-124000,- -,- -,- -,- -,-48513000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,337613000,285104000,458093000,493897000,261353000,124126000,183939000
95,Cash Used/Provided by Financing Activities,-32645000,-10914000,-16975000,7944000,100000,12594000,2849000
96,Effect of Forex Changes on Cash,-9399000,-227000,-263000,837000,588000,-15086000,154000
97,Net Change In Cash,-9998000,-9460000,-36198000,8939000,60905000,52672000,72175000
98,Cash at the End of Period,68094000,58634000,22436000,31375000,98139000,150811000,222986000
99,Cash at the Beginning of Period,78092000,68094000,58634000,22436000,37234000,98139000,150811000
100,Free Cash Flow,9099000,1206000,-19611000,42169000,136224000,54760000,105770000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1616533/000156459017019480/0001564590-17-019480-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459018025456/0001564590-18-025456-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459019041109/0001564590-19-041109-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459020047291/0001564590-20-047291-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459021051710/0001564590-21-051710-index.htm
102,false,,,,,,,
