,https://roic.ai/company/KRNT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0591,0.0230,0.0456,0.0547,0.0076,-0.0177,0.0873,0.0565,-0.0247,0.0482
25,EPS,0.11,0.05,0.14,0.19,0.03,-0.06,0.36,0.27,-0.11,0.33
26,EPS Diluted,0.10,0.05,0.13,0.18,0.03,-0.06,0.35,0.26,-0.11,0.32
27,Weighted Average Shares Outstanding,21598329,21598329,21598329,24633369,30562255,33574147,34521352,38079394,42286275,47079358
28,Weighted Average Shares Outstanding Diluted,23075094,23075094,23075094,26458584,31732532,33574147,35363704,39500305,42286275,48600095
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1625791/000121390016011696/0001213900-16-011696-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390017003011/0001213900-17-003011-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390018003203/0001213900-18-003203-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390019004880/0001213900-19-004880-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390020007110/0001213900-20-007110-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5329000,5000000,18464000,22789000,18629000,74132000,40743000,125777000,611551000
32,Short-Term Investments,- -,2635000,- -,26527000,16500000,10037000,8981000,127567000,238522000,37284000
33,Cash and Short-Term Investments,- -,7964000,5000000,44991000,39289000,28666000,83113000,168310000,364299000,648835000
34,Net Receivables,- -,6835000,11200000,25912000,35373000,25906000,27613000,47495000,60744000,64660000
35,Inventory,- -,11967000,12000000,15803000,24122000,34855000,30030000,37477000,52487000,63017000
36,Other Current Assets,- -,517000,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,27283000,28200000,86706000,98784000,89427000,140756000,253282000,477530000,776512000
38,PP&E,- -,2653000,3700000,4778000,9247000,11230000,14994000,40295000,50308000,70201000
39,Goodwill,- -,- -,- -,- -,5092000,5092000,5092000,5564000,16466000,25447000
40,Intangible Assets,- -,371000,200000,1023000,3385000,2076000,1011000,2494000,7221000,10063000
41,Intangible Assets,- -,371000,200000,1023000,8477000,7168000,6103000,8058000,23687000,35510000
42,Investments,- -,- -,- -,29152000,21724000,68835000,44603000,95393000,71636000,149269000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,5096000,9551000
44,Other Non-Current Assets,- -,1320000,2500000,1693000,1814000,1714000,8367000,8438000,732000,1213000
45,Total Non-Current Assets,- -,4344000,6400000,36646000,41262000,88947000,74067000,152184000,151459000,265744000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,31627000,34600000,123352000,140046000,178374000,214823000,405466000,628989000,1042256000
48,Accounts Payable,- -,7225000,5900000,13230000,16433000,12439000,16614000,23449000,32016000,47617000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,3902000,3957000,5058000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,2059000,- -,1008000,1679000,1697000,3633000,2688000,27019000,5401000
52,Other Current Liabilities,- -,5118000,7400000,7013000,12021000,11384000,12925000,15538000,26635000,39981000
53,Total Current Liabilities,- -,14402000,13300000,21251000,30133000,25520000,33172000,45577000,89627000,98057000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,21900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,66000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1551000,1900000,1839000,2725000,2155000,2515000,21586000,20345000,2746000
58,Total Non-Current Liabilities,- -,1617000,1900000,1839000,2725000,2155000,2515000,21586000,20345000,24646000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,23133000,22645000,26958000
61,Total Liabilities,- -,16019000,15200000,23090000,32858000,27675000,35687000,67163000,109972000,122703000
62,Preferred Stock,- -,32000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,22000,- -,76000,78000,86000,89000,105000,- -,- -
64,Retained Earnings,- -,3650000,6700000,11398000,12226000,10142000,22571000,32738000,- -,- -
65,Other Comprehensive Income/Loss,- -,37000,-146000,-283000,-82000,301000,-238000,843000,2733000,- -
66,Other Total Stockholders Equity,- -,11867000,12851000,89071000,94966000,140170000,156714000,304617000,519017000,- -
67,Total Stockholders Equity,- -,15608000,19351000,100262000,107188000,150699000,179136000,338303000,519017000,919553000
68,Total Liabilities And Stockholders Equity,- -,31627000,34551000,123352000,140046000,178374000,214823000,405466000,628989000,1042256000
69,Minority Interest,- -,- -,49000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,31627000,34600000,123352000,140046000,178374000,214823000,405466000,628989000,1042256000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1625791/000121390016011696/0001213900-16-011696-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390017003011/0001213900-17-003011-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390018003203/0001213900-18-003203-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390019004880/0001213900-19-004880-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390020007110/0001213900-20-007110-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,2314000,1134000,3023000,4725000,828000,-2015000,12429000,10167000,-4783000,15527000
74,Depreciation and Amortization,786000,1168000,1352000,1782000,2973000,4814000,4965000,4441000,4711000,6967000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,77000,126000,897000,2383000,2994000,4411000,5546000,6614000,10036000,15133000
77,Change in Working Capital,-4209000,459000,-5938000,-11575000,-8819000,-3939000,4595000,-15164000,17411000,-11833000
78,Accounts Receivable,-1082000,-1229000,-4409000,-13117000,-9258000,9081000,1069000,-18617000,-9529000,1782000
79,Inventory,-4375000,-3437000,-555000,-4610000,-6061000,-10629000,4037000,-4183000,-15827000,-13128000
80,Accounts Payable,-46000,2806000,-1578000,7036000,2819000,-3635000,4394000,6032000,6864000,14034000
81,Other Working Capital,-1146000,1128000,-262000,-877000,494000,-156000,-4684000,-926000,26463000,-25737000
82,Other Non-Cash Items,-10000,-149000,329000,475000,2980000,2719000,5833000,4946000,5035000,26670000
83,Cash Provided by Operating Activities,-1042000,2738000,-337000,-2210000,956000,5990000,33368000,11004000,32410000,52464000
84,CAPEX,-1076000,-1575000,-1911000,-1861000,-5462000,-5660000,-7294000,-6753000,-13610000,-15431000
85,Acquisitions Net,- -,- -,- -,-1000000,-9206000,- -,- -,-4715000,-15535000,-14991000
86,Purchases of Investments,- -,-575000,- -,-57518000,-11455000,-87683000,-23223000,-205529000,-165727000,-110809000
87,Sales/Maturities of Investments,- -,- -,- -,1500000,28586000,46593000,47199000,37497000,80238000,230162000
88,Other Investing Activites,-2045000,-280000,2649000,8000,- -,6000,- -,-1334000,-117000,-130000
89,Cash Used for Investing Activites,-3121000,-2103000,738000,-58871000,2463000,-46744000,16682000,-179497000,-114630000,88931000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,35077000,- -,129710000,161981000,341799000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-655000,74601000,939000,1360000,5525000,5421000,5064000,2580000
95,Cash Used/Provided by Financing Activities,- -,- -,-655000,74601000,939000,36437000,5525000,135131000,167045000,344379000
96,Effect of Forex Changes on Cash,- -,31000,-82000,-49000,-33000,157000,-72000,-27000,209000,- -
97,Net Change In Cash,-4163000,666000,-336000,13471000,4325000,-4160000,55503000,-33389000,85034000,485774000
98,Cash at the End of Period,4663000,5329000,4993000,18464000,22789000,18629000,74132000,40743000,125777000,611551000
99,Cash at the Beginning of Period,8826000,4663000,5329000,4993000,18464000,22789000,18629000,74132000,40743000,125777000
100,Free Cash Flow,-2118000,1163000,-2248000,-4071000,-4506000,330000,26074000,4251000,18800000,37033000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1625791/000121390016011696/0001213900-16-011696-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390017003011/0001213900-17-003011-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390018003203/0001213900-18-003203-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390019004880/0001213900-19-004880-index.html,https://www.sec.gov/Archives/edgar/data/1625791/000121390020007110/0001213900-20-007110-index.html,- -,- -
102,false,,,,,,,,,,
