,https://roic.ai/company/MNTX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1302028/000119312506070631/0001193125-06-070631-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312507080914/0001193125-07-080914-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312508067183/0001193125-08-067183-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312509062986/0001193125-09-062986-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312510071165/0001193125-10-071165-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312511083047/0001193125-11-083047-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312512129616/0001193125-12-129616-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312513107189/0001193125-13-107189-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312514093872/0001193125-14-093872-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312515093205/0001193125-15-093205-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459016014447/0001564590-16-014447-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459017003903/0001564590-17-003903-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459018007958/0001564590-18-007958-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459019007979/0001564590-19-007979-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459020009610/0001564590-20-009610-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459021012572/0001564590-21-012572-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459022009245/0001564590-22-009245-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,6000,2024904,615000,569000,425000,287000,662000,71000,1889000,6091000,4370000,8578000,5110000,5014000,22103000,23360000,17161000,21359000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2160000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,6000,2024904,615000,569000,425000,287000,662000,71000,1889000,6091000,4370000,8578000,5110000,5014000,24263000,23360000,17161000,21359000
34,Net Receivables,- -,5665000,3844000,4300513,16517000,16774000,17286000,11018000,20997000,26591000,39226000,40271000,69707000,67030000,49100000,48579000,47822000,36265000,30597000,32554000
35,Inventory,- -,432000,756000,1162141,17430000,16048000,22066000,27277000,30694000,42307000,61290000,72734000,97182000,119269000,90901000,54360000,58024000,58734000,56055000,64965000
36,Other Current Assets,- -,217000,582000,135697,1552000,1649000,908000,1565000,2350000,2240000,2372000,2941000,3058000,7823000,6053000,2369000,1884000,5058000,2458000,2658000
37,Total Current Assets,- -,6314000,5188000,7623255,36114000,35040000,40685000,40147000,54703000,71209000,104777000,122037000,174317000,202700000,151164000,110322000,131993000,123417000,106271000,121536000
38,PP&E,- -,104000,165000,2084714,6417000,5778000,5878000,11804000,10659000,11017000,10297000,11143000,28846000,41985000,37241000,22038000,20249000,21622000,22791000,20023000
39,Goodwill,- -,- -,- -,- -,13305000,14065000,14452000,14452000,14452000,15267000,15283000,22366000,48830000,80089000,70248000,43569000,36298000,32635000,27472000,24949000
40,Intangible Assets,- -,4651000,4476000,4342308,21283000,21352000,21148000,22401000,20403000,20153000,18442000,24036000,51922000,70629000,56809000,31014000,24773000,17032000,15671000,11946000
41,Intangible Assets,- -,4651000,4476000,4342308,34588000,35417000,35600000,36853000,34855000,35420000,33725000,46402000,100752000,150718000,127057000,74583000,61071000,49667000,43143000,36895000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5951000,5752000,- -,14931000,- -,- -,- -,- -
43,Tax Assets,- -,233000,2013000,3106200,3747000,3940000,4065000,5796000,5249000,3238000,2259000,2117000,2081000,- -,545000,1839000,2366000,415000,247000,178000
44,Other Non-Current Assets,- -,44000,43000,70908,2978000,- -,- -,85000,51000,707000,446000,1031000,4176000,5503000,1978000,1475000,1570000,281000,1143000,-162172000
45,Total Non-Current Assets,- -,5032000,6697000,9604130,47730000,45135000,45543000,54538000,50814000,50382000,46727000,60693000,141806000,203958000,166821000,114866000,85256000,71985000,67324000,-105076000
46,Other Assets,5461000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5461000,11346000,11885000,17227385,83844000,80175000,86228000,94685000,105517000,121591000,151504000,182730000,316123000,406658000,317985000,225188000,217249000,195402000,173595000,16460000
48,Accounts Payable,- -,610000,938000,767338,14468000,9543000,12083000,9183000,14928000,18421000,25940000,25763000,36509000,63748000,50151000,36717000,38267000,30202000,32429000,44136000
49,Short-Term Debt,- -,- -,- -,- -,871000,1170000,1841000,2624000,2646000,5349000,7093000,9617000,14297000,32118000,27408000,29131000,22706000,25535000,16510000,18401000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,204000,- -,- -,- -,- -,- -,- -,- -,33000,- -,- -,- -,- -,- -,2310000,1618000,6110000,- -
52,Other Current Liabilities,- -,4987000,7367000,269012,3982000,5159000,3138000,2762000,5437000,6407000,10285000,12636000,33541000,24170000,19146000,13580000,9671000,10721000,9472000,19326000
53,Total Current Liabilities,- -,5597000,8509000,1036350,19321000,15872000,17062000,14569000,23011000,30177000,43351000,48016000,84347000,120036000,96705000,79428000,72954000,68076000,64521000,81863000
54,Long-Term Debt,- -,6100000,7175000,- -,31424000,19402000,22052000,25111000,26126000,32209000,37005000,39818000,93656000,136896000,106508000,60864000,44822000,34206000,26231000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2789000,2408000,2028000,1648000,1268000,1288000,1058000,969000,842000,667000,587000,- -
56,Deferred Tax Liabilities,- -,2000,10000,20100,4640000,4655000,4186000,5952000,5473000,4825000,4269000,4074000,4163000,4525000,3242000,3384000,92000,1045000,1333000,1074000
57,Other Non-Current Liabilities,- -,- -,- -,- -,8995000,8536000,7914000,8625000,4844000,5178000,5318000,4183000,4683000,13613000,10910000,9698000,10535000,11858000,12014000,-47840000
58,Total Non-Current Liabilities,- -,6102000,7185000,20100,45059000,32593000,34152000,39688000,39232000,44620000,48620000,49723000,103770000,156322000,121718000,74915000,56291000,47776000,40165000,-46766000
59,Other Liabilities,5657000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,4685000,4422000,4168000,5776000,5247000,4669000,5040000,4796000,4341000,6854000,6342000,5861000,5483000,7341000,8633000,- -
61,Total Liabilities,5657000,11699000,15694000,1056450,64380000,48465000,51214000,54257000,62243000,74797000,91971000,97739000,188117000,276358000,218423000,154343000,129245000,115852000,104686000,35097000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,22332465,- -,- -,- -,- -,- -,48571000,53040000,68554000,82040000,93186000,94324000,97661000,130260000,130710000,131455000,132206000
64,Retained Earnings,- -,-453000,-3909000,-6161530,-15050000,-14094000,-11896000,-8257000,-6148000,-3368000,4679000,14857000,21960000,16588000,-18572000,-28583000,-41761000,-50253000,-63863000,- -
65,Other Comprehensive Income/Loss,- -,-6000,-72000,-187897,-278000,-985000,-1635000,-2635000,-3947000,-5495000,1000000,-8955000,-1000000,-5000000,-4000000,-1000000,-3000000,-4000000,-1708000,-4219000
66,Other Total Stockholders Equity,- -,106000,172000,187897,33768000,45765000,48545000,51320000,53369000,7086000,814000,10535000,1766000,2238000,2646000,2767000,2505000,3093000,3025000,- -
67,Total Stockholders Equity,-196000,-353000,-3809000,16170935,18440000,30686000,35014000,40428000,43274000,46794000,59533000,84991000,104766000,107012000,74398000,70845000,88004000,79550000,68909000,62815000
68,Total Liabilities And Stockholders Equity,5461000,11346000,11885000,17227385,82820000,79151000,86228000,94685000,105517000,121591000,151504000,182730000,292883000,383370000,292821000,225188000,217249000,195402000,173595000,97912000
69,Minority Interest,- -,- -,- -,- -,1024000,1024000,- -,- -,- -,- -,- -,- -,23240000,23288000,25164000,- -,- -,- -,- -,-81452000
70,Total Liabilities & Equity,5461000,11346000,11885000,17227385,83844000,80175000,86228000,94685000,105517000,121591000,151504000,182730000,316123000,406658000,317985000,225188000,217249000,195402000,173595000,16460000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1302028/000119312506070631/0001193125-06-070631-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312507080914/0001193125-07-080914-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312508067183/0001193125-08-067183-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312509062986/0001193125-09-062986-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312510071165/0001193125-10-071165-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312511083047/0001193125-11-083047-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312512129616/0001193125-12-129616-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312513107189/0001193125-13-107189-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312514093872/0001193125-14-093872-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312515093205/0001193125-15-093205-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459016014447/0001564590-16-014447-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459017003903/0001564590-17-003903-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459018007958/0001564590-18-007958-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459019007979/0001564590-19-007979-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459020009610/0001564590-20-009610-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459021012572/0001564590-21-012572-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459022009245/0001564590-22-009245-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,49000,-453000,-3454000,-2252685,-8889000,956000,3997000,3639000,2109000,2780000,8077000,10178000,7103000,-5372000,-35160000,-8078000,-13177000,-8492000,-13610000,-4573000
74,Depreciation and Amortization,- -,52000,361000,448740,1643000,2108000,2008000,2453000,3139000,3336000,3498000,3945000,4572000,12082000,11241000,5107000,4989000,4702000,4354000,1004000
75,Deferred Income Tax,- -,- -,-1770000,- -,-1432000,- -,-461000,-1949000,93000,1089000,364000,-251000,-289000,-2014000,1232000,-1460000,-853000,2330000,327000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,78000,104000,226000,664000,1104000,1481000,1129000,798000,639000,603000,1038000,240000
77,Change in Working Capital,- -,717000,-4038000,9907905,10206095,2375000,4455000,1955000,6114000,9340000,20394000,12595000,15949000,-7306000,-28205000,-23565000,28145000,-3698000,-13591000,-2077000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,7856000,-9785000,-6524000,-12494000,1653000,-13172000,23475000,1119000,-11130000,-296000,9282000,6824000,- -
79,Inventory,- -,- -,-324000,-932920,235000,3399000,-5328000,-54000,-3002000,-12484000,-17187000,-8852000,-5620000,-10286000,2174000,17068000,-7277000,-2395000,4746000,3226000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-3877000,5539000,4297000,6702000,-4079000,2859000,6717000,-4259000,-2619000,2764000,-7567000,165000,- -
81,Other Working Capital,- -,717000,-3321000,6586905,16793000,19168000,23623000,25578000,31692000,41032000,61426000,74021000,89970000,82664000,54459000,30894000,59039000,55341000,41750000,39673000
82,Other Non-Cash Items,2243000,-861000,6908000,-12446910,-1083095,-4299000,-11560000,-3855000,-11436000,-22056000,-39043000,-25055000,-29940000,10164000,45575000,36275000,-18740000,7792000,33518000,5406000
83,Cash Provided by Operating Activities,2292000,-545000,-1993000,-4342950,445000,1140000,-1561000,2243000,97000,-5407000,-6484000,2076000,-1501000,9035000,-4188000,9077000,1003000,3237000,12036000,- -
84,CAPEX,- -,-2000,-127000,-1689834,-620000,-296000,-630000,-139000,-511000,-622000,-1125000,-1215000,-924000,-2602000,-1583000,-1088000,-1217000,-1785000,-709000,- -
85,Acquisitions Net,- -,- -,- -,- -,-3000000,- -,-1000000,- -,- -,- -,- -,-13000000,-25000000,-14000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-235000,-6001000,-101000,500,-330000,1147000,241000,-129000,216000,-1308000,-133000,139000,2000,6967000,19929000,12758000,6987000,7607000,1553000,- -
89,Cash Used for Investing Activites,-235000,-6003000,-228000,-1689334,-3950000,851000,-1389000,-268000,-295000,-1918000,-1258000,-14076000,-25922000,-9402000,18443000,11735000,5791000,5829000,844000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-5482000,-4652000,-19533000,-8679000,-17101000,-2457000,-21712000,-58313000,-24910000,-137293000,-8384000,-37059000,- -
91,Common Stock Issued,- -,100000,- -,17250000,11138000,10875000,- -,- -,- -,- -,3781000,13927000,12500000,- -,- -,2426000,31942000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-2192936,- -,- -,-7000,-6000,-20000,- -,- -,-70000,-114000,-75000,-80000,-168000,-124000,-34000,-61000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2050000,6448000,2227000,-7006324,-9091000,-12999000,2865000,3467000,5286000,26427000,14166000,19344000,16717000,27727000,41639000,1785000,116489000,447000,16352000,- -
95,Cash Used/Provided by Financing Activities,-2050000,6548000,2227000,8050740,2047000,-2124000,2858000,-2021000,614000,6894000,9268000,16100000,26646000,5940000,-16754000,-20867000,11014000,-7971000,-20768000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,48000,87000,-52000,-92000,-41000,-160000,292000,102000,-944000,-1363000,2999000,107000,-826000,134000,1712000,- -
97,Net Change In Cash,- -,- -,- -,2018456,-1410000,-46000,-144000,-138000,375000,-591000,1818000,4202000,-1721000,4210000,500000,52000,16982000,1229000,-6176000,- -
98,Cash at the End of Period,- -,- -,6000,2024904,615000,569000,425000,287000,662000,71000,1889000,6091000,4370000,8578000,6418000,5366000,22348000,23577000,17401000,- -
99,Cash at the Beginning of Period,- -,- -,- -,6448,2025000,615000,569000,425000,287000,662000,71000,1889000,6091000,4368000,5918000,5314000,5366000,22348000,23577000,17401000
100,Free Cash Flow,2292000,-547000,-2120000,-6032784,-175000,844000,-2191000,2104000,-414000,-6029000,-7609000,861000,-2425000,6433000,-5771000,7989000,-214000,1452000,11327000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1302028/000119312506070631/0001193125-06-070631-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312507080914/0001193125-07-080914-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312508067183/0001193125-08-067183-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312509062986/0001193125-09-062986-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312510071165/0001193125-10-071165-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312511083047/0001193125-11-083047-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312512129616/0001193125-12-129616-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312513107189/0001193125-13-107189-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312514093872/0001193125-14-093872-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000119312515093205/0001193125-15-093205-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459016014447/0001564590-16-014447-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459017003903/0001564590-17-003903-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459018007958/0001564590-18-007958-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459019007979/0001564590-19-007979-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459020009610/0001564590-20-009610-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459021012572/0001564590-21-012572-index.htm,https://www.sec.gov/Archives/edgar/data/1302028/000156459022009245/0001564590-22-009245-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
