,https://roic.ai/company/ORMP,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,- -,- -,5000,10824,12161,10582,14293,4740,5545,10000,13000,15000,15000,17000,20000,20000,25038000
45,Total Non-Current Assets,- -,- -,- -,- -,7000,109120,87522,54081,41855,18375,15906,24000,8982000,11600000,18415000,16360000,1339000,4122000,32662000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1260,176190,1937000,5507014,3261851,1450888,4325937,5294851,8660182,21802000,26354000,42830000,38712000,47397000,34663000,44633000,127999000
48,Accounts Payable,- -,- -,5633,53652,341000,913954,47252,47252,47252,47252,439541,926000,953000,1411000,571000,1135000,1337000,594000,2606000
49,Short-Term Debt,- -,- -,- -,- -,275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,2162000,2449000,2449000,2703000,2703000,2703000
52,Other Current Liabilities,10000,- -,40435,555257,808000,- -,321344,411330,394040,597173,58652,47000,36000,48000,2145000,969000,1268000,1239000,1240000
53,Total Current Liabilities,10000,- -,46068,608909,1424000,913954,368596,458582,441292,644425,498193,973000,1489000,3621000,5165000,4553000,5308000,4536000,6679000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12604000,13837000,11388000,9658000,6947000,4244000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23210,27000,26000,11000,11000,11000,11000,11000,11000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,130000,147063,162034,160729,872413,8004,9000,11000,404000,461000,333000,293000,260000,145000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,130000,147063,162034,160729,872413,31214,36000,37000,13019000,14309000,11732000,9962000,7218000,4803000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,533000
61,Total Liabilities,10000,- -,46068,608909,1424000,913954,515659,620616,602021,1516838,529407,1009000,1526000,16640000,19474000,16285000,15270000,11754000,11482000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,20000,18475,41456,45000,56252,56456,57565,70104,80075,95238,121000,138000,157000,163000,207000,208000,284000,424000
64,Retained Earnings,-70000,-350000,-828332,-1242908,-4479000,-7248204,-10008678,-12986054,-14547299,-17891777,-22123589,-27820000,-35052000,-46016000,-56496000,-69223000,-81103000,-92614000,-114852000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-15454,-45942,-77804,-106107,-120844,-124503,-130000,1000000,- -,- -,1000000,- -,- -,- -
66,Other Total Stockholders Equity,50000,- -,765049,768733,4947000,11800466,12744356,13836565,18307218,21710559,30283629,48622000,58742000,72049000,75571000,99128000,100288000,125209000,- -
67,Total Stockholders Equity,-10000,- -,-44808,-432719,513000,4593060,2746192,830272,3723916,3778013,8130775,20793000,24828000,26190000,19238000,31112000,19393000,32879000,115773000
68,Total Liabilities And Stockholders Equity,- -,- -,1260,176190,1937000,5507014,3261851,1450888,4325937,5294851,8660182,21802000,26354000,42830000,38712000,47397000,34663000,44633000,127255000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744000
70,Total Liabilities & Equity,- -,- -,1260,176190,1937000,5507014,3261851,1450888,4325937,5294851,8660182,21802000,26354000,42830000,38712000,47397000,34663000,44633000,127999000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1176309/000106299303001291/form10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/1176309/000108503706000360/form10ksba.htm,https://www.sec.gov/Archives/edgar/data/1176309/000108503706002490/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1176309/000106299307004951/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1176309/000114420408066960/v133559_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1176309/000114420409062083/0001144204-09-062083-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000114420410063863/0001144204-10-063863-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000117891311003216/0001178913-11-003216-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000117891312003413/zk1212365.htm,https://www.sec.gov/Archives/edgar/data/1176309/000117891313003442/0001178913-13-003442-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000117891314003555/0001178913-14-003555-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390015009096/0001213900-15-009096-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390016018954/0001213900-16-018954-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390017012754/0001213900-17-012754-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390018016666/0001213900-18-016666-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390019024940/0001213900-19-024940-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390020038924/0001213900-20-038924-index.htm,https://www.sec.gov/Archives/edgar/data/1176309/000121390021062009/0001213900-21-062009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-50000,-720000,-45781,-414576,-3236000,-2769271,-2760474,-2977376,-1561245,-3344478,-4231812,-5696000,-7232000,-10964000,-10480000,-12727000,-14355000,-11511000,-22238000
74,Depreciation and Amortization,- -,- -,- -,- -,108000,15454,30488,31862,28303,14737,5379,6000,4000,4000,5000,6000,8000,7000,77000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,553199,807826,529326,271158,719219,1468000,1347000,634000,1575000,1547000,808000,1173000,2695000
77,Change in Working Capital,10000,10000,-44808,-387911,938719,3977940,-1678207,-1867508,2904565,789261,3514032,12658917,-4922000,11726000,-12477000,11352000,1532000,7959000,-1315000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,7936000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-816000,2060000
81,Other Working Capital,-10000,- -,-44808,-432719,506000,4483940,2805733,938225,3842790,4632051,8146083,20805000,15883000,27609000,15132000,26484000,28016000,35975000,-2700000
82,Other Non-Cash Items,- -,420000,50154,440874,1578281,-3061081,1586071,2586724,-3566986,-32286,-3402159,-12504917,5857000,3255000,15546000,-14835000,-933000,-10068000,-400000
83,Cash Provided by Operating Activities,-40000,-290000,-40435,-361613,-611000,-1836958,-2268923,-1418472,-1666037,-2301608,-3395341,-4068000,-4946000,4655000,-5831000,-14657000,-12940000,-12440000,-21181000
84,CAPEX,- -,- -,- -,- -,-2000,-112014,-7553,- -,-2180,-2129,-6379,-14000,-1000,-9000,-7000,-5000,-15000,-82000,-375000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2728000,-1000000,- -,-1700382,-475353,-5846628,-55750000,-23010000,-31059000,-24656000,-26570000,-30584000,-39382000,-53822000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,2728000,900000,- -,2250000,1280682,42676000,19701000,15060000,28968000,19573000,41861000,44091000,30434000
88,Other Investing Activites,- -,- -,- -,- -,- -,-3738,-1978,1244,-11886,-3620,2804,- -,-2000,-2000,-3000,-2000,-3000,-1000,-1000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2000,-2843752,1718469,901244,-1714448,1768898,-4569521,-13088000,-3312000,-16010000,4302000,-7004000,11259000,4626000,-23764000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,530986,1826000,5029801,- -,- -,3694212,3488942,5714918,14887000,9713000,10594000,25000,21657000,- -,23773000,79983000
92,Common Stock Repurchased,- -,280000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10000,40435,6817,529000,- -,- -,- -,- -,- -,109575,1753000,8000,1449000,1561000,997000,- -,13000,22909000
95,Cash Used/Provided by Financing Activities,- -,290000,40435,537803,2355000,5029801,- -,- -,3694212,3488942,5824493,16640000,9721000,12043000,1586000,22654000,- -,23786000,102892000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38857,-18143,6000,-12000,6000,5000,34000,14000,-5000,2000
97,Net Change In Cash,-40000,- -,- -,- -,1742000,349091,-550454,-517228,313727,2917375,-2158512,-510000,1451000,694000,62000,1027000,-1667000,15967000,57949000
98,Cash at the End of Period,- -,- -,- -,176190,1918000,2267320,1716866,1199638,1513365,4430740,2272228,1762000,3213000,3907000,3969000,4996000,3329000,19296000,77245000
99,Cash at the Beginning of Period,40000,- -,- -,- -,176000,1918229,2267320,1716866,1199638,1513365,4430740,2272000,1762000,3213000,3907000,3969000,4996000,3329000,19296000
100,Free Cash Flow,-40000,-290000,-40435,-361613,-613000,-1948972,-2276476,-1418472,-1668217,-2303737,-3401720,-4082000,-4947000,4646000,-5838000,-14662000,-12955000,-12522000,-21556000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1176309/000106299303001291/form10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/1176309/000108503706000360/form10ksba.htm,https://www.sec.gov/Archives/edgar/data/1176309/000108503706002490/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1176309/000106299307004951/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1176309/000114420408066960/v133559_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1176309/000114420409062083/0001144204-09-062083-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000114420410063863/0001144204-10-063863-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000117891311003216/0001178913-11-003216-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000117891312003413/zk1212365.htm,https://www.sec.gov/Archives/edgar/data/1176309/000117891313003442/0001178913-13-003442-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000117891314003555/0001178913-14-003555-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390015009096/0001213900-15-009096-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390016018954/0001213900-16-018954-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390017012754/0001213900-17-012754-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390018016666/0001213900-18-016666-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390019024940/0001213900-19-024940-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390020038924/0001213900-20-038924-index.htm,https://www.sec.gov/Archives/edgar/data/1176309/000121390021062009/0001213900-21-062009-index.htm
102,false,,,,,,,,,,,,,,,,,,,
