,https://roic.ai/company/CWH,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,4853000,6111000,125878000,155551000,145943000,129710000,165708000,199321000
44,Other Non-Current Assets,- -,15124000,15394000,17931000,21903000,18326000,17290000,15868000,24927000
45,Total Non-Current Assets,- -,285283000,285822000,431060000,762570000,918525000,1685559000,1762206000,2089052000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1163168000,1344018000,1563765000,2561477000,2806687000,3376240000,3256431000,4372929000
48,Accounts Payable,- -,50712000,56789000,68655000,125616000,144808000,106959000,148462000,136757000
49,Short-Term Debt,- -,463982000,651280000,632859000,984352000,898980000,920725000,599274000,1094348000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,60998000,63616000,68643000,77669000,88054000,87093000,88213000,95467000
52,Other Current Liabilities,- -,71954000,91413000,95780000,132532000,173276000,181177000,199572000,271751000
53,Total Current Liabilities,- -,647646000,863098000,865937000,1320169000,1305118000,1295954000,1035521000,1598323000
54,Long-Term Debt,- -,580973000,673304000,620303000,907437000,1191627000,1194436000,1975857000,2248277000
55,Deferred Revenue,- -,46647000,52151000,52210000,64061000,67157000,58079000,61519000,69024000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,124602000,44412000,53530000,178973000,209868000,987007000,192765000,223411000
58,Total Non-Current Liabilities,- -,752222000,769867000,726043000,1150471000,1468652000,2239522000,2230141000,2540712000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,115984000,32121000,12408000,11060000,5170000,901925000,896942000,916822000
61,Total Liabilities,- -,1399868000,1632965000,1591980000,2470640000,2773770000,3535476000,3265662000,4139035000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,195000,372000,377000,380000,433000,479000
64,Retained Earnings,- -,-236700000,-288947000,544000,6192000,-3370000,-83134000,-21814000,189471000
65,Other Comprehensive Income/Loss,- -,-126871000,-138549000,-142781000,-161814000,-200554000,-218229000,- -,- -
66,Other Total Stockholders Equity,- -,126871000,138549000,217020000,211755000,248085000,268381000,48155000,-31893000
67,Total Stockholders Equity,- -,-236700000,-288947000,74978000,56505000,44538000,-32602000,26774000,158057000
68,Total Liabilities And Stockholders Equity,- -,1163168000,1344018000,1666958000,2527145000,2818308000,3502874000,3292436000,4297092000
69,Minority Interest,- -,- -,- -,-103193000,34332000,-11621000,-126634000,-36005000,75837000
70,Total Liabilities & Equity,- -,1163168000,1344018000,1563765000,2561477000,2806687000,3376240000,3256431000,4372929000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1669779/000155837017001687/0001558370-17-001687-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837018001998/0001558370-18-001998-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837019002047/0001558370-19-002047-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837020001794/0001558370-20-001794-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837021002004/0001558370-21-002004-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837022001817/0001558370-22-001817-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,20817000,123626000,178530000,191661000,28362000,10398000,-60591000,122345000,278461000
74,Depreciation and Amortization,21183000,24601000,24101000,24695000,31545000,49322000,59932000,51981000,66418000
75,Deferred Income Tax,973000,1175000,-181000,3765000,24935000,12688000,4892000,6465000,-3077000
76,Stock Based Compensation,- -,- -,- -,1597000,5109000,14088000,13145000,20661000,47936000
77,Change in Working Capital,-86213000,222956000,-35141000,71670000,211970000,104306000,-188317000,63977000,-663300000
78,Accounts Receivable,2537000,-7716000,-8840000,-10932000,-38019000,-16550000,12217000,- -,- -
79,Inventory,-92906000,-115304000,-112765000,-31987000,-342780000,-99610000,216111000,239334000,-629830000
80,Accounts Payable,-245000,10715000,17686000,20329000,53646000,45230000,-12586000,39846000,52694000
81,Other Working Capital,7283000,230239000,195098000,266768000,478738000,583044000,394727000,458704000,10771000
82,Other Non-Cash Items,57863000,-328294000,-55166000,-69678000,-311015000,-54510000,422873000,482240000,427566000
83,Cash Provided by Operating Activities,14623000,44064000,112143000,223710000,-9094000,136292000,251934000,747669000,154004000
84,CAPEX,-47442000,-41413000,-71709000,-56859000,-89515000,-254359000,-88356000,-85099000,-253506000
85,Acquisitions Net,-17482000,-10615000,-125189000,-78606000,-392956000,-99240000,-48418000,-47571000,-100117000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-2500000,-7983000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,17983000,1769000,20698000,19762000,5272000,60910000,32237000,9059000,139000
89,Cash Used for Investing Activites,-46195000,-50225000,-176200000,-115703000,-475676000,-292689000,-104537000,-125935000,-355772000
90,Debt Repayment,-498917000,-20953000,-38735000,-302185000,-9264000,-175696000,-69530000,-383555000,-200819000
91,Common Stock Issued,- -,- -,- -,234192000,121395000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-368000,-1365000,-1478000,-26264000,-168345000
93,Dividends Paid,- -,- -,- -,-1515000,-22241000,-22697000,-22878000,-197999000,-260911000
94,Other Financing Activites,547037000,101319000,84107000,-16328000,505215000,270549000,-44547000,4635000,933103000
95,Cash Used/Provided by Financing Activities,48120000,80366000,45372000,-85836000,594737000,70791000,-138433000,-603183000,303028000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,16548000,74205000,-18685000,22171000,109967000,-85606000,8964000,18551000,101260000
98,Cash at the End of Period,36505000,110710000,92025000,114196000,224163000,138557000,147521000,166072000,267332000
99,Cash at the Beginning of Period,19957000,36505000,110710000,92025000,114196000,224163000,138557000,147521000,166072000
100,Free Cash Flow,-32819000,2651000,40434000,166851000,-98609000,-118067000,163578000,662570000,-99502000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1669779/000155837017001687/0001558370-17-001687-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837018001998/0001558370-18-001998-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837019002047/0001558370-19-002047-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837020001794/0001558370-20-001794-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837021002004/0001558370-21-002004-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837022001817/0001558370-22-001817-index.htm
102,false,,,,,,,,,
