,https://roic.ai/company/SRGA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,2026796,3684000,658000,2266000,621000,7919000,- -,- -,1875000,3183000,11029000,1877000,143000,1175000,67706000,69413000,73631000,77267000,42076000,49073000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10381000,25118000,20589000,18780000,18755000,12460000,9354000,6612000,3741000,744000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,27000,- -,- -,1171000,2357000,- -,- -,129000,106000,249000,339000,473000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3928000,3703000,3735000,5242000,4512000,1116000,6394000,3401000,4627000,8197000,5104000,3135000,920000,-473000,62983000,64441000,56795000,60272000,65354000,71845000,69557000,51711000,61520000
58,Total Non-Current Liabilities,5954796,7387000,4420000,7508000,5133000,10206000,8751000,3401000,6502000,11509000,26620000,30379000,21991000,19955000,149444000,146314000,139780000,144151000,111171000,121662000,69557000,51711000,61520000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177082000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1120000,- -,120000,- -,6479000,6009000,- -,- -,- -,1159000,650000,- -
61,Total Liabilities,33101005,36435000,50153000,58568000,44019000,25128000,24449000,19918000,24323000,53030000,64618000,63822000,57608000,57417000,201801000,210300000,199709000,203115000,164169000,177562000,309945000,98534000,115562000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49537000,52834000,56323000,60016000,63923000,66226000,- -,- -,- -
63,Common Stock,3699,22000,22000,26000,26000,27000,30000,30000,30000,55000,55000,55000,56000,56000,56000,57000,58000,58000,63000,64000,75000,81000,147000
64,Retained Earnings,-1182454,3277000,-2228000,-15733000,-9377000,-3222000,-8773000,-19898000,-21994000,-121972000,-116117000,-245516000,-237138000,-228736000,-246550000,-243854000,-228939000,-243338000,-237066000,-237444000,-451179000,-484962000,- -
65,Other Comprehensive Income/Loss,-1138930,-2667000,-5016000,-7896000,-11856000,-14874000,-19078000,-23858000,-26834000,-29593000,-35660000,-36031000,-41472000,-45755000,-53901000,-62881000,-7000000,-8000000,-6000000,-7000000,-70594000,-2416,-1820000
66,Other Total Stockholders Equity,17754994,71844000,75006000,106225000,113604000,117671000,145634000,153616000,160441000,432560000,441611000,443428000,450973000,458427000,418911000,421679000,360914000,356180000,360817000,361778000,556262000,509053416,- -
67,Total Stockholders Equity,15437309,72476000,67784000,82622000,92397000,99602000,117813000,109890000,111643000,281050000,289889000,161936000,172419000,183992000,168053000,167835000,181356000,164916000,181737000,183624000,34564000,24170000,8237000
68,Total Liabilities And Stockholders Equity,48538314,108911000,117937000,141190000,136416000,124730000,142262000,129808000,135966000,334080000,354507000,225758000,230027000,241409000,369854000,378135000,381065000,368031000,345906000,361186000,344509000,122704000,123799000
69,Minority Interest,- -,- -,763000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,48538314,108911000,118700000,141190000,136416000,124730000,142262000,129808000,135966000,334080000,354507000,225758000,230027000,241409000,369854000,378135000,381065000,368031000,345906000,361186000,344509000,122704000,123799000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1760173/000119312520162640/0001193125-20-162640-index.htm,https://www.sec.gov/Archives/edgar/data/1760173/000119312520162650/0001193125-20-162650-index.htm,https://www.sec.gov/Archives/edgar/data/1760173/000156459021013644/0001564590-21-013644-index.htm,https://www.sec.gov/Archives/edgar/data/1760173/000162828022006258/0001628280-22-006258-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2959493,4459000,-5505000,-13505000,6356000,6155000,-5551000,-11125000,-2096000,-99978000,5855000,-129399000,8378000,8402000,-17814000,2696000,14915000,-14399000,6272000,-1250000,-211642000,-33783000,-84651000
74,Depreciation and Amortization,576094,1449000,2344000,2887000,4413000,4057000,4326000,5334000,5423000,6160000,7139000,7498000,8026000,7993000,12202000,15395000,16522000,16510000,14226000,14569000,22675000,6581000,- -
75,Deferred Income Tax,-1759839,-489000,-2602000,-572000,-551000,2940000,-3873000,-6373000,-1127000,334000,1529000,1719000,-1271000,797000,-11544000,502000,5543000,-3395000,13329000,-4322000,17066000,-1807000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1882000,1758000,1973000,2078000,2220000,3032000,2548000,3590000,6660000,4745000,4367000,6528000,5212000
77,Change in Working Capital,-8579078,46284422,-32648000,-1936000,13944000,14496000,15405000,-12813000,13837000,19568000,24755000,10685000,-1565000,5046000,5192000,-792000,-1725000,-10456000,11347000,-13014000,-164236000,101933000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7665000,1681000,-1054000,-1121000,-50000,-8058000,-10435000,4756000,5784000,-11201000,-9013000,4444000,- -
79,Inventory,-6715835,-6516000,-8235000,-761000,-14328000,60000,-1776000,-2347000,-4300000,-22360000,-20540000,4095000,5558000,-2880000,5231000,-11244000,-11990000,-15369000,1375000,-11790000,-14219000,-12607000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2007000,-5126000,-2564000,3527000,5276000,4087000,-12660000,4583000,-12899000,8054000,-974000,5306000,- -
81,Other Working Capital,14051578,60336000,27688000,25752000,39696000,54192000,69597000,56784000,70621000,90189000,114944000,125629000,124064000,129110000,134302000,133510000,131785000,121329000,132676000,119662000,-44574000,57359000,- -
82,Other Non-Cash Items,327985,-60916422,34017000,19592000,-26060000,-30517000,-11988000,18234000,-8975000,73285000,-45534000,137128000,12226000,-3513000,5290000,-13939000,-28807000,23473000,-49379000,16046000,322314000,-167490000,27647000
83,Cash Provided by Operating Activities,-6475345,-9213000,-4394000,6466000,-1898000,-2869000,-1681000,-6743000,7062000,-631000,-4374000,29389000,27767000,20803000,-4454000,6894000,8996000,15323000,2455000,16774000,-9456000,-88038000,-51792000
84,CAPEX,-2865533,-10078000,-23183000,-15658000,-1677000,-2821000,-5599000,-1328000,-2173000,-6815000,-4809000,-7056000,-8484000,-14861000,-15926000,-16314000,-18238000,-17952000,-14567000,-14737000,-16433000,-14038000,-14072000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,-18000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5192000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-267000,-5250000,- -,3032000,- -,- -,200000,-412000,871000,-369000,-3812000,-2139000,-6723000,-127222000,-737000,-498000,-2615000,-448000,-3695000,-101699000,401057000,- -
89,Cash Used for Investing Activites,-2865533,-10345000,-28433000,-15658000,1355000,-2821000,-5599000,-1128000,-2585000,-752000,-4791000,-7056000,-8484000,-17812000,-142233000,-16314000,-18238000,-17952000,38251000,-32737000,-116125000,390942000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7450000,-22021000,-2600000,-471000,-142000,-682000,-5294000,-11424000,-43000000,-71171000,-500000,-284178000,- -
91,Common Stock Issued,10000000,48025000,155000,28260000,1979000,552000,23940000,47000,725000,2492000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,- -
92,Common Stock Repurchased,-1875,-18000,- -,- -,-29000,- -,-1565000,- -,- -,- -,- -,- -,- -,- -,-1290000,- -,- -,- -,- -,- -,-273000,-67034000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-625000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2953160,-1041000,11232000,-22761000,-1167000,6571000,-1020000,-2226000,-2151000,472000,13814000,10514000,1404000,988000,117680000,8552000,11568000,15088000,10602000,75742000,121069000,88152000,- -
95,Cash Used/Provided by Financing Activities,12951285,46966000,11387000,5499000,783000,7123000,21355000,-2179000,-1426000,2964000,6364000,-11507000,-1196000,517000,115623000,7870000,6274000,3664000,-32398000,4571000,120296000,-263038000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000,107000,4000,-121000,10000,89000,-1468000,-121000,200000,224000,-40000,-56000,-1512000,- -
97,Net Change In Cash,3610407,27408000,-21440000,-3693000,240000,1433000,14075000,-10050000,3051000,1516000,-2694000,10830000,17966000,3518000,-30975000,-3018000,-3089000,1235000,8532000,-11432000,-5341000,38354000,- -
98,Cash at the End of Period,7536287,34944000,13504000,9811000,10051000,11484000,25559000,15509000,18560000,20076000,17382000,28212000,46178000,49696000,18721000,15703000,12614000,13849000,22381000,10949000,5608000,43962000,- -
99,Cash at the Beginning of Period,3925880,7536000,34944000,13504000,9811000,10051000,11484000,25559000,15509000,18560000,20076000,17382000,28212000,46178000,49696000,18721000,15703000,12614000,13849000,22381000,10949000,5608000,- -
100,Free Cash Flow,-9340878,-19291000,-27577000,-9192000,-3575000,-5690000,-7280000,-8071000,4889000,-7446000,-9183000,22333000,19283000,5942000,-20380000,-9420000,-9242000,-2629000,-12112000,2037000,-25889000,-102076000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1760173/000119312520162640/0001193125-20-162640-index.htm,https://www.sec.gov/Archives/edgar/data/1760173/000119312520162650/0001193125-20-162650-index.htm,https://www.sec.gov/Archives/edgar/data/1760173/000156459021013644/0001564590-21-013644-index.htm,https://www.sec.gov/Archives/edgar/data/1760173/000162828022006258/0001628280-22-006258-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
