,https://roic.ai/company/POWW,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,2240870,1524266,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185192,- -,1245476,3020646,9009577
35,Inventory,10253949,8368237,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1792314,- -,4772597,4408073,15866918
36,Other Current Assets,926966,112537,- -,- -,- -,- -,- -,2461,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254732,- -,427551,844117,2402366
37,Total Current Assets,13507642,10031109,- -,- -,- -,- -,- -,2461,500,- -,- -,- -,- -,- -,- -,- -,- -,- -,3019061,- -,8626870,9157110,145620332
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21999787,- -,23643388
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1129001,- -,12931473,10253980,8282192
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1129001,- -,12931473,10253980,8282192
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,47000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1154263,1349410,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,769442,- -,29034,21694646,1833429
45,Total Non-Current Assets,1201263,1349410,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1898443,- -,34960294,31948626,33759009
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14708905,11380519,- -,- -,- -,- -,- -,2461,500,- -,- -,- -,- -,- -,- -,- -,- -,- -,4917504,- -,43587164,41105736,179379341
48,Accounts Payable,3126098,2530447,- -,- -,- -,- -,14355,27699,2418,6395,5996,10893,8305,9521,1444,2054,3904,575,476893,- -,1920344,5197354,4371974
49,Short-Term Debt,2110817,2274376,- -,- -,- -,- -,- -,- -,- -,117159,135012,151680,166875,182897,198266,198266,198266,- -,1681880,- -,1730597,5032823,4263734
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145460,- -,1716461
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493553,361270
52,Other Current Liabilities,45621,101859,- -,- -,- -,- -,165060,180617,101102,15743,27755,40043,53679,67739,83026,99984,116645,625000,254774,- -,831434,1501879,3101515
53,Total Current Liabilities,5282536,4906682,- -,- -,- -,- -,179415,208316,103520,139297,168763,202616,228859,260157,282736,300304,318815,625575,2413547,- -,4482375,12225609,12098493
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8675856,5803800,6343427
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,3817534,589892
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9575856,9621334,6933319
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3483724,2141440
61,Total Liabilities,5282536,4906682,- -,- -,- -,- -,179415,208316,103520,139297,168763,202616,228859,260157,282736,300304,318815,625575,2413547,- -,14058231,21846943,19031812
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6765480,6892820,- -,- -,- -,- -,6892820,6892820,6903766,- -,- -,- -,- -,6903766,6903766,6903766,6903766,577,22488,- -,44013,46204,93100
64,Retained Earnings,2595679,-484193,- -,- -,- -,- -,-7302235,-7328675,-7302235,29172,-294,-7336382,-7362625,-7393923,-7416502,-7438423,-7458454,-7791942,-5943925,- -,-19450565,-34007245,-41819539
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77861,- -,- -,-3060681,-5895763
66,Other Total Stockholders Equity,65210,65210,- -,- -,- -,- -,230000,230000,295449,- -,- -,7133766,7133766,230000,230000,234353,235873,7165790,8503255,- -,- -,56280515,207969731
67,Total Stockholders Equity,9426369,6473837,- -,- -,- -,- -,-179415,-205855,-103020,-139297,-168763,-202616,-228859,-260157,-282736,-300304,-318815,-625575,2503957,- -,29528933,19258793,160347529
68,Total Liabilities And Stockholders Equity,14708905,11380519,- -,- -,- -,- -,- -,2461,500,- -,- -,- -,- -,- -,- -,- -,- -,- -,4917504,- -,43587164,41105736,179379341
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14708905,11380519,- -,- -,- -,- -,- -,2461,500,- -,- -,- -,- -,- -,- -,- -,- -,- -,4917504,- -,43587164,41105736,179379341
71,SEC Link,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1015383/000110465908023877/0001104659-08-023877-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015383/000107997313000222/0001079973-13-000222-index.html,https://www.sec.gov/Archives/edgar/data/1015383/000107997314000149/0001079973-14-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1015383/000107997315000227/0001079973-15-000227-index.htm,https://www.sec.gov/Archives/edgar/data/1015383/000107997316000881/0001079973-16-000881-index.html,https://www.sec.gov/Archives/edgar/data/1015383/000107997317000151/0001079973-17-000151-index.html,https://www.sec.gov/Archives/edgar/data/1015383/000107997318000247/0001079973-18-000247-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1015383/000149315220016303/0001493152-20-016303-index.htm,https://www.sec.gov/Archives/edgar/data/1015383/000149315221015547/0001493152-21-015547-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,95946,-3079872,- -,- -,- -,- -,-1508,-26440,91889,-36277,-29466,-33853,-26243,-31299,-22579,-21921,-20031,-333488,-5788901,- -,-11709412,-14556680,-7812294
74,Depreciation and Amortization,136907,143535,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148860,- -,599863,4455962,4876756
75,Deferred Income Tax,-6000,47000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000,- -,1172974,901526,1450359
77,Change in Working Capital,-632451,-3100679,- -,- -,- -,- -,-5303842,-26440,102835,-36277,-29466,-33853,-26243,-31298,-22579,-17568,-18511,-306760,1231089,- -,3538981,-7212994,136590338
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171812,- -,-131113,-1679887,-6075373
79,Inventory,-1783247,1885711,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-928762,- -,-2367591,364524,-11458845
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-399,4897,-2588,-1506,-8077,610,1850,-3329,418898,- -,1440879,3277010,1810417
81,Other Working Capital,8225106,5124427,- -,- -,- -,- -,-179415,-205855,-103020,-139297,-168763,-202616,-228859,-260157,-282736,-300304,-318815,-625575,605514,- -,4144495,-3068499,133521839
82,Other Non-Cash Items,-478852,6013039,- -,- -,- -,- -,5305350,37323,-277203,48097,39479,51038,37291,46574,29788,35136,37022,620454,969585,- -,-896613,11052751,-149520719
83,Cash Provided by Operating Activities,-884450,23023,- -,- -,- -,- -,- -,-15557,-82479,-24457,-19453,-16668,-15195,-16023,-15370,-4353,-1520,-19794,-3279367,- -,-7294207,-5359435,-14415560
84,CAPEX,-57497,-88983,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-404188,- -,-2541907,-462385,-7437265
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,- -,- -
86,Purchases of Investments,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7607,142613,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-250000,- -,- -
89,Cash Used for Investing Activites,-65104,-246370,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-404188,- -,-9541907,-462385,-7437265
90,Debt Repayment,-5264361,-7356180,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1467033,- -,-691275,-10092723,-49771239
91,Common Stock Issued,342500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4353,1520,- -,6206400,- -,10903930,2465540,138612619
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99355,- -,-124000,- -,-1500000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5841382,7519739,- -,- -,- -,- -,- -,15557,82979,23957,19453,16668,15195,16023,15370,- -,- -,19794,-179750,- -,4547062,12152031,51968642
95,Cash Used/Provided by Financing Activities,919521,163559,- -,- -,- -,- -,- -,15557,82979,23957,19453,16668,15195,16023,15370,4353,1520,19794,4460262,- -,14635717,4524848,139310022
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-30033,-59788,- -,- -,- -,- -,- -,15557,82979,23957,19453,16668,15195,16023,15370,4353,1520,19794,776707,- -,-2200397,-1296972,117457197
98,Cash at the End of Period,85857,26069,- -,- -,- -,- -,- -,- -,500,- -,- -,- -,- -,- -,- -,- -,- -,- -,786823,- -,2181246,884274,118341471
99,Cash at the Beginning of Period,115890,85857,- -,- -,- -,- -,- -,- -,- -,500,- -,- -,- -,- -,- -,- -,- -,- -,10116,- -,4381643,2181246,884274
100,Free Cash Flow,-941947,-65960,- -,- -,- -,- -,- -,-15557,-82479,-24457,-19453,-16668,-15195,-16023,-15370,-4353,-1520,-19794,-3683555,- -,-9836114,-5821820,-21852825
101,SEC Link,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1015383/000110465908023877/0001104659-08-023877-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015383/000107997313000222/0001079973-13-000222-index.html,https://www.sec.gov/Archives/edgar/data/1015383/000107997314000149/0001079973-14-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1015383/000107997315000227/0001079973-15-000227-index.htm,https://www.sec.gov/Archives/edgar/data/1015383/000107997316000881/0001079973-16-000881-index.html,https://www.sec.gov/Archives/edgar/data/1015383/000107997317000151/0001079973-17-000151-index.html,https://www.sec.gov/Archives/edgar/data/1015383/000107997318000247/0001079973-18-000247-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1015383/000149315220016303/0001493152-20-016303-index.htm,https://www.sec.gov/Archives/edgar/data/1015383/000149315221015547/0001493152-21-015547-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
