,https://roic.ai/company/MXCT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,31500,- -,37000,- -,- -,- -,- -,- -,33900,- -
45,Total Non-Current Assets,235500,181200,273200,207300,281500,847600,1817900,5533400,6526700,13370500
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2841800,2504400,6301200,6401000,16072200,31397700,24267900,29985400,51780100,283803300
48,Accounts Payable,1014200,1394400,1372600,2257000,3174500,4331000,4123300,2089400,890200,1820300
49,Short-Term Debt,1778700,1801900,1552300,822300,14400,854100,- -,508900,672600,527200
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,6746800
52,Other Current Liabilities,582800,791000,1354400,2011800,2463100,2055100,2449300,6744800,10051500,6523500
53,Total Current Liabilities,3375700,3987300,4279300,5091100,5652000,7240200,6572600,9343100,11614300,15617800
54,Long-Term Debt,56800,60300,3480400,4221400,4992200,4176300,5056300,6702400,6293800,5154900
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,188700,171000,344600,384500,357300,338100,646600,450200
58,Total Non-Current Liabilities,56800,60300,3669100,4392400,5336800,4560800,5413600,7040500,6940400,5605100
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,55600,86600,60300,34100,17500,3200,- -,2316000,2049400,- -
61,Total Liabilities,3432500,4047600,7948400,9483500,10988800,11801000,11986200,16383600,18554700,21222900
62,Preferred Stock,30777700,32307700,43747200,45277200,- -,- -,- -,- -,- -,- -
63,Common Stock,700,700,18800,19500,435400,509000,513300,574000,773800,- -
64,Retained Earnings,-31369100,-33851600,-45413200,-48379200,-51724700,-61641700,-70510900,-83405900,-95222300,-114304500
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,56372700,80729400,82279300,96433700,127673900,377201600
67,Total Stockholders Equity,-590700,-1543200,-1647200,-3082500,5083400,19596700,12281700,13601800,33225400,262897100
68,Total Liabilities And Stockholders Equity,2841800,2504400,6301200,6401000,16072200,31397700,24267900,29985400,51780100,284120000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-316700
70,Total Liabilities & Equity,2841800,2504400,6301200,6401000,16072200,31397700,24267900,29985400,51780100,283803300
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1287098/000155837022004081/0001558370-22-004081-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-1988400,-958200,-1837000,-1445500,-3345500,-9917000,-8869200,-12895000,-11816400,-19082200
74,Depreciation and Amortization,115200,116400,92000,93300,105700,142900,344000,613500,1047700,1423900
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,36700,5700,95600,1200,154100,514500,1324200,1752100,2471800,7958800
77,Change in Working Capital,-321800,-894700,3412800,-646100,9036100,13171200,-7432500,-768500,18530200,221175900
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1705100
79,Inventory,65500,-211900,-214300,-144800,-248700,-174900,-1289700,-1890200,-890600,-1405800
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2090900
81,Other Working Capital,-769400,-1664100,1748700,1102600,10138700,23309900,15877400,15108900,33639100,254815000
82,Other Non-Cash Items,32600,1173000,-3689000,1816600,-8285400,-13588700,4146100,2495400,-19015400,-222156000
83,Cash Provided by Operating Activities,-2125700,-557800,-1925600,-180500,-2335000,-9677100,-10487400,-8802500,-8782100,-10679600
84,CAPEX,-17400,-49500,-147000,-94500,-218800,-609700,-709700,-1271300,-2072100,-3834200
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-12673400,-7424100,-22505900,-268683600
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,9550000,9149900,8000000,77500000
88,Other Investing Activites,5900,- -,- -,- -,- -,- -,- -,- -,- -,4600
89,Cash Used for Investing Activites,-11500,-49500,-147000,-94500,-218800,-609700,-3833100,454500,-16578000,-195013200
90,Debt Repayment,-356200,-18500,-1775600,-150000,- -,- -,-283700,-5105500,-1440000,-66100
91,Common Stock Issued,- -,- -,72500,9000,11948600,23915800,230000,12463000,28968200,51808900
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1726700,-27800,6419800,-581100,-79700,-14300,280500,4953300,1376300,- -
95,Cash Used/Provided by Financing Activities,1370500,-46300,4716700,-722100,11868900,23901500,226800,12310800,28904500,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-766700,-653600,2644100,-997100,9315100,13614700,-14093700,3962800,3544400,29027200
98,Cash at the End of Period,1418500,764900,3409000,2411900,11727000,25341700,11248000,15210800,18755200,47782400
99,Cash at the Beginning of Period,2185200,1418500,764900,3409000,2411900,11727000,25341700,11248000,15210800,18755200
100,Free Cash Flow,-2143100,-607300,-2072600,-275000,-2553800,-10286800,-11197100,-10073800,-10854200,-14513800
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1287098/000155837022004081/0001558370-22-004081-index.htm
102,false,,,,,,,,,,
