,https://roic.ai/company/EPAY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,100000,- -,- -,- -,253000,253000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183682000,- -,- -,6804000,6024000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3157000,3487000,8294000,4396000,1998000,2962000,2546000,3133000,2673000,3182000
51,Deferred Revenue,- -,- -,- -,11498000,13452000,13697000,17586000,20738000,19880000,25188000,30621000,33029000,37461000,40510000,41304000,47184000,66571000,70383000,74332000,74113000,78109000,80734000,88378000,88679000
52,Other Current Liabilities,4200000,7600000,11865000,5579000,5574000,6005000,7901000,9381000,8660000,8475000,10997000,9290000,9715000,18706000,17170000,16070000,25542000,24436000,27512000,29179000,34994000,33945000,41394000,49737000
53,Total Current Liabilities,5500000,9000000,13869000,23485000,24433000,25667000,30814000,36213000,34530000,40313000,50474000,48274000,53033000,68187000,67315000,72187000,108396000,106442000,112062000,295987000,123354000,125626000,149998000,155868000
54,Long-Term Debt,- -,- -,- -,- -,253000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138582000,148795000,159760000,171534000,- -,150000000,110000000,180000000,156629000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10213000,2738000,5438000,7072000,9104000,15997000,17624000,19086000,22047000,23371000,17062000,13959000,12559000
56,Deferred Tax Liabilities,100000,300000,283000,- -,- -,- -,- -,- -,2985000,6258000,6859000,2263000,1432000,2208000,1641000,5457000,23537000,35542000,28147000,15433000,8367000,10345000,8656000,14574000
57,Other Non-Current Liabilities,1300000,-100000,- -,- -,- -,- -,700000,1435000,1711000,2977000,5848000,1852000,1788000,1827000,2157000,3443000,16192000,20578000,27271000,22016000,19944000,26819000,48190000,19864000
58,Total Non-Current Liabilities,1400000,200000,283000,- -,253000,- -,700000,1435000,4696000,9235000,12707000,14328000,5958000,9473000,10870000,156586000,204521000,233504000,246038000,59496000,201682000,164226000,250805000,203626000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27474000,32653000
61,Total Liabilities,6900000,9200000,14152000,23485000,24686000,25667000,30814000,37648000,39226000,49548000,63181000,62602000,58991000,77660000,78185000,228773000,312917000,339946000,358100000,355483000,325036000,289852000,400803000,359494000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,11000,14000,16000,17000,18000,19000,23000,25000,26000,27000,32000,35000,37000,38000,39000,40000,42000,43000,45000,47000,48000,49000
64,Retained Earnings,2500000,6500000,-7789000,-47788000,-86577000,-114431000,-116849000,-110961000,-112795000,-119825000,-124992000,-137280000,-133326000,-97433000,-95728000,-110123000,-129227000,-163907000,-183555000,-216692000,-207115000,-171420000,-180612000,-196844000
65,Other Comprehensive Income/Loss,-1800000,-2700000,-3365000,-6797000,-8393000,1550000,3012000,2350000,3585000,8292000,7766000,-4920000,-9358000,-4524000,-6564000,-10460000,6816000,-13511000,-37668000,-32325000,-30633000,-43593000,-48675000,-16081000
66,Other Total Stockholders Equity,3700000,42100000,68271000,147535000,167585000,160559000,173072000,181385000,245795000,251944000,255465000,262722000,353043000,387596000,416441000,477294000,509798000,525916000,515968000,510930000,548635000,594343000,621573000,669110000
67,Total Stockholders Equity,4400000,45900000,57128000,92964000,72631000,47695000,59253000,72793000,136608000,140436000,138265000,120549000,210391000,285674000,314186000,356749000,387426000,348538000,294787000,261956000,310932000,379377000,392334000,456234000
68,Total Liabilities And Stockholders Equity,11300000,55100000,71280000,116449000,97317000,73362000,90067000,110441000,175834000,189984000,201446000,183151000,269382000,363334000,392371000,585522000,700343000,688484000,652887000,617439000,635968000,669229000,793137000,815728000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11300000,55100000,71280000,116449000,97317000,73362000,90067000,110441000,175834000,189984000,201446000,183151000,269382000,363334000,392371000,585522000,700343000,688484000,652887000,617439000,635968000,669229000,793137000,815728000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1073349/000119312503054386/0001193125-03-054386-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312504155863/0001193125-04-155863-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312505183839/0001193125-05-183839-index.htm,https://www.sec.gov/Archives/edgar/data/1073349/000119312506189496/0001193125-06-189496-index.htm,https://www.sec.gov/Archives/edgar/data/1073349/000119312507199767/0001193125-07-199767-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312508195286/0001193125-08-195286-index.html,- -,https://www.sec.gov/Archives/edgar/data/1073349/000119312510207831/0001193125-10-207831-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312511244233/0001193125-11-244233-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312512369412/0001193125-12-369412-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312513351488/0001193125-13-351488-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312514324477/0001193125-14-324477-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312515306606/0001193125-15-306606-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312516694935/0001193125-16-694935-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312517269991/0001193125-17-269991-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312518261251/0001193125-18-261251-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000107334919000054/0001073349-19-000054-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000107334920000095/0001073349-20-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1073349/000107334921000114/0001073349-21-000114-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1600000,4100000,-14265000,-39999000,-38789000,-27854000,-2418000,5888000,-1834000,-7030000,-5261000,-12288000,3954000,35893000,1705000,-14395000,-19104000,-34680000,-19648000,-33137000,9328000,9432000,-9229000,-16288000
74,Depreciation and Amortization,800000,900000,3864000,34085000,36669000,11353000,6530000,5662000,7158000,12507000,14910000,19477000,17779000,17802000,21477000,26410000,34492000,40890000,42467000,43774000,42070000,44247000,47602000,54351000
75,Deferred Income Tax,-300000,200000,-2435000,3170000,- -,- -,31000,22000,-498000,-896000,-616000,327000,652000,-28146000,-724000,-8729000,-5781000,12173000,-3111000,-7996000,-9465000,-5147000,-829000,336000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9498000,8956000,11467000,13768000,18031000,22821000,27025000,30279000,31913000,34200000,41695000,42044000,45533000
77,Change in Working Capital,200000,39900000,-2724000,-27413000,7137000,-3136000,-300000,10288000,44322000,-16553000,-35518000,10875000,74027000,-4032000,17683000,162207000,-108179000,-49585000,-18320000,-192873000,193751000,-17922000,72210000,-53898000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3903000,-3826000,-9735000,-4024000,2195000,-5690000,-310000,-543000,-2447000,-9675000,-4303000,5763000,1232000
79,Inventory,500000,-500000,-718000,902000,164000,671000,268000,-545000,869000,565000,1285000,-3247000,17000,-27000,-129000,-16000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162000,1945000,-52000,-93000,1535000,-3193000,-682000,-900000,157000,580000,2007000,-2372000
81,Other Working Capital,3800000,43700000,40976000,13563000,20700000,17564000,17264000,27552000,71874000,55321000,19803000,30678000,104705000,100673000,118356000,280563000,172384000,122799000,104479000,-88394000,105357000,87435000,159645000,105747000
82,Other Non-Cash Items,300000,-41400000,18928000,28653000,-426000,20208000,-2060000,-8643000,-37293000,23933000,42666000,-3345000,-78854000,-2483000,-18494000,-141948000,127972000,66877000,35490000,219294000,-193856000,5972000,-54627000,46082000
83,Cash Provided by Operating Activities,2600000,3700000,3368000,-1504000,4591000,571000,1783000,13217000,11855000,11961000,16181000,24544000,26514000,30501000,35415000,41576000,52221000,62700000,67157000,60975000,76028000,78277000,97171000,76116000
84,CAPEX,-1000000,-1400000,-4148000,-2117000,-3707000,-1840000,-1752000,-2169000,-2612000,-3593000,-4971000,-3133000,-4368000,-4692000,-9128000,-10106000,-12652000,-23297000,-27717000,-28173000,-21376000,-53783000,-46650000,-31859000
85,Acquisitions Net,- -,- -,-13981000,-11415000,-1483000,-298000,-3201000,-5802000,-18195000,-17016000,-36730000,- -,-18067000,-59718000,-27375000,-30323000,-153491000,-68017000,-1763000,- -,-13747000,-24036000,- -,-41331000
86,Purchases of Investments,- -,- -,-30441000,-988000,-2248000,- -,-6298000,-24370000,-41796000,-16875000,-276000,-53000,-50000,-11036000,-63000,-12539000,-28531000,-15281000,-32291000,-14058000,-14188000,-8611000,-13723000,-18494000
87,Sales/Maturities of Investments,- -,- -,19211000,12225000,2248000,- -,2010000,13605000,15184000,31750000,27101000,53000,50000,11036000,63000,62000,13928000,15443000,16004000,46986000,10618000,20011000,10938000,10298000
88,Other Investing Activites,- -,- -,- -,-1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,113000,- -,-27709000,-28173000,-21366000,-32882000,-44745000,-34459000
89,Cash Used for Investing Activites,-1000000,-1400000,-29359000,-3695000,-5190000,-2138000,-9241000,-18736000,-47419000,-5734000,-14876000,-3133000,-22435000,-64410000,-36503000,-52850000,-180633000,-91152000,-45759000,4755000,-38683000,-66218000,-47530000,-83986000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-217000,-149000,-153000,-42485000,- -,- -,- -,- -,-192331000,-40736000,-10365000,-50000000
91,Common Stock Issued,200000,36200000,13584000,1681000,18306000,2599000,3010000,5705000,53060000,4154000,5788000,- -,57524000,4864000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-4057000,-1075000,-367000,- -,-61000,-11186000,-10961000,-3469000,-23000,- -,-2504000,-934000,- -,-15041000,-43962000,-39913000,- -,- -,-19145000,-10755000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1300000,-100000,- -,-10502000,-1050000,-278000,-609000,-16000,249000,-1000,52000,1471000,13571000,15315000,17596000,215400000,5665000,4224000,3792000,921000,153507000,3323000,84134000,4589000
95,Cash Used/Provided by Financing Activities,-1100000,36100000,13584000,-8821000,13199000,1246000,2034000,5689000,53248000,-7033000,-5121000,-2248000,70855000,20030000,14939000,171981000,5665000,-10817000,-40170000,-38992000,-38824000,-37413000,54624000,-56166000
96,Effect of Forex Changes on Cash,- -,- -,- -,-25000,84000,192000,346000,-105000,279000,1051000,135000,-4224000,-2431000,3074000,-1003000,-1956000,6868000,-7241000,-5217000,657000,-1230000,-1458000,-930000,6668000
97,Net Change In Cash,- -,38300000,-12407000,-14045000,12684000,-129000,-5078000,65000,17963000,245000,-3681000,14939000,72503000,-10805000,12848000,158751000,-115879000,-46510000,-23989000,27395000,-2709000,-26812000,97031000,-57368000
98,Cash at the End of Period,- -,39700000,27292000,13247000,25931000,25802000,20724000,20789000,38752000,38997000,35316000,50255000,122758000,111953000,124801000,283552000,167673000,121163000,97174000,124569000,121860000,97801000,194832000,143768000
99,Cash at the Beginning of Period,800000,1400000,39699000,27292000,13247000,25931000,25802000,20724000,20789000,38752000,38997000,35316000,50255000,122758000,111953000,124801000,283552000,167673000,121163000,97174000,124569000,124613000,97801000,201136000
100,Free Cash Flow,1600000,2300000,-780000,-3621000,884000,-1269000,31000,11048000,9243000,8368000,11210000,21411000,22146000,25809000,26287000,31470000,39569000,39403000,39440000,32802000,54652000,24494000,50521000,44257000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1073349/000119312503054386/0001193125-03-054386-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312504155863/0001193125-04-155863-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312505183839/0001193125-05-183839-index.htm,https://www.sec.gov/Archives/edgar/data/1073349/000119312506189496/0001193125-06-189496-index.htm,https://www.sec.gov/Archives/edgar/data/1073349/000119312507199767/0001193125-07-199767-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312508195286/0001193125-08-195286-index.html,- -,https://www.sec.gov/Archives/edgar/data/1073349/000119312510207831/0001193125-10-207831-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312511244233/0001193125-11-244233-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312512369412/0001193125-12-369412-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312513351488/0001193125-13-351488-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312514324477/0001193125-14-324477-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312515306606/0001193125-15-306606-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312516694935/0001193125-16-694935-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312517269991/0001193125-17-269991-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312518261251/0001193125-18-261251-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000107334919000054/0001073349-19-000054-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000107334920000095/0001073349-20-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1073349/000107334921000114/0001073349-21-000114-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
