,https://roic.ai/company/TGTX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-3600000,-5100000,-2600000,-2300000,-5726383,-1668719,-1497435,-4569107,-6014679,-19303271,-9940141,-12095612,-4386596,-1766027,-2013334,-881974,-16836740,-19524195,-54846645,-61960458,-78189934,-118393657,-173394000,-167484000,-272894000,-347819000
16,EBITDA ratio,-36.0000,-51.0000,-0.8667,-1.9167,-1.0686,-0.6153,-2.9949,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-883.9112,-128.1275,-359.9310,-406.6154,-513.1213,-776.9581,-1140.7500,-1101.8684,-1795.3553,-51.9987
17,Operating Income,-3800000,-5300000,-2700000,-2700000,-3162492,-3107380,-1552915,-4758353,-6142823,-19357005,-10000327,-12143957,-4412702,-1771558,-2016735,-881974,-26895099,-22965989,-55721092,-63180016,-78969128,-118711751,-174400000,-169055000,-273594000,-344770000
18,Operating Income ratio,-38.0000,-53.0000,-0.9000,-2.2500,-0.5901,-1.1458,-3.1058,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1411.9645,-150.7143,-365.6696,-414.6187,-518.2347,-779.0456,-1147.3684,-1112.2039,-1799.9605,-51.5428
19,Total Other Income Expenses (Gains),200000,200000,- -,- -,-2732656,1330425,-5232,-2462108,71182,5852,-1002,- -,-250000,-1060065,3362983,-7097,1042147,2487779,-60185,231370,716234,235739,918000,-3816000,-5787000,-3331000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-889071,-25852952,-20478210,-55781277,-62948646,-78252894,-118476012,-173482000,-172871000,-279381000,-348101000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-1357.2528,-134.3882,-366.0645,-413.1004,-513.5345,-777.4986,-1141.3289,-1137.3092,-1838.0329,-52.0408
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3600000,-5200000,-2800000,-2400000,-5802478,-1734945,-1546935,-5960907,-5896031,-19140997,-9695123,-12032252,-4268858,-2793285,623645,-853074,-18072719,-20478210,-55781277,-62948646,-78252894,-118476012,-173482000,-172871000,-279381000,-348101000
24,Net Income ratio,-36.0000,-52.0000,-0.9333,-2.0000,-1.0828,-0.6397,-3.0939,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-948.7988,-134.3882,-366.0645,-413.1004,-513.5345,-777.4986,-1141.3289,-1137.3092,-1838.0329,-52.0408
25,EPS,-17391.30,-40825.69,-13750.00,-7894.74,-15741.95,-2299.14,-1406.23,-787.49,-674.99,-1237.48,-449.99,-506.24,-168.75,-112.50,16.87,-0.44,-1.38,-0.81,-1.64,-1.38,-1.60,-1.91,-2.30,-1.96,-2.42,-2.63
26,EPS Diluted,-17391.30,-40825.69,-13750.00,-7894.74,-15741.95,-2299.14,-1406.23,-787.49,-674.99,-1237.48,-449.99,-506.24,-168.75,-112.50,16.87,-0.44,-1.38,-0.81,-1.64,-1.38,-1.60,-1.91,-2.30,-1.96,-2.42,-2.63
27,Weighted Average Shares Outstanding,207,218,320,342,435,1135,1206,7960,9577,15482,21373,24183,25111,25111,39778,1926220,13113758,25413964,34068926,45646414,49041354,62069570,75466813,88368844,115333693,132222753
28,Weighted Average Shares Outstanding Diluted,207,218,320,342,435,1135,1206,7960,9577,15482,21373,24183,25111,25111,39778,1926220,13113758,25413964,34068926,45646414,49041354,62069570,75466813,88368844,115333693,132222753
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001316/000114420405009774/0001144204-05-009774-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420406012816/0001144204-06-012816-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420407016356/0001144204-07-016356-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420408018580/0001144204-08-018580-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420409017604/0001144204-09-017604-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420410017110/0001144204-10-017110-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420411018740/0001144204-11-018740-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420412014947/0001144204-12-014947-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420413016691/0001144204-13-016691-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420414014207/0001144204-14-014207-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420415016369/0001144204-15-016369-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420416088155/0001144204-16-088155-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000165495417002050/0001654954-17-002050-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000165495418002638/0001654954-18-002638-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000165495419002189/0001654954-19-002189-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1001316/000155837021002149/0001558370-21-002149-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000155837022002617/0001558370-22-002617-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2300000,8500000,5800000,3500000,2663583,1591761,116291,7413803,905656,9826336,3029118,649686,106023,17996,478668,9748491,16455995,40485466,55713784,55061329,25031280,56717847,41958000,112637000,553439000,298887000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,352147,4514216,1007818,- -,- -,- -,- -,- -,- -,- -,- -,23062034,22166512,19853860,27998810,26848000,27798000,51987000,- -
33,Cash and Short-Term Investments,2300000,8500000,5800000,3500000,2663583,1591761,116291,7765950,5419872,10834154,3029118,649686,106023,17996,478668,9748491,16455995,40485466,78775818,77227841,44885140,84716657,68806000,140435000,605426000,298887000
34,Net Receivables,- -,- -,400000,300000,192997,- -,- -,- -,- -,- -,- -,- -,- -,- -,244479,- -,- -,27169,85516,186021,83852,108468,95000,- -,- -,1389000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,100000,- -,22599,38593,58630,24981,40126,194776,264586,215852,768217,245729,146030,87176,2019887,1790628,6353695,9459469,5895152,8492275,10130000,8716000,6314000,30689000
37,Total Current Assets,2300000,8500000,6300000,3800000,2879179,1630354,174921,7790931,5459998,11028930,3293704,865538,874240,263725,869177,9835667,18475882,42303263,85215029,86873331,50864144,93317400,79031000,149151000,611740000,330965000
38,PP&E,100000,300000,300000,100000,227088,105153,55881,8021,119017,106877,83743,44533,9072,3541,2984,- -,1164,5718,20357,47122,2370429,2677454,2545000,11813000,11844000,11068000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629752,799391,799391,799391,799391,799391,799391,799000,799000,799000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5441839,2797600,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6071591,3596991,799391,799391,799391,799391,799391,799000,799000,799000,799000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4918897,- -,25003032,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-100000,100000,70245,22838,19938,- -,70506,70506,70506,70506,365651,98396,17763480,- -,- -,85121,712113,750325,747583,587291,1241000,1251000,1259000,36797000
45,Total Non-Current Assets,100000,300000,200000,200000,297333,127991,75819,8021,189523,177383,154249,115039,374723,101937,17766464,6071591,3598155,5809127,1531861,26599870,3917403,4064136,4585000,13863000,13902000,48664000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2400000,8800000,6500000,4000000,3176512,1758345,250740,7798952,5649521,11206313,3447953,980577,1248963,365662,18635641,15907258,22074037,48112390,86746890,113473201,54781547,97381536,83616000,163014000,625642000,379629000
48,Accounts Payable,- -,- -,- -,500000,785838,508613,577732,548595,1143603,1617489,1393296,1279485,542296,215400,223516,666640,1117397,4764502,3991625,9346068,15267668,25877218,- -,- -,37014000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,1274062,2054246,877778,677778,677778,275190,211549,68875,127614,67000,1616000,23848000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152381,152381,152381,152381,152381,152381,152000,- -,610000,- -
52,Other Current Liabilities,300000,400000,700000,- -,1294615,- -,- -,417425,52102,48328,550029,592177,874072,1042745,1015736,61941,268511,722517,702000,818472,1389516,1800000,38635000,82833000,26082000,- -
53,Total Current Liabilities,300000,400000,700000,500000,2080453,508613,577732,966020,1195705,1665817,1943325,1871662,1486368,2532207,3293498,1606359,2216067,6317178,5121196,10528470,16878440,27957213,38854000,84449000,87554000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1189344,669229,16757268,4006666,2479098,64529,- -,- -,- -,- -,- -,39188000,7716000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1828571,1676191,1523810,1371429,1219048,1066667,914000,762000,610000,457000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,2949176,3949176,3949176,658031,- -,- -,- -,- -,816257,1364601,19812000,- -,10412000,76635000
58,Total Non-Current Liabilities,- -,- -,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,4138520,4618405,20706444,4664697,4307669,1740720,1523810,1371429,2035305,2431268,20726000,39950000,18738000,77092000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219568000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11834000,12081000,11284000
61,Total Liabilities,300000,400000,600000,600000,2080453,508613,577732,966020,1195705,1665817,1943325,1871662,5624888,7150612,23999942,6271056,6523736,8057898,6645006,11899899,18913745,30388481,59580000,124399000,106292000,142476000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,520642,1000,854,- -,- -,- -,- -,- -,- -,413,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,500000,6122,15965,16990,23362,28309,60093,60120,70624,70624,70624,120966,284684,25821,34336,44974,54095,56820,73182,84000,109000,141000,143000
64,Retained Earnings,-8400000,-13500000,-16300000,-18800000,-24826334,-26728406,-28275341,-7473205,-13955035,-33271695,-42966818,-54999070,-59267928,-61933435,-61309790,-853074,-18925793,-39404003,-95185280,-158133926,-236386820,-354862832,-528345000,-701216000,-980597000,-1328698000
65,Other Comprehensive Income/Loss,-100000,-200000,-300000,-200000,-297266,-48848,-77098,-7760,296480,987,-160297,-181477,-26833,-32364,-35764,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,10600000,22100000,22500000,21900000,25613537,28011021,27487815,14289535,18083208,42751111,44571623,54218838,54848212,55110225,55860287,10192498,34450273,79424159,175242190,259653133,272197802,421782705,552297000,739722000,1499806000,- -
67,Total Stockholders Equity,2100000,8400000,5900000,3400000,496059,1249732,-326992,6832932,4453816,9540496,1504628,-891085,-4375925,-6784950,-5364301,9624521,15550301,40054492,80101884,101573302,35867802,66993055,24036000,38615000,519350000,237153000
68,Total Liabilities And Stockholders Equity,2400000,8800000,6500000,4000000,2576512,1758345,250740,7798952,5649521,11206313,3447953,980577,1248963,365662,18635641,15895577,22074037,48112390,86746890,113473201,54781547,97381536,83616000,163014000,625642000,379629000
69,Minority Interest,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11681,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2400000,8800000,6500000,4000000,3176512,1758345,250740,7798952,5649521,11206313,3447953,980577,1248963,365662,18635641,15907258,22074037,48112390,86746890,113473201,54781547,97381536,83616000,163014000,625642000,379629000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001316/000114420405009774/0001144204-05-009774-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420406012816/0001144204-06-012816-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420407016356/0001144204-07-016356-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420408018580/0001144204-08-018580-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420409017604/0001144204-09-017604-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420410017110/0001144204-10-017110-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420411018740/0001144204-11-018740-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420412014947/0001144204-12-014947-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420413016691/0001144204-13-016691-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420414014207/0001144204-14-014207-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420415016369/0001144204-15-016369-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420416088155/0001144204-16-088155-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000165495417002050/0001654954-17-002050-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000165495418002638/0001654954-18-002638-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000165495419002189/0001654954-19-002189-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1001316/000155837021002149/0001558370-21-002149-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000155837022002617/0001558370-22-002617-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3600000,-5200000,-2800000,-2400000,-5802478,-1734945,-1546935,-5960907,-5896031,-19140997,-9695123,-12032252,-4268858,-2793285,623645,-853074,-18072719,-20478210,-55781277,-62948646,-78252894,-118476012,-173482000,-172871000,-279381000,-348101000
74,Depreciation and Amortization,- -,100000,200000,100000,76095,66226,49500,189246,128144,53734,60186,48345,26106,5531,3401,- -,235,1127,3931,15452,62960,82355,88000,100000,158000,282000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,463890,353438,217479,86494,3422182,5203148,21105292,15697092,7509999,15945284,12886000,11335000,80289000,- -
77,Change in Working Capital,-600000,6100000,-2500000,-2300000,-2501274,323015,-1524552,7227722,-2560618,5098820,-8012734,-2356503,393996,-1656354,-155839,10653629,8030507,19726270,44107748,-3748972,-42359157,31374483,-25183187,24525000,459484000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-244479,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1389000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-737189,-326896,- -,- -,595757,4034605,-603377,5470915,6492644,- -,- -,-4795000,11631000,- -
81,Other Working Capital,2000000,8100000,5600000,3300000,798726,1121741,-402811,6824911,4264293,9363113,1350379,-1006124,-612128,-2268482,-2424321,8229308,16259815,35986085,80093833,76344861,33985704,65360187,40177000,64702000,524186000,- -
82,Other Non-Cash Items,200000,-5100000,2500000,2300000,7074610,-3128661,1589421,-4907586,2638060,7743501,9896933,4110699,-1059143,3040871,-2658799,-9973626,1431831,-15276566,-44495613,6294802,51447762,-22689672,56766187,4105000,-475057000,347819000
83,Cash Provided by Operating Activities,-4000000,-4100000,-2600000,-2300000,-1153047,-4474365,-1432566,-3451525,-5690445,-6244942,-7750738,-10229711,-4444009,-1049799,-1970113,-86577,-5187964,-10824231,-35059919,-44690272,-61591330,-93763562,-128925000,-132806000,-214507000,- -
84,CAPEX,-100000,-200000,-200000,-100000,-171351,-108250,-5460,-6554,-138340,-39555,-37052,-9134,-8973,- -,-2844,- -,-1399,-5681,-18570,-42217,-343985,-2227,-90000,-131000,-357000,-401000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-32808,- -,6777,- -,- -,- -,- -,519365,10386,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-146618,- -,- -,- -,-5000979,- -,- -,- -,- -,- -,- -,- -,- -,-4919871,-18336719,-48993652,-15199922,-28006270,-31230000,-29837000,-67403000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,931089,3499999,1005829,- -,- -,- -,- -,- -,- -,- -,- -,24350000,42089219,19800000,32500000,29250000,43250000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,3000000,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-100000,-200000,-200000,-100000,-317969,2891750,-5460,160638,-4208230,3467221,968777,-9134,-8973,- -,516521,10386,-1399,-4925552,-18355289,-24685869,26545312,-8208497,1180000,-718000,-24510000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000,- -,- -,-200001,- -,-677778,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,1500000,10600000,100000,- -,1173086,1939961,- -,9789867,3391818,12351099,- -,7859413,- -,- -,2163486,9824682,- -,37648280,65614260,67760517,4411233,131515541,113639000,175021000,679680000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-511808,-617067,- -,-300,-1290,- -,-15257,- -,- -,- -,- -,- -,-84538,-149799,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-987,-807,- -,- -,-1296,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,- -,- -,- -,- -,-811114,-36637,-806000,- -,-651402,- -,- -,3909319,1031772,-249222,- -,12181406,2280773,3707044,963169,604736,2143085,- -,29192000,147000,- -
95,Cash Used/Provided by Financing Activities,1300000,10600000,100000,- -,661278,510793,-37444,8983567,3390528,11698401,-15257,7859413,3909319,961772,1914264,9824682,11896867,39779254,68643526,68723686,5015969,133658626,113639000,204213000,679827000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2800000,10600000,100000,-2300000,-809738,-1071822,-1475470,5692680,-6508147,8920680,-6797218,-2379432,-543663,-88027,460672,9824682,6707504,24029471,15228318,-652455,-30030049,31686567,-14106000,70689000,440810000,- -
98,Cash at the End of Period,2200000,- -,- -,3500000,2663583,1591761,116291,7413803,905656,9826336,3029118,649686,106023,17996,478668,9748491,16455995,40485466,55713784,55061329,25031280,56717847,43199000,113888000,554698000,- -
99,Cash at the Beginning of Period,5000000,2300000,8500000,5800000,3473321,2663583,1591761,1721123,7413803,905656,9826336,3029118,649686,106023,17996,- -,9748491,16455995,40485466,55713784,55061329,25031280,57305000,43199000,113888000,554698000
100,Free Cash Flow,-4100000,-4300000,-2800000,-2400000,-1324398,-4582615,-1438026,-3458079,-5828785,-6284497,-7787790,-10238845,-4452982,-1049799,-1972957,-86577,-5189363,-10829912,-35078489,-44732489,-61935315,-93765789,-129015000,-132937000,-214864000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001316/000114420405009774/0001144204-05-009774-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420406012816/0001144204-06-012816-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420407016356/0001144204-07-016356-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420408018580/0001144204-08-018580-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420409017604/0001144204-09-017604-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420410017110/0001144204-10-017110-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420411018740/0001144204-11-018740-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420412014947/0001144204-12-014947-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420413016691/0001144204-13-016691-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420414014207/0001144204-14-014207-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420415016369/0001144204-15-016369-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000114420416088155/0001144204-16-088155-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000165495417002050/0001654954-17-002050-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000165495418002638/0001654954-18-002638-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000165495419002189/0001654954-19-002189-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1001316/000155837021002149/0001558370-21-002149-index.htm,https://www.sec.gov/Archives/edgar/data/1001316/000155837022002617/0001558370-22-002617-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
