,https://roic.ai/company/HUT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,- -,-4.22,-4.22,-1.58,-2.11,-2.11,-2.43,0.02,0.20,-0.54
26,EPS Diluted,- -,-4.22,-4.22,-1.58,-2.11,-2.11,-2.43,0.02,0.20,-0.54
27,Weighted Average Shares Outstanding,246311,42173,56841,56841,56841,56841,56188943,89397573,93837221,134156157
28,Weighted Average Shares Outstanding Diluted,246311,42173,56841,56841,56841,56841,56188943,90611007,94243888,134156157
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,461738,598301,539917,396287,328844,286252,3556560,2946017,2815939,140126642
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,461738,598301,539917,396287,328844,286252,3556560,2946017,2815939,140126642
34,Net Receivables,- -,9680,7896,14302,6695,5343,- -,943438,451061,647428
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,79901,10805295,102053685,327305154
37,Total Current Assets,461738,607981,547813,410589,335539,291595,3636461,14694750,105320685,468079224
38,PP&E,- -,- -,- -,- -,- -,- -,58127010,34382070,39277179,233139702
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,381200,625002,604468,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,381200,625002,604468,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,38262,- -,- -,- -,- -,- -,20750783,21535422,- -,19489635
45,Total Non-Current Assets,38262,- -,- -,- -,- -,- -,79258993,56542494,39881647,252629337
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,500000,607981,547813,410589,335539,291595,82895453,71237244,145202332,720708561
48,Accounts Payable,- -,- -,- -,- -,- -,- -,16869179,563868,3726309,7067443
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,4070004,6231548,25756942,16494463
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,21505,186556,131439,161827,223842,1000670,1932996,164203,2501927
53,Total Current Liabilities,- -,21505,186556,131439,161827,223842,21939853,8728412,29647454,26063833
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,28296238,19807075,- -,24200015
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5456114
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,99021368
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,28296238,19807075,- -,128677497
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,292942,- -
61,Total Liabilities,- -,21505,186556,131439,161827,223842,50236091,28535487,29647454,154741330
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,500000,658049,658049,658049,658049,658049,162733360,170622599,178231290,636597470
64,Retained Earnings,- -,-168873,-394092,-476199,-581637,-687596,-136671025,-134589223,-115549069,-188259503
65,Other Comprehensive Income/Loss,- -,97300,97300,97300,97300,97300,4061740,-80152277,45680940,103540357
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,86820658,7191718,14088907
67,Total Stockholders Equity,500000,586476,361257,279150,173712,67753,32659362,42701757,115554879,565967231
68,Total Liabilities And Stockholders Equity,- -,607981,547813,410589,335539,291595,82895453,71237244,145202333,720708561
69,Minority Interest,500000,- -,- -,- -,- -,- -,- -,- -,-1,- -
70,Total Liabilities & Equity,500000,607981,547813,410589,335539,291595,82895453,71237244,145202332,720708561
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-168873,-225219,-82107,-105438,-105959,-136765537,2130570,19040154,-72710434
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,47018781,33053597,21264918,23287650
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-15048707,5620296
76,Stock Based Compensation,- -,81400,- -,- -,- -,- -,3517013,2905408,-284434,9875359
77,Change in Working Capital,- -,11825,166835,-61523,37995,63367,8421856,-13074965,1252547,2168616
78,Accounts Receivable,- -,-9680,1784,-6406,7607,1352,- -,- -,-451061,244795
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,25000,- -,- -,71035400,-10506035,-27516475,-48482985
83,Cash Provided by Operating Activities,- -,-75648,-58384,-118630,-67443,-42592,-6772487,14508575,-1291997,-80241498
84,CAPEX,- -,- -,- -,- -,- -,- -,-84363382,-9234400,-5810969,-86431354
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-25000,- -,- -,-5800095,-497734,-1329640,-148635586
89,Cash Used for Investing Activites,- -,- -,- -,-25000,- -,- -,-90163477,-9732134,-7140609,-235066940
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-25342985,-6645706,-40448306
91,Common Stock Issued,500000,300000,- -,- -,- -,- -,54840426,- -,7494622,390894999
92,Common Stock Repurchased,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-38262,-87789,- -,- -,- -,- -,22403613,19956001,7453612,105394014
95,Cash Used/Provided by Financing Activities,461737,212211,- -,- -,- -,- -,77244039,-5386984,8302528,455840707
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3221566
97,Net Change In Cash,461737,136563,-58384,-143630,-67443,-42592,-19691925,-610543,-130078,137310703
98,Cash at the End of Period,461738,598301,539917,396287,328844,286252,3556560,2946017,2815939,140126642
99,Cash at the Beginning of Period,1,461738,598301,539917,396287,328844,23248485,3556560,2946017,2815939
100,Free Cash Flow,- -,-75648,-58384,-118630,-67443,-42592,-91135869,5274175,-7102966,-166672852
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.9835,0.9505,0.9369,0.8003,0.7736,0.7712,0.7332,0.77,0.7851,0.7913
