,https://roic.ai/company/ITOX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1290658/000101489705000088/0001014897-05-000088-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1290658/000101489709000035/0001014897-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489710000036/0001014897-10-000036-index.html,- -,https://www.sec.gov/Archives/edgar/data/1290658/000101489712000061/0001014897-12-000061-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489713000088/0001014897-13-000088-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489714000108/0001014897-14-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000101489715000086/0001014897-15-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000101489716000509/0001014897-16-000509-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489717000049/0001014897-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000168316818001033/0001683168-18-001033-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000168316819001071/0001683168-19-001071-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000168316820002038/0001683168-20-002038-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000168316821001249/0001683168-21-001249-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,210000,360000,270000,250000,200000,180000,150000,170000,150000,120000,88080,28860,39650,60860,39230,24212,103074
32,Short-Term Investments,70000,10000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,280000,370000,370000,250000,200000,180000,150000,170000,150000,120000,88080,28860,39650,60860,39230,24212,103074
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39800,33000,28004,- -
35,Inventory,60000,60000,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16560,4450,3710,2427
37,Total Current Assets,340000,430000,430000,250000,200000,180000,150000,170000,150000,120000,88080,28860,39650,117220,77000,55926,105501
38,PP&E,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,446990,397492,347856
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,446990,397492,347856
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,446990,397492,347856
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,350000,430000,430000,250000,200000,180000,150000,170000,150000,120000,88080,28860,39650,118220,523990,453418,453357
48,Accounts Payable,30000,10000,10000,- -,- -,10000,- -,- -,20000,10000,15120,7230,30170,38360,377960,164562,169914
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,953219
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46425
52,Other Current Liabilities,30000,20000,20000,20000,20000,10000,20000,20000,10000,20000,12750,13000,12950,1200,449730,1500369,1601379
53,Total Current Liabilities,60000,30000,30000,20000,20000,20000,20000,20000,30000,30000,27870,20230,43120,39560,827690,1664931,2770937
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234930,706508,36700
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,1000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235930,706508,37700
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1414016,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,60000,30000,30000,20000,20000,20000,20000,20000,30000,30000,27870,20230,43120,39560,1063620,2372439,2808637
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186026
63,Common Stock,- -,10000,10000,10000,10000,10000,10000,10000,10000,10000,5270,5270,5270,38980,40630,43314,145111
64,Retained Earnings,-80000,-380000,-480000,-560000,-600000,-630000,-650000,-640000,-660000,-700000,-726430,-778020,-790110,-1539720,-3153020,-5040307,-7480678
65,Other Comprehensive Income/Loss,-138000,- -,95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,365409,773332,781074,781207,773776,777175,776191,781554,772255,779965,781373,781371,781368,1579403,2572754,3077972,4794261
67,Total Stockholders Equity,285409,403332,406074,231207,183776,157175,136191,151554,122255,89965,60213,8621,-3472,78663,-539636,-1919021,-2355280
68,Total Liabilities And Stockholders Equity,345409,433332,436074,251207,203776,177175,156191,171554,152255,119965,88083,28851,39648,118223,523984,453418,453357
69,Minority Interest,4591,-3332,-6074,-1207,-3776,2825,-6191,-1554,-2255,35,-3,9,2,-3,6,- -,- -
70,Total Liabilities & Equity,350000,430000,430000,250000,200000,180000,150000,170000,150000,120000,88080,28860,39650,118220,523990,453418,453357
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1290658/000101489705000088/0001014897-05-000088-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1290658/000101489709000035/0001014897-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489710000036/0001014897-10-000036-index.html,- -,https://www.sec.gov/Archives/edgar/data/1290658/000101489712000061/0001014897-12-000061-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489713000088/0001014897-13-000088-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489714000108/0001014897-14-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000101489715000086/0001014897-15-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000101489716000509/0001014897-16-000509-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489717000049/0001014897-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000168316818001033/0001683168-18-001033-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000168316819001071/0001683168-19-001071-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000168316820002038/0001683168-20-002038-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000168316821001249/0001683168-21-001249-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-60000,-300000,-90000,-80000,-50000,-30000,-20000,20000,-30000,-30000,-29750,-51590,-12090,-1531100,-1613300,-1887287,-2235111
74,Depreciation and Amortization,974,1299,1300,1300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48220,49500,49636
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,995500,449729,354360,- -
77,Change in Working Capital,18961,120000,- -,-170000,-50000,-20000,-30000,20000,-30000,-30000,-29790,-51580,-12100,81130,-828350,-858315,-1056431
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39800,6800,4996,28004
79,Inventory,-11371,-2240,3469,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10035,-317,317,- -
80,Accounts Payable,- -,- -,- -,- -,1299,5979,-3228,879,12949,-3478,716,-7882,22934,38357,339402,18274,5352
81,Other Working Capital,280000,400000,400000,230000,180000,160000,130000,150000,120000,90000,60210,8630,-3470,77660,-750690,-1609005,-2665436
82,Other Non-Cash Items,-4598,42298,762,193297,54975,27078,24988,-23573,44085,24432,30434,43946,34981,-36231,1422064,2016728,3124768
83,Cash Provided by Operating Activities,-44663,-136403,-87938,-55403,-45025,-22922,-25012,16427,-15915,-35568,-29106,-59224,10791,-490701,-521637,-325014,-117138
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,195482,- -,30120,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -
89,Cash Used for Investing Activites,-5000,195482,- -,30120,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000
91,Common Stock Issued,- -,86000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70723,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,310000,296000
95,Cash Used/Provided by Financing Activities,- -,86000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70723,500000,310000,196000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-49663,145079,-87938,-25283,-45025,-22922,-25012,16427,-15915,-35568,-29106,-59224,10791,-420978,-21637,-15014,78862
98,Cash at the End of Period,213341,358420,270482,245199,200175,177253,152241,168668,152753,117185,88079,28855,39646,60863,39226,24212,103074
99,Cash at the Beginning of Period,263004,213341,358420,270482,245200,200175,177253,152241,168668,152753,117185,88079,28855,481841,60863,39226,24212
100,Free Cash Flow,-44663,-136403,-87938,-55403,-45025,-22922,-25012,16427,-15915,-35568,-29106,-59224,10791,-491701,-521637,-325014,-117138
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1290658/000101489705000088/0001014897-05-000088-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1290658/000101489709000035/0001014897-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489710000036/0001014897-10-000036-index.html,- -,https://www.sec.gov/Archives/edgar/data/1290658/000101489712000061/0001014897-12-000061-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489713000088/0001014897-13-000088-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489714000108/0001014897-14-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000101489715000086/0001014897-15-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000101489716000509/0001014897-16-000509-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000101489717000049/0001014897-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/1290658/000168316818001033/0001683168-18-001033-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000168316819001071/0001683168-19-001071-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000168316820002038/0001683168-20-002038-index.htm,https://www.sec.gov/Archives/edgar/data/1290658/000168316821001249/0001683168-21-001249-index.htm
102,false,,,,,,,,,,,,,,,,,
