,https://roic.ai/company/STX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-285000000,-697000000,374000000,691000000,444000000,722000000,874000000,614000000,1376000000,-2635000000,1740000000,806000000,3108000000,2091000000,1776000000,2058000000,445000000,1054000000,1634000000,1487000000,1300000000,1492000000
18,Operating Income ratio,-0.0469,-0.1168,0.0614,0.1065,0.0713,0.0956,0.0949,0.0540,0.1083,-0.2687,0.1527,0.0735,0.2080,0.1457,0.1294,0.1498,0.0399,0.0979,0.1461,0.1431,0.1237,0.1397
19,Total Other Income Expenses (Gains),- -,-22000000,-135000000,-31000000,-16000000,10000000,50000000,-53000000,-58000000,-179000000,-171000000,-227000000,-226000000,-260000000,-220000000,-88000000,-171000000,-239000000,-216000000,-115000000,-268000000,-144000000
20,Income Before Tax,- -,-719000000,239000000,660000000,428000000,732000000,924000000,561000000,1318000000,-2814000000,1569000000,579000000,2882000000,1831000000,1556000000,1970000000,274000000,815000000,1418000000,1372000000,1032000000,1348000000
21,Income Before Tax Ratio,- -,-0.1205,0.0393,0.1018,0.0688,0.0969,0.1004,0.0494,0.1037,-0.2870,0.1377,0.0528,0.1929,0.1276,0.1134,0.1434,0.0246,0.0757,0.1268,0.1321,0.0982,0.1262
22,Income Tax expense (Gain),- -,-197000000,86000000,19000000,-101000000,25000000,84000000,-352000000,67000000,311000000,-40000000,68000000,20000000,-7000000,-14000000,228000000,26000000,43000000,236000000,-640000000,28000000,34000000
23,Net Income,366000000,-522000000,153000000,641000000,529000000,707000000,840000000,913000000,1251000000,-3125000000,1609000000,511000000,2862000000,1838000000,1570000000,1742000000,248000000,772000000,1182000000,2012000000,1004000000,1314000000
24,Net Income ratio,0.0603,-0.0875,0.0251,0.0988,0.0850,0.0936,0.0912,0.0804,0.0984,-0.3187,0.1412,0.0466,0.1916,0.1281,0.1144,0.1268,0.0222,0.0717,0.1057,0.1936,0.0955,0.1230
25,EPS,0.91,-1.30,0.38,1.53,1.17,1.51,1.70,1.64,2.46,-6.32,3.28,1.13,6.72,4.97,4.66,5.38,0.83,2.61,4.10,7.13,3.83,5.43
26,EPS Diluted,0.80,-1.30,0.36,1.36,1.06,1.41,1.60,1.56,2.36,-6.32,3.14,1.09,6.49,4.81,4.52,5.26,0.82,2.58,4.05,7.06,3.79,5.36
27,Weighted Average Shares Outstanding,402000000,402000000,401000000,418000000,452000000,468000000,495000000,558000000,512000000,488000000,491000000,451000000,426000000,370000000,337000000,324000000,299000000,296000000,288000000,282000000,262000000,242000000
28,Weighted Average Shares Outstanding Diluted,456000000,456000000,428000000,470000000,498000000,502000000,524000000,587000000,538000000,488000000,514000000,467000000,441000000,382000000,347000000,331000000,302000000,299000000,292000000,285000000,265000000,245000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1137789/000119312503040541/0001193125-03-040541-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312504136208/0001193125-04-136208-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312505153934/d10k.htm,https://www.sec.gov/Archives/edgar/data/1137789/000119312506188012/d10k.htm,https://www.sec.gov/Archives/edgar/data/1137789/000095013407018993/0000950134-07-018993-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312508175417/0001193125-08-175417-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746909007888/0001047469-09-007888-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746910007649/0001047469-10-007649-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746911007483/0001047469-11-007483-index.html,- -,https://www.sec.gov/Archives/edgar/data/1137789/000104746913008213/0001047469-13-008213-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746914006770/0001047469-14-006770-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746915006787/0001047469-15-006787-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746916014732/0001047469-16-014732-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312517248796/0001193125-17-248796-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312518238271/0001193125-18-238271-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312519212028/0001193125-19-212028-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000113778920000057/0001137789-20-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778921000049/0001137789-21-000049-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,726000000,612000000,749000000,422000000,746000000,910000000,988000000,990000000,1427000000,2263000000,2677000000,1707000000,1708000000,2634000000,2479000000,1125000000,2539000000,1853000000,2220000000,1722000000,1209000000
32,Short-Term Investments,- -,183000000,231000000,445000000,761000000,1090000000,823000000,156000000,151000000,114000000,252000000,474000000,411000000,480000000,20000000,6000000,6000000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,909000000,843000000,1194000000,1183000000,1836000000,1733000000,1144000000,1141000000,1541000000,2515000000,3151000000,2118000000,2188000000,2654000000,2485000000,1131000000,2539000000,1853000000,2220000000,1722000000,1209000000
34,Net Receivables,- -,539000000,614000000,611000000,691000000,1094000000,1445000000,1493000000,1758000000,1359000000,1751000000,2014000000,2920000000,1999000000,1841000000,1801000000,1318000000,1199000000,1184000000,989000000,1115000000,1158000000
35,Inventory,- -,322000000,347000000,319000000,449000000,431000000,891000000,794000000,945000000,587000000,757000000,872000000,909000000,854000000,985000000,993000000,868000000,982000000,1053000000,970000000,1142000000,1204000000
36,Other Current Assets,- -,168000000,158000000,158000000,138000000,141000000,264000000,370000000,428000000,807000000,395000000,388000000,363000000,371000000,297000000,289000000,216000000,321000000,220000000,184000000,135000000,208000000
37,Total Current Assets,- -,1938000000,1962000000,2282000000,2461000000,3502000000,4333000000,3801000000,4272000000,4294000000,5418000000,6425000000,6310000000,5412000000,5777000000,5568000000,3533000000,5041000000,4310000000,4363000000,4114000000,3779000000
38,PP&E,- -,802000000,1022000000,1111000000,1301000000,1529000000,2106000000,2278000000,2464000000,2229000000,2263000000,2245000000,2284000000,2269000000,2136000000,2278000000,2160000000,1875000000,1792000000,1869000000,2232000000,2278000000
39,Goodwill,- -,- -,- -,- -,- -,- -,2475000000,2300000000,2352000000,31000000,31000000,31000000,463000000,476000000,537000000,874000000,1237000000,1238000000,1237000000,1237000000,1237000000,1237000000
40,Intangible Assets,- -,123000000,6000000,- -,- -,3000000,307000000,188000000,111000000,42000000,7000000,1000000,506000000,405000000,359000000,370000000,448000000,281000000,188000000,111000000,58000000,29000000
41,Intangible Assets,- -,123000000,6000000,- -,- -,3000000,2782000000,2488000000,2463000000,73000000,38000000,32000000,969000000,881000000,896000000,1244000000,1685000000,1519000000,1425000000,1348000000,1295000000,1266000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1275000000,7000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396000000,- -,- -,- -,- -,- -,- -,- -,- -,1117000000
44,Other Non-Current Assets,- -,103000000,105000000,124000000,180000000,210000000,323000000,905000000,921000000,491000000,528000000,523000000,147000000,681000000,683000000,755000000,835000000,833000000,608000000,1298000000,1289000000,235000000
45,Total Non-Current Assets,- -,1028000000,1133000000,1235000000,1481000000,1742000000,5211000000,5671000000,5848000000,2793000000,2829000000,2800000000,3796000000,3831000000,3715000000,4277000000,4680000000,4227000000,5100000000,4522000000,4816000000,4896000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2966000000,3095000000,3517000000,3942000000,5244000000,9544000000,9472000000,10120000000,7087000000,8247000000,9225000000,10106000000,9243000000,9492000000,9845000000,8213000000,9268000000,9410000000,8885000000,8930000000,8675000000
48,Accounts Payable,- -,530000000,755000000,651000000,740000000,1108000000,1692000000,1301000000,1652000000,1573000000,1780000000,2063000000,2286000000,1690000000,1549000000,1540000000,1517000000,1626000000,1728000000,1420000000,1808000000,1725000000
49,Short-Term Debt,- -,- -,- -,4000000,4000000,4000000,330000000,330000000,360000000,771000000,329000000,560000000,- -,3000000,- -,- -,- -,- -,499000000,- -,33000000,260000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,196000000,274000000,94000000,118000000,99000000,- -,115000000,126000000,122000000,616000000,609000000,417000000,1114000000,1120000000,- -
52,Other Current Liabilities,- -,758000000,848000000,708000000,504000000,668000000,1315000000,822000000,1001000000,756000000,770000000,741000000,1110000000,803000000,723000000,681000000,116000000,391000000,546000000,-302000000,-239000000,936000000
53,Total Current Liabilities,- -,1288000000,1603000000,1363000000,1248000000,1780000000,3337000000,2649000000,3287000000,3194000000,2997000000,3463000000,3396000000,2611000000,2398000000,2343000000,2249000000,2626000000,3190000000,2232000000,2722000000,2921000000
54,Long-Term Debt,- -,877000000,749000000,745000000,739000000,736000000,640000000,1733000000,1670000000,1926000000,2173000000,2952000000,2863000000,2774000000,3920000000,4155000000,4091000000,5021000000,4320000000,4253000000,4156000000,4933000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,- -,87000000,90000000,33000000,14000000,15000000,10000000,4000000,2000000,- -
57,Other Non-Current Liabilities,- -,148000000,102000000,93000000,100000000,187000000,355000000,353000000,577000000,413000000,353000000,280000000,350000000,276000000,252000000,296000000,266000000,242000000,225000000,234000000,263000000,190000000
58,Total Non-Current Liabilities,- -,1025000000,851000000,838000000,839000000,923000000,995000000,2086000000,2247000000,2339000000,2526000000,3299000000,3213000000,3137000000,4262000000,4484000000,4371000000,5278000000,4555000000,4491000000,4421000000,5123000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000000,54000000
61,Total Liabilities,- -,2313000000,2454000000,2201000000,2087000000,2703000000,4332000000,4735000000,5534000000,5533000000,5523000000,6762000000,6609000000,5748000000,6660000000,6827000000,6620000000,7904000000,7745000000,6723000000,7143000000,8044000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-110000000,43000000,685000000,1214000000,1921000000,2362000000,1537000000,1101000000,-2148000000,-1123000000,-1511000000,-1444000000,-1778000000,-2677000000,-2686000000,-4311000000,-4771000000,-4696000000,-4349000000,-4904000000,-6305000000
65,Other Comprehensive Income/Loss,- -,-177000000,-478000000,-9000000,-9000000,-12000000,-8000000,-4000000,-16000000,-6000000,-4000000,-6000000,-9000000,-13000000,-2000000,-30000000,-25000000,-17000000,-16000000,-34000000,-66000000,-41000000
66,Other Total Stockholders Equity,- -,940000000,1076000000,640000000,650000000,632000000,2858000000,3204000000,3501000000,3708000000,3851000000,3980000000,- -,5286000000,5511000000,5734000000,5929000000,6152000000,6377000000,6545000000,6757000000,- -
67,Total Stockholders Equity,- -,653000000,641000000,1316000000,1855000000,2541000000,5212000000,4737000000,4586000000,1524000000,2724000000,2463000000,3497000000,3495000000,2832000000,3018000000,1593000000,1364000000,1665000000,2162000000,1787000000,631000000
68,Total Liabilities And Stockholders Equity,- -,2966000000,3095000000,3517000000,3942000000,5244000000,9544000000,9472000000,10120000000,7057000000,8247000000,9225000000,10106000000,9243000000,9492000000,9845000000,8213000000,9268000000,9410000000,8885000000,8930000000,8675000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2966000000,3095000000,3517000000,3942000000,5244000000,9544000000,9472000000,10120000000,7087000000,8247000000,9225000000,10106000000,9243000000,9492000000,9845000000,8213000000,9268000000,9410000000,8885000000,8930000000,8675000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1137789/000119312503040541/0001193125-03-040541-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312504136208/0001193125-04-136208-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312505153934/d10k.htm,https://www.sec.gov/Archives/edgar/data/1137789/000119312506188012/d10k.htm,https://www.sec.gov/Archives/edgar/data/1137789/000095013407018993/0000950134-07-018993-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312508175417/0001193125-08-175417-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746909007888/0001047469-09-007888-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746910007649/0001047469-10-007649-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746911007483/0001047469-11-007483-index.html,- -,https://www.sec.gov/Archives/edgar/data/1137789/000104746913008213/0001047469-13-008213-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746914006770/0001047469-14-006770-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746915006787/0001047469-15-006787-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746916014732/0001047469-16-014732-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312517248796/0001193125-17-248796-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312518238271/0001193125-18-238271-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312519212028/0001193125-19-212028-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000113778920000057/0001137789-20-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778921000049/0001137789-21-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-522000000,153000000,641000000,529000000,707000000,840000000,913000000,1251000000,-3125000000,1609000000,511000000,2862000000,1838000000,1570000000,1742000000,248000000,772000000,1182000000,2012000000,1004000000,1314000000
74,Depreciation and Amortization,- -,443000000,405000000,443000000,422000000,466000000,612000000,851000000,844000000,931000000,780000000,754000000,814000000,873000000,879000000,841000000,815000000,749000000,598000000,541000000,379000000,397000000
75,Deferred Income Tax,- -,45000000,62000000,-15000000,16000000,11000000,23000000,-365000000,10000000,306000000,-36000000,46000000,-28000000,-70000000,-67000000,2000000,-2000000,3000000,193000000,-690000000,-6000000,-4000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,57000000,51000000,51000000,76000000,118000000,137000000,120000000,137000000,112000000,99000000,109000000,112000000
77,Change in Working Capital,- -,-1381000000,-291000000,560000000,294000000,509000000,-726000000,156000000,-167000000,115000000,1321000000,541000000,-424000000,-113000000,578000000,-154000000,-1941000000,1131000000,-1295000000,1011000000,-739000000,-534000000
78,Accounts Receivable,- -,139000000,- -,- -,- -,- -,- -,- -,- -,372000000,-367000000,-95000000,-824000000,661000000,4000000,-2000000,464000000,122000000,16000000,204000000,-127000000,-42000000
79,Inventory,- -,108000000,-57000000,5000000,-130000000,18000000,-113000000,106000000,-151000000,358000000,-170000000,-115000000,99000000,102000000,-20000000,29000000,145000000,-114000000,-71000000,80000000,-166000000,-64000000
80,Accounts Payable,- -,177000000,- -,- -,- -,- -,- -,- -,- -,-79000000,2000000,386000000,157000000,-538000000,-190000000,-58000000,-24000000,121000000,65000000,-268000000,394000000,-14000000
81,Other Working Capital,- -,650000000,359000000,919000000,1213000000,1722000000,996000000,1152000000,985000000,1100000000,2421000000,2962000000,90000000,2801000000,3379000000,3225000000,1284000000,2415000000,1120000000,2131000000,1392000000,858000000
82,Other Non-Cash Items,- -,1805000000,576000000,-747000000,-626000000,-265000000,708000000,-612000000,600000000,2513000000,-1799000000,-639000000,-13000000,443000000,-520000000,79000000,2440000000,-876000000,1323000000,-1212000000,967000000,341000000
83,Cash Provided by Operating Activities,- -,390000000,905000000,882000000,635000000,1428000000,1457000000,943000000,2538000000,823000000,1932000000,1264000000,3262000000,3047000000,2558000000,2647000000,1680000000,1916000000,2113000000,1761000000,1714000000,1626000000
84,CAPEX,- -,-504000000,-540000000,-516000000,-605000000,-691000000,-1008000000,-906000000,-930000000,-633000000,-639000000,-843000000,-636000000,-786000000,-559000000,-747000000,-587000000,-434000000,-366000000,-602000000,-585000000,-498000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,269000000,-178000000,-78000000,- -,- -,- -,-561000000,-36000000,-285000000,-453000000,-634000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1037000000,-3408000000,-4143000000,-4796000000,-3220000000,-322000000,-486000000,-283000000,-373000000,-487000000,-454000000,-351000000,-88000000,-5000000,- -,-37000000,-1279000000,-18000000,-58000000,-4000000
87,Sales/Maturities of Investments,- -,- -,989000000,3194000000,3822000000,4465000000,3528000000,997000000,460000000,203000000,233000000,260000000,516000000,334000000,641000000,23000000,1000000,6000000,- -,1322000000,7000000,32000000
88,Other Investing Activites,- -,193000000,-22000000,-24000000,-36000000,-47000000,-130000000,7000000,43000000,95000000,27000000,89000000,21000000,14000000,-31000000,-105000000,9000000,6000000,57000000,144000000,1000000,4000000
89,Cash Used for Investing Activites,- -,-311000000,-610000000,-754000000,-962000000,-1069000000,-561000000,-402000000,-991000000,-618000000,-752000000,-981000000,-1114000000,-825000000,-322000000,-1287000000,-1211000000,-459000000,-1588000000,846000000,-635000000,-466000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55000000,-462000000,-377000000,-670000000,-1224000000,-725000000,-1026000000,-22000000,-316000000,-214000000,-819000000,-1137000000,-33000000
91,Common Stock Issued,- -,- -,4000000,299000000,96000000,90000000,118000000,219000000,178000000,- -,- -,83000000,344000000,259000000,107000000,98000000,79000000,86000000,113000000,69000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-399000000,-1526000000,-1479000000,- -,-584000000,-822000000,-2426000000,-1654000000,-1912000000,-1087000000,-1090000000,-460000000,-361000000,-963000000,-850000000,-2047000000
93,Dividends Paid,- -,- -,- -,-288000000,-90000000,-122000000,-155000000,-212000000,-216000000,-132000000,- -,-74000000,-372000000,-518000000,-557000000,-664000000,-727000000,-561000000,-726000000,-713000000,-673000000,-649000000
94,Other Financing Activites,- -,-219000000,-415000000,-2000000,- -,-3000000,-296000000,1056000000,-28000000,419000000,702000000,1321000000,6000000,915000000,1776000000,1184000000,-60000000,1205000000,-23000000,214000000,1055000000,1056000000
95,Cash Used/Provided by Financing Activities,- -,-219000000,-411000000,9000000,- -,-35000000,-732000000,-463000000,-1545000000,232000000,-344000000,131000000,-3118000000,-2222000000,-1311000000,-1495000000,-1820000000,-46000000,-1211000000,-2212000000,-1605000000,-1673000000
96,Effect of Forex Changes on Cash,- -,-2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,-20000000,-3000000,- -,- -,-1000000,-1000000,- -
97,Net Change In Cash,- -,-142000000,-114000000,137000000,-327000000,324000000,164000000,78000000,2000000,437000000,836000000,414000000,-970000000,1000000,926000000,-155000000,-1354000000,1411000000,-686000000,394000000,-527000000,-513000000
98,Cash at the End of Period,- -,733000000,612000000,749000000,422000000,746000000,910000000,988000000,990000000,1427000000,2263000000,2677000000,1707000000,1708000000,2634000000,2479000000,1125000000,2543000000,1857000000,2251000000,1724000000,1211000000
99,Cash at the Beginning of Period,- -,875000000,726000000,612000000,749000000,422000000,746000000,910000000,988000000,990000000,1427000000,2263000000,2677000000,1707000000,1708000000,2634000000,2479000000,1132000000,2543000000,1857000000,2251000000,1724000000
100,Free Cash Flow,- -,-114000000,365000000,366000000,30000000,737000000,449000000,37000000,1608000000,190000000,1293000000,421000000,2626000000,2261000000,1999000000,1900000000,1093000000,1482000000,1747000000,1159000000,1129000000,1128000000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1137789/000119312503040541/0001193125-03-040541-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312504136208/0001193125-04-136208-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312505153934/d10k.htm,https://www.sec.gov/Archives/edgar/data/1137789/000119312506188012/d10k.htm,https://www.sec.gov/Archives/edgar/data/1137789/000095013407018993/0000950134-07-018993-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312508175417/0001193125-08-175417-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746909007888/0001047469-09-007888-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746910007649/0001047469-10-007649-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746911007483/0001047469-11-007483-index.html,- -,https://www.sec.gov/Archives/edgar/data/1137789/000104746913008213/0001047469-13-008213-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746914006770/0001047469-14-006770-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746915006787/0001047469-15-006787-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000104746916014732/0001047469-16-014732-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312517248796/0001193125-17-248796-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312518238271/0001193125-18-238271-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000119312519212028/0001193125-19-212028-index.html,https://www.sec.gov/Archives/edgar/data/1137789/000113778920000057/0001137789-20-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1137789/000113778921000049/0001137789-21-000049-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
