,https://roic.ai/company/JT,2015,2016,2017,2018,2019,2020
27,Weighted Average Shares Outstanding,17277068,20714568,17672615,20865782,21028791,21154818
28,Weighted Average Shares Outstanding Diluted,17277068,20714568,17672615,20865782,21028791,21154818
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1713923/000110465919023106/a18-41961_120f.htm,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,- -,1543811000,1270001000,694910000,549979000
32,Short-Term Investments,- -,- -,- -,78462000,- -,20000000
33,Cash and Short-Term Investments,- -,- -,1543811000,1348463000,694910000,569979000
34,Net Receivables,42881000,82326000,184687000,446276000,357090000,245966000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,19265000,46753000,158430000,300465000,363710000,452750000
37,Total Current Assets,62146000,129079000,1886928000,2095204000,1415710000,1268695000
38,PP&E,5967000,4591000,18966000,52322000,36686000,18114000
39,Goodwill,- -,- -,- -,147296000,12697000,10236000
40,Intangible Assets,- -,- -,- -,115037000,27061000,25172000
41,Intangible Assets,- -,- -,- -,262333000,39758000,35408000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1998000,813000,7621000,35276000,169567000,81517000
45,Total Non-Current Assets,7965000,5404000,26587000,349931000,246011000,135039000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,70111000,134483000,1913515000,2445135000,1661721000,1403734000
48,Accounts Payable,47534000,32433000,177373000,201543000,184318000,185904000
49,Short-Term Debt,- -,- -,- -,130000000,71481000,167472000
50,Tax Payable,711000,1849000,17876000,39446000,22168000,24059000
51,Deferred Revenue,13456000,18149000,71538000,115597000,44000000,54275000
52,Other Current Liabilities,22687000,31294000,126142000,256674000,269015000,245425000
53,Total Current Liabilities,83677000,81876000,375053000,703814000,568814000,653076000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,16865000,5801000,5146000
57,Other Non-Current Liabilities,- -,- -,- -,20538000,20701000,21329000
58,Total Non-Current Liabilities,- -,- -,- -,37403000,26502000,26475000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,11481000,8995000
61,Total Liabilities,83677000,81876000,375053000,741217000,595316000,679551000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,275000,284000,286000,286000
64,Retained Earnings,- -,- -,-174710000,-339325000,-792985000,-1099934000
65,Other Comprehensive Income/Loss,-5226000,-9863000,-21170000,37750000,54208000,2902000
66,Other Total Stockholders Equity,- -,- -,1734067000,1889542000,1799883000,1797096000
67,Total Stockholders Equity,-13566000,52607000,1538462000,1588251000,1061392000,700350000
68,Total Liabilities And Stockholders Equity,70111000,134483000,1913515000,2329468000,1656708000,1379901000
69,Minority Interest,- -,- -,- -,115667000,5013000,23833000
70,Total Liabilities & Equity,70111000,134483000,1913515000,2445135000,1661721000,1403734000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1713923/000110465919023106/a18-41961_120f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-196174000,-182125000,-202125000,-164615000,-451760000,-304147000
74,Depreciation and Amortization,3650000,4637000,5769000,25291000,36478000,18634000
75,Deferred Income Tax,- -,- -,- -,1417000,-16793000,-1648000
76,Stock Based Compensation,13216000,4817000,107766000,130659000,6390000,-4329000
77,Change in Working Capital,19796000,-66587000,60491000,-68672000,21910000,158809000
78,Accounts Receivable,-32962000,-15967000,-124554000,-261386000,73291000,98718000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,34789000,-14010000,136217000,16191000,-11184000,664000
81,Other Working Capital,9930000,4693000,53389000,31190000,-71734000,8089000
82,Other Non-Cash Items,656000,129000,- -,3093000,202938000,25183000
83,Cash Provided by Operating Activities,-158856000,-239129000,-28099000,-72827000,-200837000,-107498000
84,CAPEX,-4858000,-4352000,-18823000,-41835000,-16366000,-4131000
85,Acquisitions Net,- -,- -,- -,-109570000,-24584000,-13244000
86,Purchases of Investments,- -,- -,- -,-116271000,-335362000,-40861000
87,Sales/Maturities of Investments,- -,- -,- -,86649000,374292000,48600000
88,Other Investing Activites,- -,- -,- -,-142411000,-45437000,-85760000
89,Cash Used for Investing Activites,-4858000,-4352000,-18823000,-323438000,-47457000,-91265000
90,Debt Repayment,- -,- -,- -,- -,-207082000,-110000000
91,Common Stock Issued,- -,- -,1368472000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-70109000,-134616000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,163714000,243481000,243431000,130508000,143664000,208597000
95,Cash Used/Provided by Financing Activities,163714000,243481000,1611903000,60399000,-198034000,98597000
96,Effect of Forex Changes on Cash,- -,- -,-21170000,62056000,9709000,-34031000
97,Net Change In Cash,- -,- -,- -,-273810000,-436619000,-134197000
98,Cash at the End of Period,- -,- -,1543811000,1270001000,833382000,699185000
99,Cash at the Beginning of Period,- -,- -,- -,1543811000,1270001000,833382000
100,Free Cash Flow,-163714000,-243481000,-46922000,-114662000,-217203000,-111629000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1713923/000110465919023106/a18-41961_120f.htm,- -,- -
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
