,https://roic.ai/company/ATEX,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,7124,6883,25630,60072,370000,486000,845000,180000,1214000
45,Total Non-Current Assets,356740,366058,106929458,119057657,119765000,120064000,118407000,125245000,132005000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,862162,803191,227828088,274048960,245486000,220340000,196753000,267397000,253055000
48,Accounts Payable,261637,254981,4759582,1248740,670000,569000,743000,645000,500000
49,Short-Term Debt,- -,- -,- -,494545,497000,- -,- -,1695000,1470000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,737664,744605,789000,813000,792000,733000,737000
52,Other Current Liabilities,101691,117961,1748371,2576116,2765000,3847000,7304000,5750000,5908000
53,Total Current Liabilities,363328,372942,7245617,5064006,4721000,5229000,8839000,8823000,8615000
54,Long-Term Debt,2700317,3405808,- -,497265,- -,- -,- -,- -,5601000
55,Deferred Revenue,- -,- -,6376518,5647773,5033000,4257000,3466000,2733000,2246000
56,Deferred Tax Liabilities,- -,- -,- -,- -,6498000,6060000,685000,3084000,3209000
57,Other Non-Current Liabilities,882169,1231857,- -,654536,1338000,2325000,2999000,7691000,20876000
58,Total Non-Current Liabilities,3582486,4637665,6376518,6799574,12869000,12642000,7150000,13508000,31932000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,8746000,7071000
61,Total Liabilities,3945814,5010607,13622135,11863580,17590000,17871000,15989000,22331000,40547000
62,Preferred Stock,20516999,20525999,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1182962,1182962,1253,1438,1000,1000,1000,2000,2000
64,Retained Earnings,-25731190,-26943011,-41657179,-63485146,-102671000,-133299000,-168464000,-205914000,-260348000
65,Other Comprehensive Income/Loss,-793522,-810161,-853047,-1396119,-3590000,-5468000,-7952000,-10518000,- -
66,Other Total Stockholders Equity,1741099,1836795,256714927,327065207,334156000,341235000,357179000,461496000,472854000
67,Total Stockholders Equity,-3083652,-4207416,214205954,262185380,227896000,202469000,180764000,245066000,212508000
68,Total Liabilities And Stockholders Equity,862162,803191,227828089,274048960,245486000,220340000,196753000,267397000,253055000
69,Minority Interest,- -,- -,-1,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,862162,803191,227828088,274048960,245486000,220340000,196753000,267397000,253055000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1304492/000119312515219362/0001193125-15-219362-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449216000053/0001304492-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449217000020/0001304492-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449218000032/0001304492-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449219000019/0001304492-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449220000027/0001304492-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449221000018/0001304492-21-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-1239918,-1211821,-14714168,-21827967,-39186000,-30628000,-41993000,-37638000,-54434000
74,Depreciation and Amortization,52726,59469,96141,556318,2232000,2845000,2846000,3591000,3533000
75,Deferred Income Tax,- -,- -,- -,- -,6498000,-438000,685000,2399000,124000
76,Stock Based Compensation,82438,79057,6963782,4970107,4744000,5602000,10301000,5826000,15925000
77,Change in Working Capital,364581,-77903,113588822,36274284,-28927297,-25953000,-25540000,63822000,-20894000
78,Accounts Receivable,-39927,-80405,-25764,-133111,-166000,-320000,273000,464000,57000
79,Inventory,- -,- -,- -,-93203,-35000,-45000,173000,- -,- -
80,Accounts Payable,99446,18614,6145560,-2616893,-390000,981000,914000,578000,2647000
81,Other Working Capital,142094,64191,113653013,149927297,121000000,95047000,69507000,133329000,112435000
82,Other Non-Cash Items,- -,365476,-101679139,-39766114,27992297,26586000,30612000,-68957000,45787000
83,Cash Provided by Operating Activities,-740173,-785722,4255438,-19793372,-26647000,-21986000,-23089000,-30957000,-9959000
84,CAPEX,-70490,-69028,-96647674,-11157514,-2391000,-2881000,-1666000,-4426000,-14174000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-53567,-35456,-90301088,-2080298,-751000,-1931000,-942000,-3962000,-13944000
89,Cash Used for Investing Activites,-70490,-69028,-96647674,-11157514,-2391000,-2881000,-1666000,-4426000,-14174000
90,Debt Repayment,- -,- -,-1133851,-297203,-495000,-497000,- -,- -,- -
91,Common Stock Issued,- -,- -,213309076,64792220,- -,- -,- -,94244000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,976466,705491,45000,45066,153000,-401000,3159000,1870000,4218000
95,Cash Used/Provided by Financing Activities,976466,705491,212220225,64540083,-342000,-898000,3159000,96114000,4218000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,165803,-149259,119827989,33589197,-29380000,-25765000,-21596000,60731000,-19915000
98,Cash at the End of Period,194938,45679,119873668,153462865,124083000,98318000,76722000,137453000,117538000
99,Cash at the Beginning of Period,29135,194938,45679,119873668,153463000,124083000,98318000,76722000,137453000
100,Free Cash Flow,-810663,-854750,-92392236,-30950886,-29038000,-24867000,-24755000,-35383000,-24133000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1304492/000119312515219362/0001193125-15-219362-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449216000053/0001304492-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449217000020/0001304492-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449218000032/0001304492-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449219000019/0001304492-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449220000027/0001304492-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1304492/000130449221000018/0001304492-21-000018-index.htm
102,false,,,,,,,,,
