,https://roic.ai/company/PXS,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,18000,18000,21000,21000,21000,22000,42000
64,Retained Earnings,163000,-19080000,-15575000,-21388000,-26631000,-34845000,-43175000,-50155000,-63030000
65,Other Comprehensive Income/Loss,-13525000,-23491000,-29201000,-16719000,-22286000,-26318000,-21016000,-26318000,- -
66,Other Total Stockholders Equity,67682000,96472000,99324000,86842000,97052000,101085000,96170000,106010000,111840000
67,Total Stockholders Equity,54320000,53901000,54566000,48753000,48156000,39943000,32000000,29559000,48852000
68,Total Liabilities And Stockholders Equity,143846000,124899000,141722000,130740000,124813000,116617000,108769000,93190000,142562000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,143846000,124899000,141722000,130740000,124813000,116617000,108769000,93190000,142562000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640043/000095012316015497/0000950123-16-015497-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000156459017005424/0001564590-17-005424-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000149315218003807/0001493152-18-003807-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000149315219004178/0001493152-19-004178-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000149315220005508/0001493152-20-005508-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,1592000,-19243000,3505000,-5813000,-5243000,-8214000,-8330000,-6900000,-12338000
74,Depreciation and Amortization,4520000,5446000,5710000,5768000,5567000,5500000,5320000,4418000,4898000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,143000,- -,355000,- -,- -,- -,- -
77,Change in Working Capital,-470000,1890000,2661000,93000,2541000,1984000,5251000,-11292000,2895000
78,Accounts Receivable,-674000,-131000,748000,-1226000,747000,-1895000,1316000,571000,-1064000
79,Inventory,-90000,-482000,321000,-590000,157000,209000,306000,-180000,-886000
80,Accounts Payable,-256000,328000,532000,2012000,-858000,2499000,-274000,-939000,-618000
81,Other Working Capital,488000,2463000,762000,-2078000,- -,-166000,558000,-1757000,-726000
82,Other Non-Cash Items,350000,17269000,347000,4398000,457000,-1473000,3420000,744000,3649000
83,Cash Provided by Operating Activities,5992000,5362000,12366000,4446000,3677000,-2203000,5661000,-13030000,-896000
84,CAPEX,-29389000,-7156000,-18800000,- -,- -,-99000,-517000,-567000,-43194000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,34000,- -,- -,- -,- -,13197000,- -
89,Cash Used for Investing Activites,-29389000,-7156000,-18766000,- -,- -,-99000,-517000,12630000,-43194000
90,Debt Repayment,-17801000,-6183000,-6863000,-7263000,-6963000,-43640000,-4503000,-19909000,-36980000
91,Common Stock Issued,22247000,6424000,10000,- -,4800000,315000,354000,- -,25202000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-69000,-537000
94,Other Financing Activites,20456000,5000,16732000,-522000,-604000,43138000,-23000,19239000,62242000
95,Cash Used/Provided by Financing Activities,24902000,246000,9879000,-7785000,-2767000,-187000,-4172000,-739000,49927000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1505000,-1548000,3479000,-3339000,910000,-2489000,972000,-1139000,5837000
98,Cash at the End of Period,2048000,500000,3979000,783000,1693000,4204000,5176000,4037000,9874000
99,Cash at the Beginning of Period,543000,2048000,500000,4122000,783000,6693000,4204000,5176000,4037000
100,Free Cash Flow,-23397000,-1794000,12366000,4446000,3677000,-2302000,5144000,-13597000,-44090000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640043/000095012316015497/0000950123-16-015497-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000156459017005424/0001564590-17-005424-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000149315218003807/0001493152-18-003807-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000149315219004178/0001493152-19-004178-index.html,https://www.sec.gov/Archives/edgar/data/1640043/000149315220005508/0001493152-20-005508-index.html,- -,- -
102,false,,,,,,,,,
