,https://roic.ai/company/BWMG,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Income Before Tax Ratio,- -,- -,-0.0410,0.1323,0.0015,0.0933,-0.2558,-0.5756,-1.6840,-0.6896,-0.2720,0.0345,0.0832,0.1016,-0.1226,-0.5115,-0.4791,-0.2967
22,Income Tax expense (Gain),- -,- -,-24206,-9655,-57623,218618,-158782,-65874,60462,38231,7478,44,43,- -,- -,2520,- -,- -
23,Net Income,-108878,-510922,-96310,565793,62460,219668,-451227,-1189576,-3776312,-2013349,-788286,94369,229610,230026,-248744,-1302985,-1421740,-1351619
24,Net Income ratio,-Infinity,-0.1718,-0.0328,0.1346,0.0195,0.0468,-0.1892,-0.5454,-1.7114,-0.7029,-0.2746,0.0345,0.0832,0.1016,-0.1226,-0.5125,-0.4791,-0.2967
25,EPS,-88.66,-455.77,-85.91,504.72,53.98,175.44,-337.38,-431.85,-202.43,-13.50,-0.32,0.00,0.00,0.00,-0.00,-0.01,-0.01,-0.00
26,EPS Diluted,-88.66,-414.71,-78.17,459.25,53.98,175.44,-337.38,-431.85,-202.43,-13.50,-0.32,0.00,0.00,0.00,-0.00,-0.01,-0.01,-0.00
27,Weighted Average Shares Outstanding,1228,1121,1121,1121,1228,1279,1323,2791,18117,141414,2484342,27745173,75892714,68485426,78599195,105922735,211731826,288295422
28,Weighted Average Shares Outstanding Diluted,1228,1232,1232,1232,1228,1279,1323,2791,18117,141414,2484342,73650957,120730254,103414928,78599195,105922735,211731826,288295422
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166708/000114420408018195/0001144204-08-018195-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166708/000114420412018246/0001144204-12-018246-index.html,https://www.sec.gov/Archives/edgar/data/1166708/000114420413018539/0001144204-13-018539-index.html,https://www.sec.gov/Archives/edgar/data/1166708/000114420414015942/0001144204-14-015942-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000114420415019119/0001144204-15-019119-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000114420416091054/0001144204-16-091054-index.html,https://www.sec.gov/Archives/edgar/data/1166708/000149315217003986/0001493152-17-003986-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315218005304/0001493152-18-005304-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315219008858/0001493152-19-008858-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315220011971/0001493152-20-011971-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315221007486/0001493152-21-007486-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2328,30345,208187,142516,3532,2713,4171,27182,69292,70084,19188,141822,191749,150898,78784,70620,345187
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2328,30345,208187,142516,3532,2713,4171,27182,69292,70084,19188,141822,191749,150898,78784,70620,345187
34,Net Receivables,- -,63879,52618,62757,38512,363248,145925,53551,60177,72259,136240,118462,103764,69265,60175,105627,160053,81251
35,Inventory,- -,395417,428683,581429,656303,735036,488694,525595,621818,603867,735926,606213,654213,672520,822886,723170,719108,863791
36,Other Current Assets,- -,8944,26767,85011,114207,94535,67297,36953,86874,149155,115717,30428,58202,84336,251587,58520,48523,178808
37,Total Current Assets,- -,470568,538413,937384,951538,1196351,704629,620270,796051,894573,1057967,774291,958001,1017870,1285546,966101,998304,1469037
38,PP&E,- -,74343,39240,30386,1229898,1199554,1165940,1139911,1106663,72281,76265,108506,85712,56908,27498,3718,648112,143413
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24740,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,21319,52363,- -,42685,108309,47735,9781,2330,2330,2330,2520,2520,- -,- -,- -
44,Other Non-Current Assets,- -,57093,32055,6968,6968,6968,6968,2895,27635,31635,2895,31049,6649,6649,6649,26147,20149,- -
45,Total Non-Current Assets,- -,131436,71295,58673,1289229,1206522,1215593,1251115,1182033,113697,106230,141885,94691,66077,36667,29865,668261,143413
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,602004,609708,996057,2240767,2402873,1920222,1871385,1978084,1008270,1164197,916176,1052692,1083947,1322213,995966,1666565,1612450
48,Accounts Payable,4178451,555130,465807,333099,397292,376504,441378,- -,- -,508715,245672,462776,349946,323578,143347,375076,677966,386977
49,Short-Term Debt,693154,43780,340984,285734,116955,330865,384832,205180,1824994,650819,536116,399561,389162,318876,516375,236572,347762,418697
50,Tax Payable,- -,- -,- -,- -,- -,30649,- -,- -,- -,- -,42093,- -,- -,- -,8689,8415,7984,9268
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,95164,53678,99610,40385,25238,31577,97249,245907,121208,20353
52,Other Current Liabilities,256309,41427,179356,146081,428561,269306,32856,791854,778473,557291,878660,453920,468597,240854,264579,91046,256005,203177
53,Total Current Liabilities,5127914,640337,986147,764914,942808,976675,859066,997034,2698631,1770503,1760058,1356642,1232943,914885,1021550,948601,1402941,1029204
54,Long-Term Debt,- -,1084533,663707,630900,1535256,1196766,1054285,1178007,41854,15412,2765,12231,6133,- -,- -,- -,60070,151006
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,2411,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,446975,- -
58,Total Non-Current Liabilities,- -,1084533,663707,630900,1535256,1199177,1054285,1178006,41854,15412,2765,12231,6133,- -,- -,- -,507045,151006
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,611078
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,545035,446981
61,Total Liabilities,5127914,1724870,1649854,1395814,2478064,2175852,1913351,2175040,2740485,1785915,1762823,1368873,1239076,914885,1021550,948601,1909986,1489276
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,425,425,425,425,425,425,425,425,425,425
63,Common Stock,4984,114127,136471,155688,1685,1785,2287,4595,5540,184189,587,6047,8681,6904,9833,16123,22568,30620
64,Retained Earnings,-22083988,-1610591,-1706901,-1141108,-1078648,-858980,-1310207,-2499783,-6276095,-8289444,-9077730,-9090685,-8861075,-8631049,-8879793,-10182778,-11604518,- -
65,Other Comprehensive Income/Loss,- -,-438348,-86205,-198148,-231199,-270595,-174633,-256131,-223227,-109015,-128631,-112942,-147941,-184332,-213742,-250322,-247687,- -
66,Other Total Stockholders Equity,16951090,811946,616489,783811,1070865,1354811,1489424,2447664,5730956,7436200,8606723,8744458,8813526,8977114,9383940,10463917,11585791,552759
67,Total Stockholders Equity,-5127914,-1122866,-1040146,-399757,-237297,227021,6871,-303655,-762401,-777645,-598626,-452697,-186384,169062,300663,47365,-243421,583804
68,Total Liabilities And Stockholders Equity,- -,602004,609708,996057,2240767,2402873,1920222,1871385,1978084,1008270,1164197,916176,1052692,1083947,1322213,995966,1666565,2073080
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-460630
70,Total Liabilities & Equity,- -,602004,609708,996057,2240767,2402873,1920222,1871385,1978084,1008270,1164197,916176,1052692,1083947,1322213,995966,1666565,1612450
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166708/000114420408018195/0001144204-08-018195-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166708/000114420412018246/0001144204-12-018246-index.html,https://www.sec.gov/Archives/edgar/data/1166708/000114420413018539/0001144204-13-018539-index.html,https://www.sec.gov/Archives/edgar/data/1166708/000114420414015942/0001144204-14-015942-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000114420415019119/0001144204-15-019119-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000114420416091054/0001144204-16-091054-index.html,https://www.sec.gov/Archives/edgar/data/1166708/000149315217003986/0001493152-17-003986-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315218005304/0001493152-18-005304-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315219008858/0001493152-19-008858-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315220011971/0001493152-20-011971-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315221007486/0001493152-21-007486-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-108878,-510922,-96310,565793,62460,219668,-451227,-1189576,-3776312,-2013349,-788286,94369,229610,230026,-248744,-1302985,-1421740,-1351619
74,Depreciation and Amortization,- -,53979,53757,26542,40051,39396,37214,34615,34917,35585,19616,21570,21531,21798,29410,36580,99860,21005
75,Deferred Income Tax,- -,- -,- -,-20684,-39801,86646,-44859,-65874,60462,38231,7478,44,43,- -,- -,2520,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,181446,216572,868294,404282,- -,49469,- -,- -,- -,- -,241670
77,Change in Working Capital,71457,4958145,-277965,620204,-163740,210946,-374113,-222327,-1525816,1026650,173839,119740,307409,377927,161011,-246496,-422137,844470
78,Accounts Receivable,- -,- -,- -,- -,- -,-324736,51264,-29428,-6626,-12082,-9742,-11395,-17781,58448,9090,-52867,-63865,30658
79,Inventory,- -,-62078,-33266,-152746,-74874,-78733,246342,-36901,-96223,26391,-132059,22389,-48000,-18307,-150366,-241,-27938,51700
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69160,288856,319754,-292885
81,Other Working Capital,-5127914,-169769,-447734,172470,8730,219676,-154437,-376764,-1902580,-875930,-702091,-582351,-274942,102985,263996,17500,-404637,439833
82,Other Non-Cash Items,15402,-4804834,384912,-1005856,173345,-775008,922280,1237014,4549043,-80734,65433,-77966,-460601,-554559,-268437,1421067,1234378,-311634
83,Cash Provided by Operating Activities,-22019,-303632,64394,185999,72315,-218352,89295,-24702,-441134,-125323,-117638,157757,147461,75192,-326760,-89314,-509639,-556108
84,CAPEX,- -,-13448,-5580,-9210,-1139563,-9052,-3600,-8586,-1669,-34768,-23600,-82451,-12205,-7587,- -,-12800,-96725,-5500
85,Acquisitions Net,- -,- -,- -,- -,- -,213000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,17434,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,2000,- -,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-13448,11854,-9210,-1139563,203948,-1600,-8586,3331,-34768,-23600,-82451,-12205,-7587,- -,-12800,-96725,-5500
90,Debt Repayment,- -,- -,- -,- -,- -,-324580,-158514,-55930,-30450,-231525,-243955,-144418,-39622,-17678,-6133,- -,-23525,-33425
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,5000,- -,- -,- -,- -,- -,192042,30000,525000,545000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14861,319408,-48231,1053,1001577,200000,70000,90676,486264,433726,385985,18216,27000,- -,100000,- -,96725,324600
95,Cash Used/Provided by Financing Activities,14861,319408,-48231,1053,1001577,-124580,-88514,34746,460814,202201,142030,-126202,-12622,-17678,285909,30000,598200,836175
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,28017,177842,-65671,-138984,-819,1458,23011,42110,792,-50896,122634,49927,-40851,-72114,-8164,274567
98,Cash at the End of Period,- -,2328,30345,208187,142516,3532,2713,4171,27182,69292,70084,19188,141822,191749,150898,78784,70620,345187
99,Cash at the Beginning of Period,7158,- -,2328,30345,208187,142516,3532,2713,4171,27182,69292,70084,19188,141822,191749,150898,78784,70620
100,Free Cash Flow,-22019,-317080,58814,176789,-1067248,-227404,85695,-33288,-442803,-160091,-141238,75306,135256,67605,-326760,-102114,-606364,-561608
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166708/000114420408018195/0001144204-08-018195-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166708/000114420412018246/0001144204-12-018246-index.html,https://www.sec.gov/Archives/edgar/data/1166708/000114420413018539/0001144204-13-018539-index.html,https://www.sec.gov/Archives/edgar/data/1166708/000114420414015942/0001144204-14-015942-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000114420415019119/0001144204-15-019119-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000114420416091054/0001144204-16-091054-index.html,https://www.sec.gov/Archives/edgar/data/1166708/000149315217003986/0001493152-17-003986-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315218005304/0001493152-18-005304-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315219008858/0001493152-19-008858-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315220011971/0001493152-20-011971-index.htm,https://www.sec.gov/Archives/edgar/data/1166708/000149315221007486/0001493152-21-007486-index.htm
102,false,,,,,,,,,,,,,,,,,,
