,https://roic.ai/company/SMHI,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,138311000,92169000,121773000,124680000,75308000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,84302000,49212000,31751000,16294000,2734000,73498000
45,Total Non-Current Assets,- -,764554000,831214000,923903000,850647000,838967000,803724000
46,Other Assets,- -,- -,- -,- -,- -,- -,1716226000
47,Total Assets,- -,1015119000,1008504000,1102935000,1009193000,1017663000,912502000
48,Accounts Payable,- -,25969000,24024000,19370000,25691000,29967000,- -
49,Short-Term Debt,- -,20400000,22858000,16812000,17802000,32377000,33621000
50,Tax Payable,- -,- -,- -,1917000,- -,- -,- -
51,Deferred Revenue,- -,6953000,10104000,1327000,5327000,4452000,1606000
52,Other Current Liabilities,- -,27694000,42232000,46108000,45997000,65008000,49438000
53,Total Current Liabilities,- -,81016000,99218000,83617000,94817000,131804000,84665000
54,Long-Term Debt,- -,217805000,292041000,387854000,380251000,440510000,- -
55,Deferred Revenue,- -,41198000,31741000,26571000,6269000,3239000,- -
56,Deferred Tax Liabilities,- -,124945000,55506000,44682000,33905000,35822000,- -
57,Other Non-Current Liabilities,- -,- -,6832000,5276000,15027000,4452000,- -
58,Total Non-Current Liabilities,- -,383948000,386120000,464383000,435452000,484023000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,381296000
60,Capital Lease Obligations,- -,- -,- -,- -,24921000,11516000,- -
61,Total Liabilities,- -,464964000,485338000,548000000,530269000,615827000,465961000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,177000,177000,204000,219000,235000,- -
64,Retained Earnings,- -,249412000,216511000,126834000,27076000,-51839000,-22907000
65,Other Comprehensive Income/Loss,- -,-11000000,-12000000,-16788000,2000000,2790000,8055000
66,Other Total Stockholders Equity,- -,306022000,303503000,415281000,428197000,450331000,- -
67,Total Stockholders Equity,- -,544611000,508191000,525531000,457492000,401517000,446221000
68,Total Liabilities And Stockholders Equity,- -,1009575000,993529000,1073531000,987761000,1017344000,912182000
69,Minority Interest,- -,5544000,14975000,29404000,21432000,319000,320000
70,Total Liabilities & Equity,- -,1015119000,1008504000,1102935000,1009193000,1017663000,912502000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1690334/000169033418000023/0001690334-18-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/1690334/000156459020008689/0001564590-20-008689-index.htm,https://www.sec.gov/Archives/edgar/data/1690334/000156459021012639/0001564590-21-012639-index.htm,https://www.sec.gov/Archives/edgar/data/1690334/000156459022009707/0001564590-22-009707-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-27249000,-132047000,-32901000,-77608000,-92837000,-78915000,- -
74,Depreciation and Amortization,61729000,58069000,62779000,72246000,64012000,57167000,57395000
75,Deferred Income Tax,-16486000,-48048000,-61006000,-22737000,-12867000,2258000,- -
76,Stock Based Compensation,- -,- -,1407000,4387000,5940000,4824000,5165000
77,Change in Working Capital,19443000,- -,-91477000,17343000,-31686000,-16837000,26021000
78,Accounts Receivable,39872000,5637000,28937000,-18980000,- -,-30165000,22437000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-6985000,- -,-18850000,- -,- -,- -
81,Other Working Capital,169549000,169549000,78072000,95415000,63729000,46892000,- -
82,Other Non-Cash Items,-17234000,92840000,155937000,-46656000,82877000,9997000,-88581000
83,Cash Provided by Operating Activities,20203000,-29186000,34739000,-53025000,15439000,-21506000,- -
84,CAPEX,-87765000,-100884000,-69021000,-51980000,-60596000,-20808000,- -
85,Acquisitions Net,-9803000,-16863000,-5724000,-35708000,-16956000,-10651000,- -
86,Purchases of Investments,-38126000,-373000,-369000,- -,- -,- -,- -
87,Sales/Maturities of Investments,15173000,- -,7553000,- -,- -,- -,- -
88,Other Investing Activites,32318000,102449000,35299000,56539000,93194000,23219000,- -
89,Cash Used for Investing Activites,-88203000,-15671000,-32262000,-31149000,15642000,-8240000,- -
90,Debt Repayment,-6763000,-27152000,-11926000,-49405000,-23974000,-22601000,-78154000
91,Common Stock Issued,6900000,- -,- -,42996000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1845000,- -,-2656000,- -,- -,- -,- -
94,Other Financing Activites,116809000,42742000,2852000,75659000,-1968000,4689000,-744000
95,Cash Used/Provided by Financing Activities,115101000,15590000,-11730000,69250000,-25942000,-17912000,-78898000
96,Effect of Forex Changes on Cash,-1628000,-2479000,2178000,-775000,-14944000,149000,- -
97,Net Change In Cash,45473000,-31746000,-7075000,-15699000,-9805000,-47509000,-78898000
98,Cash at the End of Period,150242000,118771000,110234000,96852000,87047000,39538000,41220000
99,Cash at the Beginning of Period,104769000,150517000,117309000,112551000,96852000,87047000,- -
100,Free Cash Flow,-67562000,-130070000,-34282000,-105005000,-45157000,-42314000,1799000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1690334/000169033418000023/0001690334-18-000023-index.html,- -,https://www.sec.gov/Archives/edgar/data/1690334/000156459020008689/0001564590-20-008689-index.htm,https://www.sec.gov/Archives/edgar/data/1690334/000156459021012639/0001564590-21-012639-index.htm,https://www.sec.gov/Archives/edgar/data/1690334/000156459022009707/0001564590-22-009707-index.htm
102,false,,,,,,,
