,https://roic.ai/company/GOGO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1537054/000119312514100126/0001193125-14-100126-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312515069995/0001193125-15-069995-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312516477307/0001193125-16-477307-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312517058457/0001193125-17-058457-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312518053979/0001193125-18-053979-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312519046812/0001193125-19-046812-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312520072797/0001193125-20-072797-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000156459021012575/0001564590-21-012575-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000095017022002778/0000950170-22-002778-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-142266000,-113379000,23615000,-32714000,-111289000,-84538000,-107613000,-124505000,-171995000,-162031000,-146004000,-250036000,152735000
74,Depreciation and Amortization,21898000,30991000,32673000,36907000,55509000,64451000,87036000,105642000,145490000,133617000,118817000,14166000,15482000
75,Deferred Income Tax,- -,3210000,936000,803000,821000,828000,827000,839000,-2281000,-3821000,178000,-232000,-187320000
76,Stock Based Compensation,320000,1614000,1795000,3545000,5621000,9816000,15299000,17621000,19821000,16912000,16511000,7808000,13345000
77,Change in Working Capital,20908000,-39703000,18855000,44717000,135969000,-68592000,127021000,83238000,-77048000,9220000,-113656000,-98092000,-12693000
78,Accounts Receivable,411000,-9274000,-6258000,-3288000,-1015000,-23035000,-21563000,-4265000,-43798000,-17064000,29898000,1315000,1925000
79,Inventory,-1821000,1069000,-3274000,-3026000,-1497000,-8267000,976000,-29329000,4723000,-50762000,29092000,7091000,-5862000
80,Accounts Payable,3359000,-5906000,1433000,2561000,2281000,8336000,-4307000,-3118000,3402000,-3864000,-4111000,4963000,3806000
81,Other Working Capital,52162000,12459000,31314000,76031000,212000000,143408000,270429000,353667000,276619000,285839000,172183000,74091000,61398000
82,Other Non-Cash Items,10584000,74974000,-67943000,-23206000,-68841000,107007000,-17714000,-17847000,146269000,-76208000,188215000,193699000,85148000
83,Cash Provided by Operating Activities,-88556000,-42293000,9931000,30052000,17790000,28972000,104856000,64988000,60256000,-82311000,64061000,-132687000,66697000
84,CAPEX,-77296000,-39823000,-43078000,-79456000,-121369000,-149563000,-153148000,-176881000,-280230000,-131663000,-115478000,-8990000,-3396000
85,Acquisitions Net,- -,- -,- -,- -,-9344000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-363436000,-317418000,-39323000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,244450000,443103000,212792000,39323000,- -,- -
88,Other Investing Activites,-5855000,-5172000,-8176000,-11404000,-20480000,-19933000,-18064000,-28279000,-30191000,-23031000,-12909000,350221000,-17289000
89,Cash Used for Investing Activites,-74687000,-37674000,-41376000,-78853000,-135052000,-152031000,-153265000,-295559000,-156881000,41806000,-73709000,348403000,-16289000
90,Debt Repayment,-36493000,-45000,-810000,-2339000,-6326000,-8570000,-10744000,-312744000,-2961000,-202778000,-901575000,-29044000,-21103000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,244116000,30443000,55963000,121115000,277382000,76565000,213965000,513797000,177897000,230092000,898032000,73469000,-309934000
95,Cash Used/Provided by Financing Activities,207623000,30398000,55153000,118776000,271056000,67995000,203221000,201053000,174936000,27314000,-3543000,44425000,-331037000
96,Effect of Forex Changes on Cash,- -,- -,- -,10000,-28000,-42000,785000,-522000,743000,578000,-250000,-1946000,40000
97,Net Change In Cash,44380000,-49569000,23708000,69985000,153766000,-55106000,155597000,-30040000,79054000,-12613000,-13441000,258195000,-289602000
98,Cash at the End of Period,68452000,18883000,42591000,112576000,266342000,211236000,366833000,117302000,196356000,191116000,177675000,435870000,146268000
99,Cash at the Beginning of Period,24072000,68452000,18883000,42591000,112576000,266342000,211236000,147342000,117302000,203729000,191116000,177675000,435870000
100,Free Cash Flow,-165852000,-82116000,-33147000,-49404000,-103579000,-120591000,-48292000,-111893000,-219974000,-213974000,-51417000,-141677000,63301000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1537054/000119312514100126/0001193125-14-100126-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312515069995/0001193125-15-069995-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312516477307/0001193125-16-477307-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312517058457/0001193125-17-058457-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312518053979/0001193125-18-053979-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312519046812/0001193125-19-046812-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000119312520072797/0001193125-20-072797-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000156459021012575/0001564590-21-012575-index.htm,https://www.sec.gov/Archives/edgar/data/1537054/000095017022002778/0000950170-22-002778-index.htm
102,false,,,,,,,,,,,,,
