,https://roic.ai/company/TPHS,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,26000000,26900000,32900000,31100000,31100000,25000000,23600000,25600000,18900000,14400000,-500000,17900000,33800000,39400000,29200000,3655000,-13814000,-2654000,-13968000,-5408000,1874000,5275000,14064000,2225000,-3993000,-4842000,-50380000,-28561000,-28561000,- -,- -,-7178000,-9219000,-7083000,- -,9006000,-11586000
18,Operating Income ratio,- -,0.1208,0.1206,0.1281,0.1100,0.1036,0.0795,0.0743,0.0801,0.0593,0.0441,-0.0107,0.0535,0.0975,0.1116,0.0849,0.0107,-0.0404,-0.0092,-0.0496,-0.0197,0.0066,0.0188,0.0500,0.0083,-0.0165,-0.0128,-0.1132,-0.1106,-0.1106,- -,- -,-3.8675,-4.9511,-1.9066,- -,7.1704,-0.4174
19,Total Other Income Expenses (Gains),- -,400000,2900000,-300000,-200000,1800000,-300000,-500000,-500000,100000,- -,-100000,-300000,-100000,-400000,-100000,-55000,114000,54000,168000,8000,426000,925000,1936000,875000,-38000,-1558000,-1320000,-1062000,-1062000,- -,- -,-232000,4054000,-516000,8602000,-2206000,-4623000
20,Income Before Tax,- -,26400000,29800000,32600000,30900000,32900000,24700000,23100000,25100000,19000000,14400000,-600000,17600000,33700000,39000000,29100000,3600000,-13700000,-2600000,-13800000,-5400000,2300000,6200000,16000000,3100000,-4031000,-6400000,-51700000,-29623000,-29623000,- -,- -,-7410000,-5165000,-7599000,-2051000,6800000,-16209000
21,Income Before Tax Ratio,- -,0.1227,0.1336,0.1269,0.1093,0.1096,0.0786,0.0728,0.0785,0.0596,0.0441,-0.0129,0.0526,0.0972,0.1105,0.0846,0.0105,-0.0400,-0.0090,-0.0490,-0.0196,0.0081,0.0221,0.0569,0.0116,-0.0167,-0.0170,-0.1162,-0.1147,-0.1147,- -,- -,-3.9925,-2.7739,-2.0455,-0.5049,5.4140,-0.5840
22,Income Tax expense (Gain),- -,13700000,15000000,14800000,12200000,13700000,10600000,8800000,10000000,8200000,5900000,-200000,7200000,14700000,16000000,11600000,1400000,-5300000,-200000,-4800000,-700000,100000,2800000,6400000,2300000,-609000,-14700000,-18900000,46404000,46404000,- -,- -,26000,-3144000,290000,128000,- -,265000
23,Net Income,- -,12700000,14800000,17800000,18700000,19200000,14100000,14300000,15100000,10800000,8500000,-400000,10400000,19100000,23000000,17400000,2200000,-8300000,-2300000,-9000000,-4700000,2200000,3400000,9500000,800000,-3423000,8300000,-32900000,-76027000,-76027000,- -,- -,-7436000,-2021000,-7889000,-2179000,6800000,-16474000
24,Net Income ratio,- -,0.0590,0.0663,0.0693,0.0662,0.0640,0.0448,0.0450,0.0472,0.0339,0.0260,-0.0086,0.0311,0.0551,0.0652,0.0506,0.0064,-0.0242,-0.0080,-0.0320,-0.0171,0.0078,0.0121,0.0338,0.0030,-0.0141,0.0220,-0.0739,-0.2944,-0.2944,- -,- -,-4.0065,-1.0854,-2.1236,-0.5364,5.4140,-0.5935
25,EPS,- -,0.71,0.83,1.00,1.05,1.07,0.79,0.80,0.85,0.60,0.47,-0.02,0.58,1.07,1.28,0.99,0.14,-0.51,-0.15,-0.57,-0.31,0.14,0.23,0.65,0.06,-0.23,0.56,-2.24,-3.79,-3.79,- -,- -,-0.29,-0.07,-0.25,-0.07,0.20,-0.51
26,EPS Diluted,- -,0.71,0.83,1.00,1.05,1.07,0.79,0.80,0.85,0.60,0.47,-0.02,0.58,1.07,1.27,0.99,0.14,-0.51,-0.15,-0.57,-0.31,0.14,0.23,0.64,0.05,-0.23,0.56,-2.24,-3.79,-3.79,- -,- -,-0.29,-0.07,-0.25,-0.07,0.20,-0.50
27,Weighted Average Shares Outstanding,- -,17886909,17866789,17871570,17889567,17862359,17872825,17902558,17805025,17953867,17941781,17700000,17942795,17942795,18019863,17719701,16580911,16174272,15962334,15881209,15499922,15351869,15179479,14778925,14865120,14794135,14798192,14659265,14448000,14448000,- -,14448000,25796697,30451000,31607000,31915000,32305000,32305000
28,Weighted Average Shares Outstanding Diluted,- -,17886909,17866789,17871570,17889567,17862359,17872825,17902558,17805025,17953867,18146355,17700000,18055232,18012926,18091862,17782573,16592066,16174272,15962334,15881209,15499922,15555695,15502964,14909738,14967540,14794135,14798192,14659265,14448000,14448000,- -,14448000,25796697,30451000,31607000,31915000,32860000,32860000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724742/000095011095000166/0000950110-95-000166-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011095000166/0000950110-95-000166-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095012396002748/0000950123-96-002748-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011097000997/0000950110-97-000997-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011098000592/0000950110-98-000592-index.html,- -,https://www.sec.gov/Archives/edgar/data/724742/000095011000000566/0000950110-00-000566-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011001500211/0000950110-01-500211-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011002000410/0000950110-02-000410-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724742/000093041307003850/0000930413-07-003850-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000093041308002601/0000930413-08-002601-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000093041309002335/0000930413-09-002335-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000093041310002880/0000930413-10-002880-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420411029210/0001144204-11-029210-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420412032018/0001144204-12-032018-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420413032684/0001144204-13-032684-index.htm,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/724742/000114420418014956/0001144204-18-014956-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420419014669/0001144204-19-014669-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000110465920033149/0001104659-20-033149-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000155837021003848/0001558370-21-003848-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000155837022004961/0001558370-22-004961-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10200000,6000000,2500000,2000000,1200000,600000,1100000,2300000,1300000,700000,500000,4800000,3300000,3800000,2900000,9700000,7500000,19500000,19200000,19700000,31700000,30000000,27900000,11900000,1822000,2000000,2300000,26300000,13500000,- -,- -,4678000,15273000,11496000,9196000,6515000,4310000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17938000
33,Cash and Short-Term Investments,- -,10200000,6000000,2500000,2000000,1200000,600000,1100000,2300000,1300000,700000,500000,4800000,3300000,3800000,2900000,9700000,7500000,19500000,19200000,19700000,31700000,30000000,27900000,11900000,1822000,2000000,2300000,26300000,13500000,9663000,38173000,4678000,15273000,11496000,9196000,6515000,22248000
34,Net Receivables,- -,1600000,1800000,1900000,1900000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,2700000,3200000,1700000,2400000,1589000,3200000,2600000,2700000,300000,209000,31000,763000,3965000,3997000,1842000,- -,84000
35,Inventory,- -,34800000,36300000,48200000,62100000,65300000,70300000,71300000,67700000,79400000,96800000,110300000,113000000,122500000,127000000,129400000,116400000,99200000,86800000,78200000,69200000,66100000,57500000,63800000,66100000,52480000,82200000,76600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2500000,1000000,1400000,3000000,1600000,5000000,3600000,10700000,6300000,7800000,- -,- -,- -,10300000,- -,- -,- -,- -,- -,- -,- -,- -,9973000,13006000,15564000,28027000,18437000,149184000,-346000,7846000,3800000,4555000,10589000,4145000,10271000,- -,- -
37,Total Current Assets,- -,49100000,45100000,54000000,69000000,69200000,75900000,76000000,80700000,87000000,105300000,- -,- -,- -,141100000,- -,- -,- -,- -,- -,92700000,100500000,90700000,103373000,93406000,71455000,115427000,99937000,178184000,13454000,17718000,42004000,9996000,29827000,19638000,21309000,6515000,22332000
38,PP&E,- -,30500000,59400000,81200000,86000000,114000000,121700000,121300000,120200000,130300000,136000000,133700000,129200000,142700000,146400000,153800000,162400000,150600000,147200000,135500000,123800000,110600000,106700000,104300000,101900000,95956000,127700000,126300000,- -,- -,- -,- -,- -,- -,- -,1904000,- -,1314000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9134000,- -,- -,- -,- -,- -,375000,432000,-114000,9173000,7208000,9172000,8432000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9134000,- -,- -,- -,- -,- -,375000,432000,-114000,9173000,7208000,9172000,8432000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13939000,12533000,11526000,10673000,19379000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15209000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2300000,2400000,2500000,2500000,1000000,700000,1900000,3200000,3900000,4100000,1300000,5200000,6800000,6700000,3500000,4100000,9200000,8800000,13500000,14700000,13600000,11800000,23000,15000,23369000,-9161000,-9100000,-21183000,- -,- -,37856000,61234000,78769000,216425000,304230000,-19379000,- -
45,Total Non-Current Assets,- -,32800000,61800000,83700000,88500000,115000000,122400000,123200000,123400000,134200000,140100000,- -,- -,- -,153100000,- -,- -,- -,- -,- -,- -,- -,- -,104323000,101915000,143668000,118539000,117200000,-21183000,- -,- -,- -,75605000,91188000,237124000,324015000,9172000,9746000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255600000,260100000,284000000,- -,298700000,300300000,276900000,276500000,262500000,161000000,153000000,148400000,- -,- -,- -,- -,- -,- -,145646000,157660000,44567000,- -,- -,- -,- -,- -,338803000
47,Total Assets,- -,81900000,106900000,137700000,157500000,184200000,198300000,199200000,204100000,221200000,245400000,255600000,260100000,284000000,294200000,298700000,300300000,276900000,276500000,262500000,253700000,253500000,239100000,207696000,195321000,215123000,233966000,217137000,157001000,159100000,175378000,86571000,85601000,121015000,256762000,345324000,15687000,351389000
48,Accounts Payable,- -,- -,- -,- -,- -,18800000,20700000,12400000,5600000,14900000,23400000,35600000,30900000,28700000,22000000,19300000,27400000,16500000,17900000,12600000,16200000,15500000,15500000,21700000,25600000,14936000,47400000,41700000,30600000,21800000,6578000,- -,- -,- -,- -,- -,15896000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,- -,- -,- -,500000,2400000,- -,- -,- -,- -,- -,3383000,- -,- -,- -,4292000,5328000,5559000,- -,- -,- -,- -,- -,- -,- -,5236000,39605000,1447000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3092000,3248000,- -,5912000,9180000,- -,- -,- -,- -,- -,- -,49247000,82856000,- -,- -
52,Other Current Liabilities,- -,8000000,17200000,29800000,30700000,11000000,10800000,11600000,13800000,12300000,18700000,6800000,5300000,5800000,18900000,- -,4100000,- -,- -,- -,- -,- -,- -,11150000,7468000,9012000,6960000,23161000,126400000,14000,- -,- -,2935000,13323000,20983000,22243000,-39605000,- -
53,Total Current Liabilities,- -,8000000,17200000,29800000,30700000,29800000,31500000,24000000,19400000,27200000,45300000,- -,- -,- -,41400000,21700000,- -,- -,- -,- -,- -,18883000,- -,35942000,36316000,28240000,65600000,79600000,157000000,21814000,- -,- -,2935000,13323000,70230000,110335000,15896000,1447000
54,Long-Term Debt,- -,6100000,7400000,7300000,4900000,14800000,12600000,7000000,2200000,2000000,1700000,1600000,1300000,900000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000,8400000,30200000,- -,- -,- -,- -,48705000,36167000,123333000,170405000,- -,12750000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49247000,82856000,- -,- -
56,Deferred Tax Liabilities,- -,1500000,1200000,1800000,- -,2500000,3200000,2700000,1900000,1400000,1000000,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,- -,4300000,100000,-100000,- -,- -,- -,100000,- -,- -,- -,900000,5000000,5200000,5300000,5200000,5200000,5400000,5000000,5100000,11689000,7441000,- -,- -,- -,4600000,- -,44388000,51821000,5936000,4235000,-45509000,-77963000,- -,276966000
58,Total Non-Current Liabilities,- -,7600000,8700000,9100000,9200000,17400000,15700000,9700000,4100000,3400000,2800000,1600000,1300000,900000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,11689000,7441000,840000,8400000,30200000,- -,- -,44388000,51821000,54641000,40402000,127071000,175298000,- -,289716000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60300000,54100000,58500000,- -,18300000,46900000,32900000,35000000,32300000,30600000,10017000,28600000,- -,- -,- -,- -,- -,- -,112486000,131284000,113426000,- -,- -,- -,- -,245344000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2065000,1716000,- -
61,Total Liabilities,- -,15600000,25900000,38900000,39900000,47200000,47200000,33700000,23500000,30600000,48100000,58700000,52800000,57600000,43300000,40000000,46900000,32900000,35000000,32300000,30600000,28900000,28600000,37500000,37500000,29080000,74000000,109800000,157000000,134300000,86896000,61605000,57576000,53725000,197301000,285633000,261240000,291163000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,900000,900000,- -,900000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,- -,- -,- -,300000,307000,368000,372000,376000,383000,430000
64,Retained Earnings,- -,54000000,68800000,86600000,105300000,124500000,138700000,152900000,168100000,178000000,184700000,184400000,194800000,213800000,236900000,254300000,256500000,248200000,245900000,236900000,232200000,234400000,222800000,223400000,215100000,211713000,220000000,187200000,- -,- -,- -,1662000,-5556000,-7577000,-15466000,-15997000,- -,-25977000
65,Other Comprehensive Income/Loss,- -,-6200000,-9100000,-9100000,-9100000,-21800000,-28000000,-33200000,-40400000,-47800000,-56200000,- -,-64400000,-71800000,-78700000,-87100000,-97500000,-103400000,-111300000,-120100000,-130000000,-130800000,-140000000,-142200000,23000,-2127000,-1491000,-1480000,- -,- -,- -,-2337000,-3161000,-2732000,-3518000,-3174000,-2159000,-1343000
66,Other Total Stockholders Equity,- -,18500000,21300000,21300000,21400000,34300000,40400000,45800000,52900000,60400000,68800000,11700000,76100000,83500000,92700000,90700000,93600000,98300000,106100000,112554000,120174000,120196000,126934000,120069000,-23788000,-24343000,-24277000,-25541000,21200000,24800000,- -,25341000,36435000,77231000,78073000,78486000,69684000,87116000
67,Total Stockholders Equity,- -,66300000,81000000,98800000,117600000,137000000,151100000,165500000,180600000,190600000,197300000,197000000,207400000,226400000,250900000,258800000,253400000,243900000,241500000,230154000,223174000,224596000,210534000,202069000,192135000,186043000,195032000,160979000,21200000,24799000,88482000,24966000,28025000,67290000,59461000,59691000,67908000,60226000
68,Total Liabilities And Stockholders Equity,- -,81900000,106900000,137700000,157500000,184200000,198300000,199200000,204100000,221200000,245400000,255700000,260200000,284000000,294200000,298800000,300300000,276800000,276500000,262454000,253774000,253496000,239134000,239569000,229635000,215123000,269032000,270779000,178200000,159099000,175378000,86571000,85601000,121015000,256762000,345324000,329148000,351389000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,-100000,- -,100000,- -,46000,-74000,4000,-34000,-31873000,-34314000,- -,-35066000,-53642000,-21199000,1000,- -,- -,- -,- -,- -,- -,-313461000,- -
70,Total Liabilities & Equity,- -,81900000,106900000,137700000,157500000,184200000,198300000,199200000,204100000,221200000,245400000,255600000,260100000,284000000,294200000,298700000,300300000,276900000,276500000,262500000,253700000,253500000,239100000,207696000,195321000,215123000,233966000,217137000,157001000,159100000,175378000,86571000,85601000,121015000,256762000,345324000,15687000,351389000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724742/000095011095000166/0000950110-95-000166-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011095000166/0000950110-95-000166-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095012396002748/0000950123-96-002748-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011097000997/0000950110-97-000997-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011098000592/0000950110-98-000592-index.html,- -,https://www.sec.gov/Archives/edgar/data/724742/000095011000000566/0000950110-00-000566-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011001500211/0000950110-01-500211-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011002000410/0000950110-02-000410-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724742/000093041307003850/0000930413-07-003850-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000093041308002601/0000930413-08-002601-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000093041309002335/0000930413-09-002335-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000093041310002880/0000930413-10-002880-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420411029210/0001144204-11-029210-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420412032018/0001144204-12-032018-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420413032684/0001144204-13-032684-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724742/000114420418014956/0001144204-18-014956-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420419014669/0001144204-19-014669-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000110465920033149/0001104659-20-033149-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000155837021003848/0001558370-21-003848-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000155837022004961/0001558370-22-004961-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,12700000,14800000,- -,18700000,19200000,14100000,14300000,15100000,10800000,8500000,-400000,10400000,19100000,23000000,17400000,2200000,-8300000,-2300000,-9000000,-4700000,2200000,3400000,9500000,800000,-3423000,8300000,-32900000,-76027000,-76027000,- -,- -,-7436000,-2021000,-7889000,-2179000,6800000,-16474000
74,Depreciation and Amortization,- -,2300000,2300000,- -,4900000,5600000,6400000,7400000,7700000,7400000,8900000,1360000,7800000,8000000,8600000,8500000,10580000,11468000,11520000,10908000,10896000,9574000,8821000,8205000,7659000,8003000,11414000,14581000,9819000,9819000,- -,- -,457000,544000,2463000,2977000,2970000,3998000
75,Deferred Income Tax,- -,- -,- -,- -,- -,1000000,400000,-500000,-800000,-700000,-1500000,50000,-3500000,-1900000,1800000,2000000,-1103000,-5039000,353000,-2634000,-1181000,1430000,2115000,2125000,-497000,-615000,-9316000,-22241000,46266000,46266000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2782000,1225000,1269000,905000,806000,530000
77,Change in Working Capital,- -,- -,5000000,- -,7600000,9300000,-1500000,200000,-60000000,- -,- -,99700000,-121400000,21700000,- -,- -,- -,92700000,-11083000,9083000,-23269000,-10341000,-13875000,6612000,-29490000,847000,-29544000,26078000,18306000,5980000,- -,- -,-34943000,9443000,-67096000,-38434000,79645000,30266000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-618000,-618000,- -,- -,-189000,-3197000,4000,1577000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-8600000,-4900000,-1000000,3500000,-11700000,-17400000,-13500000,-2700000,-9600000,-4500000,-2400000,13081000,17171000,12376000,8659000,8925000,3102000,8655000,-6340000,-2277000,13606000,-8438000,5640000,15938000,15938000,- -,- -,- -,- -,- -,- -,- -,- -
