,https://roic.ai/company/MSGS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.0498,-0.0806,-0.1280,-0.0380,-0.0693,-0.0552,0.0908,0.0070,-0.3023,-0.0336
25,EPS,-1.41,-2.27,-4.55,-1.63,-3.12,-3.05,5.99,0.48,-7.62,-0.58
26,EPS Diluted,-1.41,-2.27,-4.55,-1.63,-3.12,-3.05,5.94,0.48,-7.62,-0.58
27,Weighted Average Shares Outstanding,25713000,25713000,25713000,24906547,24754000,23853000,23639000,23767000,23942000,24129000
28,Weighted Average Shares Outstanding Diluted,25713000,25713000,25713000,24906547,24754000,23853000,23846000,23900000,23942000,24129000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1636519/000163651916000016/0001636519-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651917000010/0001636519-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651918000010/0001636519-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651919000019/0001636519-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651920000025/0001636519-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651921000010/0001636519-21-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2277000,6143000,14211000,1444317000,1238114000,1225638000,1086372000,77852000,64902000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,108416000,- -,- -
33,Cash and Short-Term Investments,- -,2277000,6143000,14211000,1444317000,1238114000,1225638000,1194788000,77852000,64902000
34,Net Receivables,- -,65756000,82060000,82897000,80077000,104799000,101292000,98339000,7538000,80617000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,59313000,69716000,71527000,79459000,106816000,88739000,119982000,42888000,39727000
37,Total Current Assets,- -,127346000,157919000,168635000,1603853000,1449729000,1415669000,1413109000,128278000,185246000
38,PP&E,- -,1093169000,1231300000,- -,- -,- -,- -,- -,- -,739237000
39,Goodwill,- -,277166000,277166000,277166000,277166000,380087000,392513000,392513000,226955000,226955000
40,Intangible Assets,- -,194838000,193113000,189174000,182579000,423825000,418656000,397191000,114898000,113839000
41,Intangible Assets,- -,472004000,470279000,466340000,459745000,803912000,811169000,789704000,341853000,340794000
42,Investments,- -,- -,225632000,249394000,263546000,242287000,209951000,84560000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15943000
44,Other Non-Current Assets,- -,40344000,52061000,1264573000,1216806000,1216825000,1299384000,1476178000,763667000,28719000
45,Total Non-Current Assets,- -,1605517000,1979272000,1980307000,1940097000,2263024000,2320504000,2350442000,1105520000,1124693000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1732863000,2137191000,2148942000,3543950000,3712753000,3736173000,3763551000,1233798000,1309939000
48,Accounts Payable,- -,3676000,7388000,3307000,13935000,24084000,28939000,25009000,2301000,2226000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,4365000,6042000,- -,71951000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,229422000,291865000,311317000,332416000,390180000,414262000,360622000,126348000,131025000
52,Other Current Liabilities,- -,232309000,249783000,219094000,268464000,347778000,317939000,368111000,161605000,163076000
53,Total Current Liabilities,- -,465407000,549036000,533718000,614815000,762042000,765505000,759784000,290254000,368278000
54,Long-Term Debt,- -,- -,- -,- -,- -,105433000,101335000,48556000,350000000,1046152000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,31603000
56,Deferred Tax Liabilities,- -,203787000,212837000,206944000,194583000,196436000,78968000,79098000,57721000,- -
57,Other Non-Current Liabilities,- -,146905000,184115000,185005000,148131000,228981000,236330000,237353000,739258000,65772000
58,Total Non-Current Liabilities,- -,350692000,396952000,391949000,342714000,530850000,416633000,365007000,1146979000,1143527000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,718184000,733103000
61,Total Liabilities,- -,816099000,945988000,925667000,957529000,1292892000,1182138000,1124791000,1437233000,1511805000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,249000,249000,249000,249000,249000,249000
64,Retained Earnings,- -,- -,- -,- -,-75687000,-148410000,-11059000,29003000,-43605000,-78898000
65,Other Comprehensive Income/Loss,- -,-375035000,-441665000,-40000000,-43000000,-34000000,-47000000,-47000000,-2000000,-2027000
66,Other Total Stockholders Equity,- -,1291799000,1632868000,1263275000,2704859000,2590324000,2594293000,2638248000,-161630000,-123632000
67,Total Stockholders Equity,- -,916764000,1191203000,1223275000,2586421000,2408163000,2536483000,2620500000,-206986000,-204308000
68,Total Liabilities And Stockholders Equity,- -,1732863000,2137191000,2148942000,3543950000,3701055000,3718621000,3745291000,1230247000,1307497000
69,Minority Interest,- -,- -,- -,- -,- -,11698000,17552000,18260000,3551000,2442000
70,Total Liabilities & Equity,- -,1732863000,2137191000,2148942000,3543950000,3712753000,3736173000,3763551000,1233798000,1309939000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1636519/000163651916000016/0001636519-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651917000010/0001636519-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651918000010/0001636519-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651919000019/0001636519-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651920000025/0001636519-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651921000010/0001636519-21-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-36282000,-58274000,-116933000,-40684000,-77290000,-72723000,141594000,11427000,-182388000,-13954000
74,Depreciation and Amortization,62940000,72551000,91709000,108758000,102482000,107388000,122486000,119193000,93362000,5574000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-4404000,-117311000,150000,-8033000,-73664000
76,Stock Based Compensation,10580000,8514000,13698000,10306000,24476000,41129000,47563000,59474000,56996000,30437000
77,Change in Working Capital,68362000,-391925000,-53056000,26034000,1354121000,-301351000,-37523000,3161000,-815301000,-21056000
78,Accounts Receivable,4229000,-12213000,-9027000,18000,-25053000,-20363000,2435000,2734000,-36758000,-66619000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,15472000,1866000,3712000,-4341000,9096000,2047000,5067000,-3930000,-5656000,-75000
81,Other Working Capital,53864000,-338061000,-391117000,-365083000,989038000,687687000,650164000,653325000,-161976000,-183032000
82,Other Non-Cash Items,219000,427273000,201645000,-35062000,-1278004000,446584000,63838000,-32152000,858932000,37337000
83,Cash Provided by Operating Activities,105819000,58139000,137063000,69352000,125785000,216623000,220647000,161253000,3568000,-35326000
84,CAPEX,-391239000,-217790000,-304866000,-64083000,-71716000,-44224000,-191914000,-188834000,-362475000,-466000
85,Acquisitions Net,- -,- -,- -,-3000000,-2000000,-193000000,-14000000,- -,-1000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-112693000,-405935000,- -
87,Sales/Maturities of Investments,- -,44136000,- -,- -,- -,- -,- -,- -,176661000,- -
88,Other Investing Activites,-422896000,-227790000,-520675000,-35573000,-41974000,-27077000,23557000,68632000,77886000,-466000
89,Cash Used for Investing Activites,-422896000,-183654000,-520675000,-102656000,-115690000,-264301000,-182357000,-232895000,-514863000,-466000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-688000,-110463000,-20000000,-25000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,808000
92,Common Stock Repurchased,- -,- -,- -,- -,-105736000,-147967000,-11830000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,314770000,124805000,387478000,41372000,1525747000,-10558000,-38579000,38717000,-500588000,41347000
95,Cash Used/Provided by Financing Activities,314770000,124805000,387478000,41372000,1420011000,-158525000,-51097000,-71746000,-520588000,17155000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,331000,4669000,4655000,- -
97,Net Change In Cash,-2307000,-710000,3866000,8068000,1430106000,-206203000,-12476000,-138719000,-1027228000,-18637000
98,Cash at the End of Period,2987000,2277000,6143000,14211000,1444317000,1238114000,1225638000,1117901000,90673000,72036000
99,Cash at the Beginning of Period,5294000,2987000,2277000,6143000,14211000,1444317000,1238114000,1256620000,1117901000,90673000
100,Free Cash Flow,-285420000,-159651000,-167803000,5269000,54069000,172399000,28733000,-27581000,-358907000,-35792000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1636519/000163651916000016/0001636519-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651917000010/0001636519-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651918000010/0001636519-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651919000019/0001636519-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651920000025/0001636519-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1636519/000163651921000010/0001636519-21-000010-index.htm
102,false,,,,,,,,,,
