,https://roic.ai/company/AHNR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304409/000101103408000052/0001011034-08-000052-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304409/000137647413000151/0001376474-13-000151-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647414000072/0001376474-14-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647415000082/0001376474-15-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647416000648/0001376474-16-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647417000061/0001376474-17-000061-index.html,https://www.sec.gov/Archives/edgar/data/1304409/000137647418000070/0001376474-18-000070-index.html,https://www.sec.gov/Archives/edgar/data/1304409/000168316819000830/0001683168-19-000830-index.html,https://www.sec.gov/Archives/edgar/data/1304409/000168316820001009/0001683168-20-001009-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000168316821000721/0001683168-21-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000168316822002197/0001683168-22-002197-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,10000,- -,10000,20000,- -,110000,- -,10000,20000,8120,1060,1580,660,3990,120,8986,72822
32,Short-Term Investments,- -,- -,- -,- -,- -,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,10000,- -,10000,90000,- -,110000,- -,10000,20000,8120,1060,1580,660,3990,120,8986,72822
34,Net Receivables,- -,- -,110000,110000,180000,40000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,120000,190000,200000,110000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,10000,20000,- -,10000,- -,110000,50000,40000,- -,- -,- -,- -,- -,- -,- -,- -,51166
37,Total Current Assets,- -,- -,250000,320000,390000,250000,60000,220000,50000,50000,20000,8120,1060,1580,660,3990,120,8986,123988
38,PP&E,- -,- -,280000,280000,280000,- -,- -,200000,440000,1130000,1690000,1758820,1985340,2068790,227650,185290,185290,150000,- -
39,Goodwill,- -,- -,470000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1170,1990,30000,20000,20000,20000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,1170,1990,500000,20000,20000,20000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,420171,150000,- -,110000,240000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000
45,Total Non-Current Assets,1170,422161,930000,300000,410000,260000,20000,200000,440000,1130000,1690000,1758820,1985340,2068790,227650,185290,185290,150000,6000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1170,422161,1180000,620000,800000,510000,80000,420000,490000,1180000,1710000,1766940,1986400,2070370,228310,189280,185410,158986,6123988
48,Accounts Payable,- -,104047,220000,280000,310000,450000,350000,50000,40000,130000,70000,68730,28450,16350,4000,27660,28100,61149,50373
49,Short-Term Debt,- -,43908,67865,57062,269064,101286,508970,- -,130000,555000,990000,1246000,1551270,1806555,1959399,2110890,2253390,43946,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29450,- -,- -
52,Other Current Liabilities,1582,2196,202135,212938,230936,1378714,271030,120000,100000,125000,140000,138990,240920,373715,516431,584020,669270,139587,- -
53,Total Current Liabilities,1582,150151,490000,550000,810000,1930000,1130000,170000,270000,810000,1200000,1453720,1820640,2196620,2479830,2722570,2980210,244682,50373
54,Long-Term Debt,- -,- -,420000,690000,730000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,130000,120000,110000,100000,90000,- -,1024208
58,Total Non-Current Liabilities,- -,- -,430000,700000,730000,- -,- -,- -,- -,- -,- -,- -,130000,120000,110000,100000,90000,- -,1024208
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1582,150151,920000,1250000,1540000,1930000,1130000,170000,270000,810000,1200000,1453720,1950640,2316620,2589830,2822570,3070210,244682,1024208
62,Preferred Stock,- -,- -,- -,- -,30,30,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,70,150,- -,- -,334,- -,- -,- -,- -,- -,- -,3600,3620,3620,3620,3650,3650,5489,11986
64,Retained Earnings,-135412,-62990,-190000,-1220000,-2220000,-3320000,-3600000,-4210000,-5080000,-5720000,-6080000,-6270430,-6569890,-6851900,-8967170,-9255430,-9506950,-9988885,-11019140
65,Other Comprehensive Income/Loss,- -,- -,-10000,-40000,-40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,134930,334850,459225,634701,1523085,1899773,2545194,4465025,5291762,6090659,6586551,6580050,6602031,6602030,6602028,6618496,6618500,9897700,16056561
67,Total Stockholders Equity,-412,272010,259225,-625299,-736551,-1420227,-1054806,255025,211762,370659,506551,313220,35761,-246250,-2361522,-2633284,-2884800,-85696,5049407
68,Total Liabilities And Stockholders Equity,1170,422161,1179225,624701,803449,509773,75194,425025,481762,1180659,1706551,1766940,1986401,2070370,228308,189286,185410,158986,6073615
69,Minority Interest,- -,- -,775,-4701,-3449,227,4806,-5025,8238,-659,3449,- -,-1,- -,2,-6,- -,- -,50373
70,Total Liabilities & Equity,1170,422161,1180000,620000,800000,510000,80000,420000,490000,1180000,1710000,1766940,1986400,2070370,228310,189280,185410,158986,6123988
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304409/000101103408000052/0001011034-08-000052-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304409/000137647413000151/0001376474-13-000151-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647414000072/0001376474-14-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647415000082/0001376474-15-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647416000648/0001376474-16-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647417000061/0001376474-17-000061-index.html,https://www.sec.gov/Archives/edgar/data/1304409/000137647418000070/0001376474-18-000070-index.html,https://www.sec.gov/Archives/edgar/data/1304409/000168316819000830/0001683168-19-000830-index.html,https://www.sec.gov/Archives/edgar/data/1304409/000168316820001009/0001683168-20-001009-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000168316821000721/0001683168-21-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000168316822002197/0001683168-22-002197-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-135412,-60000,-130000,-1030000,-1000000,-1100000,-280000,-610000,-870000,-640000,-360000,-193330,-299460,-282010,-2115270,-288260,-266250,-410068,-1030255
74,Depreciation and Amortization,- -,- -,10464,33454,38791,35030,8333,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7324
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,13952,4126,- -,37688,16012,154000,- -,- -,- -,- -,- -,- -,- -,158389
77,Change in Working Capital,412,-148569,-89849,10000,-190000,-1260000,610000,1120000,-270000,-540000,-420000,-265600,-373980,-375460,-284130,-239410,-261510,2744394,309311
78,Accounts Receivable,- -,- -,- -,- -,- -,144836,23446,11104,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-44458,-73242,-5856,88376,63110,46385,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,135466,17789,111678,-6701,82289,-58740,-1469,4997,-6107,-12342,23651,442,33051,-10776
81,Other Working Capital,-1582,-150151,-240000,-230000,-420000,-1680000,-1070000,50000,-220000,-760000,-1180000,-1445600,-1819580,-2195040,-2479170,-2718580,-2980090,-235696,73615
82,Other Non-Cash Items,134965,293451,51477,548691,553598,2088102,-391333,-808342,422882,745098,401705,311141,462978,533825,2275313,410331,386936,-2531762,-101410
83,Cash Provided by Operating Activities,-35,84882,-157908,-437855,-597611,-222916,-48874,-298342,-679430,-418890,-224295,-147789,-210462,-123645,-124087,-117339,-140824,-197436,-656641
84,CAPEX,- -,- -,-3578,-29979,-153568,-5491,-5585,-74846,-84531,-338803,-205000,-117023,-50605,-121113,-44675,-20825,- -,- -,- -
85,Acquisitions Net,- -,- -,-218400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-215035,- -,- -,- -,- -,- -,-7500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-134965,- -,- -,- -,- -,14856,205408,-74846,-84379,-338803,-205000,-117023,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-134965,-215035,-221978,-29979,-153568,9365,205408,-82346,-84379,-338803,-205000,-117023,-50605,-121113,-44675,-20825,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-426113,-179419,- -,- -,- -,- -,- -,-5335,-22156,-17509,- -,- -,- -
91,Common Stock Issued,135000,200000,- -,204000,517460,- -,- -,475000,571206,60000,- -,- -,- -,- -,- -,- -,- -,158686,742375
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-69847,386617,253341,238059,230068,248521,196439,85800,705250,434000,256000,254000,250620,190000,159000,136950,50198,-21898
95,Cash Used/Provided by Financing Activities,135000,130153,386617,457341,755519,230068,-177592,492020,657006,765250,434000,256000,254000,245285,167844,141491,136950,208884,720477
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,135000,130153,6731,-10493,4340,16517,-21058,111332,-106803,7557,4705,-8812,-7067,527,-918,3327,-3874,8869,63836
98,Cash at the End of Period,- -,- -,10837,344,4684,21201,143,111475,4672,12229,16934,8122,1055,1582,664,3991,117,8986,72822
99,Cash at the Beginning of Period,- -,- -,4106,10837,344,4684,21201,143,111475,4672,12229,16934,8122,1055,1582,664,3991,117,8986
100,Free Cash Flow,-35,84882,-161486,-467834,-751179,-228407,-54459,-373188,-763961,-757693,-429295,-264812,-261067,-244758,-168762,-138164,-140824,-197436,-656641
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304409/000101103408000052/0001011034-08-000052-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304409/000137647413000151/0001376474-13-000151-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647414000072/0001376474-14-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647415000082/0001376474-15-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647416000648/0001376474-16-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000137647417000061/0001376474-17-000061-index.html,https://www.sec.gov/Archives/edgar/data/1304409/000137647418000070/0001376474-18-000070-index.html,https://www.sec.gov/Archives/edgar/data/1304409/000168316819000830/0001683168-19-000830-index.html,https://www.sec.gov/Archives/edgar/data/1304409/000168316820001009/0001683168-20-001009-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000168316821000721/0001683168-21-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1304409/000168316822002197/0001683168-22-002197-index.htm
102,false,,,,,,,,,,,,,,,,,,,
