,https://roic.ai/company/OEC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.0070,-0.0085,-0.0292,0.0600,0.0659,0.0744,0.1062,0.0810,0.0227,0.1201
22,Income Tax expense (Gain),11794112,10399348,21187801,26062143,24441546,24878230,46944000,33216000,8132000,51700000
23,Net Income,-24754675,-26171670,-68022521,46874248,46933238,80167718,121310000,86920000,18156000,134700000
24,Net Income ratio,-0.0134,-0.0141,-0.0424,0.0386,0.0433,0.0568,0.0769,0.0589,0.0160,0.0871
25,EPS,-0.42,-0.44,-1.35,0.79,0.79,1.27,2.04,1.45,0.30,2.22
26,EPS Diluted,-0.42,-0.44,-1.35,0.79,0.78,1.24,1.99,1.42,0.30,2.21
27,Weighted Average Shares Outstanding,59635126,59635126,50471000,59635000,59353000,59320000,59567000,59986000,60430000,60708000
28,Weighted Average Shares Outstanding Diluted,59635126,59635126,50471000,59830000,60154000,60674000,61049000,61300000,61407000,60951000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609804/000160980420000086/0001609804-20-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1609804/000160980421000012/0001609804-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1609804/000160980422000010/0001609804-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,99005475,97321108,85782382,71350010,77728114,72308468,57016000,63726000,64869000,65700000
32,Short-Term Investments,359722,254080,1217228,3417663,5536158,3891835,12573000,11347000,3630000,- -
33,Cash and Short-Term Investments,99365197,97575188,86999611,74767673,83264272,76200302,69589000,75073000,68499000,65700000
34,Net Receivables,354471394,342660664,285699694,218608007,230457280,284377474,320913000,266678000,287822000,349200000
35,Inventory,202955802,170083405,152363928,114918112,120263136,159387672,183629000,164799000,141461000,229800000
36,Other Current Assets,17086783,5515203,1555280,1357882,1119011,1406051,1188000,1170000,2674000,20300000
37,Total Current Assets,673879176,615834461,526618513,409651674,435103698,521371500,575319000,507720000,500456000,665000000
38,PP&E,442519904,460457345,435595116,421857302,407773127,462283754,483534000,561585000,696168000,792500000
39,Goodwill,64157431,66988870,58991196,53038287,51020151,58199966,55546000,77341000,84480000,78000000
40,Intangible Assets,186527627,173298075,134919014,103648350,82015902,70745255,95244000,50596000,46773000,36300000
41,Intangible Assets,250685058,240286945,193910210,156686638,133036052,128945222,150790000,127937000,131253000,114300000
42,Investments,6070304,6363059,5662970,5091509,4897775,5587014,5332000,5232000,6398000,5300000
43,Tax Assets,62300632,59522494,69414855,60409332,64106474,43559997,52395000,48720000,52563000,50400000
44,Other Non-Current Assets,9638427,8022867,11772217,7376511,5296370,7450152,5651000,6202000,2956000,3500000
45,Total Non-Current Assets,771214325,774652711,716355367,651421293,615109798,647826139,697702000,749676000,889338000,966000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1445093501,1390487172,1242973880,1061072967,1050213495,1169197639,1273021000,1257396000,1389794000,1631000000
48,Accounts Payable,130161081,137411969,127771292,103003302,129267805,169681119,163585000,156298000,131250000,195100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,94696000,163300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,25121000,16900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1018000,922000,- -
52,Other Current Liabilities,84393102,126000442,100277251,82216343,100612090,114803129,156751000,127892000,97877000,90300000
53,Total Current Liabilities,214554183,263412411,228048543,185219644,229879896,284484248,320336000,285208000,324745000,448700000
54,Long-Term Debt,346882852,353725593,814539861,711263202,645253670,676608201,643748000,630261000,730352000,704200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,79009178,60478058,53846247,43788949,46860671,25128968,45504000,43308000,38770000,61800000
57,Other Non-Current Liabilities,800372947,815405010,79336300,66479348,72603172,83086595,104538000,112604000,114913000,96600000
58,Total Non-Current Liabilities,1226264977,1229608661,947722409,821531498,764717513,784823764,793790000,786173000,884035000,862600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,29061000,86603000,84600000
61,Total Liabilities,1440819160,1493021072,1175770952,1006751143,994597409,1069308012,1114126000,1071381000,1208780000,1311300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,57859656,60413157,72516903,65199090,62718228,71544257,84254000,85032000,85323000,85300000
64,Retained Earnings,-24754675,-26171670,-68022521,46874248,46933238,80167718,39409000,78296000,84407000,217800000
65,Other Comprehensive Income/Loss,-80458645,-157655555,-210879663,-238688693,-306314417,-400852988,-435544000,-488300000,-48705000,-48500000
66,Other Total Stockholders Equity,51629328,20882930,273588210,180937179,252279037,349030640,470777000,510985000,59987000,- -
67,Total Stockholders Equity,4275663,-102531139,67202928,54321825,55616087,99889627,158896000,186013000,181012000,319700000
68,Total Liabilities And Stockholders Equity,1445094824,1390489933,1242973880,1061072967,1050213495,1169197639,1273022000,1257394000,1389792000,1631000000
69,Minority Interest,-1323,-2762,0,-0,0,- -,-1000,2000,2000,- -
70,Total Liabilities & Equity,1445093501,1390487172,1242973880,1061072967,1050213495,1169197639,1273021000,1257396000,1389794000,1631000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609804/000160980420000086/0001609804-20-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1609804/000160980421000012/0001609804-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1609804/000160980422000010/0001609804-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-24754675,-26171670,-68022521,46874248,46933238,80167718,121310000,86920000,18156000,134700000
74,Depreciation and Amortization,78392890,105029136,93733888,79568364,93302764,103066440,98156000,96713000,96526000,104100000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-3634000,15826000,-12146000,20300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,13919000,9438000,4434000,5200000
77,Change in Working Capital,81831407,-106902943,-53852080,-74137940,-19208227,31663450,18095748,-32471000,-46801000,-114700000
78,Accounts Receivable,34410294,6905742,12034875,51209192,-14785874,-18251074,-39680000,45412000,-16501000,-67600000
79,Inventory,12981723,35279903,5031860,28182057,-8652350,-27665139,-31406000,16413000,29951000,-94900000
80,Accounts Payable,20529267,6077218,1853203,-31077122,31399605,18956499,5444000,-12036000,-18732000,65000000
81,Other Working Capital,459324993,352422050,298569969,224432029,205223802,236887252,254983000,222512000,175711000,-10900000
82,Other Non-Cash Items,98689396,291590452,237801932,182057823,88418610,-32770775,-125861748,55081000,65109000,-4400000
83,Cash Provided by Operating Activities,234159018,263544975,209661219,234362495,209446384,182126833,121985000,231507000,125278000,145200000
84,CAPEX,-94281482,-106541191,-78376867,-56349901,-67620209,-96793195,-116157000,-155848000,-144939000,-214700000
85,Acquisitions Net,- -,- -,- -,-25408348,2235918,- -,-36571000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-94281482,-106541191,-78376867,-56349901,-67620209,-96793195,-51485000,-155848000,-144939000,-214700000
89,Cash Used for Investing Activites,-94281482,-106541191,-78376867,-81758249,-65384292,-96793195,-88056000,-155848000,-144939000,-214700000
90,Debt Repayment,- -,- -,-2810205,-6209958,- -,- -,-8288000,-8036000,-8190000,-213000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3591561,- -,-4926000,- -,- -,- -
93,Dividends Paid,- -,- -,-48640498,-43732097,-42061756,-47988099,-47665000,-48033000,-12045000,- -
94,Other Financing Activites,-173367366,-158392941,-82302155,-106987296,-91495940,-52755717,17111000,-12543000,33778000,286300000
95,Cash Used/Provided by Financing Activities,-173367366,-158392941,-133752858,-156929351,-137149257,-100743816,-43768000,-68612000,13543000,73300000
96,Effect of Forex Changes on Cash,1710001,-4664586,2548762,-1450812,2180178,-947765,-3770000,-420000,5753000,-3200000
97,Net Change In Cash,-31779829,-6053744,80257,-5775917,9093012,-16357943,-18197000,2122000,-3362000,-2200000
98,Cash at the End of Period,99005475,97321108,85782382,71350010,77728114,72308468,57016000,63726000,64869000,65700000
99,Cash at the Beginning of Period,130785304,103374852,85702126,77125927,68635102,88666411,75213000,61604000,68231000,67900000
100,Free Cash Flow,139877536,157003784,131284352,178012595,141826175,85333637,5828000,75659000,-19661000,-69500000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609804/000160980420000086/0001609804-20-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1609804/000160980421000012/0001609804-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1609804/000160980422000010/0001609804-22-000010-index.htm
102,false,,,,,,,,,,
