,https://roic.ai/company/AMCR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748790/000174879020000025/0001748790-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1748790/000174879021000031/0001748790-21-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1733484,11449013,9117681,33124174,26671833,63396295,61716558,74655075,132558630,164014825,125899521,117917488,164622914,1298896521,95342695,91588537,160734437,84519375,97285835,230767023,152209704,227000382,239830708,365965982,360385847,509443200,703982682,518603762,560952878,617013493,601600000,742600000,850000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1733484,11449013,9117681,33124174,26671833,63396295,61716558,74655075,132558630,164014825,125899521,117917488,164622914,1298896521,95342695,91588537,160734437,84519375,97285835,230767023,152209704,227000382,239830708,365965982,360385847,509443200,703982682,518603762,560952878,617013493,601600000,742600000,850000000
34,Net Receivables,268401661,379614823,358848882,480544413,465996219,654597201,825680906,825300825,765509134,644574536,604731579,485939459,663543628,711518973,942848287,995798114,1181032116,1207833069,1711874470,1132404015,880814798,1457272766,1859542996,1621876087,1669602198,1395861186,1383896727,1346841223,1326706005,1198345955,1864300000,1615900000,1864000000
35,Inventory,325289543,395905514,356785153,487197185,457864677,620378503,842796776,724500725,728884066,600311641,588777186,408919936,514484877,532034681,865159152,957554656,1098072407,1024250160,1008566582,1069545833,790586564,1248459610,1692602014,1702519598,1656004453,1328450110,1212320298,1251406867,1304227929,1350512137,1953800000,1831900000,1991000000
36,Other Current Assets,12616837,8260359,27267917,57120767,143895498,-0,30183587,75363825,0,0,- -,31464565,26688712,42337575,84696655,88861855,104462134,55653671,61407973,72329962,47051038,80652700,120022230,124956506,144647143,91325061,108358804,94227598,91410843,99887010,790400000,344300000,561000000
37,Total Current Assets,608041525,795229710,752019633,1057986539,1094428227,1338372000,1760377827,1699820450,1626951830,1408901001,1319408286,1044241447,1369340131,2584787749,1988046789,2133803162,2544301095,2372256274,2879134860,2505046833,1870662104,3013385459,3911997948,3815318173,3830639642,3325079556,3408558512,3211079450,3283297655,3265758595,5210100000,4534700000,5266000000
38,PP&E,1041901850,1373818136,1338417117,1529701425,1578276698,2031111761,2367813643,2790587791,2860975463,2371882818,2338420048,1457221327,1706138404,1791915325,2894375118,3317462648,3355064507,3188435909,3253095844,3467628515,3063482584,4079887817,4806553663,4776797593,4456227128,2918824260,2563359840,2706051703,2762605509,2681841992,3975000000,4140100000,4293000000
39,Goodwill,6722537,217827115,227233406,336057638,411531653,506472544,581016299,519908020,370470851,317165685,271758722,255776464,322407801,404121158,1318559146,1442134922,1347256535,1293836541,1127056828,1144841706,1111954030,1303786173,1637453776,1683279776,1755477883,1690172670,1553975108,1800380677,2031318765,2024376744,5156000000,5339300000,5419000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255776464,322407801,404121158,1318559146,- -,- -,107448687,110178117,107729547,97895213,256150937,373426245,362998137,344141563,305232832,288923521,313555658,375633628,348859111,2306800000,1994300000,1835000000
41,Intangible Assets,6722537,217827115,227233406,336057638,411531653,506472544,581016299,519908020,370470851,317165685,271758722,255776464,322407801,404121158,1318559146,1442134922,1347256535,1401285229,1237234945,1252571254,1209849243,1559937110,2010880021,2046277913,2099619446,1995405502,1842898629,2113936335,2406952393,2373235855,7462800000,7333600000,7254000000
42,Investments,- -,- -,- -,132330861,132659100,157678565,146088562,274365274,242885995,171526480,131039639,102632993,81086736,- -,14486699,9019024,36904871,213264867,250296862,305010476,417164348,399354098,478699528,507910842,461228177,487882953,457603724,449014116,411498647,435825414,98900000,77700000,- -
43,Tax Assets,9073613,13546228,16551248,19277801,31314420,20941142,39132133,42210042,55465123,100134713,96727681,57376560,62256650,128589123,134355712,166956814,134352030,289918523,48091603,84384956,131468509,351421408,141931898,146959494,162169068,95091043,77798625,47767459,66635008,65100489,1011700000,135400000,139000000
44,Other Non-Current Assets,601679879,594567390,494364815,175265371,95883127,111330240,123291076,158681409,134291915,87842913,83710498,41554720,43987896,68629659,93253915,122351099,130005795,70717265,86429177,106198754,123720825,208218247,325438728,306506744,325707037,307680720,185757950,203137405,143460077,169758223,-593500000,220600000,236000000
45,Total Non-Current Assets,1659377878,2199758868,2076566586,2192633097,2249664999,2827534252,3257341714,3785752536,3664089347,3048552610,2921656587,1914562063,2215877487,2393255264,4455030591,5057924506,5003583737,5163621792,4875148431,5215793955,4945685509,6598818680,7763503837,7784452586,7504950856,5804884479,5127418768,5519907019,5791151635,5725761972,11954900000,11907400000,11922000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2267419404,2994988578,2828586219,3250619636,3344093226,4165906251,5017719541,5485572986,5291041177,4457453611,4241064872,2958803511,3585217618,4978043013,6443077379,7191727667,7547884832,7535878067,7754283291,7720840788,6816347613,9612204139,11675501785,11599770760,11335590498,9129964035,8535977280,8730986470,9074449290,8991520567,17165000000,16442100000,17188000000
48,Accounts Payable,- -,- -,154285824,261944886,211409409,319757407,523774014,423832924,408075601,341687205,279836050,286106633,333889561,401587659,726356359,859953437,1138866014,1145723572,1145801527,1277542312,965555089,1450303829,1973366394,1995210512,1996495615,1786393507,2342647437,2432017332,2575787721,2590800697,- -,2170800000,2574000000
49,Short-Term Debt,109788599,82768577,84443422,130331892,88156392,108295641,246227052,532744283,387502261,294754878,257539953,135530479,255609477,196937282,680133682,509330145,556013054,856769713,1169296014,648195100,771620880,1171716313,380693842,939476431,1081248802,521588491,1011382129,921861681,1123604099,1810886895,794200000,206300000,103000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1533396,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,123449604,146795482,221520764,301911570,318465475,393611487,524839317,528964279,581027311,463798166,471088503,406054093,475446896,599988740,632226505,711873650,664211425,653374097,671840543,697658844,643945508,960098585,1226834534,1361729128,1212206941,986593104,315588775,311846086,309098523,266464751,3747600000,1596500000,1668000000
53,Total Current Liabilities,233238203,229564059,460250010,694188348,618031276,821664535,1294840382,1485541486,1376605173,1100240249,1008464506,827691205,1064945934,1198513681,2038716546,2081157232,2359090493,2655867381,2986938083,2623396255,2382654873,3582118727,3580894769,4296416071,4289951358,3294575103,3669618341,3665725099,4008490343,4668152343,4541800000,3973600000,4345000000
54,Long-Term Debt,657121178,837208897,465461866,617626934,695074181,1003432830,1166648912,1089349839,1285268584,1232718536,1070479700,837781360,981664906,925233645,969530766,1405849082,1505169732,1504207418,1370059372,1751035677,1513784421,1628436663,3260479234,3055856888,2892395302,2992919954,2563759319,3437748615,3476709013,2650534123,5309000000,6494100000,6648000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17432288,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,59889770,89229171,106923578,142418334,134948998,128862665,164056674,214357714,240549828,254527169,282773261,147650606,169521797,199864880,232797887,271619439,223259219,401596889,166666667,174797409,169641992,381166872,261099117,217266717,256623196,252038338,229700691,212791460,215190116,161508848,1011700000,672400000,696000000
57,Other Non-Current Liabilities,43833900,36373659,56621803,72240026,71081022,77508312,97652782,170100170,96762525,76482310,61147381,36957430,57766007,83267650,78430316,141787445,133894531,323607545,193044953,298217583,250669852,515701356,566658829,571565999,519178295,452200275,487964163,564460523,483428491,427476648,693500000,614900000,678000000
58,Total Non-Current Liabilities,760844847,962811727,629007247,832285294,901104201,1209803807,1428358368,1473807724,1622580937,1563728016,1414400342,1022389396,1208952710,1208366175,1280758968,1819255965,1862323482,2229411852,1729770992,2224050669,1951528553,2525304891,4088237180,3844689604,3668196793,3697158567,3281424173,4215000598,4175327619,3239519619,7014200000,7781400000,8022000000
59,Other Liabilities,- -,- -,- -,- -,1802208402,- -,2856716736,- -,- -,- -,- -,2044778793,- -,- -,- -,- -,- -,4458823704,3459541985,4448101338,- -,- -,- -,- -,- -,7394317133,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101339514,69844999,58559795,48010567,43002545,3348609,1856216,16742447,15390206,12383077,9856083,8661758,5492843,13676578,9790451,6460354,- -,465700000,462000000
61,Total Liabilities,994083050,1192375785,1089257257,1526473642,1519135477,2031468342,2723198750,2959349209,2999186110,2663968265,2422864848,1850080602,2273898644,2406879856,3319475514,3900413197,4221413975,4885279233,4716709075,4847446925,4334183426,6107423618,7669131950,8141105676,7958148152,6991733670,6951042514,7880725696,8183817962,7907671961,11556000000,11755000000,12367000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,294089845,372737801,378052839,384051573,382915946,434973512,435851000,498251748,482606861,398490239,1239169036,580273449,715237060,1673685396,2112565022,1926365613,2552917315,2085380152,2326378287,2302025430,1969445072,3424807717,4350298185,3872935301,3487319419,2716591033,1678412961,1453236953,1415519382,1392156572,16300000,15700000,15000000
64,Retained Earnings,177112118,224894505,299696307,340871300,401966587,479564503,546358439,695993196,438897932,239876337,275630499,306346648,370682221,759261344,1021009083,1128636449,1103257389,589632092,932824427,943733795,713271137,590829898,676741551,512413779,513155133,588811268,451511662,139782670,286420641,524878907,323700000,246500000,452000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-809800202,-967108984,-1169915841,-1378520129,-1484897812,-1263261777,-1301384494,-933488566,-991819884,-1412228353,-142037032,-244142878,-389559887,-62703136,-265903308,-424507994,-251396197,-558449836,-1085009512,-1017254436,-708360331,-1276291261,-665632654,-804705702,-880840877,-901567235,-722400000,-1049300000,-766000000
66,Other Total Stockholders Equity,676835787,873119329,877735343,999223121,1849875418,2187008878,2482227194,2710498960,2855248086,2418380547,1604784983,1155591379,1217219577,1550444770,0,417112374,- -,0,0,0,0,- -,- -,- -,- -,-0,0,- -,- -,- -,5991400000,5413000000,- -
67,Total Stockholders Equity,1148037750,1470751634,1555484489,1724145993,1824957749,2134437909,2294520791,2526223776,2291855067,1793485346,1818200024,1108722909,1311318973,2571163157,2991537072,3227971559,3266614817,2612309108,2993299406,2821251232,2431320012,3457187779,3942030225,3368094644,3292114221,2029111040,1464291969,788313921,821099146,1015468244,5609000000,4625900000,4764000000
68,Total Liabilities And Stockholders Equity,2142120800,2663127419,2644741746,3250619636,3344093226,4165906251,5017719541,5485572986,5291041177,4457453611,4241064872,2958803511,3585217618,4978043013,6311012587,7128384756,7488028792,7497588341,7710008482,7668698156,6765503438,9564611397,11611162174,11509200319,11250262373,9020844710,8415334483,8669039617,9004917108,8923140205,17165000000,16380900000,17131000000
69,Minority Interest,125298603,331861159,183844473,-0,0,- -,- -,0,- -,- -,- -,-0,0,- -,132064793,63342912,59856041,38289726,44274809,52142632,50844175,47592742,64339611,90570440,85328125,109119325,120642798,61946852,69532182,68380361,- -,61200000,57000000
70,Total Liabilities & Equity,2267419404,2994988578,2828586219,3250619636,3344093226,4165906251,5017719541,5485572986,5291041177,4457453611,4241064872,2958803511,3585217618,4978043013,6443077379,7191727667,7547884832,7535878067,7754283291,7720840788,6816347613,9612204139,11675501785,11599770760,11335590498,9129964035,8535977280,8730986470,9074449290,8991520567,17165000000,16442100000,17188000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748790/000174879020000025/0001748790-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1748790/000174879021000031/0001748790-21-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,99451114,131845295,175802753,199060275,210350632,187520368,255459678,266805267,-60363538,31350298,189516829,173682011,144108837,479506812,243443926,241695856,132064538,260681795,452671756,247605744,170852568,155526282,381228224,422252697,548107723,531756642,679414695,245474459,596418287,719584035,430200000,612200000,939000000
74,Depreciation and Amortization,64347301,96417127,105028567,- -,- -,163286690,- -,- -,162551999,136327235,143055500,144784763,101192572,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453000000,651600000,574000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72800000,-113700000,4000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18600000,34000000,58000000
77,Change in Working Capital,- -,-273896028,72028568,112598760,40310513,-51170019,-251258481,36067693,58314096,2283027,-94393537,87843955,1081879871,-1436943825,103315687,132564672,-468821709,175807884,-10546200,-393643346,-56740499,899836447,-812201076,21786181,489816170,-291564282,-193585820,-270547039,-677201060,2070693748,-107200000,-561095398,-47000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83700000,133300000,-189000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,25600000,-112000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120500000,-48100000,342000000
81,Other Working Capital,565665651,291769623,363798191,476396951,516707464,465537445,214278964,250346657,308660753,310943779,216550242,304394197,1386274068,-50669757,52645930,185210602,-283611107,-107803223,-118349423,-511992769,-568733268,331103179,-481097898,-459311717,30504453,-261059829,-454645648,-725192688,-1402393748,668300000,561100000,4602,-38000000
82,Other Non-Cash Items,-163798414,45633607,-352859888,-311659036,-250661145,-299637040,-4201197,-302872960,-160502556,-169960559,-238178791,-406310729,-1327181280,957437013,-346759613,-374260528,336757171,-436489678,-442125556,146037602,-114112069,-1055362729,430972853,-444038878,-1037923893,-240192360,-485828876,25072581,80782773,-2790277783,-91300000,761195398,-67000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,776100000,1384200000,1461000000
84,CAPEX,- -,- -,-108733464,-109652720,-262874663,-323030214,-389971947,-504236754,-362256586,-265577373,-282305977,-193922025,-147323729,-197612881,-599749346,-423264887,-493640772,-360932607,-514673452,-520469571,-455418536,-426210003,-666374538,-721493338,-434123949,-341009660,-322579666,-350864558,-378830510,-369830414,-332200000,-399500000,-468000000
85,Acquisitions Net,- -,- -,-50397638,-65735906,-50956239,-352816485,-127978410,92295092,-27355761,24459440,343920642,301271718,-341799217,-203411778,-1800191359,-404597605,838747,152787878,-97540288,891304140,-91923040,-2078528024,-345959002,-117588063,-183158875,-87370780,-97472989,-499396215,-335872409,-13119488,258200000,424900000,209000000
86,Purchases of Investments,- -,- -,-54333372,-10414659,-2472929,-27585401,-4403253,-48667549,- -,- -,- -,-3104663,-338227114,-208816575,- -,- -,-27297404,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,180110434,135074588,164914730,1718607,8025283,26617527,8591065,310399,133510,67108484,-153090,436324738,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,15860271,20868909,481627,41480399,34373779,27247527,25622475,32405654,15954393,21075885,350780504,324850805,39013018,85855514,62677281,24858640,131467345,143607505,83933241,25156164,82722356,44927032,79852524,-51688101,85188995,-152353054,82719320,154949104,84200000,12500000,26000000
89,Cash Used for Investing Activites,- -,- -,-17493769,-29859788,-150907476,-660233093,-479954547,-406744157,-355398806,-208401880,77702567,192429399,-476722647,151334309,-2360927688,-742006978,-457422149,-183286090,-480746395,514442074,-463408335,-2479581864,-929611184,-794154369,-537430300,-480068541,-334863659,-1002613827,-631983599,-228000798,10200000,37900000,-233000000
90,Debt Repayment,- -,- -,-190524177,-270325467,-451758505,-123250886,-59372892,-319567820,-307846506,-254899648,-401263022,-378589767,-191260595,-2374451075,-4141444088,-3367871301,-2672019398,-5070643060,-5060644614,-6231379340,-4057930077,-5236561424,-7701194878,-5379577133,-5858254926,-9387463046,-5691284029,-5064557429,-3741450798,-4631576801,-7857600000,-4226700000,-532000000
91,Common Stock Issued,- -,- -,- -,- -,120507545,115380512,58875750,73473823,215304154,6518379,8544612,3522598,203099565,902094359,18731639,9228769,-2516241,106484024,19592875,10524201,23162346,1334806442,34734840,32441615,79396224,48769465,45840268,39722413,23776809,27928607,7417800000,3127400000,820000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24832779,-73914861,-3419013,- -,- -,- -,- -,-42890429,-282357930,-334860937,- -,- -,- -,-226170252,-132874600,-125972094,-420152524,-351065684,-83718346,-74244375,- -,-536600000,-359000000
93,Dividends Paid,- -,- -,-59584340,- -,- -,- -,- -,- -,-178980527,-149550232,-165485107,-145919159,-87006221,-118961829,-130043393,-157308555,-264281575,-229144714,-270737913,-292572784,-232834038,-243232907,-462774940,-453977936,-436405450,-467264202,-479475225,-483004435,-488623424,-523586837,-679700000,-761100000,-742000000
94,Other Financing Activites,- -,- -,-23117451,43820451,316000561,300539988,292958347,577946828,272653283,324304861,105339069,127291182,389002005,2047291972,4520726087,3590480385,2821926373,4590092162,5162680237,5948374011,4096829906,6102494370,8272449394,5899768713,5960009856,9428700548,6072387436,5731290596,3953344130,4488355724,354600000,1160600000,-366000000
