,https://roic.ai/company/CNXC,2017,2018,2019,2020,2021
50,Tax Payable,- -,29406000,16209000,20725000,33779000
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,723655000,672365000,834337000,838855000
53,Total Current Liabilities,- -,3012695000,2698308000,1008662000,968214000
54,Long-Term Debt,- -,- -,- -,1111362000,802017000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,181083000,188572000,153560000,109471000
57,Other Non-Current Liabilities,- -,253413000,297034000,601887000,546410000
58,Total Non-Current Liabilities,- -,434496000,485606000,1866809000,1457898000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,- -,3447191000,3183914000,2875471000,2426112000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,5000
64,Retained Earnings,- -,- -,- -,- -,392495000
65,Other Comprehensive Income/Loss,- -,-39199000,-50082000,-3814000,-70526000
66,Other Total Stockholders Equity,- -,1550830000,1839909000,- -,2298281000
67,Total Stockholders Equity,- -,1319802000,1469841000,2302085000,2620255000
68,Total Liabilities And Stockholders Equity,- -,4766993000,4653755000,5177556000,5046367000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4766993000,4653755000,5177556000,5046367000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1803599/000180359921000045/0001803599-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1803599/000180359922000025/0001803599-22-000025-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,72250000,48271000,117164000,164811000,405577000
74,Depreciation and Amortization,129868000,154598000,305780000,276566000,277175000
75,Deferred Income Tax,-18085000,-11377000,17126000,-2627000,-25729000
76,Stock Based Compensation,5088000,7652000,10351000,15572000,36176000
77,Change in Working Capital,-19438000,- -,315452000,1813417000,160137000
78,Accounts Receivable,-20048000,-8488000,6286000,-139172000,-139104000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-7502000,-28138000,-4998000,36557000,-4546000
81,Other Working Capital,-1714155000,-1714155000,-1398703000,414714000,574851000
82,Other Non-Cash Items,-1318000,13179000,-316137000,-1760125000,-339158000
83,Cash Provided by Operating Activities,168365000,212323000,449736000,507614000,514178000
84,CAPEX,-78702000,-92518000,-111122000,-171332000,-149079000
85,Acquisitions Net,-57809000,-1072335000,-9426000,-5560000,70429000
86,Purchases of Investments,-4183000,-34000,- -,- -,- -
87,Sales/Maturities of Investments,1962000,13914000,- -,- -,- -
88,Other Investing Activites,- -,- -,-30466000,67676000,- -
89,Cash Used for Investing Activites,-138732000,-1150973000,-151014000,-109216000,-78650000
90,Debt Repayment,-312310000,-325939000,-339639000,-1476703000,-1661000000
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-57486000
93,Dividends Paid,- -,- -,- -,- -,-13082000
94,Other Financing Activites,275009000,1277160000,- -,1141479000,1329697000
95,Cash Used/Provided by Financing Activities,-37301000,951221000,-339639000,-335224000,-401871000
96,Effect of Forex Changes on Cash,4918000,-12446000,-3453000,9663000,-6998000
97,Net Change In Cash,-2750000,125000,-44370000,72837000,26659000
98,Cash at the End of Period,127759000,127884000,83514000,156351000,183010000
99,Cash at the Beginning of Period,130509000,127759000,127884000,83514000,156351000
100,Free Cash Flow,89663000,119805000,338614000,336282000,365099000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1803599/000180359921000045/0001803599-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1803599/000180359922000025/0001803599-22-000025-index.htm
102,false,,,,,
