,https://roic.ai/company/HROW,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,-580000,-2859388,-3746396,-4564076,-2502560,-939228,-4178877,-7686879,-10146749,-14822000,-15882000,-12163000,-5217000,-4803000,385000,1614000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-41.7888,-768.6879,-6.1116,-1.5255,-0.7964,-0.4543,-0.1261,-0.0939,0.0079,22.2694
19,Total Other Income Expenses (Gains),- -,- -,- -,89914,375000,- -,-28668,-14708,-1204658,43755,28646,-1077000,-3316000,-757000,19842000,4678000,-3800000,-1631874
20,Income Before Tax,- -,- -,-580000,- -,- -,- -,-2531228,-953936,-5383535,-7643124,-10118103,-15899000,-19198000,-12920000,14625000,-125000,-3415000,-17874
21,Income Before Tax Ratio,- -,- -,-Infinity,- -,- -,- -,-Infinity,-Infinity,-53.8353,-764.3124,-6.0943,-1.6364,-0.9627,-0.4826,0.3535,-0.0024,-0.0699,-0.2466
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000,-935000,- -,- -,4000,-133
23,Net Income,- -,- -,-580000,-4284540,-3304388,-4553636,-2531228,-953936,-5383535,-7643124,-10118103,-15899000,-19087000,-11985000,14625000,168000,-3357000,-17741
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-53.8353,-764.3124,-6.0943,-1.6364,-0.9571,-0.4476,0.3535,0.0033,-0.0687,-0.2448
25,EPS,- -,- -,-6.44,-19.20,-8.80,-11.60,-6.40,-2.80,-1.24,-0.88,-1.11,-1.66,-1.50,-0.60,0.67,0.01,-0.13,-0.00
26,EPS Diluted,- -,- -,-6.44,-19.20,-8.80,-11.60,-6.40,-2.80,-1.24,-0.88,-1.11,-1.66,-1.50,-0.60,0.61,0.01,-0.13,-0.00
27,Weighted Average Shares Outstanding,- -,- -,90000,221170,370551,390324,394630,397802,4493535,8656822,9132989,9576142,12743184,20027712,21917570,25323159,25823077,27112531
28,Weighted Average Shares Outstanding Diluted,- -,- -,90000,221170,370551,390324,394630,397802,4493535,8656822,9132989,9576142,12743184,20027712,23812045,26466098,25823077,27112531
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1360214/000093639209000134/0000936392-09-000134-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000095012310030880/0000950123-10-030880-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000135448812000836/0001354488-12-000836-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000135448812000844/0001354488-12-000844-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000135448813001295/0001354488-13-001295-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315214000878/0001493152-14-000878-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315215000811/0001493152-15-000811-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315216008212/0001493152-16-008212-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315217002687/0001493152-17-002687-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315218003095/0001493152-18-003095-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315219003188/0001493152-19-003188-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315220003862/0001493152-20-003862-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315221005583/0001493152-21-005583-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315222006525/0001493152-22-006525-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,39944,3706369,5111031,1589773,291462,146160,10035615,15579309,8211492,2685000,8853000,4019000,6638000,4749000,4101000,42167
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21420000,25200000,28455000,- -
33,Cash and Short-Term Investments,- -,- -,39944,3706369,5111031,1589773,291462,146160,10035615,15579309,8211492,2685000,8853000,4019000,28058000,29949000,32556000,42167
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81322,840000,2921000,1624000,1964000,2731000,2662000,4470
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372735,1412000,1841000,2249000,1834000,3301000,3962000,4217
36,Other Current Assets,- -,- -,- -,534352,222354,80917,60492,14797,657833,155164,390665,936000,1138000,914000,987000,786000,951000,9808
37,Total Current Assets,- -,- -,39944,4240721,5333385,1670690,351954,160957,10693448,15734473,9056214,5873000,14753000,8806000,32843000,36767000,40131000,60662
38,PP&E,- -,- -,- -,- -,2450,1394,338,- -,12548,26892,243395,2657000,7295000,6215000,6375000,11934000,11252000,9076
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331621,2466000,2227000,2227000,2227000,332000,332000,332
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,610994,3135000,2972000,2860000,3059000,2337000,1939000,15813
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,942615,5601000,5199000,5087000,5286000,2669000,2271000,16145
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3507000,4947000,7715000,3820000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302000,- -,- -,- -,12446
45,Total Non-Current Assets,- -,- -,- -,- -,2450,1394,338,- -,12548,26892,1186010,8258000,12494000,15111000,16608000,22318000,17343000,37667
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,39944,4240721,5335835,1672084,352292,160957,10705996,15761365,10242224,14131000,27247000,23917000,49451000,59085000,57474000,98329
48,Accounts Payable,- -,- -,- -,696340,698342,681014,73632,218612,286686,261924,786675,3407000,3538000,3885000,6250000,7409000,3932000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1430479,- -,- -,24112,21000,4431000,598000,3249000,2408000,4486000,71654
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,80000,100000,- -,- -,1683,65000,91000,29000,119000,57000,66000,16
52,Other Current Liabilities,- -,- -,4950,53901,65651,413859,181403,111871,422873,388703,747798,1881000,1845000,1262000,2283000,2410000,2315000,-61948
53,Total Current Liabilities,- -,- -,4950,750241,763993,1094873,335035,1860962,709559,650627,1560268,5374000,9905000,5774000,11901000,12284000,10799000,9722
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,1055479,- -,- -,- -,483156,8336000,7937000,14008000,11999000,12219000,12378000,6012
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1047000,936000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48626,759000,2037000,1520000,800000,7164000,7469000,71664
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1055479,- -,- -,- -,531782,10142000,10910000,15528000,12799000,19383000,19847000,77676
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43080,22000,1776000,1318000,720000,7000000,7257000,- -
61,Total Liabilities,- -,- -,4950,750241,763993,1094873,1390514,1860962,709559,650627,2092050,15516000,20815000,21302000,24700000,31667000,30646000,87398
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1600,13727,15556,15652,15932,15901,6772,8970,9258,10000,19000,21000,24000,26000,26000,27
64,Retained Earnings,- -,- -,-46206,-7077545,-10381933,-14935569,-17466797,-18520733,-24104268,-31747392,-41865495,-57764000,-76851000,-88836000,-74211000,-74043000,-77400000,-95407
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-2944,-5659,-45436,-300000,-1355000,-2756000,-4364000,-5394000,- -,- -
66,Other Total Stockholders Equity,- -,- -,79600,- -,14938219,15497128,16412643,16804827,34096877,46854819,50051847,56669000,84619000,94186000,103302000,107122000,104557000,106311
67,Total Stockholders Equity,- -,- -,34994,3490480,4571842,577211,-1038222,-1700005,9996437,15110738,8150174,-1385000,6432000,2615000,24751000,27711000,27183000,10931
68,Total Liabilities And Stockholders Equity,- -,- -,39944,4240721,5335835,1672084,352292,160957,10705996,15761365,10242224,14131000,27247000,23917000,49451000,59378000,57829000,98329
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-293000,-355000,- -
70,Total Liabilities & Equity,- -,- -,39944,4240721,5335835,1672084,352292,160957,10705996,15761365,10242224,14131000,27247000,23917000,49451000,59085000,57474000,98329
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1360214/000093639209000134/0000936392-09-000134-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000095012310030880/0000950123-10-030880-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000135448812000836/0001354488-12-000836-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000135448812000844/0001354488-12-000844-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000135448813001295/0001354488-13-001295-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315214000878/0001493152-14-000878-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315215000811/0001493152-15-000811-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315216008212/0001493152-16-008212-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315217002687/0001493152-17-002687-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315218003095/0001493152-18-003095-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315219003188/0001493152-19-003188-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315220003862/0001493152-20-003862-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315221005583/0001493152-21-005583-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315222006525/0001493152-22-006525-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-580000,-4284540,-3304388,-4553636,-2531228,-953936,-5383535,-7643124,-10118103,-15899000,-19087000,-11985000,14625000,168000,-3357000,-17741
74,Depreciation and Amortization,- -,- -,- -,201252,704,1056,1056,338,2944,5659,85349,610000,1406000,1765000,1843000,2663000,2743000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000,-935000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,562442,509505,680195,192153,2156612,3134973,2614619,3441000,3673000,2943000,2636000,2023000,2858000,- -
77,Change in Working Capital,- -,- -,34994,3469128,1078912,-3993575,-558898,-1716924,11683894,5099957,-7587900,-6996946,4349000,-1816000,17910000,3541000,4849000,-29281060
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22902,-360000,-2081000,1392000,-384000,-95000,-866000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159545,-314000,-429000,-821000,415000,-2271000,-661000,- -
80,Accounts Payable,- -,- -,- -,- -,2001,124624,-607382,144980,231435,-239800,345360,1028000,1515000,346000,2365000,1342000,-4655000,- -
81,Other Working Capital,- -,- -,34994,3490480,4569392,575817,16919,-1700005,9983889,15083846,7495946,499000,4848000,3032000,20942000,24483000,29332000,50940
82,Other Non-Cash Items,- -,- -,485006,-1149461,-871155,4465892,110564,2187209,-10360755,-5036409,7950607,7701946,-1445000,1225000,-36327000,-7445000,-8193000,29298801
83,Cash Provided by Operating Activities,- -,- -,-60000,-1763621,-2533485,-3570758,-2298311,-291160,-1900840,-4438944,-7055428,-11143000,-11215000,-8803000,687000,950000,-1100000,- -
84,CAPEX,- -,- -,- -,- -,-3154,- -,- -,- -,-15492,-20003,-173986,-1180000,-7139000,-1074000,-2203000,-1837000,-994000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-636374,-3426000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,-100167,- -,-50000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-709000,-352000,-189000,-431000,-365000,-119000,-18685000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3154,- -,- -,- -,-15492,-70003,-910527,-5130000,-7289000,-961000,-2199000,-1833000,-981000,-18685000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10431,-25000,-267000,-14625000,-691000,-1493000,-1505000,- -
91,Common Stock Issued,- -,- -,- -,3863541,3941301,49500,- -,- -,11916731,10052832,621678,1642000,20517000,4064000,642000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,50000,- -,- -,- -,- -,- -,- -,-191,-13109,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1605907,- -,- -,1000000,145858,89056,- -,- -,9130000,4422000,15491000,4180000,487000,2938000,51470000
95,Cash Used/Provided by Financing Activities,- -,- -,50000,5469448,3941301,49500,1000000,145858,11805787,10052641,598138,10747000,24672000,4930000,4131000,-1006000,1433000,51470000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-10000,3705827,1404662,-3521258,-1298311,-145302,9889455,5543694,-7367817,-5526000,6168000,-4834000,2619000,-1889000,-648000,37866000
98,Cash at the End of Period,- -,- -,6828000,3706369,5111031,1589773,291462,146160,10035615,15579309,8211492,2685000,8853000,4019000,6838000,4949000,4301000,42167000
99,Cash at the Beginning of Period,- -,- -,6838000,542,3706369,5111031,1589773,291462,146160,10035615,15579309,8211000,2685000,8853000,4219000,6838000,4949000,4301000
100,Free Cash Flow,- -,- -,-60000,-1763621,-2536639,-3570758,-2298311,-291160,-1916332,-4458947,-7229414,-12323000,-18354000,-9877000,-1516000,-887000,-2094000,- -
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1360214/000093639209000134/0000936392-09-000134-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000095012310030880/0000950123-10-030880-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000135448812000836/0001354488-12-000836-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000135448812000844/0001354488-12-000844-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000135448813001295/0001354488-13-001295-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315214000878/0001493152-14-000878-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315215000811/0001493152-15-000811-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315216008212/0001493152-16-008212-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315217002687/0001493152-17-002687-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315218003095/0001493152-18-003095-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315219003188/0001493152-19-003188-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315220003862/0001493152-20-003862-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315221005583/0001493152-21-005583-index.htm,https://www.sec.gov/Archives/edgar/data/1360214/000149315222006525/0001493152-22-006525-index.htm
102,false,,,,,,,,,,,,,,,,,,
