,https://roic.ai/company/KNSA,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,-3675000
80,Accounts Payable,119000,1006000,8823000,-4705000,-4969000,1366000
81,Other Working Capital,54032000,29674000,271196000,213797000,301403000,- -
82,Other Non-Cash Items,- -,38284000,-224316000,46905000,-90398000,3398000
83,Cash Provided by Operating Activities,-21867000,-50219000,-81012000,-158369000,-136532000,-126298000
84,CAPEX,-3000,-69000,-5290000,-3203000,-283000,-20415000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-402008000,-488773000,-430211000,-157250000
87,Sales/Maturities of Investments,- -,- -,168100000,541190000,407050000,306300000
88,Other Investing Activites,- -,- -,- -,- -,- -,-20000000
89,Cash Used for Investing Activites,-3000,-69000,-239198000,49214000,-23444000,128635000
90,Debt Repayment,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,159194000,83106000,221669000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,42509000,39873000,187542000,1001000,5417000,5885000
95,Cash Used/Provided by Financing Activities,42509000,39873000,346736000,84107000,227086000,5885000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,20639000,-10415000,26526000,-25048000,67110000,8222000
98,Cash at the End of Period,56075000,45660000,72186000,47138000,114248000,122470000
99,Cash at the Beginning of Period,35436000,56075000,45660000,72186000,47138000,114248000
100,Free Cash Flow,-21870000,-50288000,-86302000,-161572000,-136815000,-146713000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1730430/000155837019001857/0001558370-19-001857-index.html,https://www.sec.gov/Archives/edgar/data/1730430/000155837020002081/0001558370-20-002081-index.html,https://www.sec.gov/Archives/edgar/data/1730430/000155837021001821/0001558370-21-001821-index.htm,https://www.sec.gov/Archives/edgar/data/1730430/000155837022001932/0001558370-22-001932-index.htm
102,false,,,,,,
