,https://roic.ai/company/ZEST,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,1287876,1991377,2709880,2919871,3190664,3454101,67370000,- -,120806000,111639000,133684000,165917000
67,Total Stockholders Equity,1012404,-448871,-1982261,-2188832,-2350321,-2647355,-2942152,5472000,- -,8474000,-4194000,5747000,17029000
68,Total Liabilities And Stockholders Equity,1705396,1169565,734256,596029,501632,331455,139877,13298000,- -,12447000,2538000,24916000,36591000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1705396,1169565,734256,596029,501632,331455,139877,13298000,- -,12447000,2538000,24916000,36591000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1437491/000121390021034916/0001213900-21-034916-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-177998,-1543775,-2239631,-926571,-377149,-573718,-565941,-25349000,- -,-42152000,-13650000,-12137000,-20888000
74,Depreciation and Amortization,35650,295735,389545,37997,36452,35962,35962,2313000,- -,3041000,3357000,286000,1902000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,94491,720000,25660,27684,31144,2711000,- -,24952000,3073000,3816000,2050000
77,Change in Working Capital,665307,-1750999,-743844,-568574,-125037,-261072,-258835,4495646,- -,1791000,-8306000,-11644000,4844000
78,Accounts Receivable,-54135,-64015,-128959,-20006,40491,41170,174942,-358000,- -,-1060000,1611000,475000,-1173000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-551000,- -,-983000,- -,- -,-122000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,281000,- -,634000,-934000,-838000,2863000
81,Other Working Capital,682715,-1068284,-1812128,-2380702,-2505739,-2766811,-3025646,1470000,- -,3261000,-5045000,-16689000,-11845000
82,Other Non-Cash Items,-673727,2763510,2324716,616912,422620,678099,778413,1732354,- -,-5275000,6486000,14189000,-547000
83,Cash Provided by Operating Activities,-150768,-235529,-174723,-120236,-17454,-93045,20743,-14097000,- -,-17643000,-9040000,-5490000,-12639000
84,CAPEX,- -,-8288,- -,- -,- -,- -,- -,-724000,- -,-277000,-289000,- -,-6126000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,2029000,825000,-792000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-600000,- -,-1001000,- -,-1000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1001000,- -,- -,- -
88,Other Investing Activites,-154800,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,1017000,-2929000
89,Cash Used for Investing Activites,-154800,-8288,- -,- -,- -,- -,- -,-3324000,- -,1752000,536000,-775000,-6358000
90,Debt Repayment,- -,-70000,- -,- -,- -,- -,- -,-1793000,- -,-100000,-500000,-89000,-6073000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,17520000,- -,12693000,4221000,- -,7666000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1618000,-53000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1040000,- -,- -,- -,- -,- -,- -,1227000,- -,- -,1350000,6516000,18314000
95,Cash Used/Provided by Financing Activities,1040000,-70000,- -,- -,- -,- -,- -,16954000,- -,10975000,5018000,6427000,19907000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,734432,-313817,-174723,-120236,-17454,-93045,20743,-467000,- -,-4916000,-3486000,162000,910000
98,Cash at the End of Period,744402,430585,255862,135626,118172,25127,45870,1495000,- -,3730000,244000,406000,1316000
99,Cash at the Beginning of Period,9970,744402,430585,255862,135626,118172,25127,1962000,- -,8646000,3730000,244000,406000
100,Free Cash Flow,-150768,-243817,-174723,-120236,-17454,-93045,20743,-14821000,- -,-17920000,-9329000,-5490000,-18765000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1437491/000121390021034916/0001213900-21-034916-index.htm
102,false,,,,,,,,,,,,,
