,https://roic.ai/company/ZI,2018,2019,2020,2021
44,Other Non-Current Assets,11600000,76300000,-415000000,83600000
45,Total Non-Current Assets,546000000,1413700000,1396000000,6307200000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,591000000,1561900000,1850000000,6852900000
48,Accounts Payable,1900000,7900000,8000000,15900000
49,Short-Term Debt,1900000,12700000,6000000,8100000
50,Tax Payable,100000,500000,3400000,8400000
51,Deferred Revenue,52200000,157700000,221000000,361500000
52,Other Current Liabilities,9600000,63400000,85000000,122100000
53,Total Current Liabilities,65600000,241700000,320000000,507600000
54,Long-Term Debt,631800000,1194600000,744000000,1294400000
55,Deferred Revenue,300000,1400000,- -,2700000
56,Deferred Tax Liabilities,10200000,82800000,- -,1500000
57,Other Non-Current Liabilities,2200000,255200000,7000000,3048800000
58,Total Non-Current Liabilities,644500000,1534000000,751000000,4347400000
59,Other Liabilities,- -,- -,1818000000,- -
60,Capital Lease Obligations,- -,44700000,39600000,69600000
61,Total Liabilities,710100000,1775700000,1387000000,4855000000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,- -,2000000,4000000
64,Retained Earnings,-119100000,-207800000,-4000000,112800000
65,Other Comprehensive Income/Loss,- -,-6000000,-2400000,9500000
66,Other Total Stockholders Equity,- -,- -,507200000,- -
67,Total Stockholders Equity,-119100000,-213800000,502800000,1997900000
68,Total Liabilities And Stockholders Equity,591000000,1561900000,1889800000,6852900000
69,Minority Interest,- -,- -,-39800000,- -
70,Total Liabilities & Equity,591000000,1561900000,1850000000,6852900000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1794515/000179451521000061/0001794515-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1794515/000179451522000015/0001794515-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-28600000,-46200000,-36000000,116800000
74,Depreciation and Amortization,17300000,48700000,50000000,69300000
75,Deferred Income Tax,-3000000,-7200000,-1000000,-14500000
76,Stock Based Compensation,32700000,25100000,121000000,93000000
77,Change in Working Capital,5100000,-72900000,227500000,36900000
78,Accounts Receivable,-8900000,-34500000,-15000000,-66100000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-300000,5100000,-200000,4600000
81,Other Working Capital,-20600000,-93500000,134000000,78000000
82,Other Non-Cash Items,20300000,96900000,-192500000,-2100000
83,Cash Provided by Operating Activities,43800000,44400000,169000000,299400000
84,CAPEX,-4600000,-13600000,-16000000,-23600000
85,Acquisitions Net,-8500000,-723100000,-65900000,-684200000
86,Purchases of Investments,- -,- -,-30000000,-119800000
87,Sales/Maturities of Investments,- -,- -,- -,131800000
88,Other Investing Activites,- -,- -,-600000,- -
89,Cash Used for Investing Activites,-13100000,-736700000,-113300000,-695800000
90,Debt Repayment,-3700000,-649800000,-1000000,-581400000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-11900000,- -,- -
93,Dividends Paid,-93400000,-16500000,- -,- -
94,Other Financing Activites,67200000,1404000000,173200000,1020900000
95,Cash Used/Provided by Financing Activities,-29900000,725800000,172200000,439500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,800000,33500000,229000000,43100000
98,Cash at the End of Period,9000000,42500000,271000000,314100000
99,Cash at the Beginning of Period,8200000,9000000,42000000,271000000
100,Free Cash Flow,39200000,30800000,153000000,275800000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1794515/000179451521000061/0001794515-21-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1794515/000179451522000015/0001794515-22-000015-index.htm
102,false,,,,
