,https://roic.ai/company/ABEV,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,872265600,1066357320,1663786420,983530366,126925307,735401145,1493900000,214500000,258838311,225554525,174800000,100000,73300000,1069300000,193400000,476600000,288600000,713000000,215100000,282800000,11900000,13400000,14600000,1700000000,1914600000
33,Cash and Short-Term Investments,884206800,1086896720,1697429448,1028231594,2538986846,3504899676,2690000000,1505400000,1095614668,1760734878,2483000000,3299000000,4116200000,6978600000,8269600000,9402800000,11574400000,10435100000,13835300000,8159600000,10366400000,11476900000,11915300000,18790300000,18542300000
34,Net Receivables,334800000,306761980,428575333,794985752,802540434,768102002,1497100000,2153500000,1670057233,2577356560,2362400000,3908400000,4638700000,3975300000,4171000000,3331600000,4703100000,4610800000,7360600000,9791400000,8315400000,7028000000,8569600000,7590200000,7404200000
35,Inventory,322970400,374662820,383336596,591064306,806664839,859698384,954600000,1380900000,1177365003,1360603240,1457800000,2018100000,1488100000,1905200000,2238500000,2378000000,2673500000,3264000000,4098800000,4112600000,4108100000,5097400000,5650300000,7224500000,11000300000
36,Other Current Assets,147758400,201406940,213792069,273099644,536669596,460895183,358800000,339800000,985183651,1102231673,1577200000,67800000,60100000,51800000,400000,1143600000,1519000000,2418600000,3019800000,1823200000,1928100000,1727300000,1485900000,1737300000,1680300000
37,Total Current Assets,1689735600,1969728460,2723133445,2687381296,4684861715,5593595245,5500500000,5379600000,4928220554,6800926350,7880400000,9293300000,10303100000,12910900000,14679500000,16256000000,20470000000,20728500000,28314500000,23886800000,24718000000,25329600000,27621100000,35342300000,38627100000
38,PP&E,2443816800,2127277740,1898596837,3203950054,3143579073,3289098089,4166300000,5531700000,5401226483,5710067300,5981500000,7304600000,6595100000,7032300000,9265200000,11412300000,13937800000,15740100000,19140100000,19153800000,18822300000,20097000000,22576300000,24768400000,29224300000
39,Goodwill,- -,- -,- -,- -,- -,- -,1687300000,18170400000,16716658073,17942735580,14983000000,17912400000,17527500000,17441800000,17454000000,19971500000,27021100000,27502900000,30953100000,30511200000,31401900000,34276200000,35009900000,40023500000,42411300000
40,Intangible Assets,- -,- -,23955951,614695023,617562272,626898582,- -,- -,- -,- -,- -,2492900000,1932600000,1823200000,1763000000,2935400000,3213600000,3754900000,5092200000,5245900000,4674700000,5840600000,6306400000,7580600000,8689000000
41,Intangible Assets,- -,- -,23955951,614695023,617562272,626898582,1687300000,18170400000,16716658073,17942735580,14983000000,20405300000,19460100000,19265000000,19217000000,22906900000,30234700000,31257800000,36045300000,35757100000,36076600000,40116800000,41316300000,47604100000,51100300000
42,Investments,- -,- -,- -,- -,- -,- -,25400000,147400000,- -,- -,- -,347800000,271200000,227200000,263800000,273400000,90300000,108400000,833500000,404400000,360000000,404400000,467000000,551300000,498100000
43,Tax Assets,- -,- -,- -,995992113,1160253592,1558299560,1831800000,2216600000,2040725220,3558080515,3036800000,- -,1368500000,1089800000,- -,1418500000,1646500000,1392500000,2749900000,2268200000,2279300000,2017500000,2950100000,4560800000,4727700000
44,Other Non-Current Assets,496508400,597213260,780222506,1136801469,1422359982,1313499768,1618800000,1570800000,4385059850,1547154340,3594100000,4462000000,2103000000,2153100000,2713900000,1892800000,2294800000,2916000000,3093000000,2371100000,4595700000,6160800000,6812100000,12369400000,14424900000
45,Total Non-Current Assets,2940325200,2724491000,2702775294,5951438659,6343754919,6787796000,9329600000,27636900000,28543669627,28758037735,27595400000,32519700000,29797900000,29767400000,31459900000,37903900000,48204100000,51414800000,61861800000,59954600000,62133900000,68796500000,74121800000,89854000000,99975300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199950700000
47,Total Assets,4630060800,4694219460,5425908739,8638819954,11028616634,12381391246,14830100000,33016500000,33471890181,35558964085,35475800000,41813000000,40101000000,42678300000,46139400000,54159900000,68674100000,72143300000,90176300000,83841400000,86851900000,94126100000,101742900000,125196300000,138602500000
48,Accounts Payable,291164400,256500860,315777107,579144628,571158074,789100214,- -,352500000,1064734425,1384047945,2137600000,3347000000,3570300000,4655000000,11288000000,6563100000,7925300000,8708700000,11833700000,10868800000,11854000000,14050000000,15069600000,19339200000,25077900000
49,Short-Term Debt,710334000,903491960,1042937460,1265211475,1719958082,607401254,1976100000,3443100000,1208644529,2099514490,2476300000,3607000000,819700000,2607200000,2224400000,837900000,1040600000,1087200000,1285100000,3630600000,1322900000,1560600000,653100000,2738800000,847100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,1301500000,1633900000,- -,1605300000,1981900000,2006300000,2670800000,2048700000,793900000,3019400000,3064900000,3543700000,4342100000,4282400000,5493800000,5340200000,5502700000,5716800000,6076900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,12700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,463140000,421540980,530423654,855005316,1120825583,1437096124,2743900000,4963400000,2775766062,3344297390,3872200000,3583100000,4101700000,3292700000,895500000,8117800000,8214700000,12028900000,17023100000,14274200000,15511600000,9217700000,9288300000,11399800000,12941400000
53,Total Current Liabilities,1464638400,1581533800,1889138221,2699361420,3411941738,2833597591,4720000000,8771700000,5049145016,6827859825,8486100000,10537100000,8491700000,10554900000,14407900000,15518800000,17180600000,21824800000,30141900000,28773600000,28688500000,24828300000,25011000000,33477800000,38866400000
54,Long-Term Debt,871930800,986374480,938671417,927484677,2849301861,3879295818,4004300000,4367600000,5990458875,7443968930,7375900000,7069600000,6460200000,4164200000,1890200000,2306000000,1853500000,1634600000,2316900000,1765700000,1231900000,862100000,2409700000,2053500000,2253400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,90300000,- -,149900000,156500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,162601200,- -,176644784,523161337,31578635,25699093,235200000,414200000,- -,405700000,617400000,821200000,502200000,1015400000,734500000,1577100000,2613400000,1737600000,2473600000,2329700000,2329200000,2424600000,2371100000,3043400000,3214000000
57,Other Non-Current Liabilities,511351200,639500260,757345894,899737743,1283491086,1434002321,1366000000,2178500000,2454866052,1287835360,1232700000,2373500000,2350800000,2378900000,3278000000,4834200000,3029200000,3301600000,4910200000,4321100000,6619500000,8463700000,9395100000,11470400000,10251100000
58,Total Non-Current Liabilities,1545883200,1625874740,1872662096,2350383757,4164371583,5338997232,5605500000,7050600000,8445324926,9287404290,9382500000,10264300000,9313200000,7558500000,5902700000,8717300000,7496100000,6673800000,9700700000,8416500000,10180600000,11750400000,14175900000,16567300000,15718500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20200000,21300000,22100000,32800000,42200000,33500000,41400000,2147900000,2121100000,- -
61,Total Liabilities,3010521600,3207408540,3761800316,5049745177,7576313321,8172594823,10325500000,15822300000,13494469943,16115264115,17868600000,20801400000,17804900000,18113400000,20310600000,24236100000,24676700000,28498600000,39842600000,37190100000,38869100000,36578700000,39186900000,50045100000,54584900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,3124100000,4742800000,- -,- -,- -,- -,- -,- -,8303900000,12187300000,57000800000,57582400000,57614100000,57614100000,57614100000,57710200000,57866800000,57899100000,58042500000
64,Retained Earnings,- -,409700620,554514523,522170793,913706613,- -,- -,- -,- -,1618179385,- -,13864000000,16550900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-1401026400,-1404049220,-1705060382,-3122273062,-3571195783,1263899811,1522600000,12583000000,14560203743,-10510141405,12473600000,-8738500000,-9271300000,-9415800000,17307400000,16676400000,61220300000,59907100000,62574800000,64230000000,63361200000,70215300000,75685700000,80905600000,24600500000
66,Other Total Stockholders Equity,3020565600,2481159520,2814654282,6189177047,6109792483,- -,-338500000,-329900000,- -,- -,- -,- -,- -,- -,- -,- -,-75382300000,-75267900000,-71857000000,-77019100000,-74966500000,-71584900000,-72274500000,-64989000000,- -
67,Total Stockholders Equity,1619539200,1486810920,1664108423,3589074778,3452303312,4129596490,4308200000,16995900000,19854896308,19221538253,17419900000,20787500000,22017400000,24361900000,25611300000,28863700000,42838800000,42221600000,48331900000,44825000000,46008800000,56340600000,61278000000,73815700000,82643000000
68,Total Liabilities And Stockholders Equity,4630060800,4694219460,5425908739,8638819954,11028616634,12302191313,14633700000,32818200000,33349366251,35336802368,35288500000,41588900000,39822300000,42475300000,45921900000,53099800000,67515500000,70720200000,88174500000,82015100000,84877900000,92919300000,100464900000,123860800000,137227900000
69,Minority Interest,- -,- -,- -,- -,- -,79199933,196400000,198300000,122523930,222161718,187300000,224100000,278700000,203000000,217500000,1060100000,1158600000,1423100000,2001800000,1826300000,1974000000,1206800000,1278000000,1335500000,1374600000
70,Total Liabilities & Equity,4630060800,4694219460,5425908739,8638819954,11028616634,12381391246,14830100000,33016500000,33471890181,35558964085,35475800000,41813000000,40101000000,42678300000,46139400000,54159900000,68674100000,72143300000,90176300000,83841400000,86851900000,94126100000,101742900000,125196300000,138602500000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1565025/000129281415000588/0001292814-15-000588-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281416003835/0001292814-16-003835-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281417000625/0001292814-17-000625-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281418000752/0001292814-18-000752-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281419000845/0001292814-19-000845-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281420000888/0001292814-20-000888-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,470136028,784554221,1510299601,1411600000,1161500000,1544735984,2799518278,2816400000,5119100000,5986100000,7561400000,8641000000,10508100000,9535000000,12065500000,12423800000,12546600000,7332000000,11024700000,11780000000,11379400000,12671000000
74,Depreciation and Amortization,- -,- -,- -,202267939,708008890,749999363,1018700000,1725800000,2603973843,2465428033,1424000000,1290700000,1376500000,1567200000,1454700000,1768600000,2092100000,2392500000,3074600000,3512000000,3612100000,4023100000,4675200000,5167400000,5396700000
75,Deferred Income Tax,- -,- -,- -,- -,-146012290,-403999657,-198300000,-228800000,87945063,- -,- -,- -,- -,- -,2522000000,2405100000,2457600000,2006600000,3634200000,315000000,5079300000,1789600000,754700000,1762500000,636600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57800000,134700000,120300000,122300000,144600000,182200000,161100000,197100000,170300000,209300000,161000000,205700000,208700000,387600000
77,Change in Working Capital,- -,- -,- -,- -,-160385005,145904301,-339300000,-270400000,-473101664,-469064700,623500000,113100000,-307000000,-444800000,595400000,16100000,-328900000,485800000,4020900000,-1580600000,-435200000,-446500000,-184000000,897600000,2999400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-12800000,-141400000,- -,-166200000,-165200000,- -,- -,- -,-421900000,- -,-1173900000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-149110238,37801738,-48600000,-199100000,93142751,-142455265,-148900000,-395300000,190400000,-584100000,-289800000,-196300000,-422700000,-589000000,-681500000,-437100000,-63800000,-1167100000,-844100000,-1303400000,-3499500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,286800000,843400000,- -,- -,- -,1307100000,- -,1267700000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-411200000,224600000,-12791075,-489914153,-47800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,-672403967,295312957,740894945,634900000,1030500000,383456728,1174954188,3054700000,451900000,1506800000,1258700000,-728600000,-713900000,1307900000,-1215800000,230200000,-2618900000,2076600000,1359300000,1149700000,-559800000,809700000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1481478773,2743098553,2527600000,3418600000,4147009955,5970835798,7918600000,7032600000,8697100000,10062800000,12606800000,14128600000,15245900000,15895700000,23580800000,12344400000,17874100000,17911200000,18381300000,18855800000,22901000000
84,CAPEX,- -,- -,- -,- -,-446822132,-522300441,-862200000,-1273700000,-1368645049,-1422253815,-1630900000,-1957300000,-1438800000,-2286800000,-3200200000,-3014100000,-3800800000,-4493100000,-5261200000,-4132700000,-3203600000,-3571000000,-5069400000,-4692700000,-7677100000
85,Acquisitions Net,- -,- -,- -,- -,-220114561,- -,-1745300000,263400000,- -,-2639200000,-430100000,- -,-44500000,-18700000,- -,-2537000000,-254900000,-10700000,-1117900000,-1824200000,-333300000,-133400000,107300000,-431500000,-133300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-52366821,-2632822885,-236900000,- -,-168500000,-1067500000,- -,-272400000,- -,-445700000,-123500000,-74700000,-1100000,-24600000,-70200000,-1783400000,-241300000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,1349900000,- -,180164263,- -,- -,- -,105300000,- -,- -,141700000,- -,403800000,- -,276900000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-362327568,-22799981,592800000,-228800000,-197276300,2737960340,95500000,-432100000,-32600000,-23600000,996800000,106200000,112000000,181500000,101800000,133600000,188100000,53300000,193700000,108000000,316800000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1029264261,-545100422,-2014700000,110800000,-1618288169,-3776152098,-2202400000,-2214100000,-1551800000,-3174300000,-2203400000,-5717300000,-3802000000,-4768000000,-5997000000,-5898000000,-3073000000,-3675700000,-4838600000,-6799600000,-7734900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-2510100000,-7466500000,- -,-7386300000,-9384700000,-6556200000,-3787400000,-6700000,-4230100000,-1736400000,-993800000,-1791900000,-5661100000,-1899100000,-5450700000,-2512100000,-2889900000,-2541400000,-3117200000
91,Common Stock Issued,- -,- -,- -,- -,85639457,29001745,- -,- -,- -,3392808,128300000,55700000,119500000,246400000,220900000,210100000,17400000,157600000,9900000,400000,- -,13500000,12800000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-246663095,-337100598,-308500000,-1609600000,-362873791,-1760835105,-3094300000,-600600000,- -,- -,-31100000,-30400000,-37700000,-74200000,-824200000,- -,-38600000,- -,-32100000,-7400000,-44200000
93,Dividends Paid,- -,- -,- -,- -,-313359551,-335599715,-1026900000,-602900000,-2270581636,-1786472020,-1952600000,-2801800000,-3560500000,-5030800000,-5475400000,-5450100000,-7209400000,-12059600000,-11490200000,-10330600000,-8819800000,-8814100000,-7871300000,-6850300000,-11115300000
94,Other Financing Activites,- -,- -,- -,- -,1858794465,-2268500727,3498800000,6245100000,-338587560,9465263588,9478100000,5897200000,1299400000,-70500000,863700000,-645500000,-1161700000,624300000,2637700000,584200000,1444900000,-1908900000,-1503000000,797100000,-1765100000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1384411277,-2912199295,-346700000,-3433900000,-2972042987,-1464950730,-4825200000,-4005700000,-5929000000,-4861600000,-8652000000,-7652300000,-9385200000,-13143800000,-15327900000,-11645100000,-12864200000,-13221600000,-12283500000,-8602000000,-16041800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,1007199144,-101700000,-700000,-9993757,-29727050,-121700000,226400000,-472000000,-143000000,404200000,103200000,253000000,100900000,1738700000,-542200000,539000000,96900000,-822000000,1735400000,382600000
97,Net Change In Cash,- -,- -,- -,- -,1836625790,293001521,64500000,94800000,-453317294,700003788,769300000,1039100000,744300000,1884000000,2155600000,862200000,2311700000,-1915200000,3994700000,-5740900000,2475900000,1110800000,437200000,5189600000,-493100000
98,Cash at the End of Period,- -,- -,- -,- -,2412061540,2769498531,1196100000,1290900000,836776356,1535280580,2308200000,3280000000,4024300000,5908300000,8063900000,8926100000,11285800000,9623000000,13617700000,7876800000,10352700000,11463500000,11900700000,17090300000,16597200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,575435750,2476497010,1131600000,1196100000,1290093650,835276793,1538900000,2240900000,3280000000,4024300000,5908300000,8063900000,8974100000,11538200000,9623000000,13617700000,7876800000,10352700000,11463500000,11900700000,17090300000
100,Free Cash Flow,- -,- -,- -,- -,1034656641,2220798112,1665400000,2144900000,2778364906,4548581983,6287700000,5075300000,7258300000,7776000000,9406600000,11114500000,11445100000,11402600000,18319600000,8211700000,14670500000,14340200000,13311900000,14163100000,15223900000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1565025/000129281415000588/0001292814-15-000588-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281416003835/0001292814-16-003835-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281417000625/0001292814-17-000625-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281418000752/0001292814-18-000752-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281419000845/0001292814-19-000845-index.htm,https://www.sec.gov/Archives/edgar/data/1565025/000129281420000888/0001292814-20-000888-index.htm,- -,- -
102,Forex Rate,0.896,0.8276,0.5539,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
