,https://roic.ai/company/VRT,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-690000000,-65300000,-45700000,-74800000
89,Cash Used for Investing Activites,- -,- -,-690000000,-65300000,-45700000,-1216800000
90,Debt Repayment,-300000,- -,-300000,- -,-3950200000,-21800000
91,Common Stock Issued,25000,- -,690000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-341600000,- -
93,Dividends Paid,- -,- -,- -,- -,-3300000,-3800000
94,Other Financing Activites,300000,- -,1845932,2000000,4435800000,940500000
95,Cash Used/Provided by Financing Activities,25000,- -,691545932,2000000,140700000,914900000
96,Effect of Forex Changes on Cash,- -,- -,- -,1400000,5000000,-4500000
97,Net Change In Cash,25000,- -,691545932,11723262,308900000,-95500000
98,Cash at the End of Period,- -,- -,835544,707441943,542600000,447100000
99,Cash at the Beginning of Period,- -,- -,- -,695718681,233700000,542600000
100,Free Cash Flow,-25000,- -,-710388,9723262,156200000,126300000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674101/000162828021008318/0001628280-21-008318-index.htm,https://www.sec.gov/Archives/edgar/data/1674101/000162828022004533/0001628280-22-004533-index.htm
102,false,,,,,,
