,https://roic.ai/company/PNTG,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,316329000,310721000,303871000
61,Total Liabilities,- -,28373000,32863000,376639000,405804000,416053000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,28000,28000,28000
64,Retained Earnings,- -,- -,- -,-3799000,11945000,14641000
65,Other Comprehensive Income/Loss,- -,- -,- -,-11784000,- -,- -
66,Other Total Stockholders Equity,- -,54996000,55856000,86666000,84606000,- -
67,Total Stockholders Equity,- -,54996000,55856000,71111000,96579000,110199000
68,Total Liabilities And Stockholders Equity,- -,83369000,88719000,447750000,502383000,526252000
69,Minority Interest,- -,4920000,9432000,- -,4593000,4045000
70,Total Liabilities & Equity,- -,88289000,98151000,447750000,506976000,530297000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1766400/000176640020000034/0001766400-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1766400/000176640021000037/0001766400-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1766400/000176640022000044/0001766400-22-000044-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,7891000,9867000,15684000,2546000,15744000,2696000
74,Depreciation and Amortization,2855000,2544000,2964000,3810000,4675000,4784000
75,Deferred Income Tax,- -,- -,- -,79000,-2201000,-1752000
76,Stock Based Compensation,2341000,2298000,2382000,3382000,8335000,10040000
77,Change in Working Capital,859000,106000,-868000,-12085000,-16907000,-37382000
78,Accounts Receivable,-897000,-5707000,-2569000,-8571000,-15712000,-7335000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-431000,432000,1373000,4069000,993000,562000
81,Other Working Capital,338000,444000,-424000,-12509000,-29416000,- -
82,Other Non-Cash Items,2461000,2435000,3113000,11822000,40558000,3391000
83,Cash Provided by Operating Activities,16407000,17250000,23275000,9554000,50204000,-18223000
84,CAPEX,-3473000,-3133000,-3603000,-6714000,-7253000,-6303000
85,Acquisitions Net,- -,- -,- -,-19000000,-33000000,-13550000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1716000,-12950000,-5874000,-751000,-1363000,-267000
89,Cash Used for Investing Activites,-5189000,-16083000,-9477000,-26465000,-41616000,-20120000
90,Debt Repayment,- -,- -,- -,-22500000,- -,-81500000
91,Common Stock Issued,- -,- -,1972000,2293000,1141000,- -
92,Common Stock Repurchased,- -,- -,-1972000,-2687000,-65000,- -
93,Dividends Paid,- -,- -,- -,-11600000,- -,- -
94,Other Financing Activites,-11215000,-1161000,-13793000,51766000,-10023000,124990000
95,Cash Used/Provided by Financing Activities,-11215000,-1161000,-13793000,17272000,-8947000,43490000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3000,6000,5000,361000,-359000,5147000
98,Cash at the End of Period,30000,36000,41000,402000,43000,5190000
99,Cash at the Beginning of Period,27000,30000,36000,41000,402000,43000
100,Free Cash Flow,12934000,14117000,19672000,2840000,50204000,-24526000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1766400/000176640020000034/0001766400-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1766400/000176640021000037/0001766400-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1766400/000176640022000044/0001766400-22-000044-index.htm
102,false,,,,,,
