,https://roic.ai/company/PHIO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-112000,16000,-3093000,2917000,-5557000,5346000,-103000,-5000,-72000,-19000,-51000
90,Debt Repayment,-117000,-29000,-5000,- -,- -,- -,- -,- -,-6000,-27000,- -
91,Common Stock Issued,- -,- -,15679000,1947000,9495000,10203000,292000,18718000,781000,12088000,19577000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3830000,9699000,-7000,- -,- -,- -,- -,105000,-3000,4070000,2145000
95,Cash Used/Provided by Financing Activities,3713000,9670000,15667000,1947000,9495000,10203000,292000,18823000,772000,16131000,21722000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-6388000,4624000,6263000,-2894000,-3379000,7789000,-9325000,11298000,-7945000,7310000,9813000
98,Cash at the End of Period,503000,5127000,11390000,8496000,5117000,12906000,3631000,14929000,6984000,14294000,24107000
99,Cash at the Beginning of Period,6891000,503000,5127000,11390000,8496000,5117000,12956000,3631000,14929000,6984000,14294000
100,Free Cash Flow,-10048000,-5077000,-6389000,-7853000,-7374000,-7764000,-9717000,-7525000,-8717000,-8821000,-11909000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1533040/000119312513133515/0001193125-13-133515-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312514121519/0001193125-14-121519-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312515110334/0001193125-15-110334-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312516523721/0001193125-16-523721-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312517102730/0001193125-17-102730-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000119312518096053/0001193125-18-096053-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316819000795/0001683168-19-000795-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316820000969/0001683168-20-000969-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316821001062/0001683168-21-001062-index.htm,https://www.sec.gov/Archives/edgar/data/1533040/000168316822001833/0001683168-22-001833-index.htm
102,false,,,,,,,,,,,
