,https://roic.ai/company/AXDX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,900000,1700000,3470257,3424874,3884466,2294421,1423272,2397167,1891522,2761057,3417224,2297609,2203148,1949005,1633835,1530591,3591000,15347792,31636000,45696000,66747000,68361000,86039000,82128000,74865000,83342000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,64259,- -,- -,- -,- -,18328,6053,16092,17000,33486,64000,74000,494000,908000,2845000,2809000,855000,88000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,7000,23000,23000,- -,10113000,14256000,15550000,15545000
14,Depreciation and Amortization,100000,200000,328009,702532,895797,638426,170379,293318,282793,305684,315978,313711,294226,270088,261487,255895,205000,362495,888000,1792000,2351000,2196000,2561000,2602000,2997000,2518000
15,EBITDA,1200000,1400000,4776077,804344,-560201,-1226471,-548380,-1101940,-626628,-1785116,-2714643,-1610532,-1386116,-444109,903234,-122866,-5105000,-14919326,-30565000,-43683000,-63733000,-61339000,-75441000,-67558000,-59656000,-59594000
16,EBITDA ratio,0.5714,0.5600,0.6470,0.2776,-0.3574,-1.4334,-0.8385,-1.2955,-5.2829,-3.5552,-12.7627,-8.7945,-2.9149,-0.3497,0.4022,-0.1096,-21.6314,-308.9847,-250.5328,-297.1633,-259.0772,-14.6849,-13.3053,-7.2666,-5.3431,-5.0581
17,Operating Income,1200000,800000,3911188,-526890,-2317077,-1438761,-769295,-1546597,-1772908,-2258947,-3204523,-2114479,-1727628,-679119,611793,-409425,-5352000,-15310859,-31517000,-45549000,-66501000,-64184000,-80369000,-72831000,-63700000,-71560000
18,Operating Income ratio,0.5714,0.3200,0.5299,-0.1818,-1.4783,-1.6815,-1.1763,-1.8183,-14.9469,-4.4989,-15.0659,-11.5463,-3.6331,-0.5348,0.2724,-0.3652,-22.6780,-317.0935,-258.3361,-309.8571,-270.3293,-15.3661,-14.1744,-7.8338,-5.7053,-6.0737
19,Total Other Income Expenses (Gains),- -,400000,536880,565942,861079,-426136,50536,151339,74086,168147,173902,190236,47286,-53406,23901,14572,41000,29038,57000,51000,394000,649000,-7746000,-11585000,-14503000,-6097000
20,Income Before Tax,- -,1200000,4448068,39052,-1455998,-1864897,-718759,-1395258,-1698822,-2090800,-3030621,-1924243,-1680342,- -,- -,- -,-5311000,-15281821,-31460000,-45498000,-66107000,-63535000,-88115000,-84416000,-78203000,-77657000
21,Income Before Tax Ratio,- -,0.4800,0.6026,0.0135,-0.9289,-2.1795,-1.0991,-1.6404,-14.3223,-4.1640,-14.2483,-10.5075,-3.5337,- -,- -,- -,-22.5042,-316.4921,-257.8689,-309.5102,-268.7276,-15.2107,-15.5406,-9.0799,-7.0043,-6.5912
22,Income Tax expense (Gain),- -,200000,1569617,31380,-533462,-318187,-318026,-19431,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-527000,- -,267000,493000,211000,-111000,5000,45000
23,Net Income,1100000,1000000,2878451,70432,-922536,-1546710,-400733,-1375827,-909421,-2090800,-3030621,-1924243,-1680342,-714197,641747,-378761,-5311000,-15281821,-30933000,-45498000,-66374000,-64028000,-88326000,-84305000,-78208000,-77702000
24,Net Income ratio,0.5238,0.4000,0.3900,0.0243,-0.5886,-1.8076,-0.6128,-1.6175,-7.6671,-4.1640,-14.2483,-10.5075,-3.5337,-0.5624,0.2858,-0.3378,-22.5042,-316.4921,-253.5492,-309.5102,-269.8130,-15.3287,-15.5778,-9.0680,-7.0047,-6.5950
25,EPS,0.22,0.12,0.38,0.01,-0.12,-0.20,-0.05,-0.14,-0.09,-0.21,-0.30,-0.19,-0.17,-0.07,0.06,-0.04,-0.43,-0.41,-0.71,-1.01,-1.29,-1.16,-1.62,-1.55,-1.40,-1.39
26,EPS Diluted,0.17,0.12,0.35,0.01,-0.12,-0.20,-0.05,-0.14,-0.09,-0.21,-0.30,-0.19,-0.17,-0.07,0.06,-0.04,-0.43,-0.41,-0.71,-1.01,-1.29,-1.16,-1.62,-1.55,-1.40,-1.39
27,Weighted Average Shares Outstanding,5000000,8333333,7607545,7821855,7767081,7667988,8363038,9510594,9961210,9961210,9967034,9967034,10059717,10226210,10408574,10791597,12462000,37503391,43626000,44998000,51276000,54073000,54494000,54506000,56010000,56010000
28,Weighted Average Shares Outstanding Diluted,6470588,8333333,8122085,8036492,7767081,7667988,8363038,9510594,9961210,9961210,9967034,9967034,10059717,10226210,10408574,10791597,12462000,37503391,43626000,44998000,51276000,54073000,54494000,54506000,56010000,56010000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727207/000100009610000134/0001000096-10-000134-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000100009611000259/0001000096-11-000259-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/727207/000100009615000020/0001000096-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828016012510/0001628280-16-012510-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828017001816/0001628280-17-001816-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828018002558/0001628280-18-002558-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828019002318/0001628280-19-002318-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828020002502/0001628280-20-002502-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828021003678/0001628280-21-003678-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828022006049/0001628280-22-006049-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1400000,7900000,10439233,10257175,10359581,9522343,8631192,8711951,7233430,5564259,3004336,1393669,1233100,862076,283273,775856,14263248,30028961,53563000,120585000,19244000,28513000,66260000,61014000,35781000,39898000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11959384,13115000,11839000,58519000,80648000,100218000,47437000,32488000,23720000
33,Cash and Short-Term Investments,1400000,7900000,10439233,10257175,10359581,9522343,8631192,8711951,7233430,5564259,3004336,1393669,1233100,862076,283273,775856,14263248,41988345,66678000,132424000,77763000,109161000,166478000,108451000,68269000,63618000
34,Net Receivables,400000,900000,1415312,1121517,277194,69370,1186267,5809,199281,311014,10852,5625,6334,- -,415807,596128,750947,24400,78000,77000,34000,1946000,1860000,3222000,1550000,2320000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,30287,27244,25887,107855,97268,53445,32620,30278,10263,- -,- -,- -,- -,8063000,7746000,8059000,9216000,5067000
36,Other Current Assets,200000,200000,171275,279475,486381,60691,61665,55313,41197,228097,43100,24466,39338,27698,19395,20577,17928,130190,342000,1650000,651000,1318000,1556000,2120000,2952000,2326000
37,Total Current Assets,2000000,9000000,12025820,11658167,11123156,9652404,9879124,8773073,7504195,6130614,3084175,1531615,1376040,943219,751095,1422839,15042386,42142935,67098000,134151000,78448000,120488000,177640000,121852000,81987000,73331000
38,PP&E,100000,200000,293321,258237,180436,82274,76620,141967,216733,230847,180347,106819,37398,14655,4444,3528,3956,1046774,2536000,5016000,4258000,4890000,7303000,11822000,9318000,7899000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,4622904,4255934,4070832,3878969,3712286,3472103,3346701,- -,- -,- -,680941,240668,167000,157000,146000,134000,114000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,4622904,4255934,4070832,3878969,3712286,3472103,3346701,3169724,2967621,2788009,680941,240668,167000,157000,146000,134000,114000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1103837,1208538,1304522,1486459,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,600000,1655636,2156139,1802126,997066,445286,574399,932972,767637,871415,1027550,1067327,- -,1337268,745440,- -,- -,- -,- -,- -,- -,208000,750000,2120000,1817000
45,Total Non-Current Assets,300000,800000,1948957,2414376,1982562,1079340,5144810,4972300,5220537,4877453,4764048,4606472,4451426,4288216,5517871,4841499,2171356,1287442,2703000,5173000,4404000,5024000,7625000,12572000,11438000,9716000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2300000,9800000,13974777,14072543,13105718,10731744,15023934,13745373,12724732,11008067,7848223,6138087,5827466,5231435,6268966,6264338,17213742,43430377,69801000,139324000,82852000,125512000,185265000,134424000,93425000,83047000
48,Accounts Payable,100000,100000,402173,223398,183751,153328,87599,177309,96844,153408,71570,64599,133628,39457,32135,34961,63029,540435,2129000,2623000,992000,2080000,1322000,2351000,1290000,1983000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000,13000,- -,- -,- -,450000,1050000,749000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,405883,308775,154029,167079,150366,60000,65000,59529,58346,112651,92765,20225,9797,85345,81888,13000,127000,35000,1071000,217000,271000,376000,451000
52,Other Current Liabilities,200000,300000,387682,61422,130101,219737,479489,39155,89943,278682,31389,32386,25889,25883,23291,24582,1243342,514607,494000,2543000,3009000,3636000,6224000,5090000,4253000,3762000
53,Total Current Liabilities,300000,400000,789855,690703,622627,527094,734167,366830,246787,497090,162488,155331,272168,158105,75651,69340,1391716,1136930,2783000,5306000,4036000,6787000,7763000,8162000,6969000,6945000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120074000,130043000,145870000,110365000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,776667,1014000,1000000,1000000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,200000,523941,627823,410091,6358,24833,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,305089,518053,810813,586896,520286,649399,741305,842637,946415,1102549,1142327,1178836,1283537,1379522,986459,- -,13000,- -,- -,21000,53000,3598000,3398000,808000
58,Total Non-Current Liabilities,100000,200000,829030,1145876,1220904,593254,545119,649399,741305,842637,946415,1102549,1142327,1178836,1283537,1379522,986459,776667,1027000,1000000,1000000,21000,120127000,133641000,149268000,111173000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000,13000,- -,- -,- -,4029000,3560000,3050000
61,Total Liabilities,400000,600000,1618885,1836579,1843531,1120348,1279286,1016229,988092,1339727,1108903,1257880,1414495,1336941,1359188,1448862,2378175,1913597,3810000,6306000,5036000,6808000,127890000,141803000,156237000,118118000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000
63,Common Stock,- -,- -,8543477,8353117,8301876,8197795,12342020,12488020,12863020,12863020,- -,- -,- -,- -,- -,- -,22985809,41648,45000,51000,52000,56000,54000,55000,58000,68000
64,Retained Earnings,-100000,900000,3770966,3841398,2918862,1372152,971419,-404408,-1313829,-3404629,-6435250,-8359493,-10039835,-10754032,-10112285,-10491046,-15801522,-34483567,-65417000,-110915000,-177289000,-241972000,-330348000,-414653000,-492966000,-570668000
65,Other Comprehensive Income/Loss,-200000,-100000,-162324,-239964,-308818,-27788,-49335,375000,-102161,-172236,-273600,-273600,-273600,-326029,-336540,-338905,- -,21730,7000,-12000,-204000,- -,-149000,-58000,91000,-60000
66,Other Total Stockholders Equity,2200000,8400000,203773,281413,350267,69237,480544,270532,289610,382185,13426101,13564759,14756092,14974555,15358603,15645427,- -,- -,131356000,243894000,255257000,360620000,387818000,407277000,430005000,535585000
67,Total Stockholders Equity,1900000,9200000,12355892,12235964,11262187,9611396,13744648,12729144,11736640,9668340,6739320,4880207,4412971,3894494,4909778,4815476,14835567,41516780,65991000,133018000,77816000,118704000,57375000,-7379000,-62812000,-35071000
68,Total Liabilities And Stockholders Equity,2300000,9800000,13974777,14072543,13105718,10731744,15023934,13745373,12724732,11008067,7848223,6138087,5827466,5231435,6268966,6264338,17213742,43430377,69801000,139324000,82852000,125512000,185265000,134424000,93425000,83047000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2300000,9800000,13974777,14072543,13105718,10731744,15023934,13745373,12724732,11008067,7848223,6138087,5827466,5231435,6268966,6264338,17213742,43430377,69801000,139324000,82852000,125512000,185265000,134424000,93425000,83047000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727207/000100009610000134/0001000096-10-000134-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000100009611000259/0001000096-11-000259-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/727207/000100009615000020/0001000096-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828016012510/0001628280-16-012510-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828017001816/0001628280-17-001816-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828018002558/0001628280-18-002558-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828019002318/0001628280-19-002318-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828020002502/0001628280-20-002502-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828021003678/0001628280-21-003678-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828022006049/0001628280-22-006049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1100000,1000000,2878451,70432,-922536,-1546710,-400733,-1375827,-909421,-2090800,-3030621,-1924243,-1680342,-714197,641747,-378761,-5311000,-15281821,-30933000,-45498000,-66374000,-64028000,-88326000,-84305000,-78208000,-77702000
74,Depreciation and Amortization,100000,200000,328009,702532,895797,638426,170379,293318,282793,305684,315978,313711,294226,270088,261487,255895,205000,362495,888000,1792000,2351000,2196000,2561000,2602000,2997000,2518000
75,Deferred Income Tax,-100000,100000,430043,-45672,-420408,20395,18474,-24833,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90021,782000,3828478,9624000,8388000,8775000,13933000,14422000,12618000,16107000,21563000
77,Change in Working Capital,-100000,6900000,2635965,-268501,-466935,-1375219,19647,-738714,-1148835,-1623884,-2711837,-1545403,-272412,-318758,-109670,678055,12297171,27355335,23308995,64530000,-54433000,39289000,56176000,-56187000,-38672000,-102000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6334,- -,411477,591000,739499,-54000,1000,43000,-1912000,86000,-1362000,1592000,-770000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-30287,3043,1357,-81968,10587,43823,20825,2342,20000,- -,- -,- -,- -,-7759000,-4223000,-3655000,-1356000,-415000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94171,-7322,- -,27000,204151,1336000,329000,-1242000,1064000,-748000,988000,-1006000,273000
81,Other Working Capital,1700000,8600000,11235965,10967464,10500529,9125310,9144957,8406243,7257408,5633524,2921687,1376284,1103872,785114,675444,1353499,13650670,41006005,64315000,128845000,74412000,113701000,169877000,113690000,75018000,548000
82,Other Non-Cash Items,100000,-7300000,-2611479,579498,1324687,2199373,-472932,1997214,560120,1809431,2785524,1620268,694800,537211,-1583164,-196729,-8789171,-26013438,-21672995,-64338000,56273000,-47136000,-52589000,60478000,47382000,6400000
83,Cash Provided by Operating Activities,1100000,900000,3660989,1038289,410605,-63735,-665165,151158,-1215343,-1599569,-2640956,-1535667,-963728,-225656,-789600,448481,-816000,-9748951,-18785000,-35126000,-53408000,-55746000,-67756000,-64794000,-50394000,-47323000
84,CAPEX,- -,-100000,-191915,-42556,-6995,-68577,-18260,-109164,-128469,-84189,-98794,- -,-117641,-70368,-49203,-75336,-96000,-1157564,-1933000,-3656000,-2409000,-2966000,-998000,-330000,-1362000,-603000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-126069,-75000,- -,-75000,-75000,-75000,- -,-75000,- -,- -,- -,- -,-75000,-75000,-150000,-12013616,-7657000,-12418000,-74075000,-82333000,-120556000,-50226000,-46933000,-30081000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6218000,13399000,26916000,59571000,101416000,103367000,61901000,38988000
88,Other Investing Activites,-100000,-600000,-1106504,-912431,-249963,-525845,-59882,-32235,-134709,89587,179827,-75000,-5000,-145368,- -,- -,-96000,- -,-1933000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-100000,-700000,-1424488,-1029987,-256958,-669422,-153142,-216399,-263178,-69602,81033,-75000,-122641,-145368,-124203,-150336,-246000,-13171180,-3372000,-2675000,-49568000,-25728000,-20138000,52811000,13606000,8304000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107000,-147000,-13000,- -,- -,- -,-366000,-360000
91,Common Stock Issued,- -,6200000,324800,- -,- -,- -,1800,146000,- -,- -,- -,- -,925800,- -,335000,- -,14420000,19911215,44875000,104165000,226000,83821000,583000,1458000,359000,43206000
92,Common Stock Repurchased,- -,- -,- -,-190360,-51241,-104081,-74644,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45069000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194438,129000,20969130,923000,805000,1549000,6606000,170257000,5365000,11640000,380000
95,Cash Used/Provided by Financing Activities,- -,6200000,324800,-190360,-51241,-104081,-72844,146000,- -,- -,- -,- -,925800,- -,335000,194438,14549000,40880345,45691000,104823000,1762000,90427000,125771000,6823000,11633000,43226000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127000,316000,-130000,-86000,-78000,-90000
97,Net Change In Cash,- -,- -,2561301,-182058,102406,-837238,-891151,80759,-1478521,-1669171,-2559923,-1610667,-160569,-371024,-578803,492583,13487000,17960214,23534000,67022000,-101341000,9269000,37747000,-5246000,-25233000,4117000
98,Cash at the End of Period,- -,- -,10439233,10257175,10359581,9522343,8631192,8711951,7233430,5564259,3004336,1393669,1233100,862076,283273,775856,14263000,30028961,53563000,120585000,19244000,28513000,66260000,61014000,35781000,39898000
99,Cash at the Beginning of Period,400000,1400000,7877932,10439233,10257175,10359581,9522343,8631192,8711951,7233430,5564259,3004336,1393669,1233100,862076,283273,776000,12068747,30029000,53563000,120585000,19244000,28513000,66260000,61014000,35781000
100,Free Cash Flow,1100000,800000,3469074,995733,403610,-132312,-683425,41994,-1343812,-1683758,-2739750,-1535667,-1081369,-296024,-838803,373145,-912000,-10906515,-20718000,-38782000,-55817000,-58712000,-68754000,-65124000,-51756000,-47926000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727207/000100009610000134/0001000096-10-000134-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000100009611000259/0001000096-11-000259-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/727207/000100009615000020/0001000096-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828016012510/0001628280-16-012510-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828017001816/0001628280-17-001816-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828018002558/0001628280-18-002558-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828019002318/0001628280-19-002318-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828020002502/0001628280-20-002502-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828021003678/0001628280-21-003678-index.htm,https://www.sec.gov/Archives/edgar/data/727207/000162828022006049/0001628280-22-006049-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
