,https://roic.ai/company/HSON,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-10500000,- -,- -,- -,- -,-3142000,-1938000,-823000,-470000,4145000,4579000,750000,2659000,-1187000,-381000,157000,-459000,-988000,-604000,-913000,50000,279000,1938000,-50000
20,Income Before Tax,14700000,- -,- -,- -,- -,-316791000,-25137000,10349000,6056000,22147000,-68782000,-48703000,-2959000,16248000,-7019000,-26602000,-17945000,2253000,-8191000,-636000,-5167000,-1382000,-708000,4344000
21,Income Before Tax Ratio,0.0152,- -,- -,- -,- -,-0.2919,-0.0200,0.0072,0.0044,0.0188,-0.0637,-0.0705,-0.0037,0.0174,-0.0090,-0.0403,-0.0309,0.0049,-0.0194,-0.0014,-0.0772,-0.0147,-0.0070,0.0257
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,12021000,1638000,5036000,4544000,17240000,8629000,-5750000,1482000,5339000,-1684000,3793000,-2159000,646000,742000,2284000,99000,-540000,535000,1117000
23,Net Income,14700000,-39751000,-16867000,-34195000,-424845000,-328812000,-26775000,5313000,22115000,14981000,-74318000,-40609000,-4685000,10909000,-5335000,-30395000,-13194000,2329000,-8790000,-2941000,7867000,-955000,-1243000,3227000
24,Net Income ratio,0.0152,-0.0352,-0.0127,-0.0266,-0.4254,-0.3030,-0.0213,0.0037,0.0161,0.0127,-0.0688,-0.0588,-0.0059,0.0117,-0.0069,-0.0460,-0.0227,0.0050,-0.0208,-0.0064,0.1175,-0.0102,-0.0123,0.0191
25,EPS,9.19,-28.30,-5.35,-10.40,-127.20,-195.75,-6.90,2.40,9.00,5.90,-29.50,-15.60,-1.60,3.50,-1.70,-9.40,-4.00,0.70,-2.60,-0.90,2.40,-0.30,-0.43,1.11
26,EPS Diluted,9.19,-28.30,-5.35,-10.40,-127.20,-195.75,-6.90,2.20,8.80,5.80,-29.50,-15.60,-1.60,3.40,-1.70,-9.40,-4.00,0.70,-2.60,-0.90,2.40,-0.30,-0.43,1.07
27,Weighted Average Shares Outstanding,1600000,1404629,3152710,3287981,1676600,1679800,3891400,2229500,2447100,2527400,2519300,2603600,2993100,3156600,3206000,3249300,3284300,3386900,3317400,3210600,3284700,3131000,2911000,2917000
28,Weighted Average Shares Outstanding Diluted,1600000,1404629,3152710,3287981,1676600,1679800,3891400,2367400,2523900,2591400,2519300,2603600,2993100,3198900,3206000,3249300,3284300,3408400,3317400,3210600,3284700,3131000,2911000,3003000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1210708/000119312505049623/0001193125-05-049623-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312506054841/0001193125-06-054841-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312507057043/0001193125-07-057043-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312508049049/0001193125-08-049049-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312509043675/0001193125-09-043675-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000114420410009531/0001144204-10-009531-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000114420411010521/0001144204-11-010521-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000114420412011589/0001144204-12-011589-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070813000009/0001210708-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070814000005/0001210708-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070815000006/0001210708-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070816000040/0001210708-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070817000008/0001210708-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070818000017/0001210708-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070819000005/0001210708-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070820000006/0001210708-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070821000036/0001210708-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070822000031/0001210708-22-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,37700000,25900000,26137000,21064000,34108000,44649000,39245000,49209000,36064000,29523000,37302000,38653000,37378000,33989000,37663000,21322000,21040000,40562000,31190000,25806000,21714000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,37700000,25900000,26137000,21064000,34108000,44649000,39245000,49209000,36064000,29523000,37302000,38653000,37378000,33989000,37663000,21322000,21040000,40562000,31190000,25806000,21714000
34,Net Receivables,- -,- -,- -,- -,- -,149042000,197582000,232081000,218722000,189072000,128578000,98994000,128576000,131489000,107216000,85901000,74079000,62420000,58517000,71878000,9893000,12795000,13445000,25748000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,208548000,190016000,23237000,14187000,14330000,16735000,30758000,15683000,13308000,13988000,13132000,11543000,8762000,10853000,6060000,4303000,4125000,1612000,952000,1041000,1698000
37,Total Current Assets,- -,- -,- -,246248000,215916000,198416000,232833000,280519000,280106000,259075000,193470000,148366000,172087000,181923000,157412000,132041000,118921000,106143000,84142000,97043000,52067000,44937000,40292000,49160000
38,PP&E,- -,- -,- -,- -,- -,38625000,36360000,31438000,28105000,29470000,24512000,19433000,16593000,17838000,20050000,13822000,9840000,7928000,7041000,6251000,170000,587000,325000,848000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2088000,4219000
40,Intangible Assets,- -,- -,- -,- -,- -,2180000,6104000,31100000,37612000,78235000,2498000,503000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,5488000
41,Intangible Assets,- -,- -,- -,- -,- -,2180000,6104000,31100000,37612000,78235000,2498000,503000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3488000,9707000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9816000,7124000,5648000,6724000,6494000,6404000,583000,793000,1037000,1345000
44,Other Non-Current Assets,- -,- -,- -,519738000,251188000,11703000,6081000,5359000,5045000,7426000,10473000,13642000,17154000,16785000,6190000,5842000,5263000,4154000,4135000,1942000,359000,387000,244000,182000
45,Total Non-Current Assets,- -,- -,- -,519738000,251188000,52508000,48545000,67897000,70762000,115131000,37483000,33578000,33747000,34623000,36056000,26788000,20751000,18806000,17670000,14597000,1112000,1767000,5094000,12082000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,765986000,467104000,250924000,281378000,348416000,350868000,374206000,230953000,181944000,205834000,216546000,193468000,158829000,139672000,124949000,101812000,111640000,53179000,46704000,45386000,61242000
48,Accounts Payable,- -,- -,- -,- -,- -,26495000,27023000,24718000,24075000,21237000,15833000,12811000,14812000,12025000,9292000,9747000,6371000,5184000,4666000,6957000,1461000,1064000,576000,871000
49,Short-Term Debt,- -,- -,- -,- -,- -,453000,4066000,32544000,238000,243000,5307000,10456000,1339000,3384000,- -,476000,- -,2368000,7770000,7080000,- -,246000,192000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13119000,11161000,11225000,8492000,6096000,7438000,8872000,708000,2291000,2088000,470000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1623000,1772000,1167000,1722000,1024000,1231000,56000,57000,178000,- -
52,Other Current Liabilities,- -,- -,- -,232080000,133714000,132598000,151705000,145498000,139957000,130946000,83441000,62887000,77609000,75106000,56253000,56760000,59579000,42317000,37119000,45309000,9043000,8121000,9063000,18822000
53,Total Current Liabilities,- -,- -,- -,232080000,133714000,159546000,182794000,202760000,164270000,152426000,104581000,86154000,93760000,90515000,67168000,68755000,67117000,51591000,50579000,60577000,10560000,9488000,10009000,19693000
54,Long-Term Debt,- -,- -,- -,2917000,1184000,302000,2041000,478000,235000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8061000,6120000,5899000,4244000,- -,1833000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,8309000,15632000,21715000,12809000,12081000,13333000,21665000,18380000,19530000,10493000,18674000,11698000,9569000,7399000,7934000,9348000,6078000,2132000,1182000,1097000,2233000
58,Total Non-Current Liabilities,- -,- -,- -,11226000,16816000,22017000,14850000,12559000,13568000,21665000,18380000,19530000,18796000,18674000,19759000,15689000,13298000,12178000,9348000,7911000,2132000,1182000,1097000,2233000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406000,214000,- -
61,Total Liabilities,- -,- -,- -,243306000,150530000,181563000,197644000,215319000,177838000,174091000,122961000,105684000,112556000,109189000,86927000,84444000,80415000,63769000,59927000,68488000,12692000,10670000,11106000,21926000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,9000,21000,24000,25000,26000,26000,27000,32000,33000,33000,34000,34000,34000,34000,34000,36000,4000,4000,4000
64,Retained Earnings,- -,- -,- -,- -,- -,-284801000,-311576000,-306263000,-298344000,-288587000,-362905000,-403514000,-408199000,-397290000,-387027000,-417422000,-430616000,-428287000,-440478000,-443419000,-435552000,-436507000,-437750000,-434523000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,39023000,41694000,34811000,43934000,44946000,27054000,34509000,34902000,34255000,20536000,17173000,13613000,10292000,6931000,10709000,-606000,-479000,526000,-85000
66,Other Total Stockholders Equity,- -,- -,- -,522680000,316574000,315130000,353595000,404525000,427415000,443730000,443817000,445238000,466543000,470359000,472999000,474600000,476226000,479141000,475398000,475828000,476609000,473016000,471500000,473920000
67,Total Stockholders Equity,- -,- -,- -,522680000,316574000,69361000,83734000,133097000,173030000,200115000,107992000,76260000,93278000,107357000,106541000,74385000,59257000,61180000,41885000,43152000,40487000,36034000,34280000,39316000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,765986000,467104000,250924000,281378000,348416000,350868000,374206000,230953000,181944000,205834000,216546000,193468000,158829000,139672000,124949000,101812000,111640000,53179000,46704000,45386000,61242000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,765986000,467104000,250924000,281378000,348416000,350868000,374206000,230953000,181944000,205834000,216546000,193468000,158829000,139672000,124949000,101812000,111640000,53179000,46704000,45386000,61242000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1210708/000119312505049623/0001193125-05-049623-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312506054841/0001193125-06-054841-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312507057043/0001193125-07-057043-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312508049049/0001193125-08-049049-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312509043675/0001193125-09-043675-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000114420410009531/0001144204-10-009531-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000114420411010521/0001144204-11-010521-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000114420412011589/0001144204-12-011589-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070813000009/0001210708-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070814000005/0001210708-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070815000006/0001210708-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070816000040/0001210708-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070817000008/0001210708-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070818000017/0001210708-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070819000005/0001210708-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070820000006/0001210708-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070821000036/0001210708-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070822000031/0001210708-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-39751000,-16867000,-34195000,-424845000,-328812000,-26775000,5313000,22115000,14981000,-74318000,-40609000,-4685000,10909000,-5335000,-30395000,-13194000,2329000,-8790000,-2941000,7867000,-955000,-1243000,3227000
74,Depreciation and Amortization,- -,- -,34555000,33290000,18526000,21299000,20108000,18412000,21292000,14989000,14913000,12630000,8184000,6251000,6438000,6406000,5835000,3845000,3090000,2748000,696000,85000,179000,597000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-7576000,-563000,935000,- -,- -,- -,-310000,3140000,-102000,189000,-208000,339000,-90000,-210000,-169000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,973000,1724000,3221000,2574000,2090000,1325000,4231000,1449000,1293000,1539000,961000,737000,- -
77,Change in Working Capital,- -,- -,14168000,- -,68034000,-43332000,11169000,27720000,38077000,-9187000,-17760000,-26677000,16115000,13081000,-1164000,-26958000,-11482000,2748000,-20989000,2903000,5041000,-6058000,-5166000,-816000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39147000,-27252000,-3983000,27144000,19442000,-7117000,-1254000,-582000,-7809000,-6311000,-2941000,672000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2534000,-22452000,-2100000,4213000,-7902000,-3317000,7269000,-4680000,-2500000,- -,- -
81,Other Working Capital,- -,- -,14168000,14168000,82202000,38870000,50039000,77759000,115836000,106649000,88889000,62212000,78327000,91408000,90244000,63286000,51804000,54552000,33563000,36466000,41507000,35449000,30283000,29467000
82,Other Non-Cash Items,- -,16249000,-8238000,12321000,227451000,308216000,-35397000,-77743000,-38041000,17521000,88090000,26695000,-35799000,-20183000,10956000,48230000,-222000,-30693000,16028000,-1916000,-30565000,1349000,4236000,-3008000
83,Cash Provided by Operating Activities,- -,-23502000,23618000,11416000,-110834000,-42629000,-30895000,-26298000,35867000,37741000,11860000,-26988000,-14461000,13279000,13159000,2513000,-17840000,-17351000,-9420000,2426000,-15512000,-4828000,-1426000,- -
84,CAPEX,- -,- -,- -,- -,- -,-10710000,-9735000,-9933000,-11210000,-13250000,-10558000,-3666000,-3264000,-6832000,-8647000,-2557000,-5346000,-3061000,-2766000,-1471000,-465000,-84000,-22000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-680000,-393000,-25782000,-10232000,-37546000,-6607000,-1669000,-1856000,- -,- -,- -,- -,7894000,- -,- -,27792000,- -,-3997000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-39806000,-109491000,-118785000,-16589000,- -,- -,- -,23323000,-41000,21361000,8473000,1799000,-6467000,-8272000,-2557000,16731000,13754000,-2724000,-1471000,-465000,-84000,-22000,- -
89,Cash Used for Investing Activites,- -,-39806000,-109491000,-118785000,-16589000,-11390000,-10128000,-35715000,1881000,-50837000,4196000,6804000,-57000,-6467000,-8272000,-2557000,16731000,21648000,-2724000,-1471000,27327000,-84000,-4019000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46836000,-109304000,-235752000,-78208000,-17323000,-133694000,-145098000,-112920000,-181297000,-51709000,-52345000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,1302000,31397000,48575000,4076000,5258000,2042000,- -,19167000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-230000,- -,- -,- -,-7491000,-778000,-71000,-388000,-600000,-488000,-138000,-1630000,-5192000,-863000,-756000,-4586000,-2253000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3401000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,30814000,101671000,103115000,112054000,48163000,4111000,27282000,-32879000,-394000,4803000,51985000,97786000,237779000,74534000,17314000,132576000,147372000,118583000,179642000,59647000,52345000,1326000,- -
95,Cash Used/Provided by Financing Activities,- -,30814000,101671000,103115000,112054000,49465000,35278000,75857000,-28803000,4864000,-646000,4371000,7578000,1639000,-4274000,-497000,-1256000,644000,-2930000,-2518000,7182000,-4586000,-927000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,4783000,672000,-800000,1596000,2828000,-5446000,2668000,399000,-672000,738000,-734000,-1024000,-1267000,-1267000,1281000,57000,156000,853000,- -
97,Net Change In Cash,- -,30814000,101671000,103115000,112054000,229000,-5073000,13044000,10541000,-5404000,9964000,-13145000,-6541000,7779000,1351000,-1275000,-3389000,3674000,-16341000,-282000,19054000,-9342000,-5519000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,26137000,21064000,34108000,44649000,39245000,49209000,36064000,29523000,37302000,38653000,37378000,33989000,37663000,21322000,21040000,41060000,31718000,26199000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,25908000,26137000,21064000,34108000,44649000,39245000,49209000,36064000,29523000,37302000,38653000,37378000,33989000,37663000,21322000,22006000,41060000,31718000,26199000
100,Free Cash Flow,- -,-23502000,23618000,11416000,-110834000,-53339000,-40630000,-36231000,24657000,24491000,1302000,-30654000,-17725000,6447000,4512000,-44000,-23186000,-20412000,-12186000,955000,-15977000,-4912000,-1448000,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1210708/000119312505049623/0001193125-05-049623-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312506054841/0001193125-06-054841-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312507057043/0001193125-07-057043-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312508049049/0001193125-08-049049-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000119312509043675/0001193125-09-043675-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000114420410009531/0001144204-10-009531-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000114420411010521/0001144204-11-010521-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000114420412011589/0001144204-12-011589-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070813000009/0001210708-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070814000005/0001210708-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070815000006/0001210708-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070816000040/0001210708-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070817000008/0001210708-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070818000017/0001210708-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070819000005/0001210708-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070820000006/0001210708-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070821000036/0001210708-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1210708/000121070822000031/0001210708-22-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
