,https://roic.ai/company/MNRL,2017,2018,2019,2020,2021
90,Debt Repayment,-15000000,-77000000,-280000000,- -,-4000000
91,Common Stock Issued,- -,- -,379755000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-3527000,- -
93,Dividends Paid,-131544000,- -,-34835000,-66886000,-60614000
94,Other Financing Activites,63897000,266397000,101561000,18589000,57273000
95,Cash Used/Provided by Financing Activities,-82647000,189397000,166481000,-51824000,-7341000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-27074000,25099000,18674000,-41989000,11875000
98,Cash at the End of Period,6886000,31985000,51133000,9144000,21019000
99,Cash at the Beginning of Period,33960000,6886000,32459000,51133000,9144000
100,Free Cash Flow,-73347000,-164882000,-150930000,8270000,5596000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1745797/000162828020002506/0001628280-20-002506-index.htm,https://www.sec.gov/Archives/edgar/data/1745797/000174579721000020/0001745797-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1745797/000174579722000017/0001745797-22-000017-index.htm
102,false,,,,,
