,https://roic.ai/company/DALN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.1312,0.0950,0.0951,0.0331,-0.4718,-0.1245,-0.2322,-0.2705,-0.0128,0.0049,0.0239,0.3372,-0.0726,-0.0825,0.0157,-0.0297,0.0747,-0.0555,-0.0170
22,Income Tax expense (Gain),38458000,28745000,30361000,11868000,-1487000,-17074000,-12475000,-7575000,5011000,1732000,1584000,5978000,-1570000,-2272000,-6260000,-565000,4416000,-1687000,-2151000
23,Net Income,61751000,45289000,47819000,15179000,-347012000,-62303000,-107895000,-124235000,-10933000,526000,16119000,92929000,-17842000,-19310000,10161000,-5433000,9292000,-6872000,-467000
24,Net Income ratio,0.0809,0.0581,0.0581,0.0186,-0.4698,-0.0978,-0.2082,-0.2549,-0.0237,0.0012,0.0440,0.3407,-0.0656,-0.0743,0.0409,-0.0269,0.0506,-0.0445,-0.0030
25,EPS,12.08,8.86,9.35,2.97,-67.78,-12.16,-21.48,-23.68,-2.04,0.04,2.84,16.60,-3.36,-3.60,0.83,-1.04,1.72,-1.28,-0.09
26,EPS Diluted,12.08,8.86,9.35,2.97,-67.78,-12.16,-21.48,-23.68,-2.04,0.04,2.84,16.52,-3.36,-3.60,0.83,-1.04,1.72,-1.28,-0.09
27,Weighted Average Shares Outstanding,5112968,5112968,5112968,5112968,5119505,5119500,5137000,5248000,5374000,5487000,5491916,5474900,5352235,5405134,5434771,5436908,5386564,5352605,5352490
28,Weighted Average Shares Outstanding Diluted,5112968,5112968,5112968,5112968,5119505,5119500,5137000,5248000,5374000,5516500,5515935,5501505,5352235,5405134,5434771,5436908,5386564,5352605,5352490
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413898/000095013409005615/0000950134-09-005615-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000095012310035266/0000950123-10-035266-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000095012311024802/0000950123-11-024802-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000119312512107434/0001193125-12-107434-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389813000013/0001413898-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389814000014/0001413898-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389815000007/0001413898-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389816000038/0001413898-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389817000017/0001413898-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389818000010/0001413898-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389819000008/0001413898-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389820000043/0001413898-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389821000012/0001413898-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389822000011/0001413898-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,10521000,6874000,9934000,24503000,86291000,57440000,34094000,82193000,158171000,78380000,80071000,57660000,55313000,48626000,42015000,32439000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,3410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,10521000,6874000,9934000,24503000,89701000,57440000,34094000,82193000,158171000,78380000,80071000,57660000,55313000,48626000,42015000,32439000
34,Net Receivables,- -,- -,- -,100817000,90792000,77383000,62977000,56793000,50533000,46964000,41174000,34396000,31502000,29114000,26740000,22057000,18441000,39337000,38412000
35,Inventory,- -,- -,- -,20926000,11407000,22641000,10460000,12646000,9918000,9393000,8180000,4901000,4052000,3386000,3171000,3912000,2573000,1974000,2192000
36,Other Current Assets,- -,- -,- -,12892000,12946000,14759000,24004000,13819000,10307000,8686000,9138000,8987000,9415000,9553000,14823000,6112000,5164000,4780000,3485000
37,Total Current Assets,- -,- -,- -,145156000,122019000,124717000,121944000,172959000,128198000,99137000,140685000,206455000,123349000,122124000,102394000,87394000,74804000,88106000,76528000
38,PP&E,- -,- -,- -,312487000,307788000,263744000,203329000,176676000,163418000,144609000,97112000,61589000,51358000,43759000,31706000,26261000,39824000,32365000,26470000
39,Goodwill,- -,- -,- -,464091000,119667000,105522000,24582000,24582000,24582000,24582000,24582000,24582000,36883000,14201000,13973000,13973000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,46925000,40426000,33927000,27427000,22189000,16950000,11711000,5342000,656000,5778000,4872000,4073000,3274000,319000,64000,- -
41,Intangible Assets,- -,- -,- -,511016000,160093000,139449000,52009000,46771000,41532000,36293000,29924000,25238000,42661000,19073000,18046000,17247000,319000,64000,- -
42,Investments,- -,- -,- -,- -,23000000,23016000,21314000,16661000,6112000,6826000,7333000,2572000,1632000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,2127000,1452000,1113000,538000,- -,- -,- -,5355000,6417000,50000,76000,257000
44,Other Non-Current Assets,- -,- -,- -,26156000,6810000,6752000,5831000,4855000,4376000,3961000,3626000,2893000,2501000,7775000,5347000,5029000,26048000,2604000,2197000
45,Total Non-Current Assets,- -,- -,- -,849659000,497691000,432961000,282483000,247090000,216890000,192802000,138533000,92292000,98152000,70607000,60454000,54954000,66241000,35109000,28924000
46,Other Assets,968889000,963215000,981661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,968889000,963215000,981661000,994815000,619710000,557678000,404427000,420049000,345088000,291939000,279218000,298747000,221501000,192731000,162848000,142348000,141045000,123215000,105452000
48,Accounts Payable,- -,- -,- -,29041000,25384000,32950000,19191000,29159000,18062000,15178000,15488000,12904000,12736000,9036000,10303000,6334000,6103000,7759000,7821000
49,Short-Term Debt,- -,- -,- -,932000,392000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,20708000,19184000,15894000,14424000,13243000,11670000,11449000,12098000,12896000,10592000
52,Other Current Liabilities,- -,- -,- -,88898000,94626000,72192000,56501000,105338000,52658000,26012000,19668000,72608000,11812000,14975000,12518000,13880000,13337000,10829000,9505000
53,Total Current Liabilities,- -,- -,- -,118871000,120402000,115142000,75692000,134497000,70720000,61898000,54340000,101406000,38972000,37254000,34491000,31663000,31538000,31484000,27918000
54,Long-Term Debt,- -,- -,- -,353893000,378916000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21890000,19181000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,31378000,19189000,6620000,223000,- -,- -,- -,- -,530000,1046000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,9446000,14263000,27264000,6915000,85679000,152889000,127981000,56102000,70792000,62633000,66325000,30658000,40099000,51770000,23433000,15776000
58,Total Non-Current Liabilities,- -,- -,- -,394717000,412368000,33884000,7138000,85679000,152889000,127981000,56102000,71322000,63679000,66325000,30658000,40099000,51770000,45323000,34957000
59,Other Liabilities,968889000,480911000,509870000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23120000,21890000,19181000
61,Total Liabilities,968889000,480911000,509870000,513588000,532770000,149026000,82830000,220176000,223609000,189879000,110442000,172728000,102651000,103579000,65149000,71762000,83308000,76807000,62875000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,204000,207000,212000,216000,221000,223000,227000,229000,231000,232000,233000,233000,233000,58000
64,Retained Earnings,- -,- -,- -,- -,- -,-75103000,-170215000,-294450000,-309441000,-319862000,-310099000,-308330000,-333222000,-361324000,-361288000,-373794000,-391148000,-402303000,-406195000
65,Other Comprehensive Income/Loss,- -,- -,- -,481227000,86940000,-517107000,3364000,2569000,-63069000,-73532000,-15093000,-57367000,-38442000,-39308000,-24932000,-37641000,-32294000,-32468000,-32406000
66,Other Total Stockholders Equity,- -,482304000,471791000,941066000,577262000,1000658000,488241000,491542000,493773000,495178000,493569000,491233000,489216000,488319000,483687000,481788000,480946000,480946000,481120000
67,Total Stockholders Equity,- -,482304000,471791000,481227000,86940000,408652000,321597000,199873000,121479000,102005000,168600000,125763000,117781000,87918000,97699000,70586000,57737000,46408000,42577000
68,Total Liabilities And Stockholders Equity,968889000,963215000,981661000,994815000,619710000,557678000,404427000,420049000,345088000,291884000,279042000,298491000,220432000,191497000,162848000,142348000,141045000,123215000,105452000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,176000,256000,1069000,1234000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,968889000,963215000,981661000,994815000,619710000,557678000,404427000,420049000,345088000,291939000,279218000,298747000,221501000,192731000,162848000,142348000,141045000,123215000,105452000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413898/000095013409005615/0000950134-09-005615-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000095012310035266/0000950123-10-035266-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000095012311024802/0000950123-11-024802-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000119312512107434/0001193125-12-107434-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389813000013/0001413898-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389814000014/0001413898-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389815000007/0001413898-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389816000038/0001413898-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389817000017/0001413898-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389818000010/0001413898-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389819000008/0001413898-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389820000043/0001413898-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389821000012/0001413898-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389822000011/0001413898-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,47819000,15179000,-347012000,-62303000,-107895000,-124235000,-10933000,526000,16119000,92929000,-17842000,-19310000,10161000,-5433000,9292000,-6872000,-467000
74,Depreciation and Amortization,- -,- -,46222000,46578000,52314000,53275000,45356000,38140000,35666000,32717000,22572000,14018000,12864000,11619000,11214000,10701000,9478000,7271000,4066000
75,Deferred Income Tax,- -,- -,-5062000,-12679000,-12196000,-17509000,-1079000,-8392000,638000,396000,165000,780000,-1572000,-1046000,-5355000,-1062000,3522000,-26000,-180000
76,Stock Based Compensation,- -,- -,- -,- -,- -,1832000,2350000,1940000,2191000,1287000,1227000,702000,605000,640000,944000,-605000,- -,- -,- -
77,Change in Working Capital,- -,- -,3765000,26285000,-24668000,7958000,36677000,-7790000,19016000,-20239000,49106000,18704000,-20672000,493000,-16967000,-12172000,-12465000,13356000,-2458000
78,Accounts Receivable,- -,- -,- -,- -,- -,13230000,13233000,9733000,6300000,3569000,-1962000,1002000,2894000,2388000,2374000,3795000,3525000,1079000,366000
79,Inventory,- -,- -,- -,427000,9360000,-11234000,12181000,-2186000,943000,525000,-132000,-2138000,-144000,528000,-3966000,7970000,1198000,881000,1077000
80,Accounts Payable,- -,- -,- -,- -,- -,6746000,-13759000,9968000,-11097000,-2884000,1853000,-813000,85000,-3700000,1267000,-3969000,-693000,1656000,62000
81,Other Working Capital,- -,- -,- -,26285000,1617000,9575000,46252000,38462000,57478000,37239000,86345000,105049000,84377000,84870000,67903000,55731000,43266000,56622000,-3191000
82,Other Non-Cash Items,- -,- -,-1538000,-25866000,393709000,45675000,54888000,161559000,-61738000,-15871000,-74951000,-153595000,21814000,15220000,-12092000,20289000,-8622000,-15219000,-6721000
83,Cash Provided by Operating Activities,- -,- -,91206000,49497000,62147000,28928000,30297000,61222000,-15160000,-1184000,14238000,-26462000,-4803000,7616000,-12095000,11718000,1205000,-1490000,-5760000
84,CAPEX,- -,- -,-52860000,-68356000,-41117000,-18089000,-11431000,-10597000,-8657000,-11322000,-6362000,-7844000,-7572000,-6597000,-12005000,-5656000,- -,- -,- -
85,Acquisitions Net,- -,- -,-9100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14110000,- -,- -,- -,-2356000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2959000,-742000,-1377000,-2279000,-500000,-250000,-18000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,729000,144000,- -,3540000,1046000,- -,- -,- -,- -,750000,- -
88,Other Investing Activites,- -,- -,-52295000,3041000,-1885000,-23068000,-5731000,-800000,-7498000,-10694000,-5995000,99681000,-1706000,5636000,9295000,-5656000,2182000,-732000,-390000
89,Cash Used for Investing Activites,- -,- -,-61395000,-65315000,-43002000,-23068000,-5731000,-800000,-9728000,-11292000,-7372000,100942000,-15270000,-1211000,9277000,-5656000,-174000,18000,-390000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350000,-2763000,-4974000,-3146000,- -,-69000,-1299000,-842000,- -,-1000
93,Dividends Paid,- -,- -,-53655000,-5781000,-47275000,-12800000,- -,- -,-4058000,-10947000,-6356000,-41012000,-57200000,-7029000,-10114000,-7116000,-6876000,-5139000,-3425000
94,Other Financing Activites,- -,- -,26312000,20680000,24483000,10000000,3000,1366000,95000,427000,296000,1923000,628000,2315000,-9410000,6000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,-27343000,14899000,-22792000,-2800000,-9997000,1366000,-3963000,-10870000,-8823000,-44063000,-59718000,-4714000,-19593000,-8409000,-7718000,-5139000,-3426000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,2468000,-919000,-3647000,3060000,14569000,61788000,-28851000,-23346000,48099000,75978000,-79791000,1691000,-22411000,-2347000,-6687000,-6611000,-9576000
98,Cash at the End of Period,- -,- -,11440000,10521000,6874000,9934000,24503000,86291000,57440000,34094000,82193000,158171000,78380000,80071000,57660000,55313000,48626000,42015000,32439000
99,Cash at the Beginning of Period,- -,- -,8972000,11440000,10521000,6874000,9934000,24503000,86291000,57440000,34094000,82193000,158171000,78380000,80071000,57660000,55313000,48626000,42015000
100,Free Cash Flow,- -,- -,38346000,-18859000,21030000,10839000,18866000,50625000,-23817000,-12506000,7876000,-34306000,-12375000,1019000,-24100000,6062000,1205000,-1490000,-5760000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413898/000095013409005615/0000950134-09-005615-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000095012310035266/0000950123-10-035266-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000095012311024802/0000950123-11-024802-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000119312512107434/0001193125-12-107434-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389813000013/0001413898-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389814000014/0001413898-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389815000007/0001413898-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389816000038/0001413898-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389817000017/0001413898-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389818000010/0001413898-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389819000008/0001413898-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389820000043/0001413898-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389821000012/0001413898-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1413898/000141389822000011/0001413898-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,
