,https://roic.ai/company/PULM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3197
94,Other Financing Activites,- -,30000,526000,18444000,11518000,- -,16614000,- -,160000,14284000,40480
95,Cash Used/Provided by Financing Activities,- -,30000,526000,18444000,21518000,-1046000,13919000,15793000,17705000,20981000,43475
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,526000,15475000,18451000,-14720000,-632000,-987000,20877000,8217000,-31805535
98,Cash at the End of Period,- -,- -,96000,15571000,18902000,4182000,3550000,2563000,23644000,31861000,55465
99,Cash at the Beginning of Period,- -,- -,- -,96000,451000,18902000,4182000,3550000,2767000,23644000,31861000
100,Free Cash Flow,- -,-30000,-430000,-2969000,-12738000,-13698000,-14551000,-16780000,3172000,-12764000,-19871
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1574235/000114420414044424/0001144204-14-044424-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1574235/000119312517077912/0001193125-17-077912-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000119312518080793/0001193125-18-080793-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000119312519043624/0001193125-19-043624-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000119312520086168/0001193125-20-086168-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000149315221006602/0001493152-21-006602-index.htm,https://www.sec.gov/Archives/edgar/data/1574235/000149315222007957/0001493152-22-007957-index.htm
102,false,,,,,,,,,,,
