,https://roic.ai/company/AUID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,- -,666660,666660,666660,5476638,5856481,7252283,11282730,14328276,16624746,18067422,18067422
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534154/000121390021013989/0001213900-21-013989-index.htm,https://www.sec.gov/Archives/edgar/data/1534154/000121390022014214/0001213900-22-014214-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2000,150,5349,159296,349873,689105,4413822,4972331,567081,3765277,6037983
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,44990,52790,58727,65333,72682,- -
33,Cash and Short-Term Investments,- -,2000,150,5349,159296,349873,734095,4466612,5031058,632414,3837959,6037983
34,Net Receivables,- -,- -,- -,- -,- -,509027,138359,165929,130875,125859,72986,137823
35,Inventory,- -,- -,- -,- -,- -,516663,150679,492030,133541,173575,254951,153149
36,Other Current Assets,- -,- -,- -,112000,- -,134224,166479,218537,471834,753505,237769,597640
37,Total Current Assets,- -,2000,150,117349,159296,1509787,1189612,5343108,5767308,1685353,4403665,6926595
38,PP&E,- -,- -,- -,38011,21582,37775,115682,209719,204000,332961,147685,118531
39,Goodwill,- -,- -,- -,- -,- -,166689,6736043,6736043,6736043,5218861,4183232,4183232
40,Intangible Assets,- -,- -,- -,393146,596161,1756126,3474291,4017489,4876361,5721617,4527476,2532453
41,Intangible Assets,- -,- -,- -,393146,596161,1922815,10210334,10753532,11612404,10940478,8710708,6715685
42,Investments,- -,- -,- -,- -,- -,- -,674015,618763,560036,494703,422021,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,358343,104122,- -,83920,190367,69198
45,Total Non-Current Assets,- -,- -,- -,431157,617743,1960590,11358374,11686136,12376440,11852062,9470781,6903414
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2000,150,548506,777039,3470377,12547986,17029244,18143748,13537415,13874446,13830009
48,Accounts Payable,- -,- -,- -,19638,40488,301455,341002,232842,401272,621292,311024,- -
49,Short-Term Debt,- -,- -,- -,224615,48417,1017415,359819,27420,30898,282807,162593,1579
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,398680,122511,236270,425276,237690,246830
52,Other Current Liabilities,- -,400,350,47047,169940,26231815,9735253,1214343,945954,1351970,2236694,2686022
53,Total Current Liabilities,- -,400,350,291300,258845,27550685,10834754,1597116,1614394,2681345,2948001,2934431
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,5297199,2491229,1938258,2580299,6298877,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,9668276,- -,- -,- -,47809,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,14965475,2491229,1938258,2580299,6346686,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,142929,115508,458828,167208,- -
61,Total Liabilities,- -,400,350,291300,258845,27550685,25800229,4088345,3552652,5261644,9294687,2934431
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2000,150,16062,16354,18785,23470,40331,47895,51812,58927,2329
64,Retained Earnings,- -,-1343,-3193,-1490734,-2395421,-39074590,-48925993,-66407622,-76435235,-86935593,-98234151,-115899939
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,51561,308611,254851,207754,177385,160642,- -
66,Other Total Stockholders Equity,- -,943,2843,1731878,2897261,14923936,35341669,79053339,90770682,94982167,102594341,126793188
67,Total Stockholders Equity,- -,1600,-200,257206,518194,-24080308,-13252243,12940899,14591096,8275771,4579759,10895578
68,Total Liabilities And Stockholders Equity,- -,2000,150,548506,777039,3470377,12547986,17029244,18143748,13537415,13874446,13830009
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2000,150,548506,777039,3470377,12547986,17029244,18143748,13537415,13874446,13830009
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534154/000121390021013989/0001213900-21-013989-index.htm,https://www.sec.gov/Archives/edgar/data/1534154/000121390022014214/0001213900-22-014214-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,-1343,-1850,-976238,-904687,-36679169,-9851403,-17481629,-10027613,-10500358,-11298558,-17665788
74,Depreciation and Amortization,- -,- -,- -,44530,148841,147052,421494,475211,493697,790367,1250542,1260286
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,6320114,8648212,5650072,2429959,1246019,823564,6702797
77,Change in Working Capital,- -,400,-1800,-173751,74402,-25941349,16395756,13391134,406922,-5148906,2451656,2536500
78,Accounts Receivable,- -,- -,- -,117924,- -,-448355,682535,-36963,20762,-5770,45319,-74182
79,Inventory,- -,- -,- -,- -,- -,-433598,-190471,-354227,-1519,-50647,-109213,106674
80,Accounts Payable,- -,- -,- -,-39538,165393,229677,- -,- -,- -,- -,- -,544481
81,Other Working Capital,- -,1600,-200,-173951,-99549,-26040898,-9645142,3745992,4152914,-995992,1455664,3992164
82,Other Non-Cash Items,- -,- -,1750,204867,318632,53630424,-19403033,-8575948,746610,7557800,2104335,-1595349
83,Cash Provided by Operating Activities,- -,-943,-1900,-900592,-362812,-2522928,-3788974,-6541160,-5950425,-6055078,-4668461,-8761554
84,CAPEX,- -,- -,- -,-231860,-472656,-53886,-42765,-907681,-59091,-27364,- -,-90036
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,419042,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1319932,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-231860,12537,-170738,-275806,-894435,- -,-1604152,-299436,-26705
89,Cash Used for Investing Activites,- -,- -,- -,-231860,-407043,-187003,119671,-907681,-1379023,-1631516,-299436,-116741
90,Debt Repayment,- -,- -,- -,- -,-224615,-296653,-87459,-90661,-1027421,-31188,-40157,-39232
91,Common Stock Issued,- -,2000,100,829277,- -,- -,1250000,9002290,9610793,2928312,5076455,10282998
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,943,-50,290956,1148417,3145600,2588944,2275425,-658864,408000,3139943,843067
95,Cash Used/Provided by Financing Activities,- -,2943,50,1120233,923802,2848947,3751485,11187054,7924508,3305124,8176240,11086833
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,51561,257050,-13496,-36551,-23780,-10147,- -
97,Net Change In Cash,- -,2943,-1850,-12219,153947,190577,339232,3724717,558509,-4405250,3198196,2272706
98,Cash at the End of Period,- -,2000,150,5349,159296,349873,689105,4413822,4972331,567081,3765277,6037983
99,Cash at the Beginning of Period,- -,- -,2000,17568,5349,159296,349873,689105,4413822,4972331,567081,3765277
100,Free Cash Flow,- -,-943,-1900,-1132452,-835468,-2576814,-3831739,-7448841,-6009516,-6082442,-4668461,-8851590
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534154/000121390021013989/0001213900-21-013989-index.htm,https://www.sec.gov/Archives/edgar/data/1534154/000121390022014214/0001213900-22-014214-index.htm
102,false,,,,,,,,,,,,
