,https://roic.ai/company/AHPI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,13600000,14500000,15000000,18400000,27700000,31500000,34000000,20900000,20900000,16816715,14572963,22346842,13550592,12660358,11843037,12112624,12051500,12084971,13041564,11871758,10593869,10610858,10735806,10423133,8763335,9279061,8607584,8446056,7812649,8632795,7636318
11,COGS and Expenses,45900000,48900000,50100000,61000000,93200000,112000000,116400000,90000000,76800000,64871173,62838073,72345270,60360318,55408700,53512327,55405370,54079625,55090978,53314653,46816472,46374526,44095370,41045290,39479500,37155506,37871813,35563924,35755567,34155543,34956441,36806298
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60277,10168,32733,27368,12006,4818,3041,2782,1445,288,138,654,233
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4269,66,336,- -,- -,- -,- -,- -,23569,56223,64682,115975
14,Depreciation and Amortization,1200000,1100000,1100000,1600000,2900000,4000000,5500000,4900000,3800000,3332350,2954090,1389254,1168326,1306571,1152891,1060241,1230775,1229753,1291777,1364923,1361684,1283349,1306044,1280796,1311111,1228485,1090126,931408,822068,619801,579472
15,EBITDA,8000000,9800000,11800000,13400000,17600000,7300000,-400000,6500000,-2200000,923910,3360118,-11636174,799393,4442648,3595034,3215690,3786755,2561000,-15919815,475678,1725177,613339,-690767,-1864930,-449603,-774915,-962040,-1064155,-1201946,-2459976,2455119
16,EBITDA ratio,0.1465,0.1672,0.1928,0.1808,0.1577,0.0608,-0.0034,0.0674,-0.0302,0.0144,0.0518,-0.1926,0.0131,0.0752,0.0641,0.0559,0.0670,0.0454,-0.3057,0.0103,0.0369,0.0141,-0.0179,-0.0513,-0.0127,-0.0216,-0.0287,-0.0315,-0.0383,-0.0771,0.0677
17,Operating Income,8700000,9700000,11100000,13100000,18400000,8100000,1800000,6500000,-4000000,-594530,2089605,-11930386,503040,3694613,2607823,2140219,2421349,1273133,-17221807,-782224,408910,-649749,-2493516,-3108884,-1693737,-1919326,-2051894,-1995614,-2774022,-3062179,-526822
18,Operating Income ratio,0.1593,0.1655,0.1814,0.1768,0.1649,0.0674,0.0152,0.0674,-0.0549,-0.0092,0.0322,-0.1975,0.0083,0.0625,0.0465,0.0372,0.0429,0.0226,-0.3307,-0.0170,0.0087,-0.0150,-0.0647,-0.0855,-0.0478,-0.0534,-0.0612,-0.0591,-0.0884,-0.0960,-0.0145
19,Total Other Income Expenses (Gains),-1900000,-1000000,-400000,-1300000,-3700000,-4800000,-7700000,-4300000,-2000000,-1813910,-1683577,-1095042,-871973,-558536,-165680,15230,134631,58114,10215,-111290,-45483,-20597,496705,-36842,-66977,-84074,-272,-23518,693785,-82280,2286494
20,Income Before Tax,6800000,8700000,10700000,11800000,14700000,3300000,-5900000,2200000,-6000000,-2408440,406028,-13025428,-368933,3136077,2442143,2155449,2555980,1331247,-17211592,-893514,363427,-670346,-1996811,-3145726,-1760714,-2003400,-2052166,-2019132,-2080237,-3144459,1759672
21,Income Before Tax Ratio,0.1245,0.1485,0.1748,0.1592,0.1317,0.0275,-0.0500,0.0228,-0.0824,-0.0375,0.0063,-0.2156,-0.0061,0.0531,0.0435,0.0375,0.0452,0.0236,-0.3305,-0.0194,0.0078,-0.0154,-0.0518,-0.0865,-0.0497,-0.0557,-0.0612,-0.0598,-0.0663,-0.0986,0.0485
22,Income Tax expense (Gain),2500000,3100000,4000000,4500000,5900000,1500000,-1400000,9000000,-1900000,-694963,171892,-1294420,-211374,1261424,100779,506845,914400,448748,-449779,-293941,159019,-245920,-740038,-339813,16596,301431,36500,173038,29448,-130359,72484
23,Net Income,4300000,5600000,6700000,7300000,8800000,1800000,-4500000,-7400000,-4100000,-1713477,234136,-11731008,-157559,1874653,2341364,1648604,1641580,882499,-16761813,-599573,204408,-424426,-1256773,-2805913,-1777310,-2304831,-2088666,-2192170,-2109685,-3014100,1687188
24,Net Income ratio,0.0788,0.0956,0.1095,0.0985,0.0789,0.0150,-0.0381,-0.0767,-0.0563,-0.0267,0.0036,-0.1942,-0.0026,0.0317,0.0417,0.0286,0.0291,0.0157,-0.3219,-0.0130,0.0044,-0.0098,-0.0326,-0.0771,-0.0501,-0.0641,-0.0623,-0.0649,-0.0672,-0.0945,0.0465
25,EPS,1.32,1.56,1.88,2.62,2.90,0.50,-1.16,-1.90,-1.06,-0.44,0.06,-3.00,-0.04,0.48,0.60,0.42,0.42,0.22,-4.24,-0.14,0.06,-0.10,-0.32,-0.70,-0.44,-0.58,-0.52,-0.55,-0.53,-0.75,0.42
26,EPS Diluted,1.32,1.56,1.88,2.62,2.90,0.50,-1.16,-1.90,-1.06,-0.44,0.06,-3.00,-0.04,0.46,0.58,0.40,0.40,0.22,-4.24,-0.14,0.06,-0.10,-0.32,-0.70,-0.44,-0.58,-0.52,-0.55,-0.53,-0.75,0.42
27,Weighted Average Shares Outstanding,3257576,3589744,3563830,2786260,3034483,3600000,3898341,3902235,3903341,3894266,3903341,3904633,3906966,3908208,3910971,3920429,3937991,3941829,3949391,4033370,4053656,4062193,4035322,4013573,4013573,4013573,4013537,4013537,4013537,4013537,4013537
28,Weighted Average Shares Outstanding Diluted,3257576,3589744,3563830,2786260,3034483,3636364,3898341,3902235,3903341,3903341,4062849,3904633,3906966,3992380,4040445,4033155,4042687,4059888,3949391,4033370,4062478,4062193,4035322,4013573,4013573,4013573,4013537,4013537,4013537,4013537,4026446
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874710/000101540200002637/0001015402-00-002637-index.html,https://www.sec.gov/Archives/edgar/data/874710/000095013401506871/0000950134-01-506871-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874710/000095013707014817/0000950137-07-014817-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000095013708012047/0000950137-08-012047-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420409050123/0001144204-09-050123-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420410050694/0001144204-10-050694-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420411055070/0001144204-11-055070-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420412053494/0001144204-12-053494-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420413052878/0001144204-13-052878-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420414058017/0001144204-14-058017-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420415056494/0001144204-15-056494-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420416125029/0001144204-16-125029-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420417050431/0001144204-17-050431-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420418051429/0001144204-18-051429-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420419046264/0001144204-19-046264-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000110465920109282/0001104659-20-109282-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000110465921120284/0001104659-21-120284-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6000000,2100000,1400000,200000,1500000,1000000,1200000,600000,568197,20365,800,12016,8256,317775,2696324,3638870,6149015,1943364,5263324,6512887,5284543,3687919,1366762,2039946,1703663,995704,136112,195454,2600083,726223
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,6000000,2100000,1400000,200000,1500000,1000000,1200000,600000,568197,20365,800,12016,8256,317775,2696324,3638870,6149015,1943364,5263324,6512887,5284543,3687919,1366762,2039946,1703663,995704,136112,195454,2600083,726223
34,Net Receivables,9500000,9300000,10500000,15600000,27600000,28300000,23100000,14200000,12600000,10542264,11395224,8524187,8241236,7839517,7215799,7429355,7251767,6441683,7109710,6295918,5462438,4889635,4258736,3730271,3587161,4107017,3374993,3760171,3177467,3115997,2939551
35,Inventory,7700000,6400000,7700000,14400000,23900000,28000000,26100000,18400000,17500000,16742178,17079033,13200921,12274972,11095171,10775550,11491305,12999472,12046450,12663938,11155456,10553289,10001226,9338343,9406098,9190911,8875270,8511954,7830541,7333095,8928688,9450731
36,Other Current Assets,1600000,1100000,1200000,700000,3300000,2700000,1500000,200000,1800000,358407,662049,1655315,149995,127127,168431,224853,275254,394975,327203,221840,213745,400677,420978,410098,328756,255711,315678,250605,244908,229805,268136
37,Total Current Assets,18800000,22800000,21500000,32100000,55000000,60500000,51700000,34000000,32500000,28211046,29156671,23381223,20678219,19070071,18477555,21841837,24165363,25032123,22044215,22936538,22742359,20576081,17705976,14913229,15146774,14941661,13198329,11977429,10950924,14874573,13384641
38,PP&E,8300000,7700000,8100000,10100000,18100000,22000000,20800000,17500000,14300000,12176616,10892268,13228157,12630289,11999927,11308866,11253,10677,10543,10799,9661,8661,9604,9722,8936,7821,6748,5734,4823,4001,4157019,3740462
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15979830,15979830,15979830,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,5500000,5300000,5200000,22100000,52500000,52800000,50800000,28000000,27200000,26395241,25579830,15979830,15979830,15979830,15979830,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,5500000,5300000,5200000,22100000,52500000,52800000,50800000,28000000,27200000,26395241,25579830,15979830,15979830,15979830,15979830,15979830,15979830,15979830,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197008,100492,989710,- -,- -,- -,- -,- -,- -,- -,- -,- -,1667699,1996434,1889872,1430385,683763,520663,501891,640767,577088
44,Other Non-Current Assets,400000,400000,300000,300000,600000,1500000,3000000,700000,300000,429174,107377,180536,134528,88867,330969,11497526,11162450,11235358,11178917,9984818,9014326,10761384,9955334,9113828,7945000,6816887,5748823,4818326,3997080,- -,- -
45,Total Non-Current Assets,14200000,13400000,13600000,32500000,71200000,76300000,74600000,46200000,41800000,39001031,36776483,29489015,29734357,28068624,27619665,27488609,27152957,27225731,11189716,9994479,9022987,10770988,11632755,11119198,9842693,8254020,6438320,5343812,4502972,4797786,4317550
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,33000000,36200000,35100000,64600000,126200000,136800000,126300000,80200000,74300000,67212077,65933154,52870238,50412576,47138695,46097220,49330446,51318320,52257854,33233931,32931017,31765346,31347069,29338731,26032427,24989467,23195681,19636649,17321241,15453896,19672359,17702191
48,Accounts Payable,3600000,4100000,4300000,7400000,9900000,13100000,14000000,5800000,5400000,4055739,3843092,3426802,2192717,3125593,2110599,3208699,3040313,2590804,1633568,1950446,1644910,1797144,1317202,1068222,1368797,1864603,1440403,1473618,1469232,2940006,1898747
49,Short-Term Debt,5700000,300000,4100000,13100000,34400000,3800000,12900000,3400000,900000,1016611,1169044,7985406,5409304,1245484,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1046904,2082217
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,465000,465000,465000,690000,688200,688200,688200,114700,359597,252496,589276,859307,612908,370885,562905,2832370,575930
52,Other Current Liabilities,2400000,2200000,2900000,6600000,7900000,5600000,6000000,3500000,3500000,2878142,3462196,2598140,3631060,3706247,3652179,3524437,3390821,3460572,2735771,2670958,2158124,2658540,2347183,2202636,2338197,2199316,1397058,1479798,1531407,2106131,2557135
53,Total Current Liabilities,11700000,6600000,11300000,27100000,52200000,22500000,32900000,12700000,9800000,7950492,8474332,14010348,11233081,8077324,6227778,7198136,6896134,6741376,5057539,5309604,4491234,4570384,4023982,3523354,4296270,4923226,3450369,3324301,3563544,8925411,7114029
54,Long-Term Debt,7500000,2000000,10500000,16500000,34600000,49000000,34000000,15000000,16300000,13055980,11019081,4135156,4612320,2366076,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1345281,8301
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1491100,802900,114700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,900000,1000000,1400000,- -,400000,200000,- -,- -,- -,- -,242478,1007500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-100000,- -,100000,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,1472500,1937500,2177500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,523000,- -
58,Total Non-Current Liabilities,7500000,1900000,10500000,17500000,35600000,50400000,34000000,15500000,16600000,13055980,11019081,4135156,4612320,2608554,1007500,1472500,1937500,2177500,1491100,802900,114700,- -,- -,- -,- -,- -,- -,- -,- -,1868281,8301
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17326,13078
61,Total Liabilities,19200000,8500000,21800000,44600000,87800000,72900000,66900000,28200000,26400000,21006472,19493413,18145504,15845401,10685878,7235278,8670636,8833634,8918876,6548639,6112504,4605934,4570384,4023982,3523354,4296270,4923226,3450369,3324301,3563544,10793692,7122330
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,100000,100000,100000,100000,101102,101102,101175,101175,101220,101331,101556,101871,101886,102048,103969,104279,104279,104279,104279,104279,104279,52139,52139,52139,52139,52139
64,Retained Earnings,12900000,18500000,24500000,30700000,37800000,37600000,33000000,25700000,21500000,19821310,20055446,8324438,8166879,10041534,12382896,14031500,15673080,16444436,-317377,-916950,-712542,-1136968,-2393741,-5199654,-6976964,-9281795,-11370461,-13562631,-15672316,-18686416,-16999228
65,Other Comprehensive Income/Loss,-4000000,-4900000,-5400000,-7600000,-8700000,-10900000,-13900000,-16000000,-17700000,-20124066,-22159619,-18802932,-19784633,-20870948,-11576283,-9957298,-11174381,-12292728,-13467835,-14728349,-16024734,-17182151,-18430896,-19656143,-20859127,-21369468,-26314505,-27225397,-28047465,-28667266,- -
66,Other Total Stockholders Equity,4900000,14100000,- -,- -,9300000,37100000,40200000,42200000,44000000,46407259,48442812,45102053,46083754,47181011,37953998,36484052,37884116,39085384,40368456,42359843,43792409,44991525,46035107,47260591,48425009,48819439,53819107,54732829,55557994,56180210,27526950
67,Total Stockholders Equity,13800000,27700000,13300000,20000000,38400000,63900000,59400000,52000000,47900000,46205605,46439741,34724734,34567175,36452817,38861942,40659810,42484686,43338978,26685292,26818513,27159412,26776685,25314749,22509073,20693197,18272455,16186280,13996940,11890352,8878667,10579861
68,Total Liabilities And Stockholders Equity,33000000,36200000,35100000,64600000,126200000,136800000,126300000,80200000,74300000,67212077,65933154,52870238,50412576,47138695,46097220,49330446,51318320,52257854,33233931,32931017,31765346,31347069,29338731,26032427,24989467,23195681,19636649,17321241,15453896,19672359,17702191
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33000000,36200000,35100000,64600000,126200000,136800000,126300000,80200000,74300000,67212077,65933154,52870238,50412576,47138695,46097220,49330446,51318320,52257854,33233931,32931017,31765346,31347069,29338731,26032427,24989467,23195681,19636649,17321241,15453896,19672359,17702191
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874710/000101540200002637/0001015402-00-002637-index.html,https://www.sec.gov/Archives/edgar/data/874710/000095013401506871/0000950134-01-506871-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874710/000095013707014817/0000950137-07-014817-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000095013708012047/0000950137-08-012047-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420409050123/0001144204-09-050123-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420410050694/0001144204-10-050694-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420411055070/0001144204-11-055070-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420412053494/0001144204-12-053494-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420413052878/0001144204-13-052878-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420414058017/0001144204-14-058017-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420415056494/0001144204-15-056494-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420416125029/0001144204-16-125029-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420417050431/0001144204-17-050431-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420418051429/0001144204-18-051429-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000114420419046264/0001144204-19-046264-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000110465920109282/0001104659-20-109282-index.htm,https://www.sec.gov/Archives/edgar/data/874710/000110465921120284/0001104659-21-120284-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4300000,5600000,6700000,7300000,8800000,1800000,-4500000,-7400000,-4100000,-1713477,234136,-11731008,-157559,1874653,2341364,1648604,1641580,882499,-16761813,-599573,204408,-424426,-1256773,-2805913,-1777310,-2304831,-2088666,-2192170,-2109685,-3014100,1687188
74,Depreciation and Amortization,1200000,1100000,1100000,1600000,2900000,4000000,5500000,4900000,3800000,3332350,2954090,1389254,1168326,1306571,1152891,1060241,1230775,1229753,1291777,1364923,1361684,1283349,1306044,1280796,1311111,1228485,1090126,931408,822068,619801,579472
75,Deferred Income Tax,-100000,-100000,-100000,-200000,-500000,300000,-2500000,2100000,-300000,- -,-356668,-279941,268771,1209753,-188493,48406,-53467,-389052,219432,55788,- -,-257501,-757699,-352746,- -,290145,29201,163100,18772,-138876,63679
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27034,647926,20261,44179,44197,9655,4956,2946,2491,2830,3097,2415,14006
77,Change in Working Capital,600000,9100000,-6000000,-5200000,-2200000,35200000,-19200000,2500000,1400000,-2439446,421785,-11311464,74263,1547609,1257030,2393924,2625528,1021518,-1304071,640258,624191,-2245428,-2323703,-2292119,-539371,-832069,-270475,-1094832,-1265748,-1438218,321450
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268698,752529,30531,496242,741251,490013,76554,-522647,721486,-373437,563055,39720,155067
79,Inventory,1100000,1300000,-1300000,-2800000,-3300000,-4200000,2000000,2400000,400000,757644,-336855,3878112,925949,1179801,319621,-715755,-1508167,953022,-617488,1508482,602167,552063,662883,-67755,215187,315641,363316,681413,497446,-1595593,-522043
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-957236,316878,-305536,152234,-479942,-248980,300575,495806,-424200,33215,-4386,1330172,-1041259
81,Other Working Capital,7100000,16200000,10200000,5000000,2800000,38000000,18800000,21300000,22700000,20260554,20682339,9370875,9445138,10992747,12249777,14643701,17269229,18290747,16986676,17626934,18251125,16005697,13681994,11389875,10850504,10018435,9747960,8653128,7387380,5949162,6270612
82,Other Non-Cash Items,200000,-6600000,4400000,1100000,-9300000,-38800000,29600000,-7300000,-1000000,4268748,-1165504,25763458,1280803,1087277,-205568,-1845557,-3962094,929761,13785409,1408603,-732660,2582423,3008204,2277674,1814964,1378341,550412,1330072,2590838,4616559,-6449932
83,Cash Provided by Operating Activities,6200000,9100000,6100000,4600000,-300000,2500000,8900000,-5200000,-200000,3448175,2087839,3830299,2634604,7025863,4357224,3305618,1482322,3674479,-2742232,3517925,1477884,982596,20270,-1882653,814350,-236983,-686911,-859592,59342,647581,-3784137
84,CAPEX,-700000,-400000,-1000000,-2000000,-6300000,-3600000,-100000,-600000,-1100000,-298040,-751205,-3698060,-524450,-630548,-436145,-1014969,-649290,-1170447,-1544512,-337463,-348551,-2210940,-1367534,-438504,-141166,-99300,-21048,- -,- -,-617811,-167163
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-17000000,-31800000,-1600000,- -,35300000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1544512,-282833,-344551,-2210940,-1367534,-438504,-141166,-99300,-21048,- -,- -,-617811,-167163
89,Cash Used for Investing Activites,-700000,-400000,-1000000,-19000000,-38100000,-5200000,-100000,34700000,800000,-298040,-751205,-3698060,-524450,-630548,-436145,-1014969,-649290,-1170447,-1544512,-282833,-344551,-2210940,-1367534,-438504,-141166,-99300,-21048,- -,- -,-617811,-167163
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14774091,-32176067,-32856428,-34639628
91,Common Stock Issued,- -,8000000,- -,- -,3500000,25800000,- -,100000,- -,- -,- -,16001,- -,10989,- -,64125,109514,3438,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-20700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-249360,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-300000,-1300000,-1600000,-2000000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-5500000,-10700000,11900000,15000000,35300000,-19800000,-8800000,-29400000,-1200000,-3169395,-1884466,-167805,-2098938,-6410064,-3611560,23775,- -,2675,81093,84868,116230,- -,- -,- -,- -,- -,- -,- -,- -,35231287,36717068
95,Cash Used/Provided by Financing Activities,-5500000,-2700000,-9100000,13700000,37200000,4000000,-9300000,-29300000,-1200000,-3169395,-1884466,-151804,-2098938,-6399075,-3611560,87900,109514,6113,81093,84868,116230,- -,-249360,- -,- -,- -,- -,- -,- -,2374859,2077440
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-5500000,-2700000,-9100000,13700000,37200000,1300000,-500000,200000,-600000,-19260,-547832,-19565,11216,-3760,309519,2378549,942546,2510145,-4205651,3319960,1249563,-1228344,-1596624,-2321157,673184,-336283,-707959,-859592,59342,2404629,-1873860
98,Cash at the End of Period,- -,- -,- -,- -,- -,1500000,1000000,1200000,600000,568197,20365,800,12016,8256,317775,2696324,3638870,6149015,1943364,5263324,6512887,5284543,3687919,1366762,2039946,1703663,995704,136112,195454,2600083,726223
