,https://roic.ai/company/DLTI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1420368/000139390508000071/0001393905-08-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000139390509000102/0001393905-09-000102-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420368/000147793214002416/0001477932-14-002416-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793215002428/0001477932-15-002428-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793216010545/0001477932-16-010545-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793217002379/0001477932-17-002379-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793218001773/0001477932-18-001773-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793219005429/0001477932-19-005429-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793220002314/0001477932-20-002314-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793221002971/0001477932-21-002971-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-7507,-29160,-87724,-2264478,-66958,-4669,-4895,-186345,-630108,-87965,-44687,-329282,-1039318,-503929
74,Depreciation and Amortization,- -,- -,29167,- -,- -,- -,- -,- -,- -,- -,3056,88142,102754,370552
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-29160,-14426,-164889,97468,8135,-4895,-26340,-369517,12087,191882,591186,-540506,-254949
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2629,-18686,-142378
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,8430,- -,- -,- -,- -,- -,- -,23377,-19617,-406,23429,138165
81,Other Working Capital,29193,33,-14393,-179282,-81814,-73679,-78574,-104914,-474431,-462344,-270462,320724,-219782,-474731
82,Other Non-Cash Items,- -,29160,57377,2421264,-34770,-15033,6460,194650,963409,48937,-149579,-483186,1450530,249047
83,Cash Provided by Operating Activities,-7507,-29160,-15606,-8103,-4260,-11567,-3330,-18035,-36216,-26941,672,-133140,-26540,-139279
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20802,- -,-800
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20802,- -,-800
90,Debt Repayment,- -,- -,- -,- -,- -,-5792,- -,- -,-8150,-10500,- -,-4900,- -,- -
91,Common Stock Issued,36500,- -,- -,- -,- -,- -,- -,- -,45000,- -,- -,236000,25000,14000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,200,- -,15610,8066,4261,17359,3330,18035,19700,17107,7924,-23225,- -,120414
95,Cash Used/Provided by Financing Activities,36700,- -,15610,8066,4261,11567,3330,18035,56550,6607,7924,207875,25000,134414
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,13,-18972,1772,191
97,Net Change In Cash,- -,-29160,4,- -,- -,- -,- -,- -,- -,- -,- -,34961,232,-5474
98,Cash at the End of Period,29193,33,37,- -,- -,- -,- -,- -,20334,- -,8609,43860,13140,7666
99,Cash at the Beginning of Period,- -,29193,33,37,- -,- -,- -,- -,- -,20334,- -,8899,12908,13140
100,Free Cash Flow,-7507,-29160,-15606,-8103,-4260,-11567,-3330,-18035,-36216,-26941,672,-133140,-26540,-139279
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1420368/000139390508000071/0001393905-08-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000139390509000102/0001393905-09-000102-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420368/000147793214002416/0001477932-14-002416-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793215002428/0001477932-15-002428-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793216010545/0001477932-16-010545-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793217002379/0001477932-17-002379-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793218001773/0001477932-18-001773-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793219005429/0001477932-19-005429-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793220002314/0001477932-20-002314-index.htm,https://www.sec.gov/Archives/edgar/data/1420368/000147793221002971/0001477932-21-002971-index.htm
102,false,,,,,,,,,,,,,,
