,https://roic.ai/company/PMCB,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,-613521,-645650,-2370365,-6658509,-16043832,-19658110,-23450076,-29491700,-36550977,-37948693,-39848005,-41446107,-68700127,-79554636,-84691617,-89135302,-95964143,-100031371,-103858259,-107409495
65,Other Comprehensive Income/Loss,- -,- -,- -,258,-488,2524,-7754,-30754,- -,-165935,-23664,-23664,- -,1462,806,1736,-4709,-13842,-21709,-20382
66,Other Total Stockholders Equity,590999,628458,2207634,5352452,20438481,23925643,30874293,33487512,34064993,34769621,36970188,39920104,77573448,85415954,91135370,97130279,101636215,104966158,108805062,114109169
67,Total Stockholders Equity,-7855,-2525,-153426,-1295096,4411812,4286247,7435656,3989576,-1951145,-2729293,-2279850,-921456,8942384,5936053,6522686,8087247,5768689,5039545,5088958,6679451
68,Total Liabilities And Stockholders Equity,- -,- -,175707,336360,5135705,4405053,7616214,6842049,1202217,1240187,2087508,2876931,9316050,7948468,7160325,8667495,6412857,5782396,6166638,7404229
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,175707,336360,5135705,4405053,7616214,6842049,1202217,1240187,2087508,2876931,9316050,7948468,7160325,8667495,6412857,5782396,6166638,7404229
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157075/000126246308000113/0001262463-08-000113-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157075/000126246312000335/0001262463-12-000335-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000115707513000010/0001157075-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000101968714003893/0001019687-14-003893-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000101968715002894/0001019687-15-002894-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000101968716007057/0001019687-16-007057-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000168316817001881/0001683168-17-001881-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000168316818001994/0001683168-18-001994-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000168316819002559/0001683168-19-002559-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000168316820002680/0001683168-20-002680-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000168316821003377/0001683168-21-003377-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-29847,-32129,-1724715,-4276894,-9385323,-3614279,-3791966,-6041624,-5991925,-1397716,-1899312,-1598102,-27254020,-10854509,-6063784,-4443685,-6828841,-4067228,-3826888,-3551236
74,Depreciation and Amortization,- -,- -,- -,23256,488,1352,6380,28830,114912,40688,24659,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6203580,2099190,1017880,1525438,705678,748025,370829
77,Change in Working Capital,7855,-5330,-45499,356244,-4188747,1030892,-2730308,4748009,930683,165852,238751,364557,-491766,1741407,-873496,-21157,-85873,167099,267349,-145608
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,223484,144761,-931,-6762,2581,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-47107,47107,- -,- -,-242901,172470,114567,-16178,11860,6846,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-299194,464876,30944,173825,97708,-59191,308654,-160690,29591,-12979,-230736,63958,-13581
81,Other Working Capital,- -,- -,- -,- -,- -,-717680,- -,- -,119917,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,1549184,1099707,12501394,2230439,5324821,79413,3972273,965944,1376613,843119,26183224,-1650647,491684,107500,309881,316539,473141,-4874
83,Cash Provided by Operating Activities,-21992,-37459,-221030,-2797687,-1072188,-351596,-1191073,-1185372,-974057,-225232,-259289,-390426,-1562562,-4560169,-4346406,-3339462,-5079395,-2877912,-2338373,-3330889
84,CAPEX,- -,- -,-45000,-70551,-7243,-696519,-21049,-5080,- -,- -,- -,- -,-3500000,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,831,- -,- -,7592,- -,- -,-874230,-646750,-51215,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-510026,-566,- -,- -,-31185,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,350000,166379,- -,- -,- -,74967,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1618,2524,11476,15000,- -,- -,2500,- -,-3500000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-45000,-230577,157783,-693995,-9573,-13673,74967,- -,-871730,-646750,-3551215,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-22398,-258206,- -,-25005,-75000,-61522,-143859,- -,- -,- -,- -,-12352,-62440
91,Common Stock Issued,- -,- -,- -,- -,850000,1085750,1484500,250000,504900,164288,21000,1146000,8510880,3785833,3568150,4881936,2681409,2342500,2663000,4699247
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,21992,37459,349630,2983000,1095019,- -,120578,61629,49385,117429,1093546,149756,81586,- -,- -,- -,- -,- -,75201,- -
95,Cash Used/Provided by Financing Activities,21992,37459,349630,2983000,1945019,1085750,1605078,289231,296079,281717,1089541,1220756,8530944,3641974,3568150,4881936,2681409,2342500,2725848,4636807
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1462,-656,930,-6445,-9133,-7867,1327
97,Net Change In Cash,21992,37459,349630,-45264,1030614,40159,404432,-909814,-603011,56485,-41478,183580,3417167,-916733,-778912,1543404,-2404431,-544545,379608,1307245
98,Cash at the End of Period,- -,- -,83600,38336,1068950,1109109,1513541,603727,716,57201,15723,199303,3616470,2699737,1920825,3464229,1059798,515253,894861,2202106
99,Cash at the Beginning of Period,- -,- -,- -,83600,38336,1068950,1109109,1513541,603727,716,57201,15723,199303,3616470,2699737,1920825,3464229,1059798,515253,894861
100,Free Cash Flow,-21992,-37459,-266030,-2868238,-1079431,-1048115,-1212122,-1190452,-974057,-225232,-259289,-390426,-5062562,-4560169,-4346406,-3339462,-5079395,-2877912,-2338373,-3330889
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157075/000126246308000113/0001262463-08-000113-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157075/000126246312000335/0001262463-12-000335-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000115707513000010/0001157075-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000101968714003893/0001019687-14-003893-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000101968715002894/0001019687-15-002894-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000101968716007057/0001019687-16-007057-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000168316817001881/0001683168-17-001881-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000168316818001994/0001683168-18-001994-index.html,https://www.sec.gov/Archives/edgar/data/1157075/000168316819002559/0001683168-19-002559-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000168316820002680/0001683168-20-002680-index.htm,https://www.sec.gov/Archives/edgar/data/1157075/000168316821003377/0001683168-21-003377-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
