,https://roic.ai/company/SUMO,2018,2019,2020,2021,2022
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1643269/000164326921000006/0001643269-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1643269/000164326922000007/0001643269-22-000007-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,65631000,101513000,404140000,79986000
32,Short-Term Investments,- -,- -,- -,- -,210645000
33,Cash and Short-Term Investments,- -,65631000,101513000,404140000,290631000
34,Net Receivables,- -,17238000,27011000,44761000,49451000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,13152000,16793000,26409000,29767000
37,Total Current Assets,- -,96021000,145317000,475310000,369849000
38,PP&E,- -,2888000,2993000,4156000,11070000
39,Goodwill,- -,865000,50672000,50672000,94967000
40,Intangible Assets,- -,1171000,17415000,10656000,26221000
41,Intangible Assets,- -,2036000,68087000,61328000,121188000
42,Investments,- -,- -,- -,- -,65866000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,12620000,21364000,29713000,34158000
45,Total Non-Current Assets,- -,17544000,92444000,95197000,232282000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,113565000,237761000,570507000,602131000
48,Accounts Payable,- -,3667000,6151000,4832000,7755000
49,Short-Term Debt,- -,- -,- -,- -,4619000
50,Tax Payable,- -,2492000,1773000,1382000,2022000
51,Deferred Revenue,- -,60518000,85715000,102625000,131329000
52,Other Current Liabilities,- -,10662000,20371000,23316000,25425000
53,Total Current Liabilities,- -,74847000,112237000,130773000,169128000
54,Long-Term Debt,- -,- -,- -,- -,2346000
55,Deferred Revenue,- -,5549000,2970000,4076000,5944000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,235633000,343128000,4246000,5744000
58,Total Non-Current Liabilities,- -,241182000,346098000,8322000,14034000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,6965000
61,Total Liabilities,- -,316029000,458335000,139095000,183162000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,2000,10000,11000
64,Retained Earnings,- -,-225357000,-317494000,-397791000,-521156000
65,Other Comprehensive Income/Loss,- -,-97000,-213000,-45000,-4333000
66,Other Total Stockholders Equity,- -,22989000,97131000,829238000,- -
67,Total Stockholders Equity,- -,-202464000,-220574000,431412000,418969000
68,Total Liabilities And Stockholders Equity,- -,113565000,237761000,570507000,602131000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,113565000,237761000,570507000,602131000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1643269/000164326921000006/0001643269-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1643269/000164326922000007/0001643269-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-32435000,-47789000,-92137000,-80297000,-123365000
74,Depreciation and Amortization,2124000,2013000,4345000,8298000,14181000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,2830000,6577000,22034000,40951000,54146000
77,Change in Working Capital,15926000,11831000,11906000,311457000,978000
78,Accounts Receivable,-4991000,372000,-9352000,-17809000,-4194000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,4163000,-1423000,732000,-1345000,2825000
81,Other Working Capital,9343000,21174000,33080000,344537000,4459000
82,Other Non-Cash Items,5027000,5241000,5283000,-327588000,23569000
83,Cash Provided by Operating Activities,-6528000,-22127000,-48569000,-47179000,-30491000
84,CAPEX,-1609000,-1544000,-7656000,-2343000,-2440000
85,Acquisitions Net,- -,- -,- -,- -,-40340000
86,Purchases of Investments,- -,- -,- -,- -,-424724000
87,Sales/Maturities of Investments,- -,- -,- -,- -,144239000
88,Other Investing Activites,-2530000,-1077000,-21317000,-1205000,-182000
89,Cash Used for Investing Activites,-2959000,-1544000,-23385000,-2343000,-323265000
90,Debt Repayment,- -,- -,- -,-24250000,- -
91,Common Stock Issued,895000,1804000,4081000,349166000,- -
92,Common Stock Repurchased,-13000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,74104000,-150000,104054000,27070000,30210000
95,Cash Used/Provided by Financing Activities,74986000,1654000,108135000,351986000,30210000
96,Effect of Forex Changes on Cash,133000,-205000,-39000,163000,-608000
97,Net Change In Cash,65632000,-22222000,36142000,302627000,-324154000
98,Cash at the End of Period,87893000,65671000,101813000,404440000,80286000
99,Cash at the Beginning of Period,22261000,87893000,65671000,101813000,404440000
100,Free Cash Flow,-8137000,-23671000,-56225000,-49522000,-32931000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1643269/000164326921000006/0001643269-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1643269/000164326922000007/0001643269-22-000007-index.htm
102,false,,,,,
