,https://roic.ai/company/AUSI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-200000,-200000,-2300000,- -,- -,- -,- -,- -,- -,- -,- -,-2350269,-11946181,-194186002,-24403371,-20929971,-26826435,- -,- -,- -,- -,- -,- -,- -,- -,-11196018,-14153704,-15147848,-13957451,-12287252,-6604967,-7731333,1700649,-4456402,-2596986,843328
21,Income Before Tax Ratio,-0.5000,-0.1250,-4.6000,- -,- -,- -,- -,- -,- -,- -,- -,-0.0214,-0.0874,-2.3821,-4.2160,-8.3303,-8.6084,- -,- -,- -,- -,- -,- -,- -,- -,-3.2547,-4.2427,-5.5743,-5.9718,-10.6308,-36.0864,-Infinity,Infinity,-113.4695,-3.1594,7.3382
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570484,-1256046,-570651,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9880,800
23,Net Income,-200000,-200000,-2300000,-1600000,-3400000,-5000000,-4800000,-9600000,-10600000,-2600000,-26087090,-2920753,-11636540,-149741582,-9465956,-20929971,-24936895,-16140873,-13584875,-28274663,6864488,-6168447,-8960486,-9843962,-16092777,-11196018,-14153704,-15147848,-13957451,-12287252,-6604967,-7731333,1700649,-4456401,-2606866,842528
24,Net Income ratio,-0.5000,-0.1250,-4.6000,-0.5714,-0.3736,-0.6024,-0.4324,-0.8727,-0.6463,-0.0588,-0.3384,-0.0266,-0.0851,-1.8369,-1.6354,-8.3303,-8.0021,-14.6234,-7.2868,-11.1960,3.9089,-3.7981,-3.1448,-4.0753,-5.0059,-3.2547,-4.2427,-5.5743,-5.9718,-10.6308,-36.0864,-Infinity,Infinity,-113.4695,-3.1714,7.3312
25,EPS,-0.00,-0.00,-0.50,-0.35,-0.74,-1.09,-1.04,-2.08,-2.30,-0.56,-1135.52,-94.63,-354.85,-4127.16,-189.25,-189.25,-189.25,-94.63,-70.97,-141.94,15.68,-1.75,-1.96,-1.68,-2.31,-1.40,-1.47,-1.47,-1.12,-0.77,-0.42,-0.49,0.09,-0.10,-0.05,0.01
26,EPS Diluted,-0.00,-0.00,-0.50,-0.35,-0.74,-1.09,-1.04,-2.08,-2.30,-0.56,-1135.52,-94.63,-354.85,-4127.16,-189.25,-189.25,-189.25,-94.63,-70.97,-141.94,15.68,-1.75,-1.96,-1.68,-2.31,-1.40,-1.47,-1.47,-1.12,-0.77,-0.42,-0.49,0.08,-0.10,-0.05,0.01
27,Weighted Average Shares Outstanding,80604800,80604800,4607552,4607552,4607552,4607552,4607552,4607552,4607552,4607552,22767,28927,33413,36282,52540,110568,138475,175791,182157,184004,437601,3587732,4607552,5959559,6899195,7941684,9558935,10429884,12111501,15648927,16148759,16275041,18783272,45648202,54762456,61675566
28,Weighted Average Shares Outstanding Diluted,80604800,80604800,4607552,4607552,4607552,4607552,4607552,4607552,4607552,4607552,22767,28927,33413,36282,52540,110568,138475,175791,182157,184004,437601,3587732,4607552,5959559,6899195,7941684,9558935,10429884,12111501,15648927,16148759,16275041,21534535,45648202,54762456,61741854
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826253/000082625309000025/0000826253-09-000025-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826253/000082625312000007/0000826253-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000082625313000014/0000826253-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000082625314000018/0000826253-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390017009769/0001213900-17-009769-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390017009780/0001213900-17-009780-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390017009788/0001213900-17-009788-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390018007594/0001213900-18-007594-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390019010683/0001213900-19-010683-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390020017386/0001213900-20-017386-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390021030229/0001213900-21-030229-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,700000,- -,400000,900000,2900000,2700000,4600000,3800000,21900364,7112354,6079411,3822210,260437,1265912,1143396,163693,83200,61376,472482,1051259,37532,317256,45294,104815,6260,89196,40927,34855,22175,255869,748008,358209,19807,390702
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,700000,- -,400000,900000,2900000,2700000,4600000,3800000,21900364,7112354,6079411,3822210,260437,1265912,1143396,163693,83200,61376,472482,1051259,37532,317256,45294,104815,6260,89196,40927,34855,22175,255869,748008,358209,19807,390702
34,Net Receivables,- -,- -,- -,- -,2100000,2800000,3600000,5700000,7200000,28300000,37512564,53743698,54418141,8630414,6016207,2467898,236283,620989,682302,637436,87808,249984,787054,319249,313671,296297,794704,279550,125593,58957,2115,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,2800000,800000,1200000,1300000,2700000,13000000,23883964,33847296,58713875,18477058,11189227,9756399,5006424,1414500,809659,802003,615000,750000,1500000,1500000,1500000,1000000,1000000,1000000,1000000,- -,- -,- -,- -,- -,90037,94166
36,Other Current Assets,- -,- -,- -,- -,600000,2500000,100000,300000,7900000,3800000,9257060,8086629,20090431,5560180,360177,452940,228758,166589,259089,696157,2724554,243854,266184,255620,241749,450843,535768,235034,100952,60597,16282,2894,42165,59849,1486,115202
37,Total Current Assets,- -,- -,700000,- -,5900000,7000000,7800000,10000000,22400000,48900000,92553952,102789977,139301858,36489862,17826048,13943149,6614861,2365771,1834250,2196972,3899844,2295097,2590770,2392125,2100714,1851955,2336732,1603780,1267472,154409,40572,258763,790173,418058,111330,600070
38,PP&E,- -,- -,300000,- -,9900000,9900000,10400000,10700000,10600000,17300000,23313235,43190789,54779085,36981965,27035055,20322159,10374481,7343511,6939429,6588996,26669,58517,193905,353444,557838,380842,198138,40470,7955,945,- -,- -,- -,- -,- -,1182923
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6540990,6146642,5383208,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1300000,2000000,2294059,2905870,6410771,5293278,4615769,- -,- -,2753603,610238,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1300000,2000000,2294059,9446860,12557413,10676486,4615769,3370263,3061932,2753603,610238,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,7782545,4519809,3964864,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,250000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,200000,- -,1700000,1900000,2000000,2000000,3300000,5300000,15919322,27100773,20664273,5995079,6645606,7642472,8710716,10304981,594271,- -,- -,3195523,2473952,2545978,2140194,2274013,1604000,1446086,220174,100138,90213,3500,- -,- -,- -,159595
45,Total Non-Current Assets,- -,- -,500000,- -,11600000,11800000,12400000,12700000,15200000,24600000,41526616,79738422,88000771,53653530,38296430,31334894,22147129,21402095,15926483,11108805,3991533,3254040,2667857,2899422,2698032,2654855,1802138,1486556,228129,101083,90213,3500,250000,250000,- -,1342518
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1200000,- -,17500000,18800000,20200000,22700000,37600000,73500000,134080568,182528399,227302629,90143392,56122478,45278043,28761990,23767866,17760733,13305777,7891377,5549137,5258627,5291547,4798746,4506810,4138870,3090336,1495601,255492,130785,262263,1040173,668058,111330,1942588
48,Accounts Payable,- -,- -,- -,- -,2400000,2500000,1500000,4300000,3700000,7700000,16247434,23716251,43995364,22515842,4216004,3463146,3032134,2753503,2778366,3322137,590577,216225,708359,1075202,1130276,1945372,770507,1202382,2077513,1889453,1823776,4943559,5377259,2704270,2537061,1880172
49,Short-Term Debt,- -,- -,- -,- -,2400000,2600000,100000,200000,100000,500000,3378758,14859567,31147572,10787113,11149531,14300594,3913623,13305103,10674025,14417509,48766,611411,1334221,2025000,5697500,10520852,13793455,3508499,23857918,28568763,33518079,41544086,10099202,10703266,12317677,12363346
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160500,160875,164625,164625,- -,- -,- -,- -,336308,57211,12598,80641,464067,641751,641751,503632,1136542,440331,440331
52,Other Current Liabilities,- -,- -,1100000,- -,- -,1200000,1300000,1900000,7200000,6900000,1564878,1903444,3990027,8056783,1634300,1284754,2181657,1772936,2232229,18630848,528192,634717,529876,1456529,2633375,2632856,1019959,18867206,3385937,4524919,5389883,5939251,5492600,3383369,3716227,1398694
53,Total Current Liabilities,- -,- -,1100000,- -,4800000,6300000,2900000,6400000,11000000,15100000,21191070,40479262,79132963,41359738,16999835,19048494,9127414,17992042,15845495,36535119,1332160,1462353,2572456,4556731,9461151,15435388,15641132,23590685,29402009,35447202,41373489,53068647,21472693,17927447,19011296,16082543
54,Long-Term Debt,- -,- -,700000,- -,5600000,6700000,- -,5600000,5100000,4100000,11662900,12112900,17612900,36481782,- -,- -,- -,40275,4871804,- -,2476234,1983118,1889777,500000,500000,500000,96786,1097937,3363603,3373374,3927347,- -,4232977,4421647,4402971,5609795
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,- -,100000,- -,1700000,3400000,3400000,- -,2063492,4458650,3282003,25955529,37606635,24184514,6981843,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,-2,-1,1
58,Total Non-Current Liabilities,- -,- -,800000,- -,5700000,6700000,1700000,9000000,8500000,4100000,13726392,16571550,20894903,62437311,37606635,24184514,6981843,40275,4871804,- -,2476234,1983118,1889777,500000,500000,500000,96786,1097937,3363603,3373374,3927347,- -,4232976,4421645,4402970,5609796
59,Other Liabilities,- -,- -,- -,- -,- -,- -,3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1046902
61,Total Liabilities,- -,- -,1900000,- -,10500000,13000000,4700000,15400000,19500000,19200000,34917462,57050812,100027866,103797049,54606470,43233008,16109257,18032317,20717299,36535119,3808394,3445471,4462233,5056731,9961151,15935388,15737918,24688622,32765612,38820576,45300836,53068647,25705669,22349092,23414266,21692339
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2956,12813,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2200000,- -,- -,- -,- -,- -,- -,- -,166845201,196039793,199100614,218693245,234196092,264787864,300332457,2154544,5257502,5298259,2428,2870,3778,4634,5268,6072,7194,7660,8891,11304,11304,11399,14996,5210,5639,7109
64,Retained Earnings,- -,- -,-2700000,- -,-7700000,-12600000,-17400000,-27100000,-37700000,-41600000,-67682095,-70562206,-82198746,-231980970,-241496926,-262376897,-287679724,-303820597,-317405473,-345856958,-338992470,-345160917,-354121403,-363965365,-380058142,-391254160,-405407864,-420555713,-434513163,-448981080,-455586047,-463317380,-461616731,-466073131,-466726027,-465883499
65,Other Comprehensive Income/Loss,- -,- -,-100000,- -,-500000,-1000000,-1600000,-2500000,-3500000,-5200000,-6698849,-9676454,-11888586,-10994734,-15184362,-20966852,-5935475,- -,- -,- -,- -,-2244136,-704671,-2339415,-2477861,-1231651,-1414354,-1572023,-1119458,-1126468,-1127413,-1127413,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,15200000,19400000,34500000,36900000,59300000,101100000,6698849,9676454,22261481,10628802,24001204,20600920,5935475,306378229,308530590,316662653,343073025,349505849,355618690,366534962,377368330,381051161,395215976,400521790,404353719,411531160,411532105,411627010,436936239,444386887,443417452,446126640
67,Total Stockholders Equity,- -,- -,-700000,- -,7000000,5800000,15500000,7300000,18100000,54300000,99163106,125477587,127274763,-13653657,1516008,2045035,12652733,4712176,-3614425,-23883233,4082983,2103666,796394,234816,-5162405,-11428578,-11599048,-21598286,-31270011,-38565084,-45170051,-52806384,-24665496,-21681034,-23302936,-19749750
68,Total Liabilities And Stockholders Equity,- -,- -,1200000,- -,17500000,18800000,20200000,22700000,37600000,73500000,134080568,182528399,227302629,90143392,56122478,45278043,28761990,22744493,17102874,12651886,7891377,5549137,5258627,5291547,4798746,4506810,4138870,3090336,1495601,255492,130785,262263,1040173,668058,111330,1942589
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1023373,657859,653891,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1
70,Total Liabilities & Equity,- -,- -,1200000,- -,17500000,18800000,20200000,22700000,37600000,73500000,134080568,182528399,227302629,90143392,56122478,45278043,28761990,23767866,17760733,13305777,7891377,5549137,5258627,5291547,4798746,4506810,4138870,3090336,1495601,255492,130785,262263,1040173,668058,111330,1942588
71,SEC Link,undefined,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826253/000082625309000025/0000826253-09-000025-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826253/000082625312000007/0000826253-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000082625313000014/0000826253-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000082625314000018/0000826253-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390017009769/0001213900-17-009769-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390017009780/0001213900-17-009780-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390017009788/0001213900-17-009788-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390018007594/0001213900-18-007594-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390019010683/0001213900-19-010683-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390020017386/0001213900-20-017386-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390021030229/0001213900-21-030229-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-200000,-2300000,- -,-3400000,-5000000,-4800000,-9600000,-10600000,-2600000,-26087090,-2920753,-11636540,-149741582,-9465956,-20929971,-24936895,-16140873,-13584875,-28274663,6864488,-6168447,-8960486,-9843962,-16092777,-11196018,-14153704,-15147848,-13957451,-12287252,-6604967,-7731333,1700649,-4456401,-2606866,842528
74,Depreciation and Amortization,- -,20000,70000,- -,-500000,-700000,-900000,-1100000,-1600000,-3200000,4246133,4797436,8362110,12985278,6853924,7619979,5868089,966852,571734,416161,65091,30948,35462,78980,138448,186594,182703,157668,32515,7010,945,- -,- -,- -,- -,743
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,6209181,976158,4528059,2038520,1037647,3728176,- -,- -,- -,- -,- -,193750
77,Change in Working Capital,- -,-400000,-400000,- -,-300000,-400000,4200000,-1300000,7800000,22400000,37562882,-9052167,-2141820,-65038771,5696089,-5931558,2592792,-13113718,1615026,-20326902,36905831,-1734940,-814430,-2182920,-5195831,-6222996,279033,-8682505,-6147632,-7158256,-6040124,-11476967,32127364,3173131,-1390577,3417493
78,Accounts Receivable,- -,- -,- -,- -,900000,-800000,-400000,-1800000,-1200000,-22100000,- -,- -,- -,- -,- -,- -,- -,-437534,-271585,12732,460946,- -,- -,438621,-20072,-44457,-505954,525153,82639,96762,56842,2115,- -,- -,- -,99839
79,Inventory,- -,- -,- -,- -,-200000,-200000,-400000,- -,-1500000,-10300000,-10844934,-9410343,-24866579,40236817,4019810,1432828,249975,636110,130614,895628,302760,214576,-81104,875246,619149,472416,1213338,441274,182216,- -,- -,- -,- -,- -,-90037,-4129
80,Accounts Payable,- -,- -,- -,- -,1100000,900000,-600000,2800000,-600000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-400000,- -,1100000,700000,4900000,3600000,11400000,33800000,71362882,62310715,60168895,-4869876,826213,-5105345,-2512553,-15626271,-14011245,-34338147,2567684,832744,18314,-2164606,-7360437,-13583433,-13304400,-21986905,-28134537,-35292793,-41332917,-52809884,-20682520,-17509389,-18899966,-15482473
82,Other Non-Cash Items,- -,-40000,830000,- -,1300000,2600000,-3200000,5900000,-5200000,-44900000,-52126074,-7731815,-24206402,177481075,-18652974,5907243,7740006,18507177,4675843,41345675,-48401192,4638923,2404860,5535932,8655530,10103394,1932334,15474072,13171902,11940337,10968401,18242510,-36637496,-1182029,3203688,-6343309
83,Cash Provided by Operating Activities,- -,-620000,-1800000,- -,-2900000,-3500000,-4700000,-6100000,-9600000,-28300000,-36404149,-14907299,-29622652,-24314000,-15568917,-13334307,-8736008,-9780562,-6722272,-6839729,-4565782,-3233516,-7334594,-6311970,-6285449,-6152868,-7231575,-6160093,-5863019,-3769985,-1675745,-965790,-2809483,-2465299,-793755,-1888795
84,CAPEX,- -,-380000,-20000,- -,-9300000,-400000,-500000,-600000,-400000,-5300000,-7301729,-25146585,-22308512,-4053848,-16103,-38200,-255733,-6491,-24684,- -,- -,-62796,-170850,-238519,-342841,-9598,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15614
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2439106,-4264753,6674794,1447407,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,-4165000,-2430756,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,415000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,60000,- -,- -,- -,- -,100000,900000,-1300000,-700000,-4414344,-2164742,-1152439,2176436,6001937,3788502,151557,1702316,174053,- -,- -,7750,1500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-320000,-20000,- -,-9300000,-400000,-400000,100000,-1700000,-5000000,-18320179,-34006836,-12484039,-430005,5985834,3750302,-104176,1695825,564369,- -,- -,-55046,-169350,-238519,-342841,-9598,- -,- -,- -,- -,- -,- -,-250000,- -,- -,-15614
