,https://roic.ai/company/EXPR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,320029000,176115000,234404000,187800000,152400000,256300000,311900000,346159000,186903000,207373000,236222000,171670000,207139000,55874000,41176000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,320029000,176115000,234404000,187800000,152400000,256300000,311900000,346159000,186903000,207373000,236222000,171670000,207139000,55874000,41176000
34,Net Receivables,5931000,6563000,4377000,9900000,9000000,11000000,17400000,23272000,22130000,15787000,12084000,18869000,13824000,125898000,11744000
35,Inventory,164649000,170202000,171704000,185200000,213100000,215100000,212500000,241063000,255350000,241424000,260728000,267766000,220303000,264360000,358795000
36,Other Current Assets,28079000,28137000,26163000,44400000,41700000,33500000,41700000,43742000,49036000,49549000,55098000,53723000,29423000,28378000,79022000
37,Total Current Assets,518688000,381017000,436648000,427300000,416200000,515900000,583500000,654236000,513419000,514133000,564132000,512028000,470689000,474510000,490737000
38,PP&E,279729000,253482000,215237000,211300000,227300000,278400000,376100000,407607000,444397000,451286000,405013000,364279000,1258546000,977983000,763444000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,196144000,197394000,197414000,197400000,197500000,199700000,198900000,197562000,197850000,197822000,197773000,197724000,57000,- -,- -
41,Intangible Assets,196144000,197394000,197414000,197400000,197500000,199700000,198900000,197562000,197850000,197822000,197773000,197724000,57000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,12371000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,31256000,28520000,20255000,26700000,25300000,25200000,24200000,6374000,22978000,21948000,20006000,12596000,61447000,5964000,5273000
45,Total Non-Current Assets,507129000,479396000,432906000,435400000,450100000,503300000,599200000,623914000,665225000,671056000,622792000,574599000,1320050000,983947000,768717000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1025817000,860413000,869554000,862700000,866300000,1019200000,1182700000,1278150000,1178644000,1185189000,1186924000,1086627000,1790739000,1458457000,1259454000
48,Accounts Payable,180988000,147438000,150924000,85800000,133700000,176100000,154700000,153745000,149884000,172668000,145589000,155913000,126863000,150230000,231974000
49,Short-Term Debt,- -,75000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226174000,203441000,207844000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53665000
51,Deferred Revenue,22934000,21601000,22247000,25067000,27684000,27851000,28436000,28575000,30895000,29428000,28920000,40466000,38227000,32430000,35985000
52,Other Current Liabilities,59295000,65430000,96117000,185933000,133916000,108849000,116064000,105139000,126624000,80301000,122883000,78313000,76211000,128952000,110850000
53,Total Current Liabilities,263217000,309469000,269288000,296800000,295300000,312800000,299200000,287459000,307403000,282397000,297392000,274692000,467475000,515053000,586653000
54,Long-Term Debt,123125000,422228000,415513000,366200000,198500000,198800000,199200000,199527000,- -,- -,- -,65100000,- -,914981000,654486000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,114509000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,12070000,21132000,38925000,- -,78041000,6765000,4951000,2059000,6000,- -,- -
57,Other Non-Current Liabilities,24185000,31617000,95395000,69600000,79330000,115268000,56266000,234825000,175247000,260340000,236267000,159598000,916956000,18734000,17007000
58,Total Non-Current Liabilities,147310000,453845000,510908000,435800000,289900000,335200000,408900000,434352000,253288000,267105000,241218000,226757000,916962000,933715000,671493000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1123478000,926390000,- -
61,Total Liabilities,410527000,763314000,780196000,732600000,585200000,648000000,708100000,721811000,560691000,549502000,538610000,501449000,1384437000,1448768000,1258146000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,887000,900000,900000,900000,900000,904000,911000,921000,926000,936000,936000,936000,936000
64,Retained Earnings,-40399000,-69435000,-17544000,52000000,192700000,331900000,448500000,516785000,633298000,690715000,704395000,713864000,533690000,114732000,77093000
65,Other Comprehensive Income/Loss,-44447000,-115809000,-180714000,-236800000,-7000,-20000,-728000,-3057000,-4665000,-3803000,-642434000,- -,-731309000,- -,- -
66,Other Total Stockholders Equity,700136000,282343000,286729000,314062000,87554000,38382000,25897000,41707000,-11591000,-52146000,591113000,-129622000,602985000,-105979000,1308000
67,Total Stockholders Equity,615290000,97099000,89358000,130162000,281147000,371162000,474569000,556339000,617953000,635687000,654000000,585178000,406302000,9689000,1308000
68,Total Liabilities And Stockholders Equity,1025817000,860413000,869554000,862762000,866347000,1019162000,1182669000,1278150000,1178644000,1185189000,1192610000,1086627000,1790739000,1458457000,1259454000
69,Minority Interest,- -,- -,- -,-62000,-47000,38000,31000,- -,- -,- -,-5686000,- -,- -,- -,- -
70,Total Liabilities & Equity,1025817000,860413000,869554000,862700000,866300000,1019200000,1182700000,1278150000,1178644000,1185189000,1186924000,1086627000,1790739000,1458457000,1259454000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1483510/000119312511073120/d10k.htm,https://www.sec.gov/Archives/edgar/data/1483510/000148351012000013/0001483510-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351013000014/0001483510-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351014000045/0001483510-14-000045-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351015000046/expr10-kfy2014.htm,https://www.sec.gov/Archives/edgar/data/1483510/000148351016000197/0001483510-16-000197-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351017000036/0001483510-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351018000010/0001483510-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351019000014/0001483510-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351020000018/0001483510-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351021000009/0001483510-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1483510/000148351022000015/0001483510-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-10457000,-29036000,75307000,127400000,140700000,139300000,116500000,68325000,116513000,58340000,18873000,9630000,-164358000,-405449000,-14436000
74,Depreciation and Amortization,74298000,81410000,72434000,68557000,68102000,67727000,69810000,76437000,74904000,82144000,90221000,85853000,85383000,73698000,67622000
75,Deferred Income Tax,-5404000,-234000,-337000,-19015000,-320000,3937000,-807000,6291000,-10700000,20065000,-912000,536000,-49561000,54967000,- -
76,Stock Based Compensation,1778000,2072000,2048000,5296000,10089000,16308000,21174000,19326000,18438000,12858000,14008000,13114000,8177000,9462000,9809000
77,Change in Working Capital,262283000,-183923000,95812000,-36860000,-9600000,82200000,81200000,82477000,-160761000,25720000,35004000,-29404000,-234122000,-43757000,-55373000
78,Accounts Receivable,- -,- -,- -,- -,- -,-1991000,-6508000,-5724000,1097000,6371000,3279000,-5284000,6545000,-3732000,- -
79,Inventory,71275000,-5553000,-1502000,-13505000,-23741000,-1997000,2133000,-28989000,-14625000,14144000,-28954000,-7038000,47463000,-44057000,-94435000
80,Accounts Payable,182934000,-31527000,34216000,40069000,- -,17564000,-29870000,-886000,17705000,-15857000,-12862000,-21097000,-32339000,68275000,68304000
81,Other Working Capital,255471000,71548000,167360000,130500000,120900000,203100000,284300000,366777000,206016000,231736000,266740000,237336000,3214000,-40543000,-95916000
82,Other Non-Cash Items,5606000,164945000,-44543000,74580000,3638000,-40108000,-92802000,-96286000,191209000,-12419000,-38627000,-6012000,445191000,-12547000,81758000
83,Cash Provided by Operating Activities,328104000,35234000,200721000,219958000,212609000,269364000,195075000,156570000,229603000,186708000,118567000,73717000,90710000,-323626000,89380000
84,CAPEX,-38146000,-51801000,-26873000,-54843000,-77236000,-99884000,-105462000,-116098000,-115378000,-98733000,-57435000,-49778000,-37039000,-16854000,-34771000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10133000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-38146000,-51801000,-26873000,-54843000,-77236000,-99884000,-105462000,-116098000,-115378000,-98733000,-66667000,-49778000,-37039000,-16854000,-34771000
89,Cash Used for Investing Activites,-38146000,-51801000,-26873000,-54843000,-77236000,-99884000,-105462000,-116098000,-115378000,-108866000,-66667000,-49778000,-37039000,-16854000,-34771000
90,Debt Repayment,-625000,-1250000,-82118000,-301563000,-169789000,-55000,-313000,-1478000,-199590000,-1595000,-1710000,-1860000,-90000,-58950000,-219050000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-24000,-3000,- -,-103000,-66541000,-37929000,-3509000,-73024000,-56137000,-18863000,-85881000,-17213000,-626000,-3754000
93,Dividends Paid,- -,- -,- -,-49514000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10047000,-126073000,-33438000,139320000,-883000,1045000,4911000,49000,617000,-539000,-2040000,-750000,-899000,248791000,153497000
95,Cash Used/Provided by Financing Activities,9422000,-127347000,-115559000,-211757000,-170775000,-65551000,-33331000,-4938000,-271997000,-58271000,-22613000,-88491000,-18202000,189215000,-69307000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,2000,6000,-695000,-1259000,-1484000,899000,-438000,- -,- -,- -,- -
97,Net Change In Cash,299380000,-143914000,58289000,-46642000,-35400000,103935000,55587000,34275000,-159256000,20470000,28849000,-64552000,35469000,-151265000,-14698000
98,Cash at the End of Period,320029000,176115000,234404000,187762000,152362000,256297000,311884000,346159000,186903000,207373000,236222000,171670000,207139000,55874000,41176000
99,Cash at the Beginning of Period,20649000,320029000,176115000,234404000,187762000,152362000,256297000,311884000,346159000,186903000,207373000,236222000,171670000,207139000,55874000
100,Free Cash Flow,289958000,-16567000,173848000,165115000,135373000,169480000,89613000,40472000,114225000,87975000,61132000,23939000,53671000,-340480000,54609000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1483510/000119312511073120/d10k.htm,https://www.sec.gov/Archives/edgar/data/1483510/000148351012000013/0001483510-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351013000014/0001483510-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351014000045/0001483510-14-000045-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351015000046/expr10-kfy2014.htm,https://www.sec.gov/Archives/edgar/data/1483510/000148351016000197/0001483510-16-000197-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351017000036/0001483510-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351018000010/0001483510-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351019000014/0001483510-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351020000018/0001483510-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1483510/000148351021000009/0001483510-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1483510/000148351022000015/0001483510-22-000015-index.htm
102,false,,,,,,,,,,,,,,,
