,https://roic.ai/company/BRQS,2015,2016,2017,2018,2019,2020
68,Total Liabilities And Stockholders Equity,- -,60425961,149529000,80688000,61192000,29465000
69,Minority Interest,- -,- -,-797000,-296000,-4394000,-113000
70,Total Liabilities & Equity,- -,60425961,148732000,80392000,56798000,29352000
71,SEC Link,undefined,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,-392286,-12569000,-71764000,-34409000,-35502000
74,Depreciation and Amortization,- -,- -,4679000,6483000,6077000,5579000
75,Deferred Income Tax,- -,- -,937000,1572000,-978000,-1003000
76,Stock Based Compensation,- -,- -,14667000,976000,2988000,19994000
77,Change in Working Capital,- -,93446,-24503000,25829000,4476000,3586000
78,Accounts Receivable,- -,- -,-36168000,44502000,-1204000,1560000
79,Inventory,- -,- -,-4349000,9225000,2472000,2202000
80,Accounts Payable,- -,- -,26999000,-29138000,2051000,-2984000
81,Other Working Capital,- -,- -,-9065000,-2562000,-568000,465000
82,Other Non-Cash Items,- -,-77198,1850000,39485000,14473000,-713000
83,Cash Provided by Operating Activities,- -,-376038,-14939000,2581000,-7373000,-8059000
84,CAPEX,- -,- -,-8492000,-5730000,-4534000,-213000
85,Acquisitions Net,- -,- -,- -,- -,3799000,4172000
86,Purchases of Investments,- -,-59800000,- -,- -,-1497000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,5296000,- -
88,Other Investing Activites,- -,- -,-7278000,-4106000,-8216000,-141000
89,Cash Used for Investing Activites,- -,-59800000,-8120000,-4261000,-735000,3959000
90,Debt Repayment,- -,- -,-7387000,-6594000,-13298000,-7905000
91,Common Stock Issued,- -,60975000,62000,- -,10399000,- -
92,Common Stock Repurchased,- -,- -,- -,-10070000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-337073,39186000,5124000,14500000,6550000
95,Cash Used/Provided by Financing Activities,- -,60637927,31861000,-11540000,11601000,-1355000
96,Effect of Forex Changes on Cash,- -,- -,648000,-324000,1840000,228000
97,Net Change In Cash,- -,60637927,9450000,-13544000,3037000,-5227000
98,Cash at the End of Period,- -,461889,13060000,2975000,6012000,3081000
99,Cash at the Beginning of Period,- -,- -,3610000,16519000,2975000,8308000
100,Free Cash Flow,- -,-376038,-23431000,-3149000,-11907000,-8272000
101,SEC Link,undefined,- -,- -,- -,- -,- -
102,false,,,,,,
