,https://roic.ai/company/ATXS,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-18118000,-21884000,-32630000,-36060000,-27364000,-25870000,-26293000,-37300000,-194912000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-54.7280,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-125.45,-155.40,-243.60,-133.20,-75.60,-30.72,-14.10,-12.18,-49.16
26,EPS Diluted,-125.45,-155.40,-243.60,-133.20,-75.60,-30.72,-14.10,-12.18,-49.16
27,Weighted Average Shares Outstanding,144422,140624,134032,270503,361359,842472,1866513,3058584,4462586
28,Weighted Average Shares Outstanding Diluted,144422,140624,134032,270503,361359,842472,1866513,3058584,4462586
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1454789/000110465921051616/0001104659-21-051616-index.htm,https://www.sec.gov/Archives/edgar/data/1454789/000110465922032475/0001104659-22-032475-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,30474000,14668000,62780000,23596000,16369000,15294000,9899000,24930000,86508000
32,Short-Term Investments,- -,- -,- -,14931000,- -,22276000,26345000,20000000,- -
33,Cash and Short-Term Investments,30474000,14668000,62780000,38527000,16369000,37570000,36244000,44930000,86508000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,107000,354000,804000,1001000,1094000,1345000,2714000,1395000,40567000
37,Total Current Assets,30581000,15022000,63584000,39528000,17463000,38915000,38958000,46325000,127075000
38,PP&E,308000,288000,504000,568000,321000,56000,2349000,966000,394000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,39000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,113000,654000,135000,113000,113000,198000,473000,165000,-38955000
45,Total Non-Current Assets,421000,942000,639000,681000,434000,254000,2822000,1131000,439000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,31002000,15964000,64223000,40209000,17897000,39169000,41780000,47456000,127514000
48,Accounts Payable,651000,1132000,1328000,1405000,773000,1408000,1197000,1544000,1557000
49,Short-Term Debt,- -,309000,3205000,3243000,2479000,- -,1225000,649000,365000
50,Tax Payable,- -,- -,- -,- -,- -,- -,40000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2279000,2793000,3278000,3677000,2764000,2763000,2610000,4197000,3281000
53,Total Current Liabilities,2930000,4234000,7811000,8325000,6016000,4171000,5032000,6390000,5203000
54,Long-Term Debt,- -,4439000,5742000,2479000,- -,- -,1028000,397000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,80256000,80344000,177000,319000,89000,56000,- -,- -,- -
58,Total Non-Current Liabilities,80256000,84783000,5919000,2798000,89000,56000,1028000,397000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,2253000,1046000,- -
61,Total Liabilities,83186000,89017000,13730000,11123000,6105000,4227000,6060000,6787000,5203000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,15000,19000,24000,7000,12000,20000,13000
64,Retained Earnings,-53496000,-75380000,-108010000,-144070000,-171434000,-197304000,-223597000,-260897000,-455809000
65,Other Comprehensive Income/Loss,- -,- -,- -,-4000,- -,-4000,- -,- -,- -
66,Other Total Stockholders Equity,- -,2326000,158488000,173141000,183202000,232243000,259305000,301546000,578107000
67,Total Stockholders Equity,-52184000,-73053000,50493000,29086000,11792000,34942000,35720000,40669000,122311000
68,Total Liabilities And Stockholders Equity,31002000,15964000,64223000,40209000,17897000,39169000,41780000,47456000,127514000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,31002000,15964000,64223000,40209000,17897000,39169000,41780000,47456000,127514000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1454789/000110465921051616/0001104659-21-051616-index.htm,https://www.sec.gov/Archives/edgar/data/1454789/000110465922032475/0001104659-22-032475-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-18118000,-21884000,-32630000,-36060000,-27364000,-25870000,-26293000,-37300000,-194912000
74,Depreciation and Amortization,320000,248000,202000,395000,304000,119000,26000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,343000,897000,1658000,2160000,2007000,1771000,1512000,- -,- -
77,Change in Working Capital,1089000,-16863000,44985000,-24570000,-19756000,23297000,-818000,6009000,81937000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-129000,481000,196000,77000,-632000,662000,-211000,347000,- -
81,Other Working Capital,27651000,10788000,55773000,31203000,11447000,34744000,33926000,39935000,121872000
82,Other Non-Cash Items,- -,17190000,-44008000,25217000,17973000,-22782000,-996000,-1194000,112975000
83,Cash Provided by Operating Activities,-16366000,-20412000,-29793000,-32858000,-26836000,-23465000,-26569000,-32485000,- -
84,CAPEX,-43000,-228000,-421000,-459000,-57000,- -,-12000,-33000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-4976000,- -,-45539000,- -,-70364000,-155197000,-62777000,- -
87,Sales/Maturities of Investments,- -,4976000,- -,30456000,14910000,48090000,151127000,69110000,- -
88,Other Investing Activites,- -,- -,- -,52000,30000,369000,- -,- -,- -
89,Cash Used for Investing Activites,-43000,-228000,-421000,-15490000,14883000,-21905000,-4082000,6300000,- -
90,Debt Repayment,- -,- -,-833000,-3333000,-3333000,-2848000,- -,- -,- -
91,Common Stock Issued,- -,- -,61744000,11994000,8036000,47139000,25566000,40829000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-24437000
94,Other Financing Activites,41449000,4834000,17415000,503000,23000,4000,54000,31000,- -
95,Cash Used/Provided by Financing Activities,41449000,4834000,78326000,9164000,4726000,44295000,25620000,40860000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,25040000,-15806000,48112000,-39184000,-7227000,-1075000,-5031000,14675000,- -
98,Cash at the End of Period,30474000,14668000,62780000,23596000,16369000,15407000,10376000,25051000,- -
99,Cash at the Beginning of Period,5434000,30474000,14668000,62780000,23596000,16482000,15407000,10376000,25051000
100,Free Cash Flow,-16409000,-20640000,-30214000,-33317000,-26893000,-23465000,-26581000,-32518000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1454789/000110465921051616/0001104659-21-051616-index.htm,https://www.sec.gov/Archives/edgar/data/1454789/000110465922032475/0001104659-22-032475-index.htm
102,false,,,,,,,,,
