,https://roic.ai/company/AGFS,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,143728000,- -
63,Common Stock,604,208270092,5000,5000,5000,5000,5000,5000,5000
64,Retained Earnings,- -,-673955,-20640000,-132200000,-108729000,-138789000,-199621000,-244836000,-248660000
65,Other Comprehensive Income/Loss,- -,2000000,-5559000,-4373000,-12769000,-28837000,-31060000,-31667000,-46364000
66,Other Total Stockholders Equity,24396,3673291,470097000,471713000,529130000,531934000,557121000,548891000,525418000
67,Total Stockholders Equity,25000,213269428,443903000,335145000,407637000,364313000,326445000,416121000,230399000
68,Total Liabilities And Stockholders Equity,143875,221317716,1082674000,965844000,974820000,891024000,798107000,929511000,575389000
69,Minority Interest,- -,- -,- -,- -,8443000,8263000,7585000,-143728000,157173000
70,Total Liabilities & Equity,143875,221317716,1082674000,965844000,983263000,899287000,805692000,785783000,732562000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1592016/000110465915015302/a15-1918_110k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000110465916104347/a15-23269_110k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201617000006/agfs-2016x10k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201618000006/agfs-2017x10k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201619000017/agfs-20181231.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201620000028/agfs-20191231.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201621000015/0001592016-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201622000020/0001592016-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,27456000,-673955,- -,-111560000,23471000,-30060000,-60832000,-53711000,-659000
74,Depreciation and Amortization,30785000,- -,34142000,42850000,44356000,47593000,83456000,46970000,- -
75,Deferred Income Tax,-8714000,- -,-24104000,13792000,-12515000,1154000,-21631000,29251000,- -
76,Stock Based Compensation,- -,- -,1124000,3250000,1886000,2804000,2934000,3440000,- -
77,Change in Working Capital,-16082000,577842,112602033,-39455000,10524000,-5050000,3462000,20006000,2846000
78,Accounts Receivable,-16911000,- -,-42703000,-4101000,5981000,-5362000,-321000,4989000,- -
79,Inventory,-2921000,- -,73054000,-764000,-2496000,-1581000,-388000,-1745000,- -
80,Accounts Payable,- -,- -,13785000,6357000,-13889000,-10955000,6499000,4168000,- -
81,Other Working Capital,-93875,483967,113086000,73631000,84155000,79105000,82567000,102573000,105419000
82,Other Non-Cash Items,- -,-328423,-110582033,121607000,-32333000,-13429000,12670000,-19241000,-2187000
83,Cash Provided by Operating Activities,33445000,-424536,13182000,30484000,35389000,3012000,20059000,26715000,- -
84,CAPEX,-992000,- -,-516000,-6004000,-7725000,-4164000,-4176000,-2395000,- -
85,Acquisitions Net,- -,- -,-625541000,- -,-18192000,- -,- -,- -,- -
86,Purchases of Investments,- -,-220502961,- -,-600000,-11132000,-1587000,-250000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,219892000,76000,99000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-992000,-220502961,-406165000,-6528000,-36950000,-5751000,-4426000,-2395000,- -
90,Debt Repayment,- -,- -,-13120000,-4250000,-4015000,-17096000,-10285000,-132423000,- -
91,Common Stock Issued,- -,210000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-4921000,-1488000,- -,- -,- -,-7006000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-5244000,- -
94,Other Financing Activites,-32453000,11635883,470958000,-331000,-10000000,-5132000,-11762000,139814000,- -
95,Cash Used/Provided by Financing Activities,-32453000,221635883,452917000,-6069000,-14015000,-22228000,-22047000,-4859000,- -
96,Effect of Forex Changes on Cash,- -,- -,-2253000,1660000,2797000,-4714000,1379000,752000,- -
97,Net Change In Cash,- -,708386,57681000,19547000,-12779000,-29681000,-5035000,20213000,- -
98,Cash at the End of Period,- -,733386,57681000,77312000,64533000,34852000,29817000,50030000,- -
99,Cash at the Beginning of Period,- -,25000,- -,57765000,77312000,64533000,34852000,29817000,50030000
100,Free Cash Flow,32453000,-424536,11990000,24480000,27664000,-1152000,15883000,24320000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1592016/000110465915015302/a15-1918_110k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000110465916104347/a15-23269_110k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201617000006/agfs-2016x10k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201618000006/agfs-2017x10k.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201619000017/agfs-20181231.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201620000028/agfs-20191231.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201621000015/0001592016-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1592016/000159201622000020/0001592016-22-000020-index.htm
102,false,,,,,,,,,
