,https://roic.ai/company/PANW,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,9422000,16413000,26496000,36613000,73727000,108086000,112700000,197400000,270700000,397900000,579000000,760000000
53,Total Current Liabilities,- -,28660000,67101000,122006000,206102000,348171000,1032227000,846800000,1201300000,2139400000,2053300000,2691700000,5116700000
54,Long-Term Debt,- -,- -,- -,- -,- -,466875000,- -,508200000,524700000,1369700000,1430000000,3084100000,1981500000
55,Deferred Revenue,- -,7584000,22002000,49512000,95285000,162660000,289801000,536900000,805100000,1096000000,1306600000,1761100000,2282100000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,67523000,73523000,7215000,11799000,32177000,67335000,79400000,147600000,229600000,216000000,426700000,97700000
58,Total Non-Current Liabilities,- -,75107000,95525000,56727000,107084000,661712000,357136000,1124500000,1477400000,2695300000,2952600000,5271900000,4361300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336600000,313400000
61,Total Liabilities,- -,103767000,162626000,178733000,313186000,1009883000,1389363000,1971300000,2678700000,4834700000,5005900000,7963600000,9478000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2000,2000,7000,7000,8000,8000,1515500000,1599700000,1967400000,2490900000,2259200000,2311200000
64,Retained Earnings,- -,-68237000,-80765000,-80028000,-109274000,-335726000,-500708000,-726600000,-836700000,-984600000,-900900000,-1167900000,-1666800000
65,Other Comprehensive Income/Loss,- -,-2922000,-4930000,-10826000,-19476000,-30622000,-47784000,1000000,-3000000,-16000000,-4000000,11000000,-9900000
66,Other Total Stockholders Equity,- -,5509000,14239000,319918000,401163000,834923000,1124299000,- -,-400000,21500000,300000,-500000,129100000
67,Total Stockholders Equity,- -,-65648000,-71454000,229071000,272420000,468583000,575815000,789900000,759600000,988300000,1586300000,1101800000,763600000
68,Total Liabilities And Stockholders Equity,- -,38119000,91172000,407804000,585606000,1478466000,1965178000,2761200000,3438300000,5823000000,6592200000,9065400000,10241600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,38119000,91172000,407804000,585606000,1478466000,1965178000,2761200000,3438300000,5823000000,6592200000,9065400000,10241600000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1327567/000132756713000026/0001327567-13-000026-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756714000028/0001327567-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756715000027/0001327567-15-000027-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756716000064/0001327567-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756717000027/0001327567-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756718000024/0001327567-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756719000032/0001327567-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/0001327567-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/0001327567-21-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-19005000,-21133000,-12528000,737000,-29246000,-226452000,-164982000,-225900000,-216600000,-147900000,-81900000,-267000000,-498900000
74,Depreciation and Amortization,1180000,1123000,2189000,6134000,9892000,19419000,28881000,42800000,59800000,96400000,153800000,253500000,304900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,374000,869000,4733000,13837000,43704000,99774000,221315000,392800000,474500000,496700000,567700000,658400000,894500000
77,Change in Working Capital,3935000,2854000,2739000,249912000,63946000,286558000,-568352000,830497000,-97300000,1217600000,-381100000,826000000,348600000
78,Accounts Receivable,-2104000,-10712000,-15436000,-15965000,-41819000,-47949000,-76830000,-136400000,-82900000,-33000000,-108700000,-435600000,-172400000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,171000,894000,2734000,3779000,5830000,-1100000,-3498000,15100000,5900000,3700000,32300000,-12800000,-11800000
81,Other Working Capital,4146000,7000000,9739000,259651000,323597000,610155000,41803000,872300000,775000000,1992600000,1611500000,2437500000,860400000
82,Other Non-Cash Items,-7000,13604000,34969000,-193252000,26223000,-90893000,833442000,-382097000,648100000,-625800000,797100000,-435200000,453900000
83,Cash Provided by Operating Activities,-13523000,-2683000,32102000,77368000,114519000,88406000,350304000,658100000,868500000,1037000000,1055600000,1035700000,1503000000
84,CAPEX,-1045000,-1685000,-13000000,-14565000,-22442000,-36107000,-33828000,-72500000,-163400000,-112000000,-131200000,-214400000,-116000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-86000000,-15000000,- -,-91000000,-374000000,-774000000,-584000000,-777300000
86,Purchases of Investments,- -,- -,- -,- -,-345324000,-506642000,-987598000,-1037000000,-995900000,-725700000,-2984600000,-1180800000,-1958900000
87,Sales/Maturities of Investments,- -,- -,- -,- -,216201000,308127000,357548000,770600000,777400000,691800000,2063600000,2266700000,1371600000
88,Other Investing Activites,- -,- -,- -,- -,- -,274000,-128000,- -,300000,-100000,300000,500000,- -
89,Cash Used for Investing Activites,-1045000,-1685000,-13000000,-14565000,-151565000,-320348000,-679006000,-338900000,-472600000,-520000000,-1825900000,288000000,-1480600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-477400000,- -,-900000
91,Common Stock Issued,7000,7000,- -,215375000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-24000,-90000,-82000,-2776000,-132000,- -,- -,-411000000,-259100000,-330000000,-1198100000,-1178100000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,34637000,1854000,2670000,4029000,27794000,575272000,50704000,39400000,25000000,1504700000,33500000,1871100000,75000000
95,Cash Used/Provided by Financing Activities,34644000,1837000,2580000,219322000,25018000,575140000,50704000,39400000,-386000000,1245600000,-773900000,673000000,-1104000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,20076000,-2531000,21682000,282125000,-12028000,343198000,-277998000,358600000,9900000,1762600000,-1544200000,1996700000,-1081600000
98,Cash at the End of Period,21366000,18835000,40517000,322642000,310614000,653812000,375814000,734400000,744300000,2506900000,965000000,2961700000,1880100000
99,Cash at the Beginning of Period,1290000,21366000,18835000,40517000,322642000,310614000,653812000,375800000,734400000,744300000,2509200000,965000000,2961700000
100,Free Cash Flow,-14568000,-4368000,19102000,62803000,92077000,52299000,316476000,585600000,705100000,925000000,924400000,821300000,1387000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1327567/000132756713000026/0001327567-13-000026-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756714000028/0001327567-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756715000027/0001327567-15-000027-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756716000064/0001327567-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756717000027/0001327567-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756718000024/0001327567-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756719000032/0001327567-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/0001327567-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/0001327567-21-000029-index.htm
102,false,,,,,,,,,,,,,
