,https://roic.ai/company/TSE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,854668000,1119031000,1050376000,1118019000,1098035000,1033453000,995538000,976604000,1125800000,1095500000,1267700000,857000000,2733700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1691312000,2676448000,2576561000,2665696000,2574781000,2356116000,2284572000,2409490000,2772000000,2726800000,2758800000,2374000000,4712200000
48,Accounts Payable,- -,366542000,544260000,481082000,525440000,462304000,383297000,296045000,341920000,387300000,319900000,304600000,355000000,- -
49,Short-Term Debt,- -,- -,99410000,126964000,98133000,8754000,7559000,5000000,5000000,7000000,7000000,25200000,28100000,- -
50,Tax Payable,- -,99948000,32234000,9485000,11084000,9683000,9413000,20804000,23784000,35900000,16000000,5000000,10000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,- -
52,Other Current Liabilities,- -,237655000,164268000,152969000,146029000,195504000,183149000,148224000,195250000,232300000,210100000,197800000,59900000,914400000
53,Total Current Liabilities,- -,604197000,807938000,761015000,769602000,666562000,574005000,449269000,542170000,626600000,537000000,527600000,533000000,914400000
54,Long-Term Debt,- -,- -,954211000,1524406000,1355451000,1327667000,1194648000,1202798000,1160369000,1165000000,1160800000,1162600000,12000000,2374800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,10017000,67379000,41286000,40367000,26932000,27311000,25764000,24844000,49200000,45400000,41500000,- -,- -
57,Other Non-Current Liabilities,- -,102306000,120427000,129339000,208611000,210418000,239287000,217727000,237054000,256400000,214900000,358200000,1709000000,409900000
58,Total Non-Current Liabilities,- -,112323000,1142017000,1695031000,1604429000,1565017000,1461246000,1446289000,1422267000,1470600000,1421100000,1562300000,1721000000,2784700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3443000000,- -
60,Capital Lease Obligations,- -,102306000,120427000,- -,- -,- -,- -,- -,- -,- -,- -,72100000,81500000,69200000
61,Total Liabilities,- -,716520000,1949955000,2456046000,2374031000,2231579000,2035251000,1895558000,1964437000,2097200000,1958100000,2089900000,2255000000,3699100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,717000,598000,162753000,373000,488000,488000,488000,500000,500000,500000,- -,- -
64,Retained Earnings,- -,- -,-16763000,-92668000,-62386000,-84604000,-151936000,-18289000,258540000,527900000,753200000,781000000,739000000,- -
65,Other Comprehensive Income/Loss,- -,27792000,84089000,53188000,24573000,88378000,-75217000,-149717000,-170154000,-145600000,-142300000,-162400000,-186100000,-147000000
66,Other Total Stockholders Equity,- -,3208277000,658450000,159397000,166725000,339055000,547530000,556532000,356179000,292000000,157300000,49800000,37000000,- -
67,Total Stockholders Equity,- -,974792000,726493000,120515000,291665000,343202000,320865000,389014000,445053000,674800000,768700000,668900000,590300000,1013100000
68,Total Liabilities And Stockholders Equity,- -,1691312000,2676448000,2576561000,2665696000,2574781000,2356116000,2284572000,2409490000,2772000000,2726800000,2758800000,2845300000,4712200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-471300000,- -
70,Total Liabilities & Equity,- -,1691312000,2676448000,2576561000,2665696000,2574781000,2356116000,2284572000,2409490000,2772000000,2726800000,2758800000,2374000000,4712200000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1519061/000119312515085094/d824313d10k.htm,https://www.sec.gov/Archives/edgar/data/1519061/000155837016004029/0001558370-16-004029-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837017001195/0001558370-17-001195-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837018001379/0001558370-18-001379-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837019001261/0001558370-19-001261-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837020001766/0001558370-20-001766-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837021001355/0001558370-21-001355-index.htm,https://www.sec.gov/Archives/edgar/data/1519061/000155837022001688/0001558370-22-001688-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-127367000,63766000,56763000,-75905000,30282000,-22218000,-67332000,133647000,318312000,328300000,292500000,92000000,7000000,440000000
74,Depreciation and Amortization,84911000,99121000,109492000,101611000,85604000,95196000,103706000,96752000,96459000,110600000,130200000,136000000,134300000,- -
75,Deferred Income Tax,-29075000,-9800000,-47392000,7042000,4734000,4215000,4833000,-77000,16088000,14800000,5300000,-37400000,8000000,- -
76,Stock Based Compensation,- -,- -,9167000,22294000,7328000,9950000,10501000,9002000,17061000,13800000,15800000,13500000,11400000,- -
77,Change in Working Capital,230000000,199447000,517032000,15691000,12905000,32109000,-61526000,91107000,50951000,128884000,74700000,-130800000,20500000,- -
78,Accounts Receivable,206000000,10731000,-375588000,66970000,84678000,-5643000,68483000,65123000,-96398000,-51800000,21200000,66600000,57400000,- -
79,Inventory,136000000,-15921000,-162305000,53934000,-87241000,55369000,22605000,97151000,-50966000,-80200000,-16000000,70700000,69800000,- -
80,Accounts Payable,-145000000,-10000000,30094000,-37680000,67887000,15001000,-5697000,-71907000,57115000,9300000,-43800000,-1700000,2100000,- -
81,Other Working Capital,33000000,232447000,749479000,765170000,778075000,810184000,748658000,839765000,890716000,1019600000,1094300000,963500000,984000000,- -
82,Other Non-Cash Items,82138000,-194937000,-995038000,80353000,45262000,92083000,127039000,22818000,-95213000,-205084000,-152000000,249200000,74200000,12700000
83,Cash Provided by Operating Activities,240607000,157597000,-349976000,151086000,186115000,211335000,117221000,353249000,403658000,391300000,366500000,322500000,255400000,452700000
84,CAPEX,-123549000,-25033000,-9146000,-99811000,-118504000,-73544000,-98606000,-109267000,-123873000,-147400000,-121400000,-110100000,-82300000,-117700000
85,Acquisitions Net,-68958000,- -,-1427806000,- -,6079000,33990000,5557000,3009000,1974000,-36100000,2700000,700000,11900000,200000
86,Purchases of Investments,- -,- -,- -,-262000,- -,- -,- -,- -,- -,- -,- -,- -,-5500000,-14700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51600000,- -
88,Other Investing Activites,-123549000,-25033000,2534000,-98865000,-123374000,-67348000,-98161000,-109680000,-119268000,-146500000,-121400000,-110000000,-82200000,-1525200000
89,Cash Used for Investing Activites,-192507000,-25033000,-1425272000,-99127000,-117295000,-33358000,-92604000,-106671000,-117294000,-182600000,-118700000,-109300000,-24200000,-1539700000
90,Debt Repayment,- -,- -,-190000000,-2005574000,-1450120000,-2278573000,-498606000,-1238396000,-5253000,-1293600000,-703800000,-7000000,-106900000,-160700000
91,Common Stock Issued,- -,- -,- -,- -,162155000,- -,198087000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-242399000,-88900000,-142900000,-119700000,-25000000,-48100000
93,Dividends Paid,- -,- -,- -,-521467000,- -,- -,- -,- -,- -,-58000000,-66000000,-65700000,-61800000,-21900000
94,Other Financing Activites,-48100000,-132564000,2174843000,2571907000,1210748000,2058375000,308638000,1212178000,116000,1187500000,690500000,-14300000,89400000,1306400000
95,Cash Used/Provided by Financing Activities,-48100000,-132564000,1984843000,44866000,-77217000,-220198000,8119000,-26218000,-247536000,-253000000,-222200000,-206700000,-104300000,1075700000
96,Effect of Forex Changes on Cash,- -,- -,2003000,350000,-559000,2367000,-8453000,-9885000,-4975000,12000000,-6100000,-1400000,4400000,-4400000
97,Net Change In Cash,-48100000,-132564000,1984843000,97175000,-8956000,-39854000,24283000,210475000,33853000,-32300000,19500000,3900000,131300000,-15700000
98,Cash at the End of Period,- -,- -,211598000,245313000,236357000,196503000,220786000,431261000,465114000,432800000,452300000,456200000,588700000,573000000
99,Cash at the Beginning of Period,- -,- -,- -,148138000,245313000,236357000,196503000,220786000,431261000,465100000,432800000,452300000,457400000,588700000
100,Free Cash Flow,117058000,132564000,-359122000,51275000,67611000,137791000,18615000,243982000,279785000,243900000,245100000,212400000,173100000,335000000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1519061/000119312515085094/d824313d10k.htm,https://www.sec.gov/Archives/edgar/data/1519061/000155837016004029/0001558370-16-004029-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837017001195/0001558370-17-001195-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837018001379/0001558370-18-001379-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837019001261/0001558370-19-001261-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837020001766/0001558370-20-001766-index.html,https://www.sec.gov/Archives/edgar/data/1519061/000155837021001355/0001558370-21-001355-index.htm,https://www.sec.gov/Archives/edgar/data/1519061/000155837022001688/0001558370-22-001688-index.htm
102,false,,,,,,,,,,,,,,
