,https://roic.ai/company/ALR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0081,-0.0212,-0.0055,0.0127,-0.0968,-0.1237,0.0464,0.0163,0.0514,0.0361,0.0302,0.0458,0.0254,0.0072,-0.0028,0.0171,0.0122,-0.0251,-0.0005,0.0049,-0.0173
17,Operating Income,484000,-10028000,-6403000,3324000,-76714000,-114481000,23664000,18554000,9796000,25768000,21348000,20858000,10262000,-19180000,-37024000,-15972000,-23054000,-71561000,-20274000,15942000,-25859000
18,Operating Income ratio,0.0021,-0.0192,-0.0111,0.0053,-0.1013,-0.1384,0.0243,0.0168,0.0082,0.0208,0.0167,0.0154,0.0079,-0.0144,-0.0271,-0.0116,-0.0165,-0.0515,-0.0143,0.0137,-0.0277
19,Total Other Income Expenses (Gains),43000,-348000,- -,786000,-4533000,2441000,3841000,-16736000,31657000,441000,-3625000,-1788000,-5231000,-3872000,-3093000,-3821000,-2992000,-2791000,-240000,-22868000,-3655000
20,Income Before Tax,527000,-10376000,- -,4110000,-81247000,-112040000,27505000,1818000,41453000,26209000,17723000,19070000,5031000,-23052000,-40117000,-19793000,-26046000,-74352000,-20514000,-6926000,-29514000
21,Income Before Tax Ratio,0.0023,-0.0199,- -,0.0065,-0.1073,-0.1354,0.0283,0.0016,0.0348,0.0211,0.0138,0.0141,0.0039,-0.0174,-0.0294,-0.0144,-0.0187,-0.0535,-0.0145,-0.0060,-0.0316
22,Income Tax expense (Gain),- -,- -,- -,120000,- -,- -,1410000,1392000,2196000,1448000,-50554000,5642000,1916000,56385000,662000,2351000,-4536000,247000,56000,663000,234000
23,Net Income,527000,-13174000,-7939000,3291000,-84159000,-116665000,23326000,-4496000,38330000,23492000,64201000,24945000,-2340000,-85406000,-43083000,-21813000,-20902000,-74083000,-19995000,-7589000,-29925000
24,Net Income ratio,0.0023,-0.0252,-0.0138,0.0052,-0.1111,-0.1410,0.0240,-0.0041,0.0321,0.0189,0.0501,0.0185,-0.0018,-0.0643,-0.0316,-0.0158,-0.0150,-0.0533,-0.0141,-0.0065,-0.0320
25,EPS,1.20,-17.40,-9.40,3.80,-56.60,-40.80,7.40,-1.40,11.40,6.60,15.20,5.20,-0.50,-17.80,-8.90,-4.50,-4.20,-14.90,-3.99,-0.24,-0.95
26,EPS Diluted,1.20,-17.40,-9.40,3.80,-56.60,-40.80,6.80,-1.40,10.50,6.40,14.50,5.20,-0.50,-17.80,-8.90,-4.50,-4.20,-14.90,-3.99,-0.24,-0.95
27,Weighted Average Shares Outstanding,437400,755600,848200,871600,1487900,2860500,3171000,3187200,3355800,3573600,4216100,4795200,4827700,4802800,4840600,4881500,4920400,4968700,5006000,31471000,31471000
28,Weighted Average Shares Outstanding Diluted,437400,755600,848200,871600,1487900,2860500,4144100,3187200,3877500,3920700,4503400,4795200,4926300,4802800,4840600,4881500,4920400,4968700,5006000,31471000,31471000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159281/000115928121000019/0001159281-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1159281/000115928122000026/0001159281-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10270000,21236000,26194000,16729000,46241000,30999000,16138000,11299000,20770000,28374000,24638000,23628000,20988000,14672000,16608000,26255000,29512000,31740000,84351000,66987000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,73201000,7232000,77252000,13854000,9114000,12920000,19150000,23436000,26417000,24081000,22524000,20179000,21070000,19961000,11926000
33,Cash and Short-Term Investments,- -,10270000,21236000,26194000,16729000,46241000,104200000,23370000,88551000,34624000,37488000,37558000,42778000,44424000,41089000,40689000,48779000,49691000,52810000,104312000,78913000
34,Net Receivables,- -,33939000,31125000,36742000,46124000,67791000,58803000,66023000,61418000,64806000,64265000,53134000,48599000,51455000,47560000,55334000,43447000,45613000,39723000,105461000,50908000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4100000,7327000,13107000,32027000,91728000,23014000,24868000,33360000,23967000,39763000,46622000,59507000,25902000,23420000,33364000,104959000,42749000,50835000,52535000,57012000
37,Total Current Assets,- -,48309000,59688000,76043000,94880000,205760000,186017000,114261000,183329000,123397000,141516000,137314000,150884000,121781000,112069000,129387000,197185000,138053000,143368000,262308000,186833000
38,PP&E,- -,70329000,55484000,95189000,96743000,114898000,131705000,190627000,192742000,213791000,353065000,335612000,340276000,357186000,383858000,351929000,251504000,243873000,188102000,181774000,172507000
39,Goodwill,- -,- -,- -,- -,- -,22611000,21877000,- -,20318000,24812000,71689000,25553000,25344000,25344000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,11548000,- -,- -,- -,- -,- -,- -,- -,2235000,1063000,560000,1934000,467000,271000,191000,191000,- -,- -
41,Intangible Assets,- -,- -,- -,11548000,- -,22611000,21877000,15752000,16182000,15722000,15270000,27788000,26407000,25904000,1934000,467000,271000,191000,191000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,69955000,10889000,8335000,18406000,5629000,5913000,6827000,6827000,7116000,8185000,8633000,298000,11000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38099000,41830000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,14559000,32198000,40205000,37317000,23142000,20855000,22043000,9958000,18549000,55220000,26914000,24873000,23275000,27082000,20835000,18763000,14874000,13834000,10113000,16937000
45,Total Non-Current Assets,- -,84888000,87682000,146942000,134060000,160651000,174437000,298377000,229771000,256397000,441961000,434042000,439299000,413192000,419701000,380347000,278723000,267571000,202425000,191898000,189444000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,133197000,147370000,222985000,228940000,366411000,360454000,412638000,413100000,379794000,583477000,571356000,590183000,534973000,531770000,509734000,475908000,405624000,345793000,454206000,376277000
48,Accounts Payable,- -,19425000,23984000,12625000,14595000,22805000,19135000,28443000,46338000,20659000,23899000,36920000,69343000,85606000,93205000,68453000,74734000,69667000,82447000,23454000,37516000
49,Short-Term Debt,- -,141000,12793000,8733000,16470000,33317000,200000,149000,39298000,135000,39027000,25964000,36159000,36786000,51807000,1903000,316000,51823000,3234000,3763000,1990000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11905000,9934000,11282000,12207000,12784000,11801000,12959000,1676000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,14879000,21368000,37763000,58903000,76807000,84728000,100547000,87120000,109428000,126405000,121076000,93026000,93000000,98908000,102637000,143592000,108203000,78619000,150691000,101401000
53,Total Current Liabilities,- -,34445000,58145000,59121000,89968000,132929000,104063000,129139000,172756000,130222000,189331000,183960000,198528000,215392000,243920000,172993000,218642000,229693000,164300000,177908000,140907000
54,Long-Term Debt,- -,15982000,6381000,42118000,44703000,137954000,142310000,160816000,64429000,47841000,75996000,37621000,36461000,49373000,60396000,58494000,7872000,7533000,26842000,27808000,18780000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72695000,66087000,59478000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,17723000,18417000,25842000,25465000,28098000,27259000,37344000,36600000,36964000,37956000,42970000,44816000,43426000,43002000,41286000,38313000,37751000,34670000,37958000,35000000
58,Total Non-Current Liabilities,- -,33705000,24798000,67960000,70168000,166052000,169569000,198160000,101029000,84805000,113952000,80591000,81277000,92799000,103398000,172475000,112272000,104762000,61512000,65766000,53780000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22543000,24400000,13987000
61,Total Liabilities,- -,68150000,82943000,127081000,160136000,298981000,273632000,327299000,273785000,215027000,303283000,264551000,279805000,308191000,347318000,345468000,330914000,334455000,225812000,243674000,194687000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,84000,85000,121000,201000,316000,318000,322000,356000,360000,479000,482000,486000,490000,494000,500000,505000,508000,52000,317000,327000
64,Retained Earnings,- -,-13963000,-21902000,-18611000,-102770000,-219435000,-196109000,-200605000,-162275000,-138783000,-74582000,-49637000,-48996000,-134449000,-177622000,-199521000,-220489000,-292636000,-245184000,-251139000,-281064000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-179000,205000,-4121000,-1582000,4580000,5475000,1478000,1877000,3318000,3690000,2915000,3434000,4036000,1742000,2663000,1316000,1029000
66,Other Total Stockholders Equity,- -,78926000,86244000,114394000,171552000,286344000,286734000,287204000,296654000,297715000,352819000,354083000,355570000,357051000,358665000,359853000,360942000,361555000,362450000,460038000,- -
67,Total Stockholders Equity,- -,65047000,64427000,95904000,68804000,67430000,86822000,85339000,139315000,164767000,280194000,306805000,310378000,226782000,184452000,164266000,144994000,71169000,119981000,210532000,181590000
68,Total Liabilities And Stockholders Equity,- -,133197000,147370000,222985000,228940000,366411000,360454000,412638000,413100000,379794000,583477000,571356000,590183000,534973000,531770000,509734000,475908000,405624000,345793000,454206000,376277000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,133197000,147370000,222985000,228940000,366411000,360454000,412638000,413100000,379794000,583477000,571356000,590183000,534973000,531770000,509734000,475908000,405624000,345793000,454206000,376277000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159281/000115928121000019/0001159281-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1159281/000115928122000026/0001159281-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,527000,-13174000,-7939000,3291000,-84159000,-116665000,23326000,-4496000,38330000,23492000,64201000,24945000,-2340000,-85406000,-43083000,-21813000,-20902000,-74083000,-19995000,-7589000,-29925000
74,Depreciation and Amortization,1321000,1885000,3588000,3666000,7114000,9950000,13595000,14719000,16379000,16802000,21127000,25064000,28109000,33470000,33672000,38052000,38192000,35939000,16640000,10997000,11873000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54699000,10556000,-2793000,55334000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1271000,1267000,1410000,1485000,1618000,1194000,1094000,616000,439000,513000,1484000
77,Change in Working Capital,-4595000,13864000,-12321000,15379000,-12010000,67919000,9123000,-96832000,25451000,-17398000,-40990000,1169000,-998000,-45967000,-38240000,88245000,22149000,-70183000,70708000,105332000,6203000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-8385000,5037000,-9947000,-6568000,-1921000,-4147000,-6651000,-3661000,-4528000,-5046000,-3989000,-1323000,23636000,-2229000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,2512000,- -,- -,15482000,- -,13387000,- -,- -,- -,- -,- -,-6986000,10351000
81,Other Working Capital,- -,13864000,1543000,16922000,4912000,72831000,81954000,-14878000,10573000,-6825000,-47815000,-46646000,-47644000,-93611000,-131851000,-43606000,-21457000,-91640000,-20932000,84400000,-36248000
82,Other Non-Cash Items,1587000,6298000,35585000,-21999000,32178000,-142420000,-7462000,131400000,-51916000,84584000,53348000,-12264000,5389000,68940000,84422000,-129120000,-23414000,53488000,-71901000,-57872000,2792000
83,Cash Provided by Operating Activities,-1160000,8873000,18913000,337000,-56877000,-181216000,38582000,44791000,28244000,107480000,44258000,50737000,28777000,27856000,38389000,-23442000,17119000,-54223000,-4109000,51381000,-7573000
84,CAPEX,-2176000,-51881000,-15812000,-26505000,-105474000,-51134000,-73423000,-80822000,-63311000,-54585000,-60926000,-57386000,-53766000,-49916000,-57671000,-55419000,-71095000,-48980000,-57494000,-5427000,-9439000
85,Acquisitions Net,- -,- -,-3110000,-115956000,-4880000,-5968000,- -,-61715000,-750000,-13232000,-107765000,34298000,- -,-825000,-9200000,- -,39076000,31819000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-11105000,- -,- -,- -,-5134000,-4347000,-2776000,-5076000,-13974000,-22431000,-17870000,-8388000,-14409000,-5297000,-2991000,-5750000,-3156000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,4775000,3081000,10896000,4163000,6285000,10876000,10857000,17905000,22382000,9438000,5193000,10408000,4934000
88,Other Investing Activites,- -,3277000,16662000,129213000,104762000,27334000,48428000,63687000,45192000,31894000,33269000,20736000,30167000,33826000,20376000,122926000,35295000,17956000,118273000,3012000,11000
89,Cash Used for Investing Activites,-2176000,-48604000,-2260000,-13248000,-16697000,-29768000,-24995000,-78850000,-19228000,-37189000,-127302000,-3265000,-31288000,-28470000,-53317000,77024000,11249000,4936000,62981000,2243000,-7650000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-19677000,-81870000,-65187000,-55305000,-113708000,-75965000,-21979000,-30998000,-76260000,-81766000,-25509000,-56849000,-387000,-1221000
91,Common Stock Issued,233000,26113000,- -,27645000,56613000,114907000,- -,- -,8960000,- -,53953000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20867000,-1055000,-5687000,-6151000,2748000,125942000,-28829000,38875000,59055000,10649000,92000000,62500000,77466000,19953000,39610000,24614000,63045000,76473000,3703000,-619000,-214000
95,Cash Used/Provided by Financing Activities,21100000,25058000,-5687000,21494000,59361000,240849000,-28829000,19198000,-13855000,-54538000,90648000,-51208000,1501000,-2026000,8612000,-51646000,-18721000,50964000,-53146000,-1006000,-1435000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,17764000,-14673000,10966000,8583000,-14213000,29865000,-15242000,-14861000,-4839000,15753000,7604000,-3736000,-1010000,-2640000,-6316000,1936000,9647000,1677000,5721000,52618000,-16658000
98,Cash at the End of Period,24943000,10270000,21236000,26194000,16729000,46241000,30999000,16138000,11299000,20770000,28374000,24638000,23628000,20988000,14672000,16608000,26255000,50155000,56979000,109597000,92939000
99,Cash at the Beginning of Period,7179000,24943000,10270000,17611000,30942000,16376000,46241000,30999000,16138000,5017000,20770000,28374000,24638000,23628000,20988000,14672000,16608000,48478000,51258000,56979000,109597000
100,Free Cash Flow,-3336000,-43008000,3101000,-26168000,-162351000,-232350000,-34841000,-36031000,-35067000,52895000,-16668000,-6649000,-24989000,-22060000,-19282000,-78861000,-53976000,-103203000,-61603000,45954000,-17012000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159281/000115928121000019/0001159281-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1159281/000115928122000026/0001159281-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
