,https://roic.ai/company/CVE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),882325000,316224200,170000000,729000000,783000000,432000000,451000000,-81000000,-382000000,-52000000,-1010000000,-797000000,-851000000,728000000
23,Net Income,2881856000,678520800,993000000,1478000000,993000000,662000000,744000000,618000000,-545000000,3366000000,-2669000000,2194000000,-2379000000,587000000
24,Net Income ratio,0.1430,0.0639,0.0765,0.0942,0.0576,0.0349,0.0370,0.0468,-0.0444,0.1944,-0.1248,0.1027,-0.1750,0.0120
25,EPS,3.85,0.90,1.32,1.96,1.31,0.88,0.98,0.75,-0.65,3.05,-2.17,1.78,-1.94,0.27
26,EPS Diluted,3.83,0.90,1.32,1.95,1.31,0.87,0.98,0.75,-0.65,3.05,-2.17,1.78,-1.94,0.27
27,Weighted Average Shares Outstanding,750100000,751000000,751900000,754000000,755600000,755900000,756900000,818700000,833300000,1102500000,1228800000,1228800000,1228900000,2016200000
28,Weighted Average Shares Outstanding Diluted,751800000,751400000,752700000,757700000,758500000,757500000,757600000,818700000,833300000,1102500000,1229200000,1229400000,1228900000,2045100000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1475260/000110465910007827/0001104659-10-007827-index.html,- -,https://www.sec.gov/Archives/edgar/data/1475260/000110465912011572/0001104659-12-011572-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000110465913012212/0001104659-13-012212-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1475260/000119312516460090/0001193125-16-460090-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000119312517046643/0001193125-17-046643-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000119312518047312/0001193125-18-047312-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000156459019002871/0001564590-19-002871-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000156459020004341/0001564590-20-004341-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,186201000,154970800,300000000,495000000,1160000000,2452000000,883000000,4105000000,3720000000,610000000,781000000,186000000,378000000,2873000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,186201000,154970800,300000000,495000000,1160000000,2452000000,883000000,4105000000,3720000000,610000000,781000000,186000000,378000000,2873000000
34,Net Receivables,1108687000,1300498200,1432000000,1743000000,1803000000,1834000000,1554000000,1186000000,1717000000,1834000000,1193000000,1507000000,1388000000,3406000000
35,Inventory,612151000,875375600,880000000,1291000000,1288000000,1259000000,1224000000,810000000,1237000000,1389000000,1013000000,1532000000,1089000000,3919000000
36,Other Current Assets,828777000,60731800,163000000,382000000,328000000,65000000,534000000,372000000,148000000,1175000000,208000000,59000000,121000000,1790000000
37,Total Current Assets,2735816000,2391576400,2775000000,3911000000,4579000000,5610000000,4195000000,6473000000,6822000000,5008000000,3195000000,3284000000,2976000000,11988000000
38,PP&E,14920420000,15221692700,15530000000,15204000000,17437000000,18807000000,20188000000,18910000000,18011000000,33269000000,29483000000,29946000000,27173000000,36455000000
39,Goodwill,1139112000,1146574500,1146000000,1132000000,739000000,739000000,242000000,242000000,242000000,2272000000,2272000000,2272000000,2272000000,3473000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,89000000,78000000
41,Intangible Assets,1139112000,1146574500,1146000000,1132000000,739000000,739000000,242000000,242000000,242000000,2272000000,2272000000,2373000000,2361000000,3551000000
42,Investments,- -,- -,- -,- -,- -,32000000,36000000,46000000,35000000,37000000,38000000,52000000,149000000,441000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,694000000
44,Other Non-Current Assets,3677774000,2760155600,2644000000,1947000000,1461000000,36000000,34000000,120000000,148000000,347000000,186000000,58000000,75000000,975000000
45,Total Non-Current Assets,19737306000,19128422800,19320000000,18283000000,19637000000,19614000000,20500000000,19318000000,18436000000,35925000000,31979000000,32429000000,29794000000,42116000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22473122000,21519999200,22095000000,22194000000,24216000000,25224000000,24695000000,25791000000,25258000000,40933000000,35174000000,35713000000,32770000000,54104000000
48,Accounts Payable,1728140000,1852319900,2168000000,789000000,676000000,102000000,51000000,68000000,105000000,337000000,767000000,939000000,608000000,2554000000
49,Short-Term Debt,102228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,682000000,196000000,305000000,351000000
50,Tax Payable,309118000,- -,154000000,329000000,217000000,268000000,357000000,133000000,112000000,129000000,17000000,17000000,- -,179000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,357798000,70155700,317000000,2599000000,2594000000,3677000000,2906000000,1790000000,2566000000,4099000000,1151000000,1386000000,1446000000,4400000000
53,Total Current Liabilities,2188166000,1922475600,2485000000,3388000000,3270000000,3779000000,2957000000,1858000000,2671000000,4436000000,2600000000,2521000000,2359000000,7305000000
54,Long-Term Debt,7069553000,6308777500,5608000000,3527000000,4679000000,4997000000,5458000000,6525000000,6332000000,9513000000,8482000000,8419000000,9014000000,15070000000
55,Deferred Revenue,- -,- -,- -,- -,31000000,25000000,- -,- -,- -,- -,- -,- -,- -,41000000
56,Deferred Tax Liabilities,2934187000,2468014700,2404000000,2101000000,2568000000,2862000000,3302000000,2816000000,2585000000,5613000000,4861000000,4032000000,3234000000,3286000000
57,Other Non-Current Liabilities,851900000,1208353400,1576000000,3772000000,3862000000,3615000000,2792000000,2201000000,2080000000,1390000000,1763000000,1540000000,1456000000,4794000000
58,Total Non-Current Liabilities,10855640000,9985145600,9588000000,9400000000,11140000000,11499000000,11552000000,11542000000,10997000000,16516000000,15106000000,13991000000,13704000000,23191000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1916000000,1757000000,2957000000
61,Total Liabilities,13043806000,11907621200,12073000000,12788000000,14410000000,15278000000,14509000000,13400000000,13668000000,20952000000,17706000000,16512000000,16063000000,30496000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,519000000
63,Common Stock,- -,- -,- -,- -,3829000000,3857000000,3889000000,5534000000,5534000000,11040000000,11040000000,11040000000,11040000000,17016000000
64,Retained Earnings,- -,40836900,- -,1400000000,1728000000,1660000000,1599000000,1507000000,796000000,3937000000,1023000000,2957000000,501000000,878000000
65,Other Comprehensive Income/Loss,228796000,2269065700,-13490000000,119000000,95000000,210000000,407000000,1020000000,910000000,643000000,1038000000,827000000,775000000,684000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,4154000000,4219000000,4291000000,4330000000,4350000000,4361000000,4367000000,4377000000,4391000000,4499000000
67,Total Stockholders Equity,9429316000,9612378000,10022000000,9406000000,9806000000,9946000000,10186000000,12391000000,11590000000,19981000000,17468000000,19201000000,16707000000,23596000000
68,Total Liabilities And Stockholders Equity,22473122000,21519999200,22095000000,22194000000,24216000000,25224000000,24695000000,25791000000,25258000000,40933000000,35174000000,35713000000,32770000000,54092000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000
70,Total Liabilities & Equity,22473122000,21519999200,22095000000,22194000000,24216000000,25224000000,24695000000,25791000000,25258000000,40933000000,35174000000,35713000000,32770000000,54104000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1475260/000110465910007827/0001104659-10-007827-index.html,- -,https://www.sec.gov/Archives/edgar/data/1475260/000110465912011572/0001104659-12-011572-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000110465913012212/0001104659-13-012212-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1475260/000119312516460090/0001193125-16-460090-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000119312517046643/0001193125-17-046643-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000119312518047312/0001193125-18-047312-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000156459019002871/0001564590-19-002871-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000156459020004341/0001564590-20-004341-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,2881856000,678520800,993000000,1478000000,993000000,662000000,744000000,618000000,-545000000,3366000000,-2669000000,2194000000,-2379000000,587000000
74,Depreciation and Amortization,1604006000,1406255300,1310000000,1295000000,1585000000,1833000000,1946000000,2114000000,1498000000,2030000000,2131000000,2249000000,3464000000,- -
75,Deferred Income Tax,468545000,-576952100,88000000,575000000,474000000,244000000,359000000,-264000000,-209000000,583000000,-794000000,-814000000,-838000000,452000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-379704000,1096313700,179000000,-3000000,-223000000,-70000000,47000000,-217000000,-562000000,145000000,480000000,-439000000,126000000,-1227000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,179000000,-3000000,-223000000,-70000000,47000000,-217000000,-562000000,145000000,480000000,-439000000,126000000,-1227000000
82,Other Non-Cash Items,-1304624000,1056523900,24000000,-72000000,591000000,870000000,430000000,-777000000,679000000,-3065000000,3006000000,95000000,-100000000,6107000000
83,Cash Provided by Operating Activities,3270079000,3660661600,2594000000,3273000000,3420000000,3539000000,3526000000,1474000000,861000000,3059000000,2154000000,3285000000,273000000,5919000000
84,CAPEX,-2489982000,-1984254500,-2208000000,-2792000000,-3449000000,-3269000000,-3058000000,-1714000000,-1034000000,-1670000000,-1377000000,-1183000000,-859000000,-2563000000
85,Acquisitions Net,57199000,218843900,309000000,- -,- -,- -,- -,-84000000,- -,-14565000000,- -,1000000,38000000,1170000000
86,Purchases of Investments,- -,- -,- -,- -,-13000000,- -,-1583000000,- -,-1000000,- -,- -,- -,-4000000,- -
87,Sales/Maturities of Investments,- -,- -,4000000,- -,- -,1486000000,- -,3000000,- -,- -,9000000,- -,- -,- -
88,Other Investing Activites,-2447387000,-2082681900,-2109000000,-265000000,-3323000000,-3005000000,-2767000000,969000000,-1078000000,1699000000,-622000000,-1433000000,-897000000,-2112000000
89,Cash Used for Investing Activites,-2390188000,-1863838000,-1796000000,-2530000000,-3336000000,-1519000000,-4350000000,888000000,-1079000000,-12866000000,-613000000,-1432000000,-863000000,-942000000
90,Debt Repayment,-899363000,-4075313200,-58000000,- -,- -,-825000000,- -,- -,- -,-3600000000,-1164000000,-2429000000,-529000000,-3520000000
91,Common Stock Issued,- -,1047100,28000000,48000000,37000000,28000000,28000000,1449000000,- -,2899000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-265000000
93,Dividends Paid,- -,-158112100,-601000000,-603000000,-665000000,-732000000,-805000000,-528000000,-166000000,-225000000,-245000000,-260000000,-77000000,-210000000
94,Other Financing Activites,-137521000,2420895200,- -,-3000000,1220000000,803000000,-20000000,-27000000,-2000000,7441000000,-1000000,276000000,1443000000,1488000000
95,Cash Used/Provided by Financing Activities,-1036884000,-1811483000,-631000000,-558000000,592000000,-726000000,-797000000,894000000,-168000000,6515000000,-1410000000,-2413000000,837000000,-2507000000
96,Effect of Forex Changes on Cash,-24340000,9423900,-22000000,10000000,-11000000,-2000000,52000000,-34000000,1000000,182000000,40000000,-35000000,-55000000,25000000
97,Net Change In Cash,-181333000,-5235500,145000000,195000000,665000000,1292000000,-1569000000,3222000000,-385000000,-3110000000,171000000,-595000000,192000000,2495000000
98,Cash at the End of Period,186201000,154970800,300000000,495000000,1160000000,2452000000,883000000,4105000000,3720000000,610000000,781000000,186000000,378000000,2873000000
99,Cash at the Beginning of Period,367534000,160206300,155000000,300000000,495000000,1160000000,2452000000,883000000,4105000000,3720000000,610000000,781000000,186000000,378000000
100,Free Cash Flow,780097000,1676407100,386000000,481000000,-29000000,270000000,468000000,-240000000,-173000000,1389000000,777000000,2102000000,-586000000,3356000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1475260/000110465910007827/0001104659-10-007827-index.html,- -,https://www.sec.gov/Archives/edgar/data/1475260/000110465912011572/0001104659-12-011572-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000110465913012212/0001104659-13-012212-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1475260/000119312516460090/0001193125-16-460090-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000119312517046643/0001193125-17-046643-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000119312518047312/0001193125-18-047312-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000156459019002871/0001564590-19-002871-index.html,https://www.sec.gov/Archives/edgar/data/1475260/000156459020004341/0001564590-20-004341-index.html,- -,- -
102,Forex Rate,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
