,https://roic.ai/company/ZG,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.47,-0.75,-0.79,-0.31,-0.10,0.02,0.07,-0.12,-0.36,-0.88,-1.22,-0.51,-0.61,-1.48,-0.72,-2.36
26,EPS Diluted,-0.47,-0.75,-0.79,-0.31,-0.10,0.02,0.06,-0.12,-0.36,-0.88,-1.22,-0.51,-0.61,-1.48,-0.72,-2.36
27,Weighted Average Shares Outstanding,26900000,26900000,26900000,40935000,66138000,59445000,90582000,108087000,120027000,169767000,180149000,186453000,197944000,206380000,223848000,223848000
28,Weighted Average Shares Outstanding Diluted,26900000,26900000,26900000,70812000,66138000,66915000,98127000,108087000,120027000,169767000,180149000,186453000,197944000,206380000,223848000,223848000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1617640/000119312516461241/0001193125-16-461241-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000119312517033300/0001193125-17-033300-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000119312518046862/0001193125-18-046862-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764019000005/0001617640-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764020000015/0001617640-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764021000012/0001617640-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764022000013/0001617640-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30700000,41700000,24300000,4439000,12278000,47926000,150040000,201760000,125765000,229138000,243592000,352095000,651058000,1141263000,1703130000,2611499000
32,Short-Term Investments,- -,- -,- -,11652000,1499000,28925000,44054000,93531000,246829000,291151000,262870000,410444000,903867000,1280989000,2218108000,513922000
33,Cash and Short-Term Investments,30700000,41700000,24300000,16091000,13777000,76851000,194094000,295291000,372594000,520289000,506462000,762539000,1554925000,2422252000,3921238000,3125421000
34,Net Receivables,- -,- -,- -,2868000,3984000,5638000,8655000,15234000,18684000,29789000,40527000,54396000,66083000,67005000,69940000,154937000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162829000,836627000,491293000,3912662000
36,Other Current Assets,- -,- -,- -,349000,410000,3214000,2652000,4987000,10059000,24016000,34817000,24590000,108861000,184270000,482409000,486959000
37,Total Current Assets,- -,- -,- -,19308000,18171000,85703000,205401000,315512000,401337000,574094000,581806000,841525000,1892698000,3510154000,4964880000,7679979000
38,PP&E,9200000,9300000,6200000,4409000,4929000,7227000,13634000,27408000,41600000,89639000,98288000,112271000,135172000,382642000,384112000,344487000
39,Goodwill,- -,- -,- -,- -,- -,3676000,54284000,93213000,96352000,1909167000,1923480000,1931076000,1984907000,1984907000,1984907000,2373792000
40,Intangible Assets,- -,- -,- -,875000,888000,4532000,21248000,29149000,26757000,554765000,527464000,319711000,215904000,190567000,94767000,180072000
41,Intangible Assets,- -,- -,- -,875000,888000,8208000,75532000,122362000,123109000,2463932000,2450944000,2250787000,2200811000,2175474000,2079674000,2553864000
42,Investments,- -,- -,- -,- -,- -,15285000,9389000,142435000,83326000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,16000,25000,245000,279000,346000,358000,8035000,18639000,25934000,62435000,63703000,57894000,117124000
45,Total Non-Current Assets,- -,- -,- -,5300000,5842000,30965000,98834000,292551000,248393000,2561606000,2567871000,2388992000,2398418000,2621819000,2521680000,3015475000
46,Other Assets,42900000,54400000,34500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42900000,54400000,34500000,24608000,24013000,116668000,304235000,608063000,649730000,3135700000,3149677000,3230517000,4291116000,6131973000,7486560000,10695454000
48,Accounts Payable,- -,- -,- -,423000,750000,1681000,3158000,4724000,9358000,3361000,4257000,3587000,7471000,8343000,18974000,17230000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149718000,749180000,698519000,3543812000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6287000,6131000,17841000
51,Deferred Revenue,- -,- -,- -,807000,3284000,5769000,8443000,12844000,16220000,22622000,30501000,34318000,35820000,39747000,48995000,51484000
52,Other Current Liabilities,- -,- -,- -,1646000,2196000,6540000,8832000,15817000,23618000,54439000,62484000,80482000,94489000,123247000,142153000,269923000
53,Total Current Liabilities,- -,- -,- -,2876000,6230000,13990000,20433000,33385000,49196000,80422000,97242000,118387000,287498000,920517000,908641000,3882449000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,230000000,367404000,385416000,699020000,1543402000,1613523000,1467191000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,3485000,6882000,11755000,13743000,15298000,21330000,19945000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,132482000,136146000,44561000,17474000,12188000,14857000,- -
57,Other Non-Current Liabilities,- -,- -,- -,606000,335000,1465000,- -,- -,- -,- -,- -,- -,- -,220445000,207723000,4503000
58,Total Non-Current Liabilities,- -,- -,- -,606000,335000,1465000,3485000,6882000,11755000,376225000,518848000,451307000,736439000,1776035000,1836103000,1471694000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238037000,236033000,171470000
61,Total Liabilities,- -,- -,- -,3482000,6565000,15455000,23918000,40267000,60951000,456647000,616090000,569694000,1023937000,2696552000,2744744000,5354143000
62,Preferred Stock,- -,- -,- -,4000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,1000,3000,4000,4000,4000,18000,18000,20000,21000,21000,24000,25000
64,Retained Earnings,- -,- -,- -,-71935000,-78709000,-77607000,-71668000,-84121000,-127731000,-276605000,-497043000,-592243000,-671779000,-977140000,-1139255000,-1667032000
65,Other Comprehensive Income/Loss,79600000,102000000,63600000,-21649000,-79000000,-30014000,-35513000,-47315000,-66704000,-471000,-242000,-1100000,-905000,340000,164000,7234000
66,Other Total Stockholders Equity,39800000,51000000,31800000,114705000,175152000,208831000,387494000,699228000,783210000,2956111000,3030854000,3254146000,3939842000,4412200000,5880883000,7001084000
67,Total Stockholders Equity,- -,- -,- -,21126000,17448000,101213000,280317000,567796000,588779000,2679053000,2533587000,2660823000,3267179000,3435421000,4741816000,5341311000
68,Total Liabilities And Stockholders Equity,42900000,54400000,34500000,24608000,24013000,116668000,304235000,608063000,649730000,3135700000,3149677000,3230517000,4291116000,6131973000,7486560000,10695454000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,42900000,54400000,34500000,24608000,24013000,116668000,304235000,608063000,649730000,3135700000,3149677000,3230517000,4291116000,6131973000,7486560000,10695454000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1617640/000119312516461241/0001193125-16-461241-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000119312517033300/0001193125-17-033300-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000119312518046862/0001193125-18-046862-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764019000005/0001617640-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764020000015/0001617640-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764021000012/0001617640-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764022000013/0001617640-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-21200000,-12855000,-6774000,1102000,5939000,-12453000,-43610000,-148874000,-220438000,-94420000,-119858000,-305361000,-162115000,-527777000
74,Depreciation and Amortization,- -,- -,8100000,6407000,5262000,7190000,12773000,23254000,35624000,75386000,100590000,110155000,99391000,110609000,134369000,152485000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-4111000,- -,-2853000,-1370000,-89586000,-31102000,-4258000,-7523000,-2746000
76,Stock Based Compensation,- -,- -,- -,1651000,1715000,1945000,6611000,23436000,34085000,105214000,106918000,113571000,149084000,198902000,197550000,311686000
77,Change in Working Capital,- -,- -,-1500000,16432000,-4491000,59772000,113255000,97159000,70014000,141531000,-9108000,238574000,882062000,984437000,1466602000,-3753473000
78,Accounts Receivable,- -,- -,- -,-607000,-1356000,-2208000,-3458000,-7571000,-5979000,-1051000,-13324000,-21203000,-12556000,-3694000,-5585000,-82312000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162829000,-673798000,345277000,-3826713000
80,Accounts Payable,- -,- -,- -,59000,327000,916000,991000,1497000,4634000,-11158000,856000,-373000,1311000,-496000,12972000,4699000
81,Other Working Capital,- -,- -,- -,16432000,11941000,71713000,184968000,282127000,352141000,493672000,484564000,723138000,1605200000,2589637000,4056239000,-12331000
82,Other Non-Cash Items,- -,- -,1600000,-15852000,6546000,-55183000,-106280000,-95987000,-50594000,-147745000,32053000,-20103000,-975727000,-1596503000,-1204686000,643131000
83,Cash Provided by Operating Activities,- -,- -,-13000000,-4217000,2258000,14826000,32298000,31298000,45519000,22659000,8645000,258191000,3850000,-612174000,424197000,-3176694000
84,CAPEX,- -,- -,-4800000,-4077000,-5526000,-8821000,-16750000,-25972000,-44242000,-68108000,-71722000,-78635000,-78535000,-86635000,-108517000,-104399000
85,Acquisitions Net,- -,- -,- -,- -,- -,-6540000,-67645000,-42708000,-3500000,92573000,-13119000,-10954000,-55138000,- -,- -,-497320000
86,Purchases of Investments,- -,- -,- -,-29467000,-8425000,-47772000,-38397000,-236147000,-272644000,-307658000,-185210000,-417032000,-901761000,-1495477000,-3287071000,-516346000
87,Sales/Maturities of Investments,- -,- -,- -,19050000,18582000,4750000,28434000,53000000,174949000,343703000,202370000,259227000,412795000,1126058000,2357099000,2206344000
88,Other Investing Activites,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,3931000,1962000,- -,- -,- -,-23577000,-31094000
89,Cash Used for Investing Activites,- -,- -,-5800000,-14494000,4631000,-58383000,-94358000,-251827000,-145437000,64441000,-65719000,-247394000,-622639000,-456054000,-1038489000,1088279000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-370235000,- -,- -,-116255000,-873810000,-1978249000
91,Common Stock Issued,- -,- -,- -,- -,- -,70788000,156726000,253899000,- -,- -,- -,- -,360345000,- -,411522000,544557000
92,Common Stock Repurchased,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-302297000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,100000,950000,8417000,7448000,18350000,23923000,16273000,441763000,97706000,569792000,1751949000,1624606000,4883619000
95,Cash Used/Provided by Financing Activities,- -,- -,100000,100000,950000,79205000,164174000,272249000,23923000,16273000,71528000,97706000,930137000,1635694000,1162318000,3147630000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-18700000,-18611000,7839000,35648000,102114000,51720000,-75995000,103373000,14454000,108503000,311348000,567466000,548026000,1059215000
98,Cash at the End of Period,- -,- -,23000000,4439000,12278000,47926000,150040000,201760000,125765000,229138000,243592000,352095000,663443000,1230909000,1778935000,2838150000
99,Cash at the Beginning of Period,- -,- -,41700000,23050000,4439000,12278000,47926000,150040000,201760000,125765000,229138000,243592000,352095000,663443000,1230909000,1778935000
100,Free Cash Flow,- -,- -,-17800000,-8294000,-3268000,6005000,15548000,5326000,1277000,-45449000,-63077000,179556000,-74685000,-698809000,315680000,-3281093000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1617640/000119312516461241/0001193125-16-461241-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000119312517033300/0001193125-17-033300-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000119312518046862/0001193125-18-046862-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764019000005/0001617640-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764020000015/0001617640-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764021000012/0001617640-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1617640/000161764022000013/0001617640-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,
