,https://roic.ai/company/SCIA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,48908,266940,47095,1161369,648494,1182086,1399050,1107216,1511752,798069,630819,622727,1011956,997170,730352,920802,1802839,1828397,2917551,4140942
34,Net Receivables,- -,- -,- -,258211,126680,167494,307589,492706,285726,577156,570112,682017,517603,453302,634077,468352,302512,271832,336009,477779,346381,459471,- -
35,Inventory,- -,- -,- -,655432,500533,535171,584140,713625,756999,1264433,1031777,1344426,1045503,815075,1709740,1678609,573114,376561,617444,2752845,2749038,1180359,1073218
36,Other Current Assets,- -,- -,- -,33934,30198,155594,11748,47466,21148,42562,1133536,207369,65292,209422,56298,89467,70740,59203,138175,613578,107607,131333,1209934
37,Total Current Assets,- -,- -,- -,996485,924351,905354,2064846,1902291,2245959,3283201,3842641,3745564,2426467,2108618,3022842,3248384,1943536,1437948,2012430,5647041,5031423,4688714,6424094
38,PP&E,- -,- -,- -,614096,573834,857860,815129,1103840,2177027,2290117,2531128,2467374,3219125,3229178,2792567,2740904,2348104,2136905,1885066,1922905,2386694,2245528,274298
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,43247,40159,37070,33982,30894,29202,34254,41358,49276,- -,12889,11059,9229,34935,34935,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,43247,40159,37070,33982,30894,29202,34254,41358,49276,15453,12889,11059,9229,34935,34935,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21909,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1019317,663820
44,Other Non-Current Assets,- -,- -,- -,- -,7863,8755,10765,289816,18639,29002,- -,29621,70204,53875,44749,38197,26713,15685,52078,75613,86958,96623,2246190
45,Total Non-Current Assets,- -,- -,- -,657343,621856,903685,859876,1424550,2224868,2353373,2594395,2546271,3304782,3295942,2848375,2788330,2409752,2187525,1937144,1998518,2473652,3361468,3184308
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,1653828,1546207,1809039,2924722,3326841,4470827,5636574,6437036,6291835,5731249,5404560,5871217,6036714,4353288,3625473,3949574,7645559,7505075,8050182,9608402
48,Accounts Payable,- -,- -,- -,337613,230037,238017,295640,297161,160468,249309,263468,573741,363790,260531,456111,424539,191475,151757,307498,321348,254004,147284,250383
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,259714,- -,- -,- -,432064,316571,247679,298209,206767,172408,221105,- -,- -,499837,96702
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,50742,83739,- -,50474,- -,- -,- -,366153,255122,313745,1105655,1281573,155800,249977,407956,3202447,2408837,1010236,- -
52,Other Current Liabilities,- -,- -,- -,356934,471689,866380,325826,329051,305559,1247532,2023276,768477,563093,415584,295497,354414,378977,332152,351476,451210,376254,220728,2169874
53,Total Current Liabilities,- -,- -,- -,694547,752468,1188136,621466,676686,725741,1496841,2286744,1708371,1614069,1306431,2104942,2358735,933019,906294,1288035,3975005,3039095,1878085,2516959
54,Long-Term Debt,- -,- -,- -,38270,767625,- -,- -,- -,- -,379614,317219,252927,665706,1057104,908787,610568,403739,221105,- -,- -,- -,620930,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,205748,31727,38935,71381,145693,846433,622769,738750,505758,384697,163331,132739,339191,215231,225944,181744,147878,517144,- -,352139
58,Total Non-Current Liabilities,- -,- -,- -,244018,799352,38935,71381,145693,846433,1002383,1055969,758685,1050403,1220435,1041526,949759,618970,447049,181744,147878,517144,620930,352139
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,83978,31727,38935,71381,145693,846433,908177,1102020,905538,677185,384697,236749,485087,339191,347327,311244,262731,696337,795467,- -
61,Total Liabilities,- -,- -,- -,938565,1551820,1227071,692847,822379,1572174,2499224,3342713,2467056,2664472,2526866,3146468,3308494,1551989,1353343,1469779,4122883,3556239,2499015,2869098
62,Preferred Stock,- -,- -,- -,335492,284591,309776,334961,360146,375861,373647,371612,393678,393678,417830,441982,466134,466134,490286,514438,514438,514438,514438,- -
63,Common Stock,- -,- -,- -,6378216,6378216,7541653,9047550,9007817,- -,- -,9209424,- -,- -,- -,- -,- -,- -,- -,- -,10275733,10410677,10530669,10573843
64,Retained Earnings,- -,- -,- -,-6007437,-6728313,-7828135,-8161355,-7859087,-7526426,-7401876,-7899095,-7882016,-8772622,-9098594,-9386240,-9606164,-9755461,-10461515,-10455424,-9547555,-9242204,-7740441,-6061617
65,Other Comprehensive Income/Loss,- -,- -,- -,-2068246,-1827076,-1641356,-1814959,-2012312,-2185277,-2469030,-2868198,-3250237,-3692401,-4254302,-4781362,-5205675,-5642619,-6019844,-6422448,-6720847,-7036955,-7121647,- -
66,Other Total Stockholders Equity,- -,- -,- -,2077238,1886969,2200030,2825678,3007898,12610356,13008256,4280580,14957032,15531800,16230590,16892351,17540059,18199379,18753489,19357667,9000907,9302880,9368148,2227078
67,Total Stockholders Equity,- -,- -,- -,715263,-5613,581968,2231875,2504462,2898653,3137350,3094323,3824779,3066777,2877694,2724749,2728220,2801299,2272130,2479795,3522676,3948836,5551167,6739304
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1653828,1546207,1809039,2924722,3326841,4470827,5636574,6437036,6291835,5731249,5404560,5871217,6036714,4353288,3625473,3949574,7645559,7505075,8050182,9608402
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,1653828,1546207,1809039,2924722,3326841,4470827,5636574,6437036,6291835,5731249,5404560,5871217,6036714,4353288,3625473,3949574,7645559,7505075,8050182,9608402
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/830616/000111650208000393/0001116502-08-000393-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/830616/000114420412021507/0001144204-12-021507-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420413016138/0001144204-13-016138-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420414013313/0001144204-14-013313-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420415007897/0001144204-15-007897-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420416079960/0001144204-16-079960-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420417011269/0001144204-17-011269-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420418005146/0001144204-18-005146-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420419004927/0001144204-19-004927-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000110465920011013/0001104659-20-011013-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000110465921009058/0001104659-21-009058-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000141057822000072/0001410578-22-000072-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-150133,-153694,59881,-407042,-720876,-1099822,-333220,302268,332661,124550,-497219,17079,-890606,-325972,-287646,-219924,-149297,-706054,6091,907869,305351,1501763,- -
74,Depreciation and Amortization,269498,263282,220659,231859,215119,202371,202503,219752,292185,374213,446888,491091,576810,587649,573358,514798,447626,455330,470076,452943,502673,532843,429066
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156000,- -,156000,- -,- -,- -,- -,- -,- -,- -,- -,-1019317,355497
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,77348,381030,203403,115406,136889,134701,172995,215988,172685,201574,149399,130009,124720,47903
77,Change in Working Capital,-27595,- -,- -,301938,-130055,-454665,1726162,-217775,294613,266142,-230463,481296,-1224795,-10211,115713,-28251,120868,-478863,192741,947641,320292,818301,1096506
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-291430,15991,- -,164944,34301,-150552,165725,154522,41998,-64177,-141923,129407,-110947,-72107
79,Inventory,-61674,-103218,-217313,114226,136570,-5716,-22700,-116087,426437,-474318,232102,-313052,291288,188063,-929528,-25433,1241650,184184,-229243,-2109142,11551,1566457,1200
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,88841,14159,310273,-209950,-103260,195580,-31572,-233063,-39719,155741,13850,-67344,-106720,103099
81,Other Working Capital,- -,- -,- -,301938,171883,-282782,1443380,1225605,1520218,1786360,1555897,2037193,812398,802187,917900,889649,1010517,531654,724395,1672036,1992328,2810629,3907135
82,Other Non-Cash Items,15863,-204958,-63745,-126683,445251,938600,-1960802,-380585,75883,-385215,317529,-632057,1263970,48916,-127252,352376,-132601,717457,-254523,-804765,-726118,-967278,681576
83,Cash Provided by Operating Activities,107633,-95370,216795,72,-190561,-413516,-365357,-76340,995342,457038,261765,560812,-3215,437271,408874,791994,502584,160555,615959,1653087,532207,991032,2610548
84,CAPEX,-66322,-107073,-227114,-88967,-157419,-437820,-77472,-333857,-307589,-142332,-168132,-225209,-1095289,-587939,-40470,-59399,-49051,-89615,-104029,-380933,-380636,-78915,-706242
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,36500,6157,1602,2250,100,19220,2000,- -,10500,425,- -,75050,1750,- -,1750,- -,- -,1033,3063,18091
89,Cash Used for Investing Activites,-66322,-107073,-227114,-52467,-151262,-436218,-75222,-333757,-288369,-140332,-168132,-214709,-1094864,-587939,34580,-57649,-49051,-87865,-104029,-380933,-379603,-75852,-688151
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-536541,-382243,-451541,-479549,-950311,-451546,-395516,-444167,-343708,-321480,-375730,-117846,-127174,-160416
91,Common Stock Issued,- -,607800,1875,- -,- -,710615,1348912,12000,36534,- -,- -,- -,- -,- -,- -,50400,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-70150,- -,- -,- -,- -,- -,-51733,-32255,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-83536,-26648,-25185,-25185,- -,- -,- -,- -,- -,-41472,-24430,- -,-24152,- -,- -,- -,-24152,- -,- -,-24152,-24152,-24152,-248766
94,Other Financing Activites,37645,-106153,-50694,8405,559856,62242,62973,-63045,-177660,478271,21206,509974,888097,933729,- -,- -,- -,4200,- -,9765,14952,325300,-289824
95,Cash Used/Provided by Financing Activities,-45891,404849,-74004,-16780,559856,772857,1411885,-102778,-173381,-99742,-385467,58433,384396,-16582,-451546,-345116,-468319,-339508,-321480,-390117,-127046,173974,-699006
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-45891,404849,-84323,-69175,218032,-76877,971306,-512875,533592,216964,-291834,404536,-713683,-167250,-8092,389229,-14786,-266818,190450,882037,25558,1089154,1223391
98,Cash at the End of Period,- -,202406,118083,48908,266940,190063,1161369,648494,1182086,1399050,1107216,1511752,798069,630819,622727,1011956,997170,730352,920802,1802839,1828397,2917551,4140942
99,Cash at the Beginning of Period,4580,- -,202406,118083,48908,266940,190063,1161369,648494,1182086,1399050,1107216,1511752,798069,630819,622727,1011956,997170,730352,920802,1802839,1828397,2917551
100,Free Cash Flow,41311,-202443,-10319,-88895,-347980,-851336,-442829,-410197,687753,314706,93633,335603,-1098504,-150668,368404,732595,453533,70940,511930,1272154,151571,912117,1904306
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/830616/000111650208000393/0001116502-08-000393-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/830616/000114420412021507/0001144204-12-021507-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420413016138/0001144204-13-016138-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420414013313/0001144204-14-013313-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420415007897/0001144204-15-007897-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420416079960/0001144204-16-079960-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420417011269/0001144204-17-011269-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420418005146/0001144204-18-005146-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000114420419004927/0001144204-19-004927-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000110465920011013/0001104659-20-011013-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000110465921009058/0001104659-21-009058-index.htm,https://www.sec.gov/Archives/edgar/data/830616/000141057822000072/0001410578-22-000072-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
