,https://roic.ai/company/GIL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,- -,0.04,0.07,0.09,0.16,0.00,0.18,0.24,0.25,0.36,0.44,0.54,0.59,0.40,0.81,0.98,0.61,1.30,1.46,1.25,- -,1.61,1.66,1.27,-1.14,3.07
27,Weighted Average Shares Outstanding,- -,115390279,127978512,185648116,222099776,225167912,228297133,234157391,235228812,239181930,240504434,240777778,240958576,241622000,242318000,243052000,242976000,242910000,243530000,242502000,- -,223662963,211309639,204161000,197615789,197137338
28,Weighted Average Shares Outstanding Diluted,- -,116758449,130836848,193837709,236895856,233810984,235368283,237759812,237557719,240853664,243238302,243028037,243243474,242870000,243960000,244566000,244136000,245416000,246358000,244321000,- -,225052174,211309639,204609000,198361000,197595000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,22300000,- -,44900000,69100000,60609806,69729367,29000000,9250000,12400000,99700000,196300000,87300000,70410000,96500000,65100000,47097000,- -,52795000,46657000,64126000,505264000,179246000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62200000,1600000,- -,900000,100000,- -,- -,- -,- -,45950000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,22300000,- -,44900000,69100000,60609806,69729367,29000000,9250000,12400000,99700000,258500000,88900000,70410000,97400000,65200000,47097000,- -,52795000,46657000,110076000,505264000,179246000
34,Net Receivables,- -,- -,- -,71400000,74200000,79597633,55600000,64000000,85231362,108532946,165900000,206088000,222200000,166800000,145700000,192100000,260948000,255700000,355700000,424884000,- -,247256000,317159000,320931000,201112000,329967000
35,Inventory,- -,- -,- -,66900000,81000000,113095037,71600000,103200000,116497515,134720668,200700000,239963000,316200000,301900000,332500000,575600000,553068000,595800000,779400000,826781000,- -,945738000,940029000,1052052000,727992000,774358000
36,Other Current Assets,- -,- -,- -,1400000,2600000,2704644,5500000,8500000,11569683,14513882,11000000,10569000,10300000,11600000,18600000,31800000,31174000,31800000,47100000,40458000,- -,62092000,79066000,31114000,110105000,163662000
37,Total Current Assets,- -,- -,- -,139700000,180100000,195397315,177600000,244800000,273908367,327496863,406600000,465870000,561100000,580000000,755300000,888400000,915600000,980700000,1247400000,1339220000,- -,1307881000,1382911000,1514173000,1544473000,1447233000
38,PP&E,- -,- -,- -,47500000,73000000,96051720,132600000,179800000,211480043,260343813,302700000,377617000,436500000,414500000,479300000,565400000,552437000,655900000,873700000,1040219000,- -,1035818000,990475000,1068519000,956245000,1077520000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,6700000,10200000,153200000,141933000,150100000,176400000,188777000,- -,226571000,227362000,227865000,206636000,283815000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,2024000,60000000,56800000,61300000,256500000,259981000,247500000,287400000,335421000,- -,401605000,393573000,383864000,289901000,306630000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,2024000,66700000,63500000,71500000,409700000,401914000,397600000,463800000,524198000,- -,628176000,620935000,611729000,496537000,590445000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,12126000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,2000000,3400000,- -,12900000,20600000,- -,- -,29400000,10939000,27300000,23800000,4500000,26600000,3371000,- -,300000,1750000,- -,- -,- -,- -,17689000,17726000
44,Other Non-Current Assets,- -,- -,- -,5200000,5900000,5732241,-8500000,-16900000,3124359,9053569,-24900000,18036000,10500000,600000,10600000,-12400000,10989000,9500000,7800000,5990000,- -,8830000,- -,16649000,6004000,3758000
45,Total Non-Current Assets,- -,- -,- -,54700000,82300000,101783961,137000000,183500000,214604402,269397382,316700000,408616000,541000000,502400000,565900000,1001300000,980837000,1063000000,1345600000,1572157000,- -,1672824000,1611410000,1696897000,1476475000,1689449000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,194400000,262400000,297181275,314600000,428300000,488512769,596894245,723300000,874486000,1102100000,1082400000,1321200000,1889700000,1896437000,2043700000,2593000000,2911377000,- -,2980705000,2994321000,3211070000,3020948000,3136682000
48,Accounts Payable,- -,- -,- -,- -,- -,62269528,- -,- -,74720650,86752634,- -,116683000,- -,- -,- -,- -,256442000,- -,- -,295060000,- -,258476000,346985000,- -,343722000,440401000
49,Short-Term Debt,- -,- -,- -,- -,- -,4068351,- -,19294507,18591730,23814194,25344787,3689000,3556000,2803000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14518000,15884000,15290000
50,Tax Payable,- -,- -,- -,- -,- -,- -,3063050000,- -,- -,- -,- -,- -,- -,11822000,5024000,- -,- -,- -,- -,- -,- -,- -,- -,1255000,- -,7912000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12623000,9917000,- -,- -
52,Other Current Liabilities,- -,- -,- -,43900000,47600000,1466181,58000000,71105493,1964484,2203704,120255213,2949000,202344000,136197000,191200000,315300000,- -,289400000,374700000,- -,- -,- -,-12623000,397969000,- -,7912000
53,Total Current Liabilities,- -,- -,- -,43900000,47600000,67804060,58000000,90400000,95276865,112770533,145600000,123321000,205900000,139000000,191200000,315300000,256442000,289400000,374700000,295060000,- -,258476000,346985000,422404000,359606000,463603000
54,Long-Term Debt,- -,- -,- -,53100000,80300000,97162110,72800000,53900000,37940375,27259605,12000000,55971000,49400000,1600000,- -,209000000,181000000,- -,157000000,462000000,- -,630000000,669000000,911982000,1000000000,693812000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,6119214,- -,- -,28030080,31353341,- -,24612000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3713000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2000000,3400000,-0,12800000,20600000,1,- -,35100000,- -,34500000,31000000,15600000,38100000,32654000,34800000,37800000,25080000,- -,37141000,52539000,42190000,102445000,59862000
58,Total Non-Current Liabilities,- -,- -,- -,55100000,83700000,103281323,85600000,74500000,65970456,58612946,47100000,80583000,83900000,32600000,15600000,247100000,213654000,34800000,194800000,487080000,- -,670854000,721539000,954172000,1102445000,753674000
59,Other Liabilities,- -,- -,- -,- -,- -,206562647,- -,- -,131940911,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81500000,82464000,109102000
61,Total Liabilities,- -,- -,- -,99000000,131300000,171085384,143600000,164900000,161247320,171383479,192700000,203904000,289800000,171600000,206800000,562400000,470096000,324200000,569500000,782140000,- -,929330000,1068524000,1376576000,1462051000,1217277000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,66200000,66100000,- -,66500000,83000000,- -,- -,86600000,- -,89400000,93000000,97000000,100400000,101113000,107900000,124600000,138863000,- -,159170000,- -,174218000,183938000,191732000
64,Retained Earnings,- -,- -,- -,29000000,64800000,62250297,104300000,180100000,222271873,308217944,415400000,545388000,690000000,784500000,982800000,1184800000,1306724000,1583300000,1885900000,1981231000,- -,1853457000,1740342000,1628042000,1359061000,1604736000
65,Other Comprehensive Income/Loss,- -,- -,- -,-11500000,-16200000,-23776287,-31200000,238776,26901702,27815027,26273695,26248000,26248000,26248000,24538000,25572000,-7075000,-656000,-7732000,-7575000,- -,13540000,3382000,-535000,-9038000,64809000
66,Other Total Stockholders Equity,- -,- -,- -,11700000,16400000,87621881,31400000,-1671437,- -,- -,2810695,250915000,6685000,7037000,10091000,16543000,25579000,28882000,20765000,- -,- -,25208000,192348000,32769000,24936000,58128000
67,Total Stockholders Equity,- -,- -,- -,95400000,131100000,126095892,171000000,261667339,327265449,420122380,531084390,663650000,812333000,910785000,1114429000,1327315000,1426341000,1719426000,2023533000,2129237000,- -,2051375000,1936072000,1834494000,1558897000,1919405000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,194400000,262400000,297181276,314600000,426567339,488512769,591505859,723784390,867554000,1102133000,1082385000,1321229000,1889715000,1896437000,2043626000,2593033000,2911377000,- -,2980705000,3004596000,3211070000,3020948000,3136682000
69,Minority Interest,- -,- -,- -,- -,- -,-1,- -,1732661,- -,5388386,-484390,6932000,-33000,15000,-29000,-15000,- -,74000,-33000,- -,- -,- -,-10275000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,194400000,262400000,297181275,314600000,428300000,488512769,596894245,723300000,874486000,1102100000,1082400000,1321200000,1889700000,1896437000,2043700000,2593000000,2911377000,- -,2980705000,2994321000,3211070000,3020948000,3136682000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1061894/000106189419000008/0001061894-19-000008-index.html,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,4098886,8620968,16486646,36345273,517412,41896311,57146615,60190666,85953467,106933579,130020000,144592000,95329000,198245000,239904000,148464000,320178000,359552000,237300000,- -,362334000,350774000,259809000,-225282000,607183000
74,Depreciation and Amortization,- -,1699538,2706583,4696196,6243486,10278097,11084645,17464301,22252127,25588346,32414701,42270000,58932000,62970000,69197000,79808000,94573000,95278000,95618000,116631000,- -,162150000,158076000,156794000,147190000,135402000
75,Deferred Income Tax,- -,1099701,1303169,599514,1424388,-169944,3158691,4523099,2943708,175816,1765727,-8919000,-15837000,-2434000,-11427000,-19118000,-10342000,2189000,-3080000,-1521000,- -,4895000,8872000,-23623000,-7724000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3007000,4081000,4899000,4606000,8268000,10207000,11009000,- -,15867000,19513000,16272000,2090000,37659000
77,Change in Working Capital,- -,-10697094,-23557297,-52757266,-15626084,-18193067,53314153,-12679410,-29535208,-29562206,-64675251,-80888000,46749000,9672000,30946000,-129205000,-23103000,-2045000,-189081000,-140088000,- -,75827000,-14485000,-74327000,342510000,-96739000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48351000,16018000,-18861000,-36660000,2986000,-90549000,-69113000,- -,38924000,-79707000,-3515000,125150000,- -
79,Inventory,- -,-2199402,-26364124,-25978957,-15333098,-35913791,41196185,-18962580,-13098667,-17771488,-35469688,-39310000,-32135000,16742000,-32280000,-182080000,77111000,-38092000,-149231000,-15170000,- -,27102000,2182000,-115082000,320384000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74732000,49621000,- -,- -
81,Other Working Capital,- -,-1,- -,-1,1,1,1,-1,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5424000,2115000,2969000,-5747000,- -
82,Other Non-Cash Items,- -,199946,-300731,-599514,-1574468,-259421,2767481,204682,3009152,10997544,18374970,8680000,4468000,635000,10509000,5262000,5384000,3288000,-9116000,-3516000,- -,-7713000,15794000,26105000,156246000,-65995000
83,Cash Provided by Operating Activities,- -,-3599022,-11227308,-31574424,26812595,-7826923,112221280,66659288,58860445,93152967,94813726,91163000,238904000,169179000,301551000,181550000,219582000,427156000,264100000,219815000,- -,613360000,538544000,361030000,415030000,617510000
84,CAPEX,- -,-3898940,-16139255,-17285998,-31108128,-30980178,-41438455,-43320522,-53629980,-86034383,-80261494,-134282000,- -,-44938000,-127881000,-164722000,-76755000,-166958000,-292703000,-290414000,- -,-94796000,-125220000,-140234000,-58340000,-130223000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19930492,- -,- -,-1196000,-15850000,-349639000,-87373000,-8027000,-101732000,-103800000,- -,-115776000,-1303000,-1300000,- -,-163968000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-699810,-1403413,-2198219,-1853942,-270766,-879180,4569,-135560,2273632,4044955,-407000,-8269000,11936000,1459000,-14352000,-3330000,-1466000,-1256000,-2928000,- -,-2303000,-1917000,-5775000,-6840000,103592000
89,Cash Used for Investing Activites,- -,-4598751,-17542668,-19484218,-32962070,-31250944,-42317635,-43315953,-53765540,-83760751,-96147030,-134689000,-8269000,-34198000,-141246000,-523937000,-162019000,-172136000,-389541000,-390735000,- -,-210030000,-110874000,-135751000,-57510000,-187833000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48661000,-4430000,- -,-28000000,- -,- -,- -,- -,- -,- -,-13534000,-260418000,-421474000
91,Common Stock Issued,- -,- -,16941205,41766169,1191952,625698,2875359,4909656,2661576,5865890,1809770,1316000,- -,906000,1869000,4017000,1501000,6014000,4316000,8439000,- -,4900000,3243000,10318000,2854000,9427000
92,Common Stock Repurchased,- -,- -,-300732,- -,- -,- -,- -,- -,- -,- -,- -,-65000,- -,- -,- -,-12689000,-5990000,-9621000,-14481000,-94982000,- -,-334896000,-374758000,-264241000,-25774000,-249407000
93,Dividends Paid,- -,- -,-300732,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27496000,-36615000,-43723000,-53180000,-63707000,- -,-84822000,-94566000,-110346000,-30553000,-90462000
94,Other Financing Activites,- -,5498506,1002439,8992716,27084914,17313533,-28196075,-4488115,-16996856,-6323414,-41231324,22299000,-227326000,44000,1202000,209000000,- -,-181000000,157000000,305000000,- -,25480000,32858000,169999000,397429000,-2837000
95,Cash Used/Provided by Financing Activities,- -,5498506,17342181,50758885,28276866,17939231,-25320716,421541,-14335280,-457524,-39421554,23550000,-227326000,-47711000,-1359000,172832000,-69104000,-228330000,93655000,154750000,- -,-389338000,-433223000,-207804000,83538000,-754753000
96,Effect of Forex Changes on Cash,- -,- -,- -,299757,165196,-99399,94615,-7528331,579949,186805,-80078,219000,-202000,105000,-236000,-85000,-74000,268000,-419000,-1896000,- -,606000,-585000,-6000,80000,-942000
97,Net Change In Cash,- -,5498506,-11427796,50758885,28276866,17939231,-25320716,16236543,-8660426,9121498,-40834936,-19757000,3107000,87375000,158710000,-169640000,-11615000,26958000,-32205000,-18066000,- -,14598000,-6138000,17469000,441138000,-326018000
98,Cash at the End of Period,- -,- -,-21251689,- -,22292586,- -,44677545,68674843,60609806,69729367,29035396,9250000,12357000,99732000,258442000,88802000,70410000,97368000,65163000,47097000,- -,52795000,46657000,64126000,505264000,179246000
99,Cash at the Beginning of Period,- -,-8097799,-9823894,- -,- -,21238035,- -,52438301,69270232,60607868,69870331,29007000,9250000,12357000,99732000,258442000,82025000,70410000,97368000,65163000,- -,38197000,52795000,46657000,64126000,505264000
100,Free Cash Flow,- -,-7497962,-27366563,-48860423,-4295534,-38807101,70782825,23338766,5230465,7118584,14552232,-43119000,238904000,124241000,173670000,16828000,142827000,260198000,-28603000,-70599000,- -,518564000,413324000,220796000,356690000,487287000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1061894/000106189419000008/0001061894-19-000008-index.html,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
